訓練日期,20110728 - 20111027
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10986436.630000000819564
真實報酬,986436.630000000819564

夏普值報酬,0.089943663000000
夏普值風險,0.033510123554224
夏普值,2.684074347098653

預期報酬,6839.661987401910665
風險,262197.302153782628011
趨勢值,0.026085935786595
找到最佳解世代,2054
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
CSCO[4](2),MCD[15](3),PG[21](1),
Stock#,CSCO[4](2),MCD[15](3),PG[21](1),
張數,212449,38274,53590,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,8.189999999944121,50.339999999850988,35.000000000000000,
20110728,3401316.680000000167638,3321468.060000000055879,3318327.800000000279397,10041113.540000000968575
20110729,3392818.720000000204891,3309985.859999999869615,3295284.100000000093132,9998089.679999999701977
20110801,3363075.859999999869615,3306541.199999999720603,3292068.700000000186265,9961686.759999999776483
20110802,3284469.729999999981374,3255636.779999999795109,3262058.299999999813735,9802165.809999998658895
20110803,3290843.200000000186265,3274008.300000000279397,3254555.699999999720603,9819408.199999999254942
20110804,3148502.370000000111759,3225783.060000000055879,3192927.199999999720603,9567213.629999998956919
20110805,3173996.250000000000000,3256402.259999999776483,3247053.100000000093132,9677452.609999999403954
20110808,2961547.250000000000000,3142728.479999999981374,3177386.100000000093132,9281662.830000000074506
20110809,2987041.129999999888241,3290083.379999999422580,3227224.799999999813735,9504350.309999998658895
20110810,2916932.959999999962747,3218128.259999999776483,3135585.899999999906868,9270648.119999999180436
20110811,3382196.270000000018626,3302331.060000000055879,3239550.500000000000000,9924078.830000000074506
20110812,3397067.700000000186265,3310751.339999999850988,3276527.600000000093132,9984347.640000000596046
20110815,3405565.660000000149012,3322999.019999999552965,3316184.200000000186265,10044749.879999998956919
20110816,3399192.189999999944121,3317257.919999999925494,3302250.799999999813735,10018701.910000000149012
20110817,3367324.839999999850988,3349025.339999999850988,3304930.300000000279397,10021281.480000000447035
20110818,3188867.679999999701977,3276687.479999999981374,3261522.399999999906868,9727078.560000000521541
20110819,3203739.109999999869615,3338691.359999999869615,3266881.399999999906868,9809312.869999999180436
20110822,3188867.679999999701977,3358976.580000000074506,3307073.899999999906868,9854919.160000000149012
