訓練日期,20170727 - 20171026
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10875447.870000001043081
真實報酬,875447.870000001043081

夏普值報酬,0.078844787000000
夏普值風險,0.023014887088927
夏普值,3.425816806980244

預期報酬,13158.388498051566785
風險,50212.259420982431038
趨勢值,0.262055295853765
找到最佳解世代,2144
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,10
AAPL[0](22),CAT[3](6),DD[7](19),HD[9](1),MCD[15](15),PFE[20](2),PG[21](20),UNH[23](10),V[25](4),VZ[26](12),
Stock#,AAPL[0](22),CAT[3](6),DD[7](19),HD[9](1),MCD[15](15),PFE[20](2),PG[21](20),UNH[23](10),V[25](4),VZ[26](12),
張數,6516,8809,10571,6817,6389,30404,11198,5242,9915,22522,
分配資金,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,
剩餘資金,54.639999999897555,2.320000000065193,89.109999999986030,14.270000000018626,57.610000000102445,12.439999999944121,18.599999999976717,88.500000000000000,72.250000000000000,23.200000000069849,
20170727,981103.599999999860302,1007487.650000000139698,995137.339999999967404,1007089.679999999934807,1002811.160000000032596,1003344.439999999944121,1015453.240000000107102,990459.560000000055879,987308.799999999930151,1076800.020000000018626,10066995.490000000223517
20170728,974196.639999999897555,1005109.219999999972060,988794.739999999990687,1009475.630000000121072,995783.260000000009313,1007905.039999999920838,1010190.179999999934807,1002096.800000000046566,983144.500000000000000,1079727.879999999888241,10056423.889999996870756
20170731,969179.319999999832362,1003787.870000000111759,967124.190000000060536,1019837.469999999972060,991247.070000000065193,1008209.079999999841675,1017020.959999999846332,1005556.520000000018626,987209.650000000023283,1090088.000000000000000,10059260.130000000819564
20170801,977780.439999999944121,996300.219999999972060,973889.630000000004657,1021541.719999999972060,984219.170000000041910,1005776.759999999892898,1020156.399999999906868,1007758.159999999916181,1000198.300000000046566,1101123.780000000260770,10088744.580000001937151
20170802,1023978.879999999771826,996212.130000000121072,968075.579999999958090,1025972.770000000018626,1000511.120000000111759,1000912.119999999995343,1019484.520000000018626,1011794.500000000000000,1004263.449999999953434,1085808.820000000298023,10137013.890000000596046
20170803,1013748.759999999892898,1000352.360000000102445,954967.539999999920838,1027949.699999999953434,988563.690000000060536,1016418.159999999916181,1017468.880000000004657,1021072.840000000083819,997422.099999999976717,1094817.620000000111759,10132781.650000002235174
20170804,1019091.879999999771826,1007311.469999999972060,965221.409999999916181,1041311.020000000018626,982813.590000000083819,1022803.000000000000000,1015341.260000000009313,1021649.459999999962747,1000396.599999999976717,1101574.220000000204891,10177513.910000000149012
20170807,1034860.599999999860302,1010482.709999999962747,961732.979999999981374,1045401.219999999972060,990160.940000000060536,1012769.680000000051223,1023963.719999999972060,1021125.260000000009313,1006345.599999999976717,1100448.120000000111759,10207290.829999998211861
20170808,1043135.919999999925494,1007840.010000000009313,954650.409999999916181,1045401.219999999972060,989841.489999999990687,1011857.559999999939464,1025531.439999999944121,1021754.300000000046566,1004263.449999999953434,1094592.399999999906868,10198868.199999999254942
20170809,1049521.599999999860302,1007223.380000000121072,956024.640000000013970,1058421.689999999944121,989841.489999999990687,1017026.239999999990687,1029338.760000000009313,1021387.360000000102445,1001189.800000000046566,1086034.040000000037253,10216009.000000000000000
20170810,1012119.759999999892898,996740.670000000158325,950104.880000000004657,1049014.229999999981374,1000702.790000000153668,1016114.119999999995343,1027323.119999999878928,1009540.439999999944121,986515.599999999976717,1081529.640000000130385,10129705.250000000000000
20170811,1026194.319999999832362,994097.969999999972060,952430.500000000000000,1055831.229999999981374,1005047.310000000172295,1010945.439999999944121,1022843.920000000041910,1011899.340000000083819,992464.599999999976717,1082430.520000000018626,10154185.149999998509884
20170814,1041637.239999999874271,1001673.709999999962747,954650.409999999916181,1051604.689999999944121,1004791.750000000000000,1012769.680000000051223,1026315.300000000046566,1015516.320000000065193,1010113.300000000046566,1098646.359999999869615,10217718.759999997913837
20170815,1053040.239999999757856,1001145.170000000158325,958561.680000000051223,1023723.159999999916181,1007091.790000000153668,1014897.960000000079162,1032474.199999999953434,1019657.500000000000000,1017648.699999999953434,1091889.759999999776483,10220130.160000000149012
20170816,1048804.839999999850988,1005285.400000000139698,962684.369999999995343,1037902.520000000018626,1015269.710000000195578,1014289.879999999888241,1035161.719999999972060,1015830.840000000083819,1024490.049999999930151,1090313.220000000204891,10250032.550000000745058
20170817,1028670.400000000023283,996652.580000000074506,951161.979999999981374,1020314.659999999916181,1008816.820000000065193,1001824.239999999990687,1031018.459999999846332,1010221.899999999906868,1012988.650000000023283,1078601.780000000260770,10140271.470000002533197
20170818,1026324.639999999897555,1003523.600000000093132,954544.700000000069849,1005453.600000000093132,1007986.250000000000000,993311.119999999995343,1035497.659999999916181,1000366.939999999944121,1016458.900000000023283,1074097.379999999888241,10117564.789999999105930
20170821,1024435.000000000000000,1000704.719999999972060,961415.849999999976717,1017110.669999999925494,1011819.650000000139698,996047.479999999864958,1039864.880000000004657,1006709.760000000009313,1023498.550000000046566,1084232.280000000260770,10165838.839999999850988
20170822,1041181.119999999878928,1020260.699999999953434,975263.859999999986030,1021950.739999999990687,1019997.570000000065193,1007905.039999999920838,1039081.020000000018626,1021177.679999999934807,1031926.299999999930151,1088961.899999999906868,10267705.930000001564622
20170823,1042484.319999999832362,1010835.070000000065193,972303.979999999981374,1016428.969999999972060,1014694.700000000069849,1010641.400000000023283,1035161.719999999972060,1018294.580000000074506,1023101.950000000069849,1087385.359999999869615,10231332.049999998882413
