訓練日期,20131127 - 20140304
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11920320.859999999403954
真實報酬,1920320.859999999403954

夏普值報酬,0.183332086000000
夏普值風險,0.049997669470299
夏普值,3.666812632314964

預期報酬,26772.895025463087222
風險,139792.741748480359092
趨勢值,0.191518491522498
找到最佳解世代,1908
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
CAT[3](1),DD[7](2),MRK[17](4),
Stock#,CAT[3](1),DD[7](2),MRK[17](4),
張數,39513,60342,67231,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,16.319999999832362,40.919999999925494,20.020000000018626,
20131127,3345582.029999999795109,3359883.479999999981374,3350140.750000000000000,10055607.259999999776483
20131129,3342816.119999999646097,3356866.379999999888241,3350140.750000000000000,10049824.250000000000000
20131202,3328986.569999999832362,3435914.399999999906868,3373671.600000000093132,10138573.570000000298023
20131203,3313971.629999999888241,3327298.799999999813735,3345434.580000000074506,9986706.009999999776483
20131204,3317922.929999999701977,3341780.879999999888241,3315180.630000000353903,9974885.439999999478459
20131205,3335308.649999999906868,3317644.079999999608845,3281565.130000000353903,9934518.859999999403954
20131206,3378377.819999999832362,3374365.560000000055879,3320559.109999999869615,10073303.490000000223517
20131209,3401690.489999999757856,3505911.120000000111759,3331988.380000000353903,10239590.990000000223517
20131210,3414729.779999999795109,3590389.919999999925494,3323248.350000000093132,10328369.049999998882413
20131211,3369684.959999999962747,3527634.239999999757856,3290977.470000000204891,10188297.669999999925494
20131212,3381143.729999999515712,3502894.019999999552965,3248621.939999999944121,10132660.689999999478459
20131213,3400109.969999999739230,3568063.379999999888241,3252655.800000000279397,10220830.150000000372529
20131216,3452662.259999999776483,3574701.000000000000000,3233158.810000000055879,10260523.070000000298023
20131217,3434486.279999999795109,3626595.120000000111759,3220384.919999999925494,10281467.320000000298023
20131218,3483877.529999999795109,3738831.239999999757856,3287615.919999999925494,10510325.689999999478459
20131219,3458984.339999999850988,3772622.760000000242144,3280220.509999999776483,10511828.609999999403954
20131220,3513907.410000000149012,3762364.620000000111759,3315852.939999999944121,10592125.970000000670552
20131223,3554605.799999999813735,3770812.500000000000000,3318542.180000000167638,10643961.480000000447035
20131224,3592143.149999999906868,3817275.839999999850988,3321903.729999999981374,10731323.720000000670552
20131226,3601626.270000000018626,3854687.879999999888241,3342745.339999999850988,10799060.490000000223517
20131227,3590562.629999999888241,3832361.339999999850988,3347451.509999999776483,10770376.480000000447035
20131230,3590562.629999999888241,3832361.339999999850988,3357536.159999999683350,10780461.129999998956919
20131231,3588191.850000000093132,3815465.579999999608845,3364931.569999999832362,10768590.000000000000000
20140102,3551049.629999999888241,3769605.659999999683350,3327282.209999999962747,10647938.500000000000000
20140103,3549073.979999999515712,3752709.899999999906868,3343417.649999999906868,10645202.529999999329448
20140106,3502448.639999999664724,3746072.279999999795109,3344089.959999999962747,10592611.879999998956919
20140107,3513907.410000000149012,3704436.299999999813735,3368965.430000000167638,10587310.140000000596046
20140108,3522205.139999999664724,3708660.239999999757856,3347451.509999999776483,10578317.889999998733401
20140109,3544727.549999999813735,3660990.060000000055879,3329299.140000000130385,10535017.750000000000000
20140110,3576337.950000000186265,3670041.359999999869615,3353502.300000000279397,10599882.610000001266599
20140113,3551839.889999999664724,3600044.639999999664724,3571330.739999999757856,10723216.269999999552965
20140114,3578313.600000000093132,3665214.000000000000000,3563263.020000000018626,10806791.619999999180436
20140115,3651412.649999999906868,3699608.939999999944121,3530992.140000000130385,10882014.730000000447035
20140116,3635607.450000000186265,3702626.040000000037253,3529647.520000000018626,10867882.009999999776483
20140117,3613085.039999999571592,3701419.200000000186265,3492670.470000000204891,10807175.710000000894070
20140121,3579894.119999999646097,3947011.139999999664724,3484602.750000000000000,11011509.009999999776483
20140122,3541961.639999999664724,3925288.019999999552965,3452331.870000000111759,10919582.529999999329448
20140123,3496126.560000000055879,3843222.899999999906868,3469139.620000000111759,10808490.080000000074506
20140124,3404851.529999999795109,3730383.359999999869615,3494687.399999999906868,10629923.289999999105930
20140127,3607158.089999999850988,3703832.879999999888241,3531664.450000000186265,10842656.419999999925494
20140128,3653783.429999999701977,3700212.359999999869615,3554522.989999999757856,10908519.779999999329448
20140129,3580684.379999999888241,3843826.320000000298023,3510150.530000000260770,10934662.230000000447035
20140130,3682627.919999999925494,3893910.180000000167638,3597550.830000000074506,11174089.929999999701977
20140131,3710682.149999999906868,3910805.939999999944121,3561246.089999999850988,11182735.179999999701977
20140203,3651807.779999999795109,3840205.799999999813735,3501410.500000000000000,10993425.080000000074506
20140204,3654968.819999999832362,3863739.180000000167638,3597550.830000000074506,11116259.830000000074506
20140205,3633631.799999999813735,3854084.459999999962747,3598895.450000000186265,11086612.710000000894070
20140206,3707521.109999999869615,3917443.560000000055879,3615030.890000000130385,11239996.560000000521541
20140207,3748614.629999999888241,3918650.399999999906868,3682261.890000000130385,11349527.919999999925494
20140210,3733994.819999999832362,3939166.680000000167638,3690329.609999999869615,11363492.109999999403954
20140211,3752170.799999999813735,4024852.320000000298023,3744786.720000000204891,11521810.839999999850988
20140212,3799981.529999999795109,3985026.600000000093132,3697725.020000000018626,11482734.150000000372529
20140213,3797610.750000000000000,3978992.399999999906868,3704448.120000000111759,11481052.269999999552965
20140214,3814996.469999999739230,4013990.759999999776483,3727306.659999999683350,11556294.889999998733401
