代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,13468609.245250000000
真實報酬,3468609.245249999700

夏普值報酬,0.338160924525
夏普值風險,0.096877817188
夏普值,3.490591905776

預期報酬,16559.204826835808
風險,307988.749376145890
起點值,0.053765615986
找到最佳解世代,4105
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,3
1326(5),2301(11),2325(16),
Stock#,1326(5),2301(11),2325(16),
張數,53,121,91,
分配資金,3333333.000000000000,3333333.000000000000,3333333.000000000000,
剩餘資金,36281.387000000468,25325.797500000001,5277.269000000000,
FS( 1 ),3328641.387000000100,3328625.797499999900,3328597.268999999900,9985865.453499998900
FS( 2 ),3328319.372250000900,3341715.547249999800,3274028.754999999400,9944064.674499999700
FS( 3 ),3333068.265000000600,3320031.923750000500,3236883.851750000400,9889985.040500000100
FS( 4 ),3390054.978000001100,3453747.602000000400,3216952.440250000500,10060756.020250002000
FS( 5 ),3447041.691000000600,3475431.225500000200,3236883.851750000400,10159357.768250000000
FS( 6 ),3494530.618500001300,3459770.830750000200,3265874.995749999800,10220177.445000000000
FS( 7 ),3675516.197750000700,3551323.907750000200,3293960.166499999400,10520801.272000000000
FS( 8 ),3556793.879000000700,3647695.567750000400,3265874.995749999800,10470365.442500001000
FS( 9 ),3537798.308000000200,3551323.907750000200,3305737.818749999600,10394861.034499999000
FS( 10 ),3575789.450000000200,3604328.320750000400,3439821.859749999400,10619940.630500000000
FS( 11 ),3642273.948500000400,3577826.114249999600,3561222.275249999900,10781323.338000000000
FS( 12 ),3604282.806500000400,3636853.755999999600,3456129.378250000500,10697266.940750001000
FS( 13 ),3637525.055750000800,3642876.984749999800,3476060.789750000000,10756463.830250001000
FS( 14 ),3580538.342750000800,3562165.719499999700,3459753.271250000200,10602458.333500002000
FS( 15 ),3575789.450000000200,3621193.361250000500,3399053.063499999700,10596036.874750001000
FS( 16 ),3604282.806500000400,3669379.191249999700,3520453.478999999400,10794116.476749999000
FS( 17 ),3609031.699250000100,3744067.227749999600,3520453.478999999400,10873553.405999999000
FS( 18 ),3637525.055750000800,3744067.227749999600,3504145.960499999600,10885739.244000001000
FS( 19 ),3637525.055750000800,3760932.268250000200,3536760.997499999600,10935219.321500000000
FS( 20 ),3623278.377500000900,3750090.456499999900,3476060.789750000000,10849430.623750001000
FS( 21 ),3580538.342750000800,3658537.379499999800,3492368.308249999800,10731445.030500000000
FS( 22 ),3623278.377500000900,3669379.191249999700,3492368.308249999800,10785026.877000000000
FS( 23 ),3656520.626750000300,3781411.245999999300,3508675.826750000000,10946608.699499998000
FS( 24 ),3680265.090500000900,3809118.098249999800,3610144.830749999700,11099529.019500000000
FS( 25 ),3651771.734000000200,3744067.227749999600,3593837.312249999500,10989677.274000000000
FS( 26 ),3556793.879000000700,3626011.944250000200,3577529.793749999700,10760336.617000001000
FS( 27 ),3518802.737000000700,3621193.361250000500,3601991.071500000100,10741988.169750001000
FS( 28 ),3423297.227250000000,3562165.719499999700,3536760.997499999600,10522224.944249999000
FS( 29 ),3451790.583750000700,3492296.265999999800,3488744.415250000100,10432832.265000001000
FS( 30 ),3437543.905499999900,3497114.849000000400,3569376.034500000500,10504035.789000001000
FS( 31 ),3366310.514250000500,3593486.508999999600,3536760.997499999600,10496559.020750001000
FS( 32 ),3342566.050500000800,3540482.095999999400,3504145.960499999600,10387195.107000001000
FS( 33 ),3375808.299750000700,3593486.508999999600,3589307.446000000000,10558603.254750000000
FS( 34 ),3342566.050500000800,3599509.737749999900,3613768.723749999400,10555845.512000000000
FS( 35 ),3456539.476500000300,3636853.755999999600,3638230.001500000200,10731624.234000001000
FS( 36 ),3385306.085250000500,3636853.755999999600,3597461.205249999600,10619622.046500001000
FS( 37 ),3456539.476500000300,3803094.869499999600,3618298.590000000300,10877933.936000001000
FS( 38 ),3428046.120000000600,3787434.474749999600,3646383.760749999900,10861865.355500000000
FS( 39 ),3475535.047500000800,3798276.286500000400,3650007.653749999600,10923819.987750001000
FS( 40 ),3547296.093500001400,3841643.533499999400,3710707.861499999600,11099648.488499999000
FS( 41 ),3442292.798250000000,3830801.721750000000,3613768.723749999400,10886864.243749999000
FS( 42 ),3394803.870750000700,3626011.944250000200,3488744.415250000100,10509561.230250001000
FS( 43 ),3456539.476500000300,3728406.832999999600,3650007.653749999600,10834954.963250000000
FS( 44 ),3413799.441750000700,3669379.191249999700,3650007.653749999600,10733187.286750000000
FS( 45 ),3413799.441750000700,3701904.626500000200,3650007.653749999600,10765712.721999999000
FS( 46 ),3385306.085250000500,3658537.379499999800,3650007.653749999600,10693852.118500000000
FS( 47 ),3366310.514250000500,3711541.792500000400,3698930.209249999800,10776783.516000001000
FS( 48 ),3295077.123000000100,3610351.549500000200,3690776.449999999700,10596206.122500001000
FS( 49 ),3276081.552000000600,3573007.531250000000,3618298.590000000300,10467388.673250001000
FS( 50 ),3247588.195500000400,3534458.867250000100,3707083.968499999500,10489132.031250000000
FS( 51 ),3257085.981000000600,3486273.037249999600,3690776.449999999700,10434136.468249999000
FS( 52 ),3219094.839000000600,3459770.830750000200,3694400.342999999900,10373267.012750002000
FS( 53 ),3242839.302750000300,3433268.624249999400,4063131.455749999700,10739240.382749999000
FS( 54 ),3295077.123000000100,3529640.284250000000,3974346.077250000100,10799064.484500000000
FS( 55 ),3333068.265000000600,3507956.660749999800,4043200.044249999800,10884225.970000001000
FS( 56 ),3295077.123000000100,3534458.867250000100,4031422.391999999500,10860959.382250000000
FS( 57 ),3271332.659250001000,3507956.660749999800,4136515.289000000300,10915805.609000001000
FS( 58 ),3342566.050500000800,3556142.490749999400,4063131.455749999700,10961840.997000000000
FS( 59 ),3356812.728750000200,3523617.055499999300,4241608.185999999800,11122038.970249999000
FS( 60 ),3366310.514250000500,3507956.660749999800,4241608.185999999800,11115876.361000001000
FS( 61 ),3366310.514250000500,3518798.472499999700,4249761.945250000800,11134871.932000000000
FS( 62 ),3380557.192500001300,3534458.867250000100,4225300.667500000400,11140317.727250002000
FS( 63 ),3352063.836000000600,3492296.265999999800,4200839.389750000100,11045200.491750000000
FS( 64 ),3390054.978000001100,3433268.624249999400,4200839.389750000100,11024163.992000001000
FS( 65 ),3556793.879000000700,3448929.018999999900,4241608.185999999800,11247332.083999999000
FS( 66 ),3280830.444750000700,3309190.112000000200,4184531.871249999900,10774553.428000001000
FS( 67 ),3295077.123000000100,3422426.812500000000,4200839.389750000100,10918344.325250000000
FS( 68 ),3299826.015750000700,3416403.583749999300,4217146.908250000300,10933377.507750001000
FS( 69 ),3318821.586750000200,3422426.812500000000,4233454.426750000600,10974703.826000001000
FS( 70 ),3276081.552000000600,3357375.941999999800,4169130.325999999400,10802588.820000000000
FS( 71 ),3304574.908500000400,3223660.263749999900,4169130.325999999400,10697366.498250000000
FS( 72 ),3352063.836000000600,3271846.093750000000,4241608.185999999800,10865519.115750000000
FS( 73 ),3385306.085250000500,3357375.941999999800,4257915.704500000000,11000598.731750000000
FS( 74 ),3385306.085250000500,3309190.112000000200,4249761.945250000800,10944259.142500002000
FS( 75 ),3413799.441750000700,3324850.506750000200,4274223.223000000200,11012874.171500001000
FS( 76 ),3371059.407000001100,3341715.547249999800,4233454.426750000600,10946230.381000001000
FS( 77 ),3371059.407000001100,3379059.565500000000,4233454.426750000600,10983574.399250001000
FS( 78 ),3328319.372250000900,3373036.336749999300,4249761.945250000800,10951118.654250002000
FS( 79 ),3261834.873750001200,3341715.547249999800,4217146.908250000300,10820698.329250000000
FS( 80 ),3309323.801250000500,3400743.189000000200,4176378.112000000200,10886446.102250000000
FS( 81 ),3390054.978000001100,3518798.472499999700,4160976.566750000200,11069831.017250001000
FS( 82 ),3356812.728750000200,3411585.000749999700,4217146.908250000300,10985545.637750000000
