代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,12800819.380250001000
真實報酬,2800819.380250001300

夏普值報酬,0.271381938025
夏普值風險,0.078915939628
夏普值,3.438873557139

預期報酬,11660.444114777669
風險,173198.103198898690
起點值,0.067324317642
找到最佳解世代,4002
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,7
1101(0),1216(2),2301(13),2357(24),2412(27),3008(42),4904(46),
Stock#,1101(0),1216(2),2301(13),2357(24),2412(27),3008(42),4904(46),
張數,56,51,56,7,21,2,31,
分配資金,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,
剩餘資金,11434.454000000000,9261.361750000000,21528.817999999999,102774.428250000230,21038.119749999765,419635.312500000000,23511.639500000001,
FS( 1 ),1426554.453999999900,1426551.361749999900,1426568.818000000000,1426684.428250000100,1426568.119750000100,1427135.312500000000,1426571.639500000000,9986637.133749999100
FS( 2 ),1428655.377999999800,1430942.461750000000,1404740.899999999900,1396992.061000000200,1418885.154249999900,1375944.834499999900,1420363.099000000200,9876526.888499999400
FS( 3 ),1422522.635999999900,1416725.650750000000,1364041.794000000000,1380336.091250000100,1414285.597749999700,1374152.799500000000,1401845.403999999900,9773912.973249999800
FS( 4 ),1432558.031999999700,1413679.191249999900,1369617.014000000000,1416017.499250000300,1417212.588250000000,1440657.209499999900,1379006.913500000000,9868751.447750000300
FS( 5 ),1432558.031999999700,1399462.380249999700,1371847.102000000000,1382705.559750000000,1418885.154249999900,1420885.089999999900,1371908.463749999900,9798254.781999997800
FS( 6 ),1447053.603999999800,1425357.286000000100,1356236.486000000000,1389883.655500000300,1414285.597749999700,1402905.005500000000,1406474.827750000200,9842199.462500002200
FS( 7 ),1447053.603999999800,1416725.650750000000,1357909.051999999900,1392253.124000000300,1412613.031749999800,1390320.937500000000,1464188.310500000100,9881066.710499998200
FS( 8 ),1461549.176000000200,1410124.988500000000,1357909.051999999900,1392253.124000000300,1412613.031749999800,1422677.125000000000,1452769.065250000200,9909898.562500001900
FS( 9 ),1486080.143999999900,1433988.921249999900,1364041.794000000000,1420826.126500000200,1415749.092999999600,1449637.295999999900,1454929.463000000000,10025255.837749999000
FS( 10 ),1477717.314000000000,1458360.597249999900,1354006.397999999800,1408909.093750000000,1411149.536499999700,1444261.191000000100,1462027.912750000100,10016435.043250000000
FS( 11 ),1457089.000000000000,1446174.759250000100,1344528.524000000000,1396992.061000000200,1406549.979999999500,1406508.987000000000,1521901.793250000100,9979748.104500001300
FS( 12 ),1486080.143999999900,1453283.164749999800,1360139.140000000400,1439851.564750000400,1398814.362249999800,1426281.106500000000,1519432.767250000000,10083885.249500001000
FS( 13 ),1494442.974000000200,1466992.232499999900,1364041.794000000000,1456507.534500000100,1380416.136249999500,1440657.209499999900,1498754.674500000200,10101815.555250000000
FS( 14 ),1469912.006000000100,1461914.799999999800,1338395.782000000100,1401800.688250000100,1369544.457249999700,1426281.106500000000,1484866.403250000200,9952718.243249999400
FS( 15 ),1457089.000000000000,1459883.827000000000,1361811.706000000000,1432673.469000000500,1380416.136249999500,1357964.750000000000,1496594.276750000000,9946436.165000001000
FS( 16 ),1449283.692000000000,1465469.002750000000,1379652.409999999700,1416017.499250000300,1401950.423500000000,1395716.953999999900,1542579.886000000200,10050672.867500000000
FS( 17 ),1432558.031999999700,1463438.029750000000,1418678.950000000000,1468354.876999999900,1414285.597749999700,1384924.921000000100,1514803.343500000000,10097046.750999998000
FS( 18 ),1424195.201999999800,1477147.097499999900,1399165.679999999900,1473163.504250000200,1415749.092999999600,1383132.885999999900,1489495.827000000000,10062052.289749999000
FS( 19 ),1405796.976000000300,1525890.449500000100,1391360.372000000000,1504036.285000000100,1426620.772000000100,1315732.458500000200,1489495.827000000000,10058936.140000001000
FS( 20 ),1447053.603999999800,1579203.490749999900,1412546.207999999900,1506475.443750000100,1428084.267250000000,1253708.135999999900,1487335.429250000000,10114409.579000000000
FS( 21 ),1476044.747999999900,1601544.193749999900,1451572.747999999700,1603972.103500000200,1418885.154249999900,1311232.459499999900,1512642.945750000000,10375897.352749998000
FS( 22 ),1479947.401999999800,1577680.260999999900,1451572.747999999700,1575468.791250000200,1423484.710749999900,1268084.239000000100,1517272.369499999800,10293513.521499999000
FS( 23 ),1492212.885999999900,1608652.599250000000,1469413.452000000000,1615889.136250000400,1429547.762499999700,1282460.342000000200,1519432.767250000000,10417611.945249999000
