代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,12923547.131999999000
真實報酬,2923547.131999999300

夏普值報酬,0.283654713200
夏普值風險,0.067125615942
夏普值,4.225729763782

預期報酬,11508.211936244603
風險,254983.298534711210
起點值,0.045133198929
找到最佳解世代,4449
找到最佳解實驗#,1
找到最佳解次數,37

投資組合檔數,4
1326(5),2912(40),3045(41),4904(44),
Stock#,1326(5),2912(40),3045(41),4904(44),
張數,76,43,66,104,
分配資金,2500000.000000000000,2500000.000000000000,2500000.000000000000,2500000.000000000000,
剩餘資金,1364.511000000000,25699.138500000001,35352.875500000002,8775.055999999533,
FS( 1 ),2496444.510999999900,2496479.138499999900,2496492.875500000100,2496455.055999999900,9985871.581000000200
FS( 2 ),2510372.802999999800,2497104.562750000000,2456033.753500000100,2498907.245999999800,9962418.365249998900
FS( 3 ),2490700.240999999900,2485545.936999999900,2473117.820500000400,2498907.245999999800,9948271.244500000000
FS( 4 ),2448328.569000000100,2462000.588249999100,2440263.845500000300,2494765.653999999200,9845358.656749999200
FS( 5 ),2436222.376999999900,2467993.949749999700,2444863.402000000200,2540323.165999998800,9889402.894749999000
FS( 6 ),2415793.177999999800,2432889.975250000100,2444863.402000000200,2549641.747999999200,9843188.303249999900
FS( 7 ),2460434.760999999900,2441451.920249999500,2416608.983500000100,2607624.035999999400,9926119.700749998900
FS( 8 ),2470271.041999999900,2450441.962499999900,2449462.958500000200,2572420.503999999300,9942596.466999998300
FS( 9 ),2393850.705000000100,2397786.000749999200,2449462.958500000200,2540323.165999998800,9781422.830249998700
FS( 10 ),2413523.267000000000,2418334.668749999700,2440263.845500000300,2543429.359999999400,9815551.141249999400
FS( 11 ),2446058.658000000300,2418334.668749999700,2435664.289000000300,2578632.891999999500,9878690.507749998900
FS( 12 ),2490700.240999999900,2444448.600999999800,2430407.653000000400,2566208.115999999000,9931764.610999999600
FS( 13 ),2485403.781999999700,2464997.268999999900,2463261.628000000500,2610730.229999999500,10024392.908999998000
FS( 14 ),2525505.543000000100,2470990.630500000000,2467861.184500000000,2623155.005999999600,10087512.363999998000
FS( 15 ),2570147.126000000200,2470990.630500000000,2449462.958500000200,2607624.035999999400,10098224.750999998000
FS( 16 ),2555014.385999999900,2462000.588249999100,2444863.402000000200,2610730.229999999500,10072608.606249999000
FS( 17 ),2598142.694999999800,2459003.907500000700,2458662.071500000500,2641792.169999999500,10157600.844000001000
