代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,12844007.595500000000
真實報酬,2844007.595499999800

夏普值報酬,0.275700759550
夏普值風險,0.074720178712
夏普值,3.689776500837

預期報酬,11451.740810977999
風險,131278.070014099470
起點值,0.087232702383
找到最佳解世代,4969
找到最佳解實驗#,1
找到最佳解次數,49

投資組合檔數,12
1102(1),1301(3),2227(11),2317(16),2408(23),2801(28),2882(31),2885(34),2886(35),3481(43),5880(46),6505(47),
Stock#,1102(1),1301(3),2227(11),2317(16),2408(23),2801(28),2882(31),2885(34),2886(35),3481(43),5880(46),6505(47),
張數,31,11,4,10,21,55,21,76,40,76,64,9,
分配資金,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,
剩餘資金,7557.945000000000,14537.877250000000,74172.736000000004,70347.292499999996,26835.376250000001,8258.942499999999,24732.383750000001,5274.695999999884,2550.820000000117,9080.111000000001,11042.904000000000,12264.642500000000,
FS( 1 ),832157.944999999950,832167.877250000020,832252.736000000030,832247.292499999980,832185.376249999970,832158.942500000000,832182.383750000040,832154.696000000000,832150.819999999950,832160.111000000030,832162.903999999980,832164.642499999960,9986149.726749999400
FS( 2 ),828509.089999999850,835887.252250000020,834433.628999999960,831763.052500000110,839702.452249999970,841107.208750000110,836763.176750000100,836062.121999999970,824497.540000000040,824734.797000000020,834263.959999999960,841260.033499999900,10008988.313999999000
FS( 3 ),834373.026749999960,831725.748750000030,834433.628999999960,832758.627499999940,845765.503999999960,838369.377499999940,829654.771249999990,832278.936999999800,824497.540000000040,824734.797000000020,834263.959999999960,835346.317999999970,9998206.236749999200
FS( 4 ),835916.167999999950,837968.003999999840,834433.628999999960,838433.405000000030,839702.452249999970,833441.281250000000,832581.761750000060,832278.936999999800,828479.839999999850,836084.351999999960,831715.288000000060,848965.783999999990,10030004.902249999000
FS( 5 ),835916.167999999950,842129.507499999950,838097.345000000090,836541.812499999770,838657.098499999960,828513.185000000060,830700.125000000000,832278.936999999800,824497.540000000040,813385.242000000090,825343.608000000010,844664.899999999910,9990729.468500001400
FS( 6 ),839002.450499999920,845195.878499999880,832601.771000000070,847094.907499999860,842838.513500000000,838369.377499999940,827564.063750000090,828495.751999999980,822904.620000000110,798252.501999999980,831715.288000000060,848965.783999999990,10003004.908250000000
FS( 7 ),828509.089999999850,846291.011000000060,830769.913000000060,851873.667499999980,844929.221000000020,838369.377499999940,840735.521000000070,832278.936999999800,824497.540000000040,805818.872000000090,831715.288000000060,845560.917499999980,10021353.355500000000
FS( 8 ),809065.510249999820,841034.375000000000,825234.516000000060,853765.260000000010,842838.513500000000,830703.449999999950,826727.780750000030,817902.833999999920,816931.170000000040,798252.501999999980,828529.447999999970,862495.648249999970,9953485.007750000800
FS( 9 ),813386.305749999940,844210.259250000120,819738.942000000040,848090.482500000040,825485.641249999990,825775.353750000010,821710.082749999940,828495.751999999980,816931.170000000040,798252.501999999980,822794.935999999990,861689.232499999810,9926564.659750001500
FS( 10 ),804436.086499999980,847276.630250000050,817907.084000000030,854760.835000000200,827576.348750000000,833441.281250000000,826727.780750000030,821686.018999999850,815338.250000000120,794469.317000000160,828529.447999999970,879519.980749999990,9951673.061250001200
FS( 11 ),813386.305749999940,852533.266249999870,819738.942000000040,856652.427500000110,828621.702499999900,836179.112499999810,837599.459750000040,832278.936999999800,822904.620000000110,798252.501999999980,828529.447999999970,875308.698499999820,10001989.421750000000
FS( 12 ),819558.870750000000,870164.899499999940,819738.942000000040,859539.594999999860,839702.452249999970,833441.281250000000,839690.167249999940,832278.936999999800,824497.540000000040,805818.872000000090,828529.447999999970,888032.147000000000,10060997.152000001000
FS( 13 ),811843.164499999960,899404.937249999960,817907.084000000030,870092.689999999940,848901.565249999990,836179.112499999810,836763.176750000100,861787.779999999910,824497.540000000040,805818.872000000090,831715.288000000060,905056.479499999900,10149971.689749999000
FS( 14 ),809065.510249999820,896229.053000000070,803212.397000000110,877758.617499999930,846810.857749999970,836179.112499999810,833627.115500000070,861787.779999999910,830072.760000000130,828517.982000000080,831715.288000000060,909267.761749999950,10164248.235250000000
FS( 15 ),814929.446999999930,889986.797749999910,803212.397000000110,876763.042499999980,859146.031999999890,830703.449999999950,832581.761750000060,861787.779999999910,822904.620000000110,836084.351999999960,831715.288000000060,888032.147000000000,10147851.115000000000
FS( 16 ),843323.245999999930,899404.937249999960,810539.829000000030,891198.880000000000,850992.272750000000,838369.377499999940,835717.822999999970,865570.964999999730,830072.760000000130,851217.092000000180,828529.447999999970,917779.927999999960,10262720.558499997000
FS( 17 ),834373.026749999960,899404.937249999960,808707.971000000020,890203.304999999930,865209.083749999870,833441.281250000000,837599.459750000040,858004.594999999860,824497.540000000040,855000.277000000000,831715.288000000060,905056.479499999900,10243217.244250001000
FS( 18 ),839002.450499999920,898309.804750000010,806876.113000000010,888311.712499999790,858100.678249999880,830703.449999999950,840735.521000000070,858004.594999999860,818922.320000000070,839867.537000000130,828529.447999999970,900755.595499999940,10208123.225500001000
FS( 19 ),841780.104750000060,905647.192500000000,805044.255000000000,882537.377499999940,852037.626500000010,836179.112499999810,843662.511500000020,865570.964999999730,816931.170000000040,824734.797000000020,834263.959999999960,905056.479499999900,10213449.551750001000
FS( 20 ),830052.231249999950,903566.440750000070,805044.255000000000,887316.137499999950,859146.031999999890,830703.449999999950,846798.572750000050,868597.512999999920,815338.250000000120,809602.057000000030,828529.447999999970,909267.761749999950,10193966.149000000000
FS( 21 ),828509.089999999850,899404.937249999960,810539.829000000030,880645.785000000030,853919.263249999960,833441.281250000000,843662.511500000020,865570.964999999730,813347.100000000090,839867.537000000130,828529.447999999970,896544.313250000010,10193986.060500002000
FS( 22 ),819558.870750000000,895243.433750000080,801380.539000000110,861431.187499999770,835730.108000000010,830703.449999999950,832581.761750000060,858004.594999999860,811355.950000000070,843650.722000000070,828529.447999999970,879519.980749999990,10097694.046500001000
FS( 23 ),813386.305749999940,898309.804750000010,795845.141999999990,852869.242499999930,839702.452249999970,828513.185000000060,823591.719500000010,836062.121999999970,830072.760000000130,832301.167000000130,825343.608000000010,875308.698499999820,10051310.207249999000
FS( 24 ),813386.305749999940,901485.689000000010,792181.426000000090,855756.410000000030,838657.098499999960,830703.449999999950,835717.822999999970,854221.409999999800,826488.690000000060,847433.907000000010,819609.096000000020,866796.532249999930,10082441.837500002000
FS( 25 ),816472.588249999910,904552.059999999820,797716.822999999970,870092.689999999940,839702.452249999970,836179.112499999810,841780.874749999960,861787.779999999910,828479.839999999850,851217.092000000180,822794.935999999990,922080.812000000030,10192861.060750002000
FS( 26 ),823879.666249999890,912875.067000000040,801380.539000000110,865313.929999999930,842838.513500000000,838369.377499999940,842617.157750000010,861787.779999999910,850780.720000000090,855000.277000000000,831715.288000000060,930592.978249999930,10257155.294250002000
FS( 27 ),805979.227749999960,891081.930250000090,786685.851999999960,840424.554999999930,807296.485999999920,830703.449999999950,809583.979249999970,832278.936999999800,830072.760000000130,813385.242000000090,817060.423999999880,900755.595499999940,9965312.438749998800
FS( 28 ),822336.525000000020,913970.199499999990,794013.283999999990,850977.649999999790,843883.867249999890,836179.112499999810,856833.968750000000,861787.779999999910,863922.309999999940,839867.537000000130,822794.935999999990,909267.761749999950,10215838.931750000000
FS( 29 ),804436.086499999980,899404.937249999960,788517.709999999960,826984.292499999980,824440.287499999980,828513.185000000060,902829.533750000060,846655.039999999800,863922.309999999940,832301.167000000130,817060.423999999880,875308.698499999820,10110377.672000000000
FS( 30 ),802892.945249999990,900390.556500000060,786685.851999999960,826984.292499999980,823604.004499999920,828513.185000000060,947152.532750000010,854221.409999999800,877462.130000000000,817168.427000000030,813874.584000000030,856581.932750000040,10135535.852250000000
