代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,12422907.896500001000
真實報酬,2422907.896500000700

夏普值報酬,0.233590789650
夏普值風險,0.056693352432
夏普值,4.120250075721

預期報酬,7812.315715635063
風險,208785.981244076650
起點值,0.037417817370
找到最佳解世代,4139
找到最佳解實驗#,1
找到最佳解次數,44

投資組合檔數,1
2412(24),
Stock#,2412(24),
張數,117,
分配資金,10000000.000000000000,
剩餘資金,43171.709499999997,
FS( 1 ),9985831.709499999900,9985831.709499999900
FS( 2 ),9952318.843749998100,9952318.843749998100
FS( 3 ),9972120.830499999200,9972120.830499999200
FS( 4 ),9972120.830499999200,9972120.830499999200
FS( 5 ),10012889.626750000000,10012889.626750000000
FS( 6 ),9941835.438999999300,9941835.438999999300
FS( 7 ),9911550.047499999400,9911550.047499999400
FS( 8 ),9962802.248499998800,9962802.248499998800
FS( 9 ),9962802.248499998800,9962802.248499998800
FS( 10 ),9962802.248499998800,9962802.248499998800
FS( 11 ),10128207.079000000000,10128207.079000000000
FS( 12 ),10149173.888499999000,10149173.888499999000
FS( 13 ),10138690.483750001000,10138690.483750001000
FS( 14 ),10149173.888499999000,10149173.888499999000
FS( 15 ),10170140.698000001000,10170140.698000001000
FS( 16 ),10180624.102750001000,10180624.102750001000
FS( 17 ),10191107.507500000000,10191107.507500000000
FS( 18 ),10244689.354000000000,10244689.354000000000
FS( 19 ),10191107.507500000000,10191107.507500000000
FS( 20 ),10244689.354000000000,10244689.354000000000
FS( 21 ),10298271.200500000000,10298271.200500000000
FS( 22 ),10456687.094500002000,10456687.094500002000
FS( 23 ),10435720.284999998000,10435720.284999998000
FS( 24 ),10553367.382749999000,10553367.382749999000
FS( 25 ),10595301.001750000000,10595301.001750000000
FS( 26 ),10520752.345750000000,10520752.345750000000
FS( 27 ),10456687.094500002000,10456687.094500002000
FS( 28 ),10478818.726749999000,10478818.726749999000
FS( 29 ),10531235.750500001000,10531235.750500001000
FS( 30 ),10563850.787499998000,10563850.787499998000
FS( 31 ),10499785.536250001000,10499785.536250001000
FS( 32 ),10404270.070750000000,10404270.070750000000
FS( 33 ),10393786.666000001000,10393786.666000001000
FS( 34 ),10499785.536250001000,10499785.536250001000
FS( 35 ),10499785.536250001000,10499785.536250001000
FS( 36 ),10446203.689749999000,10446203.689749999000
FS( 37 ),10404270.070750000000,10404270.070750000000
FS( 38 ),10149173.888499999000,10149173.888499999000
FS( 39 ),10170140.698000001000,10170140.698000001000
FS( 40 ),10149173.888499999000,10149173.888499999000
FS( 41 ),10255172.758749999000,10255172.758749999000
FS( 42 ),10255172.758749999000,10255172.758749999000
FS( 43 ),10541719.155250000000,10541719.155250000000
FS( 44 ),10393786.666000001000,10393786.666000001000
FS( 45 ),10350688.224250000000,10350688.224250000000
FS( 46 ),10383303.261250000000,10383303.261250000000
FS( 47 ),10404270.070750000000,10404270.070750000000
FS( 48 ),10404270.070750000000,10404270.070750000000
FS( 49 ),10298271.200500000000,10298271.200500000000
FS( 50 ),10404270.070750000000,10404270.070750000000
FS( 51 ),10404270.070750000000,10404270.070750000000
FS( 52 ),10456687.094500002000,10456687.094500002000
FS( 53 ),10456687.094500002000,10456687.094500002000
FS( 54 ),10499785.536250001000,10499785.536250001000
FS( 55 ),10499785.536250001000,10499785.536250001000
FS( 56 ),10510268.941000000000,10510268.941000000000
FS( 57 ),10510268.941000000000,10510268.941000000000
FS( 58 ),10404270.070750000000,10404270.070750000000
FS( 59 ),10489302.131500002000,10489302.131500002000
FS( 60 ),10425236.880249999000,10425236.880249999000
FS( 61 ),10468335.322000001000,10468335.322000001000
FS( 62 ),10456687.094500002000,10456687.094500002000
FS( 63 ),10541719.155250000000,10541719.155250000000
FS( 64 ),10531235.750500001000,10531235.750500001000
FS( 65 ),10563850.787499998000,10563850.787499998000
FS( 66 ),10520752.345750000000,10520752.345750000000
FS( 67 ),10520752.345750000000,10520752.345750000000
FS( 68 ),10510268.941000000000,10510268.941000000000
FS( 69 ),10510268.941000000000,10510268.941000000000
FS( 70 ),10563850.787499998000,10563850.787499998000
FS( 71 ),10553367.382749999000,10553367.382749999000
FS( 72 ),10553367.382749999000,10553367.382749999000
FS( 73 ),10595301.001750000000,10595301.001750000000
FS( 74 ),10531235.750500001000,10531235.750500001000
FS( 75 ),10648882.848250000000,10648882.848250000000
FS( 76 ),10669849.657749999000,10669849.657749999000
FS( 77 ),10648882.848250000000,10648882.848250000000
FS( 78 ),10659366.252999999000,10659366.252999999000
FS( 79 ),10669849.657749999000,10669849.657749999000
FS( 80 ),10722266.681500003000,10722266.681500003000
FS( 81 ),10722266.681500003000,10722266.681500003000
FS( 82 ),10722266.681500003000,10722266.681500003000
FS( 83 ),10722266.681500003000,10722266.681500003000
FS( 84 ),10637234.620750001000,10637234.620750001000
FS( 85 ),10722266.681500003000,10722266.681500003000
FS( 86 ),10669849.657749999000,10669849.657749999000
FS( 87 ),10669849.657749999000,10669849.657749999000
FS( 88 ),10669849.657749999000,10669849.657749999000
FS( 89 ),10563850.787499998000,10563850.787499998000
FS( 90 ),10584817.596999999000,10584817.596999999000
FS( 91 ),10510268.941000000000,10510268.941000000000
FS( 92 ),10510268.941000000000,10510268.941000000000
FS( 93 ),10563850.787499998000,10563850.787499998000
FS( 94 ),10468335.322000001000,10468335.322000001000
FS( 95 ),10383303.261250000000,10383303.261250000000
FS( 96 ),10616267.811250001000,10616267.811250001000
FS( 97 ),10541719.155250000000,10541719.155250000000
FS( 98 ),10669849.657749999000,10669849.657749999000
FS( 99 ),10595301.001750000000,10595301.001750000000
FS( 100 ),10605784.406500002000,10605784.406500002000
FS( 101 ),10563850.787499998000,10563850.787499998000
FS( 102 ),10563850.787499998000,10563850.787499998000
FS( 103 ),10595301.001750000000,10595301.001750000000
FS( 104 ),10563850.787499998000,10563850.787499998000
FS( 105 ),10648882.848250000000,10648882.848250000000
FS( 106 ),10659366.252999999000,10659366.252999999000
FS( 107 ),10574334.192250000000,10574334.192250000000
FS( 108 ),10531235.750500001000,10531235.750500001000
FS( 109 ),10563850.787499998000,10563850.787499998000
FS( 110 ),10563850.787499998000,10563850.787499998000
FS( 111 ),10520752.345750000000,10520752.345750000000
FS( 112 ),10499785.536250001000,10499785.536250001000
FS( 113 ),10510268.941000000000,10510268.941000000000
FS( 114 ),10456687.094500002000,10456687.094500002000
FS( 115 ),10435720.284999998000,10435720.284999998000
FS( 116 ),10456687.094500002000,10456687.094500002000
FS( 117 ),10456687.094500002000,10456687.094500002000
FS( 118 ),10499785.536250001000,10499785.536250001000
FS( 119 ),10510268.941000000000,10510268.941000000000
FS( 120 ),10478818.726749999000,10478818.726749999000
FS( 121 ),10605784.406500002000,10605784.406500002000
FS( 122 ),10605784.406500002000,10605784.406500002000
FS( 123 ),10605784.406500002000,10605784.406500002000
FS( 124 ),10616267.811250001000,10616267.811250001000
FS( 125 ),10616267.811250001000,10616267.811250001000
FS( 126 ),10563850.787499998000,10563850.787499998000
FS( 127 ),10574334.192250000000,10574334.192250000000
FS( 128 ),10574334.192250000000,10574334.192250000000
FS( 129 ),10478818.726749999000,10478818.726749999000
FS( 130 ),10541719.155250000000,10541719.155250000000
FS( 131 ),10531235.750500001000,10531235.750500001000
FS( 132 ),10584817.596999999000,10584817.596999999000
FS( 133 ),10605784.406500002000,10605784.406500002000
FS( 134 ),10669849.657749999000,10669849.657749999000
FS( 135 ),10775848.527999999000,10775848.527999999000
FS( 136 ),10829430.374499999000,10829430.374499999000
FS( 137 ),10935429.244750001000,10935429.244750001000
FS( 138 ),10775848.527999999000,10775848.527999999000
FS( 139 ),10669849.657749999000,10669849.657749999000
FS( 140 ),10829430.374499999000,10829430.374499999000
FS( 141 ),10829430.374499999000,10829430.374499999000
FS( 142 ),10722266.681500003000,10722266.681500003000
FS( 143 ),10722266.681500003000,10722266.681500003000
FS( 144 ),10881847.398249999000,10881847.398249999000
FS( 145 ),10881847.398249999000,10881847.398249999000
FS( 146 ),10881847.398249999000,10881847.398249999000
FS( 147 ),10935429.244750001000,10935429.244750001000
FS( 148 ),10989011.091249999000,10989011.091249999000
FS( 149 ),10935429.244750001000,10935429.244750001000
FS( 150 ),10989011.091249999000,10989011.091249999000
FS( 151 ),10989011.091249999000,10989011.091249999000
FS( 152 ),10989011.091249999000,10989011.091249999000
FS( 153 ),11147426.985250000000,11147426.985250000000
FS( 154 ),11201008.831750000000,11201008.831750000000
FS( 155 ),11254590.678250000000,11254590.678250000000
FS( 156 ),11147426.985250000000,11147426.985250000000
FS( 157 ),11201008.831750000000,11201008.831750000000
FS( 158 ),11095009.961499998000,11095009.961499998000
FS( 159 ),11095009.961499998000,11095009.961499998000
FS( 160 ),10989011.091249999000,10989011.091249999000
FS( 161 ),11147426.985250000000,11147426.985250000000
FS( 162 ),11147426.985250000000,11147426.985250000000
FS( 163 ),11254590.678250000000,11254590.678250000000
FS( 164 ),11254590.678250000000,11254590.678250000000
FS( 165 ),11307007.702000001000,11307007.702000001000
FS( 166 ),11307007.702000001000,11307007.702000001000
FS( 167 ),11307007.702000001000,11307007.702000001000
FS( 168 ),11201008.831750000000,11201008.831750000000
FS( 169 ),11254590.678250000000,11254590.678250000000
FS( 170 ),11307007.702000001000,11307007.702000001000
FS( 171 ),11307007.702000001000,11307007.702000001000
FS( 172 ),11307007.702000001000,11307007.702000001000
FS( 173 ),11413006.572250001000,11413006.572250001000
FS( 174 ),11466588.418749997000,11466588.418749997000
FS( 175 ),11520170.265250001000,11520170.265250001000
FS( 176 ),11572587.288999999000,11572587.288999999000
FS( 177 ),11520170.265250001000,11520170.265250001000
FS( 178 ),11626169.135500001000,11626169.135500001000
FS( 179 ),11626169.135500001000,11626169.135500001000
FS( 180 ),11732168.005749999000,11732168.005749999000
FS( 181 ),11785749.852249999000,11785749.852249999000
FS( 182 ),11679750.982000001000,11679750.982000001000
FS( 183 ),11626169.135500001000,11626169.135500001000
FS( 184 ),11785749.852249999000,11785749.852249999000
FS( 185 ),11679750.982000001000,11679750.982000001000
FS( 186 ),11679750.982000001000,11679750.982000001000
FS( 187 ),11413006.572250001000,11413006.572250001000
FS( 188 ),11520170.265250001000,11520170.265250001000
FS( 189 ),11572587.288999999000,11572587.288999999000
FS( 190 ),11679750.982000001000,11679750.982000001000
FS( 191 ),11679750.982000001000,11679750.982000001000
FS( 192 ),11732168.005749999000,11732168.005749999000
FS( 193 ),11679750.982000001000,11679750.982000001000
FS( 194 ),11785749.852249999000,11785749.852249999000
FS( 195 ),11838166.876000000000,11838166.876000000000
FS( 196 ),11679750.982000001000,11679750.982000001000
FS( 197 ),11626169.135500001000,11626169.135500001000
FS( 198 ),11732168.005749999000,11732168.005749999000
FS( 199 ),11785749.852249999000,11785749.852249999000
FS( 200 ),11891748.722499998000,11891748.722499998000
FS( 201 ),11732168.005749999000,11732168.005749999000
FS( 202 ),11732168.005749999000,11732168.005749999000
FS( 203 ),11626169.135500001000,11626169.135500001000
FS( 204 ),11626169.135500001000,11626169.135500001000
FS( 205 ),11785749.852249999000,11785749.852249999000
