代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,13831116.739000000000
真實報酬,3831116.739000000100

夏普值報酬,0.374411673900
夏普值風險,0.101477649068
夏普值,3.689597436868

預期報酬,15814.924839302039
風險,316052.984789444130
起點值,0.050038840322
找到最佳解世代,3455
找到最佳解實驗#,2
找到最佳解次數,19

投資組合檔數,6
2002(7),2311(15),2317(16),2330(19),2354(20),4938(46),
Stock#,2002(7),2311(15),2317(16),2330(19),2354(20),4938(46),
張數,72,71,30,18,28,53,
分配資金,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,
剩餘資金,11911.330000000233,15696.716500000000,51267.332499999764,3980.044000000000,31379.031999999999,15486.417250000000,
FS( 1 ),1664311.330000000100,1664316.716500000100,1664367.332500000000,1664300.044000000000,1664339.031999999900,1664316.417249999900,9985954.872250000000
FS( 2 ),1644096.808000000200,1621678.660500000000,1637218.307499999900,1625413.312000000200,1640945.046000000100,1643828.975750000000,9813185.109750000800
FS( 3 ),1638362.296000000300,1604007.204250000000,1629452.822499999800,1625413.312000000200,1622546.819999999800,1646467.249499999900,9766253.704250000400
FS( 4 ),1625459.644000000300,1604007.204250000000,1629452.822499999800,1617349.154499999900,1629515.845000000000,1663352.201500000000,9769140.871749999000
FS( 5 ),1625459.644000000300,1669038.163250000000,1639309.014999999900,1649068.173999999900,1643453.895000000000,1725615.461999999800,9951948.353249998800
FS( 6 ),1622592.388000000300,1636522.683750000100,1659320.072499999800,1601579.246499999900,1661852.121000000000,1689207.284249999800,9871077.796000000100
FS( 7 ),1622592.388000000300,1645711.841000000000,1673357.680000000200,1617349.154499999900,1657113.183999999900,1691317.903249999700,9907446.150750000000
FS( 8 ),1638362.296000000300,1642177.549750000200,1685304.579999999800,1633298.266000000100,1610838.858000000000,1689207.284249999800,9899192.834000000700
FS( 9 ),1662733.972000000300,1657021.573000000100,1695160.772499999700,1641183.220000000000,1615577.794999999900,1710313.474250000000,9981994.806749999500
FS( 10 ),1669185.298000000400,1740430.846500000000,1715171.829999999800,1664838.082000000200,1645683.983000000000,1742500.413999999600,10177814.453500001000
FS( 11 ),1669185.298000000400,1728414.256250000100,1727118.730000000000,1696557.101500000100,1666591.058000000000,1764134.258750000000,10252004.702500001000
FS( 12 ),1653415.390000000400,1716397.666000000000,1725326.694999999800,1704442.055500000000,1652653.007999999900,1742500.413999999600,10194739.228499999000
FS( 13 ),1666318.042000000100,1722759.390249999900,1753103.237499999600,1704442.055500000000,1654883.095999999900,1836950.614250000300,10338460.435500000000
FS( 14 ),1666318.042000000100,1705087.933999999900,1739065.629999999900,1688672.147500000000,1647914.071000000000,1794210.579500000000,10241272.403999999000
FS( 15 ),1666318.042000000100,1719225.099000000400,1733092.180000000200,1704442.055500000000,1640945.046000000100,1772576.734749999800,10236603.157249998000
FS( 16 ),1666318.042000000100,1701553.642750000300,1727118.730000000000,1704442.055500000000,1629515.845000000000,1764134.258750000000,10193086.574000001000
FS( 17 ),1672052.554000000200,1705087.933999999900,1749220.494999999900,1712327.009499999900,1631745.933000000000,1753581.163750000100,10224019.089250000000
FS( 18 ),1625459.644000000300,1678227.320500000100,1747129.787499999900,1664838.082000000200,1610838.858000000000,1723504.842999999900,10050002.535000000000
FS( 19 ),1573132.222000000300,1628040.384750000000,1675149.714999999900,1593694.292500000000,1564564.531999999900,1646467.249499999900,9681052.395750001100
FS( 20 ),1588902.130000000400,1616023.794500000100,1687395.287499999900,1617349.154499999900,1571533.556999999800,1661241.582500000300,9742449.506000001000
FS( 21 ),1601087.968000000600,1698726.209750000200,1677240.422499999400,1649068.173999999900,1589931.783000000100,1684986.046249999900,9901044.603499999300
FS( 22 ),1610406.550000000500,1743258.279500000200,1683213.872499999600,1633298.266000000100,1592440.632000000000,1678126.534499999800,9940748.134500000600
FS( 23 ),1619725.132000000400,1763757.168750000200,1657229.365000000000,1656953.128000000000,1592440.632000000000,1703981.617249999900,9994091.043000001500
FS( 24 ),1622592.388000000300,1743258.279500000200,1695160.772499999700,1664838.082000000200,1599409.656999999900,1714534.712250000100,10039797.891250001000
FS( 25 ),1603955.224000000400,1770118.893000000200,1703224.930000000200,1664838.082000000200,1601639.744999999900,1708202.855250000000,10051983.729250001000
FS( 26 ),1625459.644000000300,1763757.168750000200,1719353.244999999900,1704442.055500000000,1592440.632000000000,1717172.986000000000,10122629.731249999000
FS( 27 ),1613273.806000000300,1763757.168750000200,1719353.244999999900,1720211.963499999800,1578502.581999999900,1736168.557000000000,10131271.322249999000
FS( 28 ),1631910.970000000200,1793445.215249999900,1725326.694999999800,1712327.009499999900,1601639.744999999900,1729836.700000000000,10194490.334749999000
FS( 29 ),1629043.714000000400,1793445.215249999900,1729209.437499999800,1712327.009499999900,1613347.706999999900,1727726.081000000200,10205103.164249999000
FS( 30 ),1601087.968000000600,1763757.168750000200,1705315.637499999700,1688672.147500000000,1610838.858000000000,1721394.223999999900,10091070.003750000000
FS( 31 ),1613273.806000000300,1793445.215249999900,1723235.987499999600,1704442.055500000000,1617807.882999999900,1731947.319000000100,10184156.266249999000
FS( 32 ),1606822.480000000200,1793445.215249999900,1703224.930000000200,1696557.101500000100,1615577.794999999900,1766244.877749999800,10181876.399499999000
FS( 33 ),1601087.968000000600,1770118.893000000200,1705315.637499999700,1712327.009499999900,1606378.681999999800,1734057.938000000100,10129290.127999999000
FS( 34 ),1594636.642000000000,1793445.215249999900,1721145.279999999800,1704442.055500000000,1603869.832999999900,1742500.413999999600,10160043.439749999000
FS( 35 ),1603955.224000000400,1793445.215249999900,1729209.437499999800,1712327.009499999900,1608608.770000000000,1759913.020749999900,10207462.676999999000
FS( 36 ),1598220.712000000300,1793445.215249999900,1711289.087499999700,1712327.009499999900,1599409.656999999900,1764134.258750000000,10178829.940000001000
FS( 37 ),1585318.060000000100,1767291.460000000200,1705315.637499999700,1704442.055500000000,1601639.744999999900,1748832.271000000200,10112843.229000000000
FS( 38 ),1582450.804000000200,1790617.782250000200,1709198.379999999900,1744046.029000000100,1608608.770000000000,1785240.448749999700,10220166.214000002000
FS( 39 ),1594636.642000000000,1808289.238500000200,1737273.594999999700,1791355.753000000000,1675790.171000000100,1794210.579500000000,10401559.978999998000
FS( 40 ),1606822.480000000200,1932696.290500000100,1743247.044999999700,1815189.818499999800,1687219.371999999700,1787878.722500000100,10573057.728500001000
FS( 41 ),1588902.130000000400,1882509.354749999900,1741156.337499999700,1791355.753000000000,1694188.396999999900,1778908.591749999900,10477024.563999999000
FS( 42 ),1606822.480000000200,1900180.811000000000,1733092.180000000200,1807304.864499999900,1657113.183999999900,1772576.734749999800,10477094.254250001000
FS( 43 ),1594636.642000000000,1900180.811000000000,1743247.044999999700,1791355.753000000000,1673560.082999999900,1792099.960499999800,10495084.294500001000
FS( 44 ),1601087.968000000600,1927041.424500000000,1771023.587499999700,1846729.634499999900,1703666.270999999900,1802653.055499999800,10652205.941000000000
