代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11481813.780499998000
真實報酬,1481813.780499998500

夏普值報酬,0.139481378050
夏普值風險,0.053132414856
夏普值,2.625165417886

預期報酬,7692.237211150302
風險,194346.014239742010
起點值,0.039580113033
找到最佳解世代,4810
找到最佳解實驗#,1
找到最佳解次數,39

投資組合檔數,6
1303(4),2002(8),2357(21),2412(24),3045(40),4904(44),
Stock#,1303(4),2002(8),2357(21),2412(24),3045(40),4904(44),
張數,32,72,13,27,34,53,
FS( 27 ),1780993.687999999800,1633285.630000000100,1764746.281000000000,1767207.742750000000,1757488.865500000100,1675488.260750000100,10379214.467999998000
FS( 28 ),1800108.728000000100,1651205.980000000200,1761381.237500000000,1810485.387999999800,1762566.298000000200,1675488.260750000100,10461239.892250000000
FS( 29 ),1773984.840000000100,1664108.632000000000,1847836.970499999800,1801346.009500000400,1778137.091000000000,1673905.296499999900,10539322.839500001000
FS( 30 ),1757418.472000000100,1651205.980000000200,1820140.074000000000,1776347.121249999900,1767643.730500000300,1665990.475250000100,10438749.853000000000
FS( 31 ),1726197.240000000000,1639020.142000000000,1823634.542250000200,1753498.675000000000,1770351.694500000000,1668101.094250000100,10380807.388000000000
FS( 32 ),1719188.392000000000,1626117.490000000000,1854696.482249999900,1758068.364250000100,1741918.072500000200,1638024.773499999900,10338017.574500000000
FS( 33 ),1752639.711999999800,1636152.886000000200,1858190.950500000300,1762638.053499999900,1757488.865500000100,1651216.142250000000,10418330.609749999000
FS( 34 ),1721418.480000000000,1631135.188000000100,1840848.034000000200,1758068.364250000100,1752411.433000000000,1626944.023749999900,10330829.523000000000
FS( 35 ),1702303.440000000200,1631135.188000000100,1826999.585750000100,1748928.985750000200,1752411.433000000000,1640135.392499999800,10301918.025000000000
FS( 36 ),1697524.679999999900,1636152.886000000200,1833988.522249999900,1776347.121249999900,1798785.316500000000,1632748.225999999600,10375550.752000000000
FS( 37 ),1697524.679999999900,1639020.142000000000,1861555.993999999900,1771777.432000000300,1775429.127000000100,1626944.023749999900,10372255.398750000000
FS( 38 ),1685737.071999999900,1633285.630000000100,1844342.502250000100,1769358.184750000000,1752411.433000000000,1624833.404750000000,10309972.226750001000
FS( 39 ),1690515.832000000200,1633285.630000000100,1899606.870500000000,1758068.364250000100,1752411.433000000000,1626944.023749999900,10360836.153500000000
FS( 40 ),1671400.791999999900,1636152.886000000200,1934292.703499999800,1751079.427750000000,1747334.000500000100,1626944.023749999900,10367207.833500000000
FS( 41 ),1661843.271999999900,1608197.139999999900,2020748.436500000100,1728230.981500000200,1749703.469000000000,1606365.488499999500,10375092.787500000000
FS( 42 ),1645276.903999999900,1613214.838000000000,1986062.603500000000,1739789.607249999900,1760196.829500000000,1623250.440499999800,10367795.222749999000
FS( 43 ),1642728.232000000100,1613214.838000000000,1934292.703499999800,1748928.985750000200,1762566.298000000200,1623250.440499999800,10324985.497750001000
FS( 44 ),1678409.640000000100,1613214.838000000000,1948011.727000000000,1753498.675000000000,1765274.262000000100,1621139.821499999800,10379552.963500001000
FS( 45 ),1680958.311999999900,1620382.977999999700,1975708.623500000200,1755649.117000000300,1754780.901500000200,1624833.404750000000,10412317.336750001000
FS( 46 ),1685737.071999999900,1620382.977999999700,1965354.643500000000,1744359.296500000200,1747334.000500000100,1621139.821499999800,10384311.811999999000
FS( 47 ),1709630.872000000000,1631135.188000000100,2093355.721250000200,1737370.360000000100,1754780.901500000200,1621139.821499999800,10547416.864250001000
FS( 48 ),1714409.632000000000,1633285.630000000100,2055304.844749999900,1737370.360000000100,1747334.000500000100,1619556.857249999700,10507265.324500000000
FS( 49 ),1709630.872000000000,1636152.886000000200,2048315.908250000100,1741940.049250000200,1765274.262000000100,1608476.107500000200,10509794.085000001000
FS( 50 ),1723967.152000000000,1651205.980000000200,2034467.460000000000,1746509.738500000000,1773059.658500000100,1604254.869500000000,10533468.858500000000
FS( 51 ),1711860.960000000000,1649055.538000000200,2069153.293000000300,1737370.360000000100,1757488.865500000100,1604254.869500000000,10529187.886000000000
FS( 52 ),1697524.679999999900,1639020.142000000000,2079507.273000000000,1728230.981500000200,1741918.072500000200,1579982.750999999700,10466187.900000000000
FS( 53 ),1702303.440000000200,1646188.281999999900,2037961.928250000100,1714521.913750000100,1752411.433000000000,1571012.620249999900,10424403.617249999000
FS( 54 ),1738303.432000000000,1654073.236000000300,2031102.416500000100,1703232.093249999900,1744626.036499999700,1576289.167750000000,10447630.381999999000
FS( 55 ),1726197.240000000000,1654073.236000000300,2010265.031750000100,1723661.292249999900,1749703.469000000000,1567319.037000000000,10431223.306000002000
FS( 56 ),1726197.240000000000,1666975.888000000000,2072518.336500000000,1760218.806250000100,1762566.298000000200,1583676.334249999800,10572156.902999999000
FS( 57 ),1716639.720000000000,1682028.982000000100,2034467.460000000000,1748928.985750000200,1765274.262000000100,1585786.953249999800,10533130.363000000000
FS( 58 ),1728745.911999999800,1694931.634000000100,2031102.416500000100,1753498.675000000000,1762566.298000000200,1585786.953249999800,10556635.888750000000
FS( 59 ),1721418.480000000000,1692781.192000000000,2041456.396500000300,1758068.364250000100,1760196.829500000000,1596867.702999999700,10570792.965250002000
FS( 60 ),1728745.911999999800,1684896.238000000100,2051810.376500000000,1762638.053499999900,1762566.298000000200,1596867.702999999700,10587528.581000000000
FS( 61 ),1726197.240000000000,1687763.493999999900,2027607.948250000100,1767207.742750000000,1762566.298000000200,1596867.702999999700,10568214.426000001000
FS( 62 ),1740533.519999999800,1694931.634000000100,2024113.480000000000,1771777.432000000300,1767643.730500000300,1606365.488499999500,10605369.284999998000
FS( 63 ),1738303.432000000000,1692781.192000000000,2034467.460000000000,1767207.742750000000,1775429.127000000100,1602671.905250000100,10610864.858999999000
FS( 64 ),1735754.760000000000,1689913.936000000200,1996546.008250000000,1758068.364250000100,1780506.559500000200,1598978.321999999900,10559771.950000001000
FS( 65 ),1733524.672000000000,1697798.889999999900,1999911.051749999900,1751079.427750000000,1803862.748999999800,1585786.953249999800,10571967.743750000000
FS( 66 ),1757418.472000000100,1723604.193999999900,2027607.948250000100,1751079.427750000000,1798785.316500000000,1596867.702999999700,10655367.061500000000
FS( 67 ),1754869.799999999800,1756577.638000000000,1996546.008250000000,1739789.607249999900,1790999.919999999900,1589480.536499999900,10628267.510000000000
FS( 68 ),1750091.040000000000,1744391.800000000000,2006899.988250000200,1732800.670750000000,1780506.559500000200,1593174.119749999600,10607868.178250000000
FS( 69 ),1728745.911999999800,1723604.193999999900,1916949.786999999800,1726080.539500000200,1757488.865500000100,1578399.786750000200,10431273.084749999000
FS( 70 ),1738303.432000000000,1723604.193999999900,1896241.827000000000,1728230.981500000200,1765274.262000000100,1579982.750999999700,10431641.447500000000
FS( 71 ),1723967.152000000000,1694931.634000000100,1961860.175250000100,1728230.981500000200,1754780.901500000200,1579982.750999999700,10443757.595250001000
FS( 72 ),1728745.911999999800,1712851.984000000200,1958495.131750000200,1728230.981500000200,1749703.469000000000,1585786.953249999800,10463818.431500001000
FS( 73 ),1752639.711999999800,1728621.892000000000,1944646.683500000000,1728230.981500000200,1767643.730500000300,1589480.536499999900,10511267.535999998000
FS( 74 ),1754869.799999999800,1718586.495999999800,1923809.298749999800,1728230.981500000200,1754780.901500000200,1585786.953249999800,10466068.431000000000
FS( 75 ),1754869.799999999800,1728621.892000000000,1910090.275249999900,1728230.981500000200,1749703.469000000000,1579982.750999999700,10451503.168750001000
FS( 76 ),1761878.648000000000,1718586.495999999800,1958495.131750000200,1728230.981500000200,1749703.469000000000,1600561.286249999900,10517460.012499999000
FS( 77 ),1771436.168000000100,1707834.286000000300,1910090.275249999900,1728230.981500000200,1744626.036499999700,1606365.488499999500,10468587.235749999000
FS( 78 ),1807436.159999999900,1702816.588000000000,1927303.767000000200,1728230.981500000200,1762566.298000000200,1610059.071749999700,10538416.866250001000
FS( 79 ),1883577.736000000000,1712851.984000000200,1937657.747000000200,1728230.981500000200,1773059.658500000100,1613752.654999999800,10649134.762000000000
FS( 80 ),1883577.736000000000,1705683.844000000000,1930798.235250000100,1728230.981500000200,1767643.730500000300,1615863.274000000000,10631801.801250000000
FS( 81 ),1869241.456000000000,1702816.588000000000,1896241.827000000000,1728230.981500000200,1765274.262000000100,1617446.238249999900,10579255.352750000000
FS( 82 ),1883577.736000000000,1697798.889999999900,1896241.827000000000,1728230.981500000200,1780506.559500000200,1617446.238249999900,10603806.232249999000
FS( 83 ),1900462.687999999800,1692781.192000000000,1923809.298749999800,1734413.502250000100,1767643.730500000300,1632748.225999999600,10651862.637499999000
FS( 84 ),1905241.448000000100,1718586.495999999800,1930798.235250000100,1725005.318500000100,1773059.658500000100,1623250.440499999800,10675945.596750000000
FS( 85 ),1907471.536000000100,1723604.193999999900,1903101.338750000100,1725005.318500000100,1767643.730500000300,1640135.392499999800,10666965.510250000000
FS( 86 ),1943471.528000000200,1738657.288000000200,1923809.298749999800,1734413.502250000100,1767643.730500000300,1641718.356750000000,10749717.704250000000
FS( 87 ),2076958.223999999900,1795285.594000000000,1923809.298749999800,1709952.224500000000,1775429.127000000100,1647522.558999999900,10928961.027250001000
FS( 88 ),2043506.903999999900,1782382.942000000000,1892747.358750000400,1717478.771500000000,1785922.487500000000,1647522.558999999900,10869565.022750001000
FS( 89 ),1964816.656000000000,1749409.497999999900,1820140.074000000000,1698662.404000000100,1767643.730500000300,1579982.750999999700,10580659.113500001000
FS( 90 ),1924356.487999999900,1720736.938000000100,1712846.956250000000,1687372.583499999900,1721269.847000000100,1593174.119749999600,10359760.932500001000
FS( 91 ),1960037.895999999900,1728621.892000000000,1823634.542250000200,1702425.677500000000,1713822.946000000000,1596867.702999999700,10525414.656749999000
FS( 92 ),2019613.103999999800,1728621.892000000000,1861555.993999999900,1689254.220250000000,1708407.018000000400,1587897.572250000000,10595353.800500000000
FS( 93 ),2038728.144000000100,1723604.193999999900,1837353.565750000300,1700544.040750000200,1711114.982000000100,1604254.869500000000,10615603.796000002000
FS( 94 ),2069630.791999999700,1702816.588000000000,1813151.137500000200,1693017.493750000100,1682681.360000000100,1593174.119749999600,10554475.491000000000
FS( 95 ),2103082.112000000200,1731489.148000000000,1844342.502250000100,1706188.950999999900,1718900.378500000100,1589480.536499999900,10693487.628249999000
FS( 96 ),2103082.112000000200,1720736.938000000100,1851202.014000000000,1706188.950999999900,1729055.243500000300,1604254.869500000000,10714524.128000000000
FS( 97 ),2103082.112000000200,1707834.286000000300,1840848.034000000200,1702425.677500000000,1734132.676000000200,1579982.750999999700,10668309.536500001000
FS( 98 ),2043506.903999999900,1725754.636000000200,1840848.034000000200,1706188.950999999900,1716192.414500000200,1596867.702999999700,10629362.642500000000
FS( 99 ),2057843.183999999900,1728621.892000000000,1892747.358750000400,1709952.224500000000,1744626.036499999700,1604254.869500000000,10738049.565250000000
FS( 100 ),2067400.703999999900,1723604.193999999900,1972343.579999999800,1713715.498000000100,1716192.414500000200,1604254.869500000000,10797515.260000000000
FS( 101 ),2043506.903999999900,1746542.242000000100,2020748.436500000100,1723123.681750000000,1734132.676000000200,1610059.071749999700,10878117.012000000000
FS( 102 ),1943471.528000000200,1733639.589999999900,1965354.643500000000,1708070.587750000200,1739548.604000000100,1602671.905250000100,10692760.858500000000
FS( 103 ),2031719.295999999900,1759444.893999999900,1968849.111750000200,1725005.318500000100,1767643.730500000300,1612169.690749999800,10864836.041499998000
FS( 104 ),2057843.183999999900,1749409.497999999900,1972343.579999999800,1730650.228750000200,1754780.901500000200,1612169.690749999800,10877201.082999999000
FS( 105 ),2017383.015999999800,1749409.497999999900,1941152.215250000100,1721242.044999999900,1760196.829500000000,1612169.690749999800,10801557.294499999000
FS( 106 ),2019613.103999999800,1744391.800000000000,1916949.786999999800,1730650.228750000200,1765274.262000000100,1615863.274000000000,10792746.455750000000
FS( 107 ),2007825.496000000000,1738657.288000000200,1906595.807000000300,1717478.771500000000,1762566.298000000200,1608476.107500000200,10741603.767999999000
FS( 108 ),1955259.136000000200,1725754.636000000200,1896241.827000000000,1713715.498000000100,1741918.072500000200,1612169.690749999800,10645062.860250000000
FS( 109 ),1955259.136000000200,1718586.495999999800,1861555.993999999900,1717478.771500000000,1734132.676000000200,1615863.274000000000,10602880.347500000000
FS( 110 ),1990940.544000000000,1767329.848000000000,1851202.014000000000,1719360.408250000100,1744626.036499999700,1613752.654999999800,10687215.505749999000
FS( 111 ),1960037.895999999900,1767329.848000000000,1820140.074000000000,1713715.498000000100,1754780.901500000200,1596867.702999999700,10612875.920499999000
FS( 112 ),2024391.864000000100,1769480.290000000000,1806291.625750000400,1715597.134750000000,1741918.072500000200,1600561.286249999900,10658244.273250002000
FS( 113 ),2038728.144000000100,1767329.848000000000,1806291.625750000400,1704307.314250000100,1757488.865500000100,1608476.107500000200,10682625.904999999000
FS( 114 ),2048285.664000000100,1775214.801999999900,1861555.993999999900,1700544.040750000200,1744626.036499999700,1626944.023749999900,10757174.560999999000
FS( 115 ),2057843.183999999900,1764462.592000000200,1854696.482249999900,1706188.950999999900,1747334.000500000100,1629054.642749999900,10759583.852500001000
FS( 116 ),2046055.575999999900,1769480.290000000000,1816645.605749999900,1719360.408250000100,1752411.433000000000,1623250.440499999800,10727207.753500000000
FS( 117 ),2050515.752000000100,1780232.500000000000,1847836.970499999800,1730650.228750000200,1760196.829500000000,1621139.821499999800,10790576.102249999000
FS( 118 ),2026940.536000000100,1780232.500000000000,1875404.442250000300,1734413.502250000100,1757488.865500000100,1604254.869500000000,10778738.715500001000
FS( 119 ),2017383.015999999800,1782382.942000000000,1865050.462250000100,1730650.228750000200,1773059.658500000100,1615863.274000000000,10784393.581500001000
FS( 120 ),2038728.144000000100,1780232.500000000000,1764746.281000000000,1741940.049250000200,1785922.487500000000,1623250.440499999800,10734823.902250001000
FS( 121 ),2057843.183999999900,1790267.895999999700,1778594.729250000100,1747584.959500000100,1788291.956000000500,1664407.510999999900,10826994.235750001000
FS( 122 ),2072179.463999999700,1808188.245999999800,1820140.074000000000,1770164.600500000200,1796077.352500000000,1673905.296499999900,10940659.033499999000
FS( 123 ),2091294.504000000000,1808188.245999999800,1872039.398749999900,1779572.784250000300,1785922.487500000000,1660713.927749999800,10997735.348250002000
FS( 124 ),2098303.352000000000,1803170.548000000000,1826999.585750000100,1775809.510750000400,1793369.388500000100,1634331.190249999800,10931987.575250000000
FS( 125 ),2122197.152000000200,1808188.245999999800,1872039.398749999900,1783336.057750000200,1801154.785000000100,1657020.344499999900,11043939.983999999000
FS( 126 ),2124745.824000000000,1813205.943999999900,1861555.993999999900,1779572.784250000300,1803862.748999999800,1649105.523250000100,11032052.818500001000
FS( 127 ),2122197.152000000200,1811055.501999999900,1872039.398749999900,1779572.784250000300,1803862.748999999800,1649105.523250000100,11037837.109250000000
FS( 128 ),2129524.583999999800,1806037.804000000200,1823634.542250000200,1777691.147500000200,1816725.578000000000,1653326.761249999700,11006944.417000001000
FS( 129 ),2083967.071999999900,1798152.850000000100,1820140.074000000000,1770164.600500000200,1793369.388500000100,1643828.975750000000,10909626.960749999000
FS( 130 ),2083967.071999999900,1806037.804000000200,1826999.585750000100,1756993.143250000000,1821803.010500000100,1629054.642749999900,10924859.258250002000
FS( 131 ),2091294.504000000000,1800303.292000000100,1782089.197500000000,1766401.327000000000,1855314.064999999900,1626944.023749999900,10922350.409249999000
FS( 132 ),2081736.984000000200,1793135.152000000000,1757886.769250000100,1766401.327000000000,1883747.687000000200,1623250.440499999800,10906162.359750001000
FS( 133 ),2074409.552000000100,1780232.500000000000,1757886.769250000100,1775809.510750000400,1904057.417000000100,1621139.821499999800,10913539.570499999000
FS( 134 ),2050515.752000000100,1780232.500000000000,1754392.301000000200,1781454.420999999900,1883747.687000000200,1613752.654999999800,10864099.316000000000
