代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,16911610.320500001000
真實報酬,6911610.320500001300

夏普值報酬,0.682461032050
夏普值風險,0.156692410431
夏普值,4.355418556476

預期報酬,26801.362382399780
風險,386026.279064353260
起點值,0.069428854552
找到最佳解世代,3354
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,5
1326(5),2498(27),2912(39),3045(40),8046(47),
Stock#,1326(5),2498(27),2912(39),3045(40),8046(47),
張數,38,7,31,47,19,
分配資金,2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,
剩餘資金,41733.440999999999,69312.685500000007,44527.416749999997,15656.334000000234,51437.249250000001,
FS( 1 ),1997213.441000000100,1997252.685499999900,1997217.416750000100,1997176.334000000000,1997227.249250000100,9986087.126499999300
FS( 2 ),1983263.983000000200,1983634.162749999900,1978700.659500000100,1994958.991500000200,2011316.238500000000,9951874.035250000700
FS( 3 ),1999153.360000000300,2014228.182499999900,1983638.711500000200,1991683.549750000200,2056903.617750000000,10045607.421500001000
FS( 4 ),2017312.648000000000,2121411.787000000000,1993514.815499999800,1991683.549750000200,2034204.507750000100,10158127.308000000000
FS( 5 ),2009367.959499999900,2062732.596500000000,1968824.555500000200,1991683.549750000200,1996183.498500000200,10028792.159750002000
FS( 6 ),2017312.648000000000,2047400.741499999800,1991045.789500000200,1984664.746000000300,2011316.238500000000,10051740.163500000000
FS( 7 ),2019960.877499999900,2083151.839750000000,2003082.291250000000,2008060.758500000200,1996183.498500000200,10110439.265500000000
FS( 8 ),2022230.788500000300,2055066.669000000000,2008020.343250000200,2008060.758500000200,1988617.128500000100,10081995.687750001000
FS( 9 ),2035471.936000000200,2085730.378999999700,2130545.758500000000,1991683.549750000200,2064659.147000000100,10308090.770250000000
FS( 10 ),2069142.282500000200,2088239.227999999700,2088880.944750000000,2001509.875000000000,2087358.257000000000,10335130.587250000000
FS( 11 ),2069142.282500000200,2070398.524000000000,2125607.706500000300,2001509.875000000000,2079791.887000000300,10346450.275000000000
FS( 12 ),2040768.395000000000,2042313.353249999900,2096288.022750000200,1994958.991500000200,2019071.767749999900,10193400.530250002000
FS( 13 ),2017312.648000000000,2088239.227999999700,2123138.680499999800,1994958.991500000200,2041770.877750000000,10265420.425749999000
FS( 14 ),2012016.189000000000,2100992.543749999700,2108324.524500000300,1991683.549750000200,2132945.636250000000,10345962.443250000000
FS( 15 ),2004071.500500000100,2126568.865499999800,2091349.970749999600,1951910.328500000500,2087358.257000000000,10261258.922250001000
FS( 16 ),1991208.671500000200,2141831.030250000300,2101226.074750000100,1951910.328500000500,2102490.997000000000,10288667.102000002000
FS( 17 ),2053631.224000000200,2177582.128500000100,2123138.680499999800,1978113.862500000000,2117812.896250000200,10450278.791749999000
FS( 18 ),2095246.258999999800,2200579.910999999800,2164803.494250000500,1978113.862500000000,2125379.266249999900,10564122.793000000000
FS( 19 ),2071790.512000000100,2177582.128500000100,2233318.965750000000,1968287.537250000300,2117812.896250000200,10568792.039750000000
FS( 20 ),2074438.741500000000,2190335.444250000600,2225911.887750000200,1965012.095500000100,2079791.887000000300,10535490.056000000000
FS( 21 ),2108109.088000000000,2231173.930749999800,2248133.121749999500,1998234.433250000000,2056903.617750000000,10642554.191500001000
FS( 22 ),2079735.200500000300,2272012.417249999900,2174679.598249999800,1981389.304250000000,2117812.896250000200,10625629.416500000000
FS( 23 ),2069142.282500000200,2346023.462749999900,2154927.390249999700,1994958.991500000200,2262141.404000000100,10827193.530999999000
FS( 24 ),2006719.730000000000,2315429.443000000400,2135483.810499999700,1994958.991500000200,2178533.015499999700,10631124.990499999000
FS( 25 ),2012016.189000000000,2213333.226749999900,2140421.862499999800,1984664.746000000300,2148078.376250000200,10498514.400500000000
FS( 26 ),2038120.165500000400,2213333.226749999900,2093818.996750000200,1974838.420750000000,2239253.134749999700,10559363.944499999000
FS( 27 ),2035471.936000000200,2203088.760000000200,2137952.836499999700,1991683.549750000200,2178533.015499999700,10546730.097750001000
FS( 28 ),2001801.589500000200,2192913.983500000100,2149989.338250000000,1978113.862500000000,2132945.636250000000,10455764.410000000000
FS( 29 ),2006719.730000000000,2192913.983500000100,2133014.784500000100,1978113.862500000000,2178533.015499999700,10489295.376000000000
FS( 30 ),2050982.994500000000,2274590.956499999900,2140421.862499999800,1994958.991500000200,2178533.015499999700,10639487.820499999000
FS( 31 ),2053631.224000000200,2256680.562250000000,2140421.862499999800,1991683.549750000200,2163400.275500000000,10605817.473999999000
FS( 32 ),2043038.306000000100,2243927.246500000400,2189185.126000000200,1998234.433250000000,2132945.636250000000,10607330.748000002000
FS( 33 ),2043038.306000000100,2315429.443000000400,2235787.991750000000,2004785.316750000200,2148078.376250000200,10747119.433750002000
FS( 34 ),2035471.936000000200,2351180.541250000200,2238257.017750000100,2008060.758500000200,2193665.755500000000,10826636.009000001000
FS( 35 ),2030175.477000000200,2305184.976249999800,2223442.861750000200,1998234.433250000000,2117812.896250000200,10674850.644500000000
FS( 36 ),1939379.037000000000,2220999.154250000100,2201530.256000000100,2004785.316750000200,2087358.257000000000,10454052.021000000000
FS( 37 ),1928786.118999999900,2340936.074500000100,2277452.805500000200,2011336.200250000500,2102490.997000000000,10661002.196249999000
FS( 38 ),1863715.337000000100,2266925.028999999600,2314179.567250000300,2014611.642000000200,2079791.887000000300,10539223.462250000000
FS( 39 ),1835341.449500000100,2236261.319000000100,2260169.623500000200,2008060.758500000200,2140512.006250000100,10480345.156750001000
FS( 40 ),1853500.737500000000,2238839.858250000500,2248133.121749999500,2004785.316750000200,2132945.636250000000,10478204.670499999000
FS( 41 ),1871660.025500000200,2289922.811500000300,2238257.017750000100,2014611.642000000200,2102490.997000000000,10516942.493750000000
FS( 42 ),1910626.831000000000,2289922.811500000300,2284859.883499999500,2030988.850750000200,2110057.367000000100,10626455.743750000000
FS( 43 ),1853500.737500000000,2256680.562250000000,2233318.965750000000,2011336.200250000500,2056903.617750000000,10411740.083500000000
FS( 44 ),1817182.161500000200,2169916.201000000400,2216035.783749999900,2011336.200250000500,1973484.388500000100,10187954.735000001000
FS( 45 ),1853500.737500000000,2203088.760000000200,2272514.753500000100,2037539.734250000400,2056903.617750000000,10423547.603000000000
FS( 46 ),1848204.278500000000,2182669.516750000000,2265107.675500000400,2050641.501250000400,2072225.517000000000,10418848.489000000000
FS( 47 ),1806589.243500000100,2141831.030250000300,2257700.597499999700,2060467.826500000200,1981050.758500000000,10247639.456250001000
FS( 48 ),1837989.679000000000,2238839.858250000500,2272514.753500000100,2063743.268250000200,2003749.868499999900,10416837.427500000000
FS( 49 ),1835341.449500000100,2195422.832500000000,2358313.407000000100,2050641.501250000400,2049337.247750000300,10489056.438000001000
FS( 50 ),1850852.508000000100,2198001.371749999900,2343499.251000000200,2077312.955500000600,2117812.896250000200,10587478.982500002000
FS( 51 ),1887171.084000000300,2205667.299250000200,2382695.038749999800,2129720.023500000600,2125379.266249999900,10730632.711750001000
FS( 52 ),1910626.831000000000,2228665.081750000400,2412014.722499999700,2123169.140000000100,2117812.896250000200,10792288.671500001000
