代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,12356830.913500002000
真實報酬,2356830.913500001700

夏普值報酬,0.226983091350
夏普值風險,0.065057161163
夏普值,3.488979342031

預期報酬,9922.318643346853
風險,158111.530719891070
起點值,0.062755186786
找到最佳解世代,3206
找到最佳解實驗#,9
找到最佳解次數,12

投資組合檔數,8
2002(7),2317(16),2354(20),2412(24),2884(33),3008(41),3045(42),4938(46),
Stock#,2002(7),2317(16),2354(20),2412(24),2884(33),3008(41),3045(42),4938(46),
張數,56,21,20,16,108,0,16,33,
分配資金,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,
剩餘資金,4467.642000000000,37624.823750000236,56902.254999999997,9675.052000000000,4067.072000000233,1250000.000000000000,14001.208000000001,24616.313000000235,
FS( 1 ),1248227.642000000000,1248274.823750000000,1248302.254999999900,1248235.051999999900,1248227.071999999900,1250000.000000000000,1248241.208000000100,1248256.313000000100,9987764.365749999900
FS( 2 ),1247741.702000000000,1242917.697500000000,1248008.184999999800,1242754.423999999900,1242721.663999999900,1250000.000000000000,1228602.708000000100,1257297.455000000300,9960043.835500000000
FS( 3 ),1247741.702000000000,1242917.697500000000,1246415.264999999900,1238772.124000000100,1242721.663999999900,1250000.000000000000,1228602.708000000100,1262882.630750000200,9960053.791249999800
FS( 4 ),1247741.702000000000,1244381.192750000200,1256171.899999999900,1240046.460000000000,1242721.663999999900,1250000.000000000000,1228602.708000000100,1238899.229000000300,9948564.855750000100
FS( 5 ),1242724.004000000000,1245844.688000000100,1281061.274999999900,1236064.159999999900,1249172.990000000200,1250000.000000000000,1236408.016000000100,1226743.258250000400,9968018.391249999400
FS( 6 ),1247741.702000000000,1247099.112500000500,1291017.024999999900,1238772.124000000100,1283580.062000000200,1250000.000000000000,1242779.696000000200,1233314.053250000300,10034303.774750000000
FS( 7 ),1252201.877999999800,1251280.527500000300,1286039.149999999900,1242754.423999999900,1293257.051000000200,1250000.000000000000,1250585.004000000200,1244155.865000000200,10070273.899500001000
