代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11840617.468250001000
真實報酬,1840617.468250000800

夏普值報酬,0.175361746825
夏普值風險,0.053106642510
夏普值,3.302068037786

預期報酬,7710.505087190817
風險,117730.909788212300
起點值,0.065492614480
找到最佳解世代,4915
找到最佳解實驗#,1
找到最佳解次數,36

投資組合檔數,8
1326(5),2801(28),2882(31),2887(36),2892(39),3008(41),3045(42),4904(44),
Stock#,1326(5),2801(28),2882(31),2887(36),2892(39),3008(41),3045(42),4904(44),
張數,17,87,36,133,93,0,13,19,
分配資金,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,
剩餘資金,5188.668000000000,3255.917750000000,15242.975000000000,3346.046000000233,13200.067999999999,1250000.000000000000,20009.758000000002,19899.601249999767,
FS( 1 ),1248228.668000000100,1248225.917750000000,1248242.975000000100,1248226.046000000100,1248240.068000000000,1250000.000000000000,1248249.757999999900,1248249.601250000100,9987663.034000000000
FS( 2 ),1206001.454250000200,1227992.371250000100,1211963.948000000100,1220207.501250000200,1227960.859999999900,1250000.000000000000,1219518.341000000000,1230707.960499999800,9794352.436249999300
FS( 3 ),1204478.224500000000,1224527.770249999800,1199061.296000000100,1232124.534000000500,1215924.358250000000,1250000.000000000000,1236990.682250000100,1234301.986249999800,9797408.851500000800
FS( 4 ),1227495.918500000100,1216732.417999999800,1195835.633000000100,1237420.993000000500,1219627.897249999900,1250000.000000000000,1236990.682250000100,1234301.986249999800,9818405.528250001400
FS( 5 ),1233588.837499999900,1247047.676750000100,1182574.574000000000,1232124.534000000500,1224257.321000000000,1250000.000000000000,1260416.561999999900,1254731.185249999900,9884740.690499998600
FS( 6 ),1241204.986250000100,1239252.324500000100,1179348.911000000100,1253310.370000000300,1227960.859999999900,1250000.000000000000,1254592.448249999900,1247921.452249999900,9893591.352250000500
FS( 7 ),1261006.973000000000,1250512.277750000100,1197269.260999999900,1265227.402750000400,1247404.439749999900,1250000.000000000000,1254592.448249999900,1261730.077500000100,9987742.880000000800
FS( 8 ),1297564.487000000000,1235787.723500000100,1195835.633000000100,1265227.402750000400,1235367.937999999800,1250000.000000000000,1248768.334500000100,1247921.452249999900,9976472.971000000800
FS( 9 ),1299087.716750000100,1247047.676750000100,1205512.622000000200,1281116.779750000200,1242775.015999999800,1250000.000000000000,1266240.675749999900,1253028.751999999900,10044809.239000000000
FS( 10 ),1300610.946500000100,1265236.831999999900,1206946.250000000000,1291709.697750000500,1242775.015999999800,1250000.000000000000,1266240.675749999900,1266837.377249999900,10090356.795249999000
