代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,12269966.399000000000
真實報酬,2269966.399000000200

夏普值報酬,0.218296639900
夏普值風險,0.061964824393
夏普值,3.522912265752

預期報酬,9412.718302021147
風險,178095.468294788010
起點值,0.052852093274
找到最佳解世代,3747
找到最佳解實驗#,1
找到最佳解次數,46

投資組合檔數,7
1216(2),2354(20),2412(24),2884(33),4904(45),6505(48),9904(49),
Stock#,1216(2),2354(20),2412(24),2884(33),4904(45),6505(48),9904(49),
張數,31,21,17,108,28,21,47,
分配資金,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,
剩餘資金,4574.692750000000,19566.025000000001,74804.627999999997,12836.449000000001,19846.423999999999,49428.518499999998,25504.475250000000,
FS( 1 ),1426544.692749999900,1426566.024999999900,1426644.628000000000,1426556.449000000000,1426566.424000000100,1426608.518500000000,1426574.475249999900,9986064.212500000400
FS( 2 ),1403895.178250000100,1420340.049999999800,1417785.524249999800,1451482.147000000100,1418111.600000000100,1407343.039750000000,1397446.648249999900,9916407.187500000000
FS( 3 ),1420252.475499999900,1429539.162999999900,1422185.965750000000,1478362.672000000300,1446823.983000000000,1409224.676500000300,1407740.893749999800,10014132.829500001000
FS( 4 ),1411919.512750000200,1442501.549500000000,1411861.853000000100,1466535.240999999900,1439576.196999999700,1399816.492750000000,1389024.083750000000,9961237.929749999200
FS( 5 ),1395870.843750000000,1440619.912749999900,1411861.853000000100,1482663.555999999900,1454071.769000000300,1386645.035500000000,1384812.801500000100,9956548.771500000700
FS( 6 ),1390315.535249999700,1434975.002499999700,1417785.524249999800,1459008.693999999900,1454071.769000000300,1394171.582499999800,1359545.108000000000,9909876.215500000900
FS( 7 ),1387537.881000000100,1433302.436499999800,1416262.294500000100,1459008.693999999900,1475536.365999999900,1397934.855999999900,1311349.322250000000,9880934.850250000100
FS( 8 ),1313158.472749999700,1388770.366749999800,1411861.853000000100,1451482.147000000100,1475536.365999999900,1382881.762000000100,1302926.757750000100,9726620.725250000100
FS( 9 ),1303899.625250000000,1422012.615999999900,1416262.294500000100,1459008.693999999900,1485293.001000000200,1369919.375499999800,1313221.003249999800,9769619.609499998400
FS( 10 ),1305134.138249999800,1396296.913749999800,1417785.524249999800,1424601.622000000200,1519023.082000000400,1347339.734500000000,1298715.475499999900,9708899.490250000700
FS( 11 ),1325503.602750000100,1396296.913749999800,1417785.524249999800,1448256.484000000200,1533239.892999999700,1352984.644750000200,1307138.039999999800,9781208.102499999100
FS( 12 ),1303899.625250000000,1351973.914750000000,1400183.758250000000,1409548.527999999900,1533239.892999999700,1324760.093500000000,1254730.971999999800,9578339.784749997800
FS( 13 ),1393093.189499999900,1398178.550499999900,1411861.853000000100,1448256.484000000200,1519023.082000000400,1337931.550750000200,1309009.720999999900,9817357.430750001200
FS( 14 ),1374266.866249999700,1396296.913749999800,1420662.736000000000,1443955.600000000100,1502018.660999999800,1332286.640500000000,1342699.979000000100,9812190.396499998900
FS( 15 ),1371489.212000000100,1405496.026750000200,1419139.506250000300,1448256.484000000200,1490031.938000000100,1343576.460999999900,1369839.353500000000,9847831.981499999800
FS( 16 ),1414697.166999999700,1412813.502999999800,1416262.294500000100,1443955.600000000100,1478045.214999999900,1330405.003749999900,1372178.954750000000,9868360.737999999900
FS( 17 ),1382291.200749999800,1401732.753250000100,1420662.736000000000,1436429.053000000100,1504527.509999999800,1319115.183250000000,1372178.954750000000,9836940.390999998900
FS( 18 ),1286307.814999999900,1401732.753250000100,1419139.506250000300,1436429.053000000100,1533239.892999999700,1324760.093500000000,1372178.954750000000,9773791.068749999600
FS( 19 ),1315936.126999999900,1442501.549500000000,1425063.177500000000,1466535.240999999900,1525992.107000000300,1349221.371250000100,1380601.519250000100,9905854.092500001200
FS( 20 ),1406672.832500000000,1442501.549500000000,1430986.848750000100,1485889.219000000000,1578956.696999999700,1377236.851750000100,1407740.893749999800,10129987.892250001000
FS( 21 ),1390315.535249999700,1492260.388000000000,1435387.290250000100,1482663.555999999900,1624673.501000000200,1382881.762000000100,1420374.740499999800,10228559.773000000000
FS( 22 ),1417474.821249999800,1516303.524250000000,1435387.290250000100,1493415.765999999800,1636660.223999999900,1386645.035500000000,1431136.906249999800,10317026.567499999000
FS( 23 ),1401117.524000000000,1525502.637249999900,1432340.830750000000,1502017.534000000200,1607669.080000000100,1356747.918250000100,1439559.470749999900,10264957.995000001000
FS( 24 ),1395870.843750000000,1525502.637249999900,1432340.830750000000,1493415.765999999800,1607669.080000000100,1337931.550750000200,1411952.175999999700,10204685.884499999000
FS( 25 ),1365933.903500000000,1527384.273999999700,1430986.848750000100,1502017.534000000200,1626903.588999999700,1339813.187500000000,1418503.059499999700,10211545.396250000000
