代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12812254.669999999925494
真實報酬,2812254.669999999925494

夏普值報酬,0.272525467000000
夏普值風險,0.095365404458591
夏普值,2.857697385620940

二次趨勢線,92.107350839721931 x^2 + -11021.236669489160704 x + 10000000.000000000000000
二次加權預期報酬,20111.047914336864778
風險,157885.767995204514591
二次加權趨勢值,0.127377205492947
一次趨勢線,6490.605282174182321 x + 10000000.000000000000000
一次預期報酬,6490.605282174182321
一次風險,680966.208768157870509
一次趨勢值,0.009531464555217
找到最佳解世代,3805
找到最佳解實驗#,4
找到最佳解次數,35

stock[index](rank)
投資組合檔數,3
AAPL[0](4),BA[2](1),DIS[6](9),
Stock#,AAPL[0](4),BA[2](1),DIS[6](9),
張數,30305,26254,33646,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,86.050000000279397,125.160000000149012,23.780000000260770,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3367577.650000000372529,3317055.520000000018626,3320211.060000000521541,10004845.230000000447035
FS( 3 ),3327878.100000000558794,3335170.780000000260770,3263685.780000000260770,9926735.660000000149012
FS( 4 ),3362728.850000000093132,3358799.380000000353903,3279835.860000000335276,10001365.089999999850988
FS( 5 ),3289390.750000000465661,3334383.160000000149012,3235423.140000000130385,9859198.050000000745058
FS( 6 ),3293027.350000000093132,3357486.680000000167638,3244171.100000000093132,9894686.130000000819564
FS( 7 ),3303937.150000000372529,3358274.300000000279397,3239124.200000000186265,9901336.650000002235174
FS( 8 ),3346970.250000000000000,3399230.540000000037253,3275461.879999999888241,10021663.669999999925494
FS( 9 ),3395458.250000000465661,3443074.719999999739230,3347127.860000000335276,10185661.830000001937151
FS( 10 ),3397276.550000000279397,3435461.060000000055879,3318528.760000000242144,10151267.370000001043081
FS( 11 ),3329090.300000000279397,3442812.180000000167638,3317182.920000000391155,10089086.400000000372529
FS( 12 ),3257267.450000000186265,3464865.540000000037253,3414419.860000000335276,10136553.850000001490116
