代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13097904.040000000968575
真實報酬,3097904.040000000968575

夏普值報酬,0.301090404000000
夏普值風險,0.089486074088658
夏普值,3.364662122753264

二次趨勢線,45.996978117852343 x^2 + 259.625471779682471 x + 10000000.000000000000000
二次加權預期報酬,15745.274771456633971
風險,260442.559803679498145
二次加權趨勢值,0.060455844019216
一次趨勢線,8970.269046676103244 x + 10000000.000000000000000
一次預期報酬,8970.269046676103244
一次風險,418976.741063737834338
一次趨勢值,0.021409945153284
找到最佳解世代,2579
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
MCD[15](1),
Stock#,MCD[15](1),
張數,130548,
分配資金,10000000.000000000000000,
剩餘資金,23.200000001117587,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),9701045.080000001937151,9701045.080000001937151
FS( 3 ),9746736.880000000819564,9746736.880000000819564
FS( 4 ),9687990.280000001192093,9687990.280000001192093
FS( 5 ),9708877.960000000894070,9708877.960000000894070
FS( 6 ),9603134.080000001937151,9603134.080000001937151
FS( 7 ),9647520.400000002235174,9647520.400000002235174
FS( 8 ),9608356.000000000000000,9608356.000000000000000
FS( 9 ),9486946.360000001266599,9486946.360000001266599
FS( 10 ),9668408.080000001937151,9668408.080000001937151
FS( 11 ),9749347.840000001713634,9749347.840000001713634
FS( 12 ),9836815.000000000000000,9836815.000000000000000
FS( 13 ),9812010.880000000819564,9812010.880000000819564
FS( 14 ),9792428.680000001564622,9792428.680000001564622
FS( 15 ),9840731.440000001341105,9840731.440000001341105
FS( 16 ),9853786.240000002086163,9853786.240000002086163
FS( 17 ),9813316.360000001266599,9813316.360000001266599
FS( 18 ),9706267.000000000000000,9706267.000000000000000
FS( 19 ),9566580.640000000596046,9566580.640000000596046
FS( 20 ),9617494.360000001266599,9617494.360000001266599
FS( 21 ),9591384.760000001639128,9591384.760000001639128
FS( 22 ),9613577.920000001788139,9613577.920000001788139
FS( 23 ),9638382.040000000968575,9638382.040000000968575
FS( 24 ),9667102.600000001490116,9667102.600000001490116
FS( 25 ),9588773.800000000745058,9588773.800000000745058
FS( 26 ),9838120.480000000447035,9838120.480000000447035
FS( 27 ),9912532.840000001713634,9912532.840000001713634
FS( 28 ),9890339.680000001564622,9890339.680000001564622
FS( 29 ),9939947.920000001788139,9939947.920000001788139
FS( 30 ),9953002.720000000670552,9953002.720000000670552
FS( 31 ),9941253.400000002235174,9941253.400000002235174
FS( 32 ),9924282.160000000149012,9924282.160000000149012
FS( 33 ),9919060.240000002086163,9919060.240000002086163
FS( 34 ),9938642.440000001341105,9938642.440000001341105
FS( 35 ),9882506.800000000745058,9882506.800000000745058
FS( 36 ),9815927.320000000298023,9815927.320000000298023
FS( 37 ),9818538.280000001192093,9818538.280000001192093
FS( 38 ),9718016.320000000298023,9718016.320000000298023
FS( 39 ),9879895.840000001713634,9879895.840000001713634
FS( 40 ),9776762.920000001788139,9776762.920000001788139
FS( 41 ),9750653.320000000298023,9750653.320000000298023
FS( 42 ),9953002.720000000670552,9953002.720000000670552
FS( 43 ),9925587.640000000596046,9925587.640000000596046
FS( 44 ),9959530.120000001043081,9959530.120000001043081
FS( 45 ),9861619.120000001043081,9861619.120000001043081
FS( 46 ),9892950.640000000596046,9892950.640000000596046
FS( 47 ),10010443.840000001713634,10010443.840000001713634
FS( 48 ),10016971.240000002086163,10016971.240000002086163
FS( 49 ),9878590.360000001266599,9878590.360000001266599
FS( 50 ),9806788.960000000894070,9806788.960000000894070
FS( 51 ),9579635.440000001341105,9579635.440000001341105
FS( 52 ),9582246.400000002235174,9582246.400000002235174
FS( 53 ),9528721.720000000670552,9528721.720000000670552
FS( 54 ),9629243.680000001564622,9629243.680000001564622
FS( 55 ),9643603.960000000894070,9643603.960000000894070
FS( 56 ),9729765.640000000596046,9729765.640000000596046
FS( 57 ),9781984.840000001713634,9781984.840000001713634
FS( 58 ),9823760.200000001117587,9823760.200000001117587
FS( 59 ),9791123.200000001117587,9791123.200000001117587
FS( 60 ),9839425.960000000894070,9839425.960000000894070
FS( 61 ),9896867.080000001937151,9896867.080000001937151
FS( 62 ),9933420.520000001415610,9933420.520000001415610
FS( 63 ),9920365.720000000670552,9920365.720000000670552
FS( 64 ),9972584.920000001788139,9972584.920000001788139
FS( 65 ),10000000.000000000000000,10000000.000000000000000
FS( 66 ),10015665.760000001639128,10015665.760000001639128
FS( 67 ),9922976.680000001564622,9922976.680000001564622
FS( 68 ),9926893.120000001043081,9926893.120000001043081
FS( 69 ),9954308.200000001117587,9954308.200000001117587
FS( 70 ),10007832.880000000819564,10007832.880000000819564
FS( 71 ),10037858.920000001788139,10037858.920000001788139
FS( 72 ),10061357.560000000521541,10061357.560000000521541
FS( 73 ),10101827.440000001341105,10101827.440000001341105
FS( 74 ),10052219.200000001117587,10052219.200000001117587
FS( 75 ),10000000.000000000000000,10000000.000000000000000
FS( 76 ),10234986.400000002235174,10234986.400000002235174
FS( 77 ),10040469.880000000819564,10040469.880000000819564
FS( 78 ),10069190.440000001341105,10069190.440000001341105
FS( 79 ),10044386.320000000298023,10044386.320000000298023
FS( 80 ),10165795.960000000894070,10165795.960000000894070
FS( 81 ),10186683.640000000596046,10186683.640000000596046
FS( 82 ),10223237.080000001937151,10223237.080000001937151
FS( 83 ),10266317.920000001788139,10266317.920000001788139
FS( 84 ),10305482.320000000298023,10305482.320000000298023
FS( 85 ),10322453.560000000521541,10322453.560000000521541
FS( 86 ),10261096.000000000000000,10261096.000000000000000
FS( 87 ),10274150.800000000745058,10274150.800000000745058
FS( 88 ),10353785.080000001937151,10353785.080000001937151
FS( 89 ),10406004.280000001192093,10406004.280000001192093
FS( 90 ),10379894.680000001564622,10379894.680000001564622
FS( 91 ),10530024.880000000819564,10530024.880000000819564
FS( 92 ),10540468.720000000670552,10540468.720000000670552
FS( 93 ),10592687.920000001788139,10592687.920000001788139
FS( 94 ),10565272.840000001713634,10565272.840000001713634
FS( 95 ),10639685.200000001117587,10639685.200000001117587
FS( 96 ),10771538.680000001564622,10771538.680000001564622
FS( 97 ),10748040.040000000968575,10748040.040000000968575
FS( 98 ),10770233.200000001117587,10770233.200000001117587
FS( 99 ),10788509.920000001788139,10788509.920000001788139
FS( 100 ),10798953.760000001639128,10798953.760000001639128
FS( 101 ),10761094.840000001713634,10761094.840000001713634
FS( 102 ),10655350.960000000894070,10655350.960000000894070
FS( 103 ),10644907.120000001043081,10644907.120000001043081
FS( 104 ),10571800.240000002086163,10571800.240000002086163
FS( 105 ),10541774.200000001117587,10541774.200000001117587
FS( 106 ),10514359.120000001043081,10514359.120000001043081
FS( 107 ),10535246.800000000745058,10535246.800000000745058
FS( 108 ),10592687.920000001788139,10592687.920000001788139
FS( 109 ),10593993.400000002235174,10593993.400000002235174
FS( 110 ),10608353.680000001564622,10608353.680000001564622
FS( 111 ),10490860.480000000447035,10490860.480000000447035
FS( 112 ),10539163.240000002086163,10539163.240000002086163
FS( 113 ),10635768.760000001639128,10635768.760000001639128
FS( 114 ),10605742.720000000670552,10605742.720000000670552
FS( 115 ),10680155.080000001937151,10680155.080000001937151
FS( 116 ),10772844.160000000149012,10772844.160000000149012
FS( 117 ),10795037.320000000298023,10795037.320000000298023
FS( 118 ),10809397.600000001490116,10809397.600000001490116
FS( 119 ),10789815.400000002235174,10789815.400000002235174
FS( 120 ),10742818.120000001043081,10742818.120000001043081
FS( 121 ),10684071.520000001415610,10684071.520000001415610
FS( 122 ),10746734.560000000521541,10746734.560000000521541
FS( 123 ),11011747.000000000000000,11011747.000000000000000
FS( 124 ),11040467.560000000521541,11040467.560000000521541
FS( 125 ),11007830.560000000521541,11007830.560000000521541
FS( 126 ),11181459.400000002235174,11181459.400000002235174
FS( 127 ),11180153.920000001788139,11180153.920000001788139
FS( 128 ),11208874.480000000447035,11208874.480000000447035
FS( 129 ),11234984.080000001937151,11234984.080000001937151
FS( 130 ),11174932.000000000000000,11174932.000000000000000
FS( 131 ),11142295.000000000000000,11142295.000000000000000
FS( 132 ),11095297.720000000670552,11095297.720000000670552
FS( 133 ),11091381.280000001192093,11091381.280000001192093
FS( 134 ),11202347.080000001937151,11202347.080000001937151
FS( 135 ),11159266.240000002086163,11159266.240000002086163
FS( 136 ),11148822.400000002235174,11148822.400000002235174
FS( 137 ),11254566.280000001192093,11254566.280000001192093
FS( 138 ),11262399.160000000149012,11262399.160000000149012
FS( 139 ),11297647.120000001043081,11297647.120000001043081
FS( 140 ),11561354.080000001937151,11561354.080000001937151
FS( 141 ),11503912.960000000894070,11503912.960000000894070
FS( 142 ),11490858.160000000149012,11490858.160000000149012
FS( 143 ),11369448.520000001415610,11369448.520000001415610
FS( 144 ),11328978.640000000596046,11328978.640000000596046
FS( 145 ),11289814.240000002086163,11289814.240000002086163
FS( 146 ),11278064.920000001788139,11278064.920000001788139
FS( 147 ),11104436.080000001937151,11104436.080000001937151
FS( 148 ),11167099.120000001043081,11167099.120000001043081
FS( 149 ),11002608.640000000596046,11002608.640000000596046
FS( 150 ),11107047.040000000968575,11107047.040000000968575
FS( 151 ),10719319.480000000447035,10719319.480000000447035
FS( 152 ),11221929.280000001192093,11221929.280000001192093
FS( 153 ),10976499.040000000968575,10976499.040000000968575
FS( 154 ),11263704.640000000596046,11263704.640000000596046
FS( 155 ),11292425.200000001117587,11292425.200000001117587
FS( 156 ),11334200.560000000521541,11334200.560000000521541
FS( 157 ),11314618.360000001266599,11314618.360000001266599
FS( 158 ),11422973.200000001117587,11422973.200000001117587
FS( 159 ),11176237.480000000447035,11176237.480000000447035
FS( 160 ),11387725.240000002086163,11387725.240000002086163
FS( 161 ),11456915.680000001564622,11456915.680000001564622
FS( 162 ),11687985.640000000596046,11687985.640000000596046
FS( 163 ),11766314.440000001341105,11766314.440000001341105
FS( 164 ),11580936.280000001192093,11580936.280000001192093
FS( 165 ),11740204.840000001713634,11740204.840000001713634
FS( 166 ),11852476.120000001043081,11852476.120000001043081
FS( 167 ),11851170.640000000596046,11851170.640000000596046
FS( 168 ),11802867.880000000819564,11802867.880000000819564
FS( 169 ),11758481.560000000521541,11758481.560000000521541
FS( 170 ),11630544.520000001415610,11630544.520000001415610
FS( 171 ),11595296.560000000521541,11595296.560000000521541
FS( 172 ),11656654.120000001043081,11656654.120000001043081
FS( 173 ),11567881.480000000447035,11567881.480000000447035
FS( 174 ),11100519.640000000596046,11100519.640000000596046
FS( 175 ),11251955.320000000298023,11251955.320000000298023
FS( 176 ),11242816.960000000894070,11242816.960000000894070
FS( 177 ),11325062.200000001117587,11325062.200000001117587
FS( 178 ),11497385.560000000521541,11497385.560000000521541
FS( 179 ),11526106.120000001043081,11526106.120000001043081
FS( 180 ),11593991.080000001937151,11593991.080000001937151
FS( 181 ),11659265.080000001937151,11659265.080000001937151
FS( 182 ),11425584.160000000149012,11425584.160000000149012
FS( 183 ),11225845.720000000670552,11225845.720000000670552
FS( 184 ),11406001.960000000894070,11406001.960000000894070
FS( 185 ),11663181.520000001415610,11663181.520000001415610
FS( 186 ),11715400.720000000670552,11715400.720000000670552
FS( 187 ),11492163.640000000596046,11492163.640000000596046
FS( 188 ),11590074.640000000596046,11590074.640000000596046
FS( 189 ),11464748.560000000521541,11464748.560000000521541
FS( 190 ),11229762.160000000149012,11229762.160000000149012
FS( 191 ),11289814.240000002086163,11289814.240000002086163
FS( 192 ),11204958.040000000968575,11204958.040000000968575
FS( 193 ),11372059.480000000447035,11372059.480000000447035
FS( 194 ),11383808.800000000745058,11383808.800000000745058
FS( 195 ),11554826.680000001564622,11554826.680000001564622
FS( 196 ),11663181.520000001415610,11663181.520000001415610
FS( 197 ),11535244.480000000447035,11535244.480000000447035
FS( 198 ),11659265.080000001937151,11659265.080000001937151
FS( 199 ),11741510.320000000298023,11741510.320000000298023
FS( 200 ),11574408.880000000819564,11574408.880000000819564
FS( 201 ),11702345.920000001788139,11702345.920000001788139
FS( 202 ),11699734.960000000894070,11699734.960000000894070
FS( 203 ),11620100.680000001564622,11620100.680000001564622
FS( 204 ),12052214.560000000521541,12052214.560000000521541
FS( 205 ),12011744.680000001564622,12011744.680000001564622
FS( 206 ),11980413.160000000149012,11980413.160000000149012
FS( 207 ),11981718.640000000596046,11981718.640000000596046
FS( 208 ),12207566.680000001564622,12207566.680000001564622
FS( 209 ),12178846.120000001043081,12178846.120000001043081
FS( 210 ),12121405.000000000000000,12121405.000000000000000
FS( 211 ),11998689.880000000819564,11998689.880000000819564
FS( 212 ),12079629.640000000596046,12079629.640000000596046
