二次加權,一次,二次平均
result_train_2009(2009 Q1).csv
AAPL[0](1)MRK[17](6)V[25](5),AAPL[0](1)IBM[10](2),AAPL[0](1)IBM[10](2)V[25](3)
result_train_2009_02~2010_01(2009 Q1).csv
AAPL[0](1)MRK[17](3)MSFT[18](2)V[25](5)WMT[28](28),AAPL[0](1)MSFT[18](5)V[25](3)WMT[28](20),AAPL[0](1)MSFT[18](2)V[25](4)WMT[28](24)
result_train_2009_03~2010_02(2009 Q1).csv
AAPL[0](1)BA[2](18)MMM[16](2)MRK[17](3)MSFT[18](7)PG[21](5),MCD[15](21)MMM[16](6)MRK[17](8)PG[21](3)V[25](5),AAPL[0](1)BA[2](19)JNJ[12](7)MMM[16](2)MRK[17](13)MSFT[18](5)PG[21](12)
result_train_2009_04~2010_03(2009 Q1).csv
BA[2](7)HD[9](9)MCD[15](6)MRK[17](8)MSFT[18](11)PG[21](3),AAPL[0](1)BA[2](11)HD[9](21)JNJ[12](9)MCD[15](25)MRK[17](20)MSFT[18](7)PG[21](4),AAPL[0](1)BA[2](13)JNJ[12](12)MCD[15](18)MMM[16](2)MRK[17](17)MSFT[18](10)PG[21](6)TRV[22](25)UNH[23](21)
result_train_2009_05~2010_04(2009 Q1).csv
AAPL[0](4)BA[2](1)HD[9](3)MCD[15](8)MRK[17](18)PG[21](10),AAPL[0](1)BA[2](16)HD[9](27)JNJ[12](12)MCD[15](11)MRK[17](9)MSFT[18](8)PG[21](5),AAPL[0](1)BA[2](3)INTC[11](16)MCD[15](14)MRK[17](9)MSFT[18](11)PG[21](8)TRV[22](22)UNH[23](23)
result_train_2009_06~2010_05(2009 Q1).csv
HD[9](1)MCD[15](3),AAPL[0](1)HD[9](8)MRK[17](16)PG[21](11),AAPL[0](1)HD[9](3)MCD[15](9)MMM[16](2)PG[21](15)
result_train_2009_07~2010_06(2009 Q1).csv
AAPL[0](1)MCD[15](2),AAPL[0](1)MCD[15](14)UNH[23](19),AAPL[0](1)MRK[17](18)PG[21](9)
result_train_2009_08~2010_07(2009 Q1).csv
AAPL[0](1)MCD[15](2),AAPL[0](2)MCD[15](1),AAPL[0](1)MCD[15](2)MRK[17](15)
result_train_2009_09~2010_08(2009 Q1).csv
AAPL[0](2)MCD[15](1),AAPL[0](2)MCD[15](1),AAPL[0](2)MCD[15](1)PG[21](8)UNH[23](12)
result_train_2009_10~2010_09(2009 Q1).csv
AAPL[0](2)MCD[15](1),AAPL[0](2)MCD[15](1),AAPL[0](2)MCD[15](1)
result_train_2009_11~2010_10(2009 Q1).csv
AAPL[0](2)MCD[15](1),MCD[15](1),MCD[15](1)
result_train_2009_12~2010_11(2009 Q1).csv
KO[14](1)MCD[15](2),AAPL[0](1)MCD[15](2),AAPL[0](2)MCD[15](1)VZ[26](7)
result_train_2010(2010 Q1).csv
KO[14](1),MCD[15](1),AAPL[0](4)CAT[3](2)KO[14](3)MCD[15](1)UNH[23](8)
result_train_2010_02~2011_01(2010 Q1).csv
AAPL[0](6)KO[14](3)UNH[23](5)VZ[26](1),AAPL[0](1)MCD[15](3)VZ[26](8),AAPL[0](2)KO[14](5)VZ[26](3)
result_train_2010_03~2011_02(2010 Q1).csv
CAT[3](2)IBM[10](1)UNH[23](4),AAPL[0](1)MCD[15](3)VZ[26](5),CAT[3](1)IBM[10](2)UNH[23](7)
result_train_2010_04~2011_03(2010 Q1).csv
CAT[3](1)CVX[5](2)DIS[6](4)UNH[23](6),AAPL[0](1)MCD[15](3),AAPL[0](4)CAT[3](1)CVX[5](2)UNH[23](6)
result_train_2010_05~2011_04(2010 Q1).csv
CAT[3](3)UNH[23](1),KO[14](3)UNH[23](2)VZ[26](1),IBM[10](3)UNH[23](1)VZ[26](4)
result_train_2010_06~2011_05(2010 Q1).csv
AXP[1](18)CAT[3](2)CVX[5](4)IBM[10](3)KO[14](12)MCD[15](24)PFE[20](5)UNH[23](1),AXP[1](16)CAT[3](1)KO[14](5)MCD[15](15)PFE[20](8)UNH[23](3)VZ[26](2)XOM[29](11),CAT[3](2)KO[14](8)MCD[15](18)UNH[23](1)VZ[26](3)
result_train_2010_07~2011_06(2010 Q1).csv
KO[14](14)MCD[15](22)PFE[20](3)UNH[23](1)WBA[27](4)XOM[29](9),UNH[23](1)WBA[27](4),KO[14](8)MCD[15](19)UNH[23](1)VZ[26](3)WBA[27](5)XOM[29](11)
result_train_2010_08~2011_07(2010 Q1).csv
AXP[1](3)CVX[5](5)MCD[15](13)UNH[23](1),CVX[5](4)KO[14](5)MCD[15](14)UNH[23](1),CVX[5](7)KO[14](4)MCD[15](14)UNH[23](1)
result_train_2010_09~2011_08(2010 Q1).csv
IBM[10](2)KO[14](5)MCD[15](1)UNH[23](3),IBM[10](1)KO[14](3)MCD[15](16)UNH[23](2),AAPL[0](6)CVX[5](5)KO[14](3)MCD[15](4)UNH[23](2)
result_train_2010_10~2011_09(2010 Q1).csv
AAPL[0](4)KO[14](5)MCD[15](1)UNH[23](6),AAPL[0](3)KO[14](2)MCD[15](7)UNH[23](4),AAPL[0](4)KO[14](3)MCD[15](2)UNH[23](5)
result_train_2010_11~2011_10(2010 Q1).csv
AAPL[0](3)MCD[15](1)V[25](2),AAPL[0](2)KO[14](3)MCD[15](8)UNH[23](4),AAPL[0](3)IBM[10](2)KO[14](5)MCD[15](1)
result_train_2010_12~2011_11(2010 Q1).csv
AAPL[0](4)MCD[15](1)V[25](2)WMT[28](7),AAPL[0](2)IBM[10](1)MCD[15](10)VZ[26](4),IBM[10](2)MCD[15](1)
result_train_2011(2011 Q1).csv
MCD[15](1),IBM[10](2)MCD[15](3),MCD[15](1)V[25](2)
result_train_2011_02~2012_01(2011 Q1).csv
MCD[15](1),MCD[15](1),MCD[15](1)
result_train_2011_03~2012_02(2011 Q1).csv
AAPL[0](6)CSCO[4](3)HD[9](4)MCD[15](1),MCD[15](1),MCD[15](1)
result_train_2011_04~2012_03(2011 Q1).csv
AAPL[0](4)CSCO[4](3)HD[9](1)MCD[15](5),MCD[15](1)V[25](3),AAPL[0](5)CSCO[4](7)HD[9](3)MCD[15](1)
result_train_2011_05~2012_04(2011 Q1).csv
AAPL[0](3)HD[9](1)PFE[20](12),MCD[15](1)V[25](2),AAPL[0](4)HD[9](2)MCD[15](5)
result_train_2011_06~2012_05(2011 Q1).csv
AAPL[0](3)KO[14](7)TRV[22](14)VZ[26](12)WMT[28](15),KO[14](11)MCD[15](4)V[25](1),AAPL[0](4)HD[9](3)KO[14](9)V[25](1)VZ[26](11)WMT[28](13)
result_train_2011_07~2012_06(2011 Q1).csv
AAPL[0](4)KO[14](2)VZ[26](6)WMT[28](7),AAPL[0](1)MCD[15](9)WMT[28](3),AAPL[0](2)KO[14](5)VZ[26](6)WMT[28](4)
result_train_2011_08~2012_07(2011 Q1).csv
KO[14](1)V[25](3)VZ[26](2)WMT[28](5),KO[14](10)MCD[15](14)V[25](1)VZ[26](5)WMT[28](3),KO[14](5)V[25](1)VZ[26](3)WMT[28](4)
result_train_2011_09~2012_08(2011 Q1).csv
HD[9](2)KO[14](6)VZ[26](5)WMT[28](3),HD[9](1)V[25](2)VZ[26](9)WMT[28](5),HD[9](1)V[25](3)VZ[26](5)WMT[28](4)
result_train_2011_10~2012_09(2011 Q1).csv
AAPL[0](6)HD[9](3)KO[14](7)VZ[26](2)WMT[28](5),AAPL[0](4)DIS[6](1)KO[14](7)VZ[26](9)WMT[28](5),AAPL[0](6)DIS[6](1)HD[9](2)KO[14](9)VZ[26](5)WMT[28](4)
result_train_2011_11~2012_10(2011 Q1).csv
DIS[6](1)HD[9](3)KO[14](11)TRV[22](5)WMT[28](2),DIS[6](1)HD[9](2)KO[14](11)TRV[22](10)WMT[28](8),DIS[6](1)HD[9](2)KO[14](11)TRV[22](8)WMT[28](4)
result_train_2011_12~2012_11(2011 Q1).csv
HD[9](1)TRV[22](3)V[25](2)VZ[26](9)WMT[28](8),HD[9](1)KO[14](11)TRV[22](5)V[25](2)WMT[28](7),HD[9](1)KO[14](11)TRV[22](4)V[25](2)WMT[28](7)
result_train_2012(2012 Q1).csv
HD[9](3)TRV[22](1)V[25](2)WMT[28](9),DIS[6](3)HD[9](1)TRV[22](4)V[25](2)VZ[26](11),HD[9](1)TRV[22](3)V[25](2)WMT[28](8)
result_train_2012_02~2013_01(2012 Q1).csv
HD[9](2)TRV[22](1)V[25](4)WMT[28](18),HD[9](1)KO[14](9)TRV[22](5)V[25](2)WMT[28](10),HD[9](1)TRV[22](2)V[25](3)WMT[28](16)
result_train_2012_03~2013_02(2012 Q1).csv
TRV[22](2)V[25](1),HD[9](1)KO[14](12)TRV[22](3)V[25](5)WMT[28](8),TRV[22](2)V[25](1)
result_train_2012_04~2013_03(2012 Q1).csv
JNJ[12](6)NKE[19](13)TRV[22](1)V[25](2),TRV[22](1)V[25](3)WMT[28](7),JNJ[12](5)TRV[22](1)V[25](2)
result_train_2012_05~2013_04(2012 Q1).csv
JNJ[12](3)NKE[19](4)TRV[22](1),TRV[22](7)V[25](1)WMT[28](9),JNJ[12](4)NKE[19](13)TRV[22](1)V[25](3)VZ[26](15)
result_train_2012_06~2013_05(2012 Q1).csv
HD[9](4)NKE[19](2)TRV[22](1)V[25](3),HD[9](2)PG[21](7)TRV[22](3)V[25](1),HD[9](3)NKE[19](12)PG[21](7)TRV[22](1)V[25](2)
result_train_2012_07~2013_06(2012 Q1).csv
AXP[1](2)BA[2](1)JNJ[12](4)V[25](3),PG[21](5)V[25](2),BA[2](2)PG[21](12)V[25](1)
result_train_2012_08~2013_07(2012 Q1).csv
BA[2](1)JNJ[12](3)JPM[13](7)V[25](2),HD[9](2)JPM[13](3)PFE[20](10)V[25](1),BA[2](2)JNJ[12](4)JPM[13](5)V[25](1)
result_train_2012_09~2013_08(2012 Q1).csv
BA[2](1)UNH[23](2)UTX[24](6),BA[2](12)DD[7](13)GS[8](5)HD[9](2)TRV[22](9)UNH[23](20)V[25](1),BA[2](1)DD[7](18)PG[21](14)UNH[23](5)V[25](3)
result_train_2012_10~2013_09(2012 Q1).csv
BA[2](1)DD[7](9)UNH[23](2),BA[2](4)DD[7](13)JNJ[12](5)TRV[22](11)UTX[24](2)V[25](1),BA[2](1)DD[7](12)UNH[23](4)UTX[24](2)
result_train_2012_11~2013_10(2012 Q1).csv
BA[2](1)DD[7](7)MMM[16](2)UNH[23](6),BA[2](4)CSCO[4](12)MMM[16](1)NKE[19](2)UTX[24](3),BA[2](1)DD[7](9)MMM[16](2)NKE[19](3)UNH[23](11)
result_train_2012_12~2013_11(2012 Q1).csv
AAPL[0](8)BA[2](1)DD[7](11)MMM[16](3)NKE[19](2)UNH[23](9),BA[2](7)DD[7](11)MCD[15](22)MMM[16](1)UNH[23](10),BA[2](1)DD[7](11)MMM[16](2)UNH[23](10)
result_train_2013(2013 Q1).csv
BA[2](1)DD[7](4)MMM[16](3)NKE[19](2)UNH[23](10),BA[2](4)MMM[16](1)MRK[17](15)NKE[19](3)UNH[23](10)UTX[24](2),BA[2](1)DD[7](10)MMM[16](2)NKE[19](3)UNH[23](11)
result_train_2013_02~2014_01(2013 Q1).csv
AAPL[0](6)BA[2](1)DD[7](3)MRK[17](19)UTX[24](4)V[25](5),BA[2](1)DD[7](14)MRK[17](12)UNH[23](9),BA[2](1)DD[7](7)MRK[17](14)UNH[23](11)
result_train_2013_03~2014_02(2013 Q1).csv
AAPL[0](9)BA[2](5)CAT[3](7)DD[7](1)MRK[17](12)UNH[23](18)V[25](3),BA[2](1)DD[7](8)MRK[17](13)UTX[24](2),BA[2](2)DD[7](1)MRK[17](14)UNH[23](7)
result_train_2013_04~2014_03(2013 Q1).csv
AAPL[0](12)DD[7](1)MRK[17](9)PFE[20](10)UNH[23](14)V[25](2),BA[2](6)DD[7](1)MRK[17](15)PFE[20](19)UNH[23](9),BA[2](7)DD[7](1)MRK[17](10)UNH[23](11)
result_train_2013_05~2014_04(2013 Q1).csv
AAPL[0](13)CAT[3](2)DD[7](1)INTC[11](10)MRK[17](4)MSFT[18](8)UNH[23](16)WBA[27](5),AAPL[0](9)BA[2](7)CAT[3](17)DD[7](3)MRK[17](13)MSFT[18](15)UNH[23](6)UTX[24](2),BA[2](9)DD[7](1)MRK[17](6)UNH[23](12)
result_train_2013_06~2014_05(2013 Q1).csv
CAT[3](1)DD[7](2)JNJ[12](12)MCD[15](14)MRK[17](4)MSFT[18](7),BA[2](9)CAT[3](15)DD[7](1)JNJ[12](7)UNH[23](6),BA[2](12)CAT[3](2)DD[7](1)JNJ[12](8)MRK[17](7)UNH[23](10)
result_train_2013_07~2014_06(2013 Q1).csv
AAPL[0](13)CAT[3](1)DD[7](2)INTC[11](6)MCD[15](7)MRK[17](4)MSFT[18](9),AAPL[0](5)BA[2](12)CAT[3](9)DD[7](1)MRK[17](7)MSFT[18](15),AAPL[0](8)CAT[3](2)DD[7](1)INTC[11](10)MCD[15](19)MRK[17](6)MSFT[18](12)
result_train_2013_08~2014_07(2013 Q1).csv
AAPL[0](11)CAT[3](1)CSCO[4](4)DD[7](2)INTC[11](3)MCD[15](18)MRK[17](9)MSFT[18](7),AAPL[0](7)BA[2](12)CAT[3](8)DD[7](1)MRK[17](10)MSFT[18](2),AAPL[0](8)CAT[3](2)DD[7](1)INTC[11](7)MCD[15](21)MRK[17](9)MSFT[18](3)
result_train_2013_09~2014_08(2013 Q1).csv
AAPL[0](3)CAT[3](5)DD[7](4)INTC[11](2)MRK[17](9)MSFT[18](6),AAPL[0](11)CAT[3](4)DIS[6](1)DD[7](2)MRK[17](5)MSFT[18](3),AAPL[0](6)CAT[3](5)DIS[6](1)DD[7](2)INTC[11](4)MRK[17](8)MSFT[18](3)
result_train_2013_10~2014_09(2013 Q1).csv
AAPL[0](4)CSCO[4](7)DIS[6](2)DD[7](5)INTC[11](1)MRK[17](9)MSFT[18](3),CAT[3](4)DIS[6](1)DD[7](2)INTC[11](9)MRK[17](7)MSFT[18](3)PG[21](19),DIS[6](1)DD[7](2)INTC[11](3)JNJ[12](7)MRK[17](10)MSFT[18](4)
result_train_2013_11~2014_10(2013 Q1).csv
AAPL[0](1)CSCO[4](13)HD[9](4)MSFT[18](2)NKE[19](7),AAPL[0](5)DIS[6](1)MRK[17](4)MSFT[18](2)UNH[23](3),AAPL[0](3)DIS[6](2)MRK[17](4)MSFT[18](1)UNH[23](5)
result_train_2013_12~2014_11(2013 Q1).csv
AAPL[0](3)HD[9](2)MSFT[18](4)NKE[19](1),CAT[3](11)DIS[6](1)INTC[11](2)MRK[17](4)NKE[19](22)UNH[23](6),AAPL[0](1)HD[9](3)MSFT[18](4)NKE[19](7)
result_train_2014(2014 Q1).csv
CSCO[4](14)HD[9](1)NKE[19](2)PG[21](4),AAPL[0](4)MRK[17](8)MSFT[18](1),AAPL[0](5)HD[9](1)NKE[19](4)PG[21](6)UNH[23](3)
result_train_2014_02~2015_01(2014 Q1).csv
AAPL[0](3)HD[9](1)INTC[11](8)NKE[19](4)TRV[22](7)UNH[23](2),AAPL[0](1)HD[9](8)INTC[11](3)KO[14](12)TRV[22](2)UNH[23](4),AAPL[0](2)HD[9](1)INTC[11](6)KO[14](13)PG[21](8)UNH[23](3)
result_train_2014_03~2015_02(2014 Q1).csv
HD[9](2)UNH[23](1),AAPL[0](1)HD[9](14)INTC[11](3)JNJ[12](11)KO[14](10)TRV[22](2)UNH[23](8),HD[9](2)UNH[23](1)
result_train_2014_04~2015_03(2014 Q1).csv
HD[9](2)UNH[23](1),AAPL[0](1)DIS[6](6)HD[9](3)INTC[11](8)NKE[19](4)TRV[22](2),HD[9](1)TRV[22](5)UNH[23](2)
result_train_2014_05~2015_04(2014 Q1).csv
DIS[6](5)HD[9](2)NKE[19](8)UNH[23](1),AAPL[0](1)DIS[6](5)HD[9](3)INTC[11](12)NKE[19](4)UNH[23](2),DIS[6](4)HD[9](2)NKE[19](5)UNH[23](1)
result_train_2014_06~2015_05(2014 Q1).csv
DIS[6](2)IBM[10](26)NKE[19](7)UNH[23](1),AAPL[0](1)DIS[6](6)HD[9](2)INTC[11](13)NKE[19](4)UNH[23](3),DIS[6](2)GS[8](7)NKE[19](5)UNH[23](1)
result_train_2014_07~2015_06(2014 Q1).csv
DIS[6](1)GS[8](9)UNH[23](2),DIS[6](6)GS[8](5)HD[9](3)NKE[19](4)UNH[23](1),DIS[6](1)GS[8](6)NKE[19](5)UNH[23](2)
result_train_2014_08~2015_07(2014 Q1).csv
DIS[6](1)NKE[19](4)UNH[23](2),DIS[6](2)NKE[19](3)UNH[23](1),DIS[6](1)NKE[19](4)UNH[23](2)
result_train_2014_09~2015_08(2014 Q1).csv
HD[9](5)JPM[13](4)NKE[19](3)UNH[23](2),HD[9](4)JPM[13](14)NKE[19](3)UNH[23](2),HD[9](4)NKE[19](3)UNH[23](1)
result_train_2014_10~2015_09(2014 Q1).csv
NKE[19](1),HD[9](4)NKE[19](1),HD[9](4)NKE[19](3)UNH[23](1)WBA[27](2)
result_train_2014_11~2015_10(2014 Q1).csv
NKE[19](1),NKE[19](5)UNH[23](3),NKE[19](1)UNH[23](2)
result_train_2014_12~2015_11(2014 Q1).csv
NKE[19](1),HD[9](1)NKE[19](6)UNH[23](4),NKE[19](1)
result_train_2015(2015 Q1).csv
MCD[15](2)NKE[19](1),NKE[19](1)UNH[23](4)V[25](3),HD[9](4)NKE[19](1)
result_train_2015_02~2016_01(2015 Q1).csv
MCD[15](1),MCD[15](5)NKE[19](1)UNH[23](7),MCD[15](1)NKE[19](2)
result_train_2015_03~2016_02(2015 Q1).csv
MCD[15](1),MCD[15](3)NKE[19](1)UNH[23](6),MCD[15](1)
result_train_2015_04~2016_03(2015 Q1).csv
MCD[15](1)VZ[26](3),MCD[15](3)NKE[19](2),MCD[15](1)
result_train_2015_05~2016_04(2015 Q1).csv
MCD[15](1)VZ[26](2),MCD[15](2)NKE[19](3)UNH[23](7),MCD[15](1)UNH[23](10)
result_train_2015_06~2016_05(2015 Q1).csv
JNJ[12](1)MCD[15](2)UNH[23](7)WMT[28](11),HD[9](2)MCD[15](1),MCD[15](1)UNH[23](5)
result_train_2015_07~2016_06(2015 Q1).csv
JNJ[12](1)UNH[23](2)WMT[28](6)XOM[29](3),MCD[15](1)V[25](6)VZ[26](8),JNJ[12](1)MCD[15](2)UNH[23](4)
result_train_2015_08~2016_07(2015 Q1).csv
JNJ[12](1)UNH[23](2),JNJ[12](4)MCD[15](1),JNJ[12](1)UNH[23](2)
result_train_2015_09~2016_08(2015 Q1).csv
JNJ[12](1)MRK[17](3)WMT[28](4),JNJ[12](1)MCD[15](9)MRK[17](19)PG[21](2)WMT[28](18),JNJ[12](1)MRK[17](6)PG[21](2)WMT[28](11)
result_train_2015_10~2016_09(2015 Q1).csv
MRK[17](1)PG[21](4)WMT[28](9),JNJ[12](1)MRK[17](5)PG[21](2)WMT[28](19),MRK[17](3)PG[21](2)WMT[28](12)
result_train_2015_11~2016_10(2015 Q1).csv
MRK[17](1)PG[21](3),PG[21](1)V[25](8)WMT[28](2),PG[21](2)V[25](7)WMT[28](1)
result_train_2015_12~2016_11(2015 Q1).csv
GS[8](2)JPM[13](1)MSFT[18](3)PG[21](15),PG[21](2)UNH[23](1),PG[21](3)UNH[23](2)WMT[28](1)
result_train_2016(2016 Q1).csv
GS[8](1)JPM[13](2)MSFT[18](3)PG[21](18),CAT[3](2)MRK[17](5)PG[21](8)UNH[23](1)WMT[28](9),JPM[13](3)MRK[17](8)PG[21](13)UNH[23](2)WMT[28](9)
result_train_2016_02~2017_01(2016 Q1).csv
