二次加權,一次,二次平均
result_train_2009_Q1(2009 Q1).csv
INTC[11](3)WMT[28](2),IBM[10](1),AAPL[0](2)GS[8](1)
result_train_2009_Q2(2009 Q1).csv
JNJ[12](5)MSFT[18](1),AAPL[0](2)GS[8](1)MSFT[18](10)PFE[20](22),AAPL[0](4)MSFT[18](1)PFE[20](20)
result_train_2009_Q3(2009 Q1).csv
KO[14](5)UTX[24](3)WBA[27](2),AAPL[0](1)AXP[1](3)KO[14](26)PG[21](25)TRV[22](14)UTX[24](7)WBA[27](9),JPM[13](5)KO[14](15)WBA[27](2)
result_train_2009_Q4(2009 Q1).csv
JNJ[12](4)MSFT[18](3)V[25](2)VZ[26](1),MSFT[18](2)V[25](1)VZ[26](22),JNJ[12](8)MSFT[18](1)V[25](2)VZ[26](10)
result_train_2010_Q1(2010 Q1).csv
DIS[6](2)MCD[15](7)NKE[19](1),BA[2](1)MCD[15](2)PG[21](3)TRV[22](4)UNH[23](6),BA[2](2)HD[9](4)MCD[15](5)TRV[22](7)
result_train_2010_Q2(2010 Q1).csv
MRK[17](1),AAPL[0](1),AAPL[0](1)
result_train_2010_Q3(2010 Q1).csv
MCD[15](5)VZ[26](1),MCD[15](3)VZ[26](1),MCD[15](4)VZ[26](1)
result_train_2010_Q4(2010 Q1).csv
CAT[3](1)KO[14](2)VZ[26](5),CAT[3](7)DIS[6](5)KO[14](1)XOM[29](2),CAT[3](2)DIS[6](5)KO[14](1)
result_train_2011_Q1(2011 Q1).csv
CVX[5](1)PFE[20](2),CVX[5](2)PFE[20](1),CVX[5](2)PFE[20](1)
result_train_2011_Q2(2011 Q1).csv
MCD[15](1),MCD[15](1),JNJ[12](2)MCD[15](1)
result_train_2011_Q3(2011 Q1).csv
V[25](2)VZ[26](1),AAPL[0](1)MCD[15](2),AAPL[0](1)MCD[15](2)
result_train_2011_Q4(2011 Q1).csv
HD[9](2)MCD[15](1)MRK[17](3),HD[9](2)MCD[15](1)MRK[17](3),HD[9](2)MCD[15](1)
result_train_2012_Q1(2012 Q1).csv
AAPL[0](1)HD[9](2)IBM[10](7)JPM[13](3)KO[14](4)UNH[23](15),AAPL[0](2)GS[8](6)HD[9](1)IBM[10](12)MSFT[18](4)UNH[23](16),AAPL[0](1)GS[8](8)HD[9](3)MSFT[18](2)UNH[23](18)
result_train_2012_Q2(2012 Q1).csv
MRK[17](6)VZ[26](2)WMT[28](1),TRV[22](2)VZ[26](1)WMT[28](3),MRK[17](4)VZ[26](1)WMT[28](2)
result_train_2012_Q3(2012 Q1).csv
AAPL[0](9)GS[8](3)HD[9](2)MCD[15](16)PFE[20](14)PG[21](7)UNH[23](12)WBA[27](26),AAPL[0](3)HD[9](14)NKE[19](4)PFE[20](5)PG[21](1)TRV[22](20)UNH[23](28)WBA[27](7)WMT[28](9),AAPL[0](5)HD[9](4)NKE[19](10)PG[21](1)WBA[27](11)WMT[28](19)
result_train_2012_Q4(2012 Q1).csv
CSCO[4](2)DD[7](5)V[25](1),V[25](1),V[25](1)
result_train_2013_Q1(2013 Q1).csv
AXP[1](5)JNJ[12](1)TRV[22](4)VZ[26](3),AXP[1](9)JNJ[12](1)MMM[16](3)MRK[17](19)PG[21](10)TRV[22](2)VZ[26](22),AXP[1](4)JNJ[12](1)TRV[22](2)VZ[26](7)
result_train_2013_Q2(2013 Q1).csv
BA[2](1)CSCO[4](2)INTC[11](9)UNH[23](5),BA[2](1)INTC[11](3)UNH[23](6),BA[2](1)DIS[6](6)INTC[11](3)MRK[17](13)UNH[23](8)
result_train_2013_Q3(2013 Q1).csv
AAPL[0](10)BA[2](2)DD[7](1),AAPL[0](2)BA[2](8)DD[7](1)NKE[19](7),AAPL[0](4)BA[2](3)DD[7](1)UNH[23](5)
result_train_2013_Q4(2013 Q1).csv
AAPL[0](6)DD[7](13)GS[8](2)MRK[17](10)XOM[29](1),AAPL[0](3)DD[7](20)GS[8](11)MSFT[18](10)PG[21](15)XOM[29](1),AAPL[0](4)GS[8](2)XOM[29](1)
result_train_2014_Q1(2014 Q1).csv
