代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11765682.910000000149012
真實報酬,1765682.910000000149012

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,30709.874887142657826
風險,110482.780382708457182
起點值,0.277960735426505
找到最佳解世代,2109
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](3),DIS[6](7),V[25](1),
Stock#,AAPL[0](3),DIS[6](7),V[25](1),
張數,30444,33690,44191,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,19.439999999944121,44.399999999906868,5.869999999646097,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3345815.040000000037253,3318509.399999999906868,3346148.389999999664724,10010473.829999998211861
FS( 3 ),3321764.279999999795109,3367696.799999999813735,3416412.079999999608845,10105874.160000000149012
FS( 4 ),3347337.240000000223517,3391279.799999999813735,3407573.879999999422580,10146191.919999999925494
FS( 5 ),3380216.759999999776483,3436087.499999999534339,3504794.079999999608845,10321099.339999999850988
FS( 6 ),3413400.720000000204891,3482916.599999999627471,3503468.349999999627471,10399786.669999999925494
FS( 7 ),3469113.240000000223517,3532777.799999999813735,3497281.609999999869615,10499173.650000000372529
FS( 8 ),3449324.639999999664724,3505825.799999999813735,3468999.369999999646097,10424150.809999998658895
FS( 9 ),3506863.799999999813735,3498750.899999999906868,3499933.069999999832362,10505548.769999999552965
FS( 10 ),3506863.799999999813735,3505488.899999999906868,3496839.699999999254942,10509193.399999998509884
FS( 11 ),3526043.519999999552965,3516943.500000000000000,3513190.369999999646097,10556178.389999998733401
FS( 12 ),3530610.120000000111759,3500772.299999999813735,3462370.719999999273568,10493754.139999998733401
FS( 13 ),3551007.600000000093132,3547601.399999999906868,3451322.969999999273568,10549932.969999998807907
FS( 14 ),3560445.240000000223517,3552991.799999999813735,3462812.629999999422580,10576250.669999999925494
FS( 15 ),3563794.080000000074506,3556360.799999999813735,3453090.609999999869615,10573246.490000000223517
FS( 16 ),3540352.200000000186265,3551644.200000000186265,3442484.770000000018626,10534482.169999999925494
FS( 17 ),3547354.319999999832362,3542547.899999999906868,3453532.520000000018626,10543435.740000000223517
FS( 18 ),3569882.879999999888241,3543221.700000000186265,3462370.719999999273568,10575476.299999998882413
FS( 19 ),3554660.879999999888241,3513911.399999999906868,3460161.169999999459833,10528734.449999999254942
FS( 20 ),3553747.560000000055879,3522670.799999999813735,3461486.899999999441206,10537906.259999997913837
FS( 21 ),3526043.519999999552965,3511216.199999999720603,3447787.689999999478459,10485048.409999998286366
FS( 22 ),3536090.040000000037253,3573879.599999999627471,3513190.369999999646097,10623161.009999999776483
FS( 23 ),3532132.319999999832362,3619698.000000000000000,3541914.520000000018626,10693745.839999999850988
FS( 24 ),3550094.279999999795109,3617676.599999999627471,3583454.059999999590218,10751225.939999997615814
FS( 25 ),3589671.479999999981374,3671580.600000000093132,3632947.979999999515712,10894201.059999998658895
FS( 26 ),3622551.000000000000000,3650692.799999999813735,3612620.119999999646097,10885864.919999999925494
