代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11112980.559999998658895
真實報酬,1112980.559999998658895

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,16130.727223616082483
風險,106351.540345260131289
起點值,0.151673658616031
找到最佳解世代,2196
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](5),KO[14](7),VZ[26](1),
Stock#,AAPL[0](5),KO[14](7),VZ[26](1),
張數,15992,64065,60320,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,120.439999999944121,31.049999999813735,49.800000000279397,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3262808.280000000260770,3352552.499999999534339,3353238.600000000558794,9968600.379999998956919
FS( 3 ),3092013.720000000204891,3308988.299999999813735,3330920.200000000186265,9731923.219999998807907
FS( 4 ),3150544.439999999944121,3348708.600000000093132,3320665.800000000279397,9819919.839999999850988
FS( 5 ),3183168.119999999646097,3407007.750000000000000,3323078.600000000558794,9913255.469999998807907
FS( 6 ),3253373.000000000000000,3439680.899999999441206,3367112.200000000186265,10060167.099999999627471
FS( 7 ),3214352.520000000018626,3422383.350000000093132,3364699.400000000372529,10001436.269999999552965
FS( 8 ),3206196.599999999627471,3408289.049999999813735,3359270.600000000093132,9973757.250000000000000
FS( 9 ),3341968.679999999701977,3427508.549999999813735,3400288.200000000186265,10169766.429999999701977
FS( 10 ),3242498.439999999944121,3394835.399999999906868,3361080.200000000186265,9998415.039999999105930
FS( 11 ),3226346.520000000018626,3451212.599999999627471,3396065.800000000279397,10073625.919999999925494
FS( 12 ),3302468.439999999944121,3485807.699999999720603,3417177.800000000279397,10205454.939999999478459
FS( 13 ),3364037.639999999664724,3503745.899999999441206,3438289.800000000279397,10306074.339999999850988
FS( 14 ),3364197.560000000055879,3451853.250000000000000,3394256.200000000651926,10210308.010000001639128
FS( 15 ),3400659.319999999832362,3465947.549999999813735,3413558.600000000558794,10280166.469999998807907
FS( 16 ),3397780.760000000242144,3490932.899999999906868,3425019.400000000372529,10313734.060000000521541
FS( 17 ),3240739.319999999832362,3442884.149999999906868,3373144.200000000186265,10056768.669999999925494
FS( 18 ),3302308.520000000018626,3494136.149999999906868,3420797.000000000465661,10217242.669999999925494
FS( 19 ),3265047.159999999683350,3505667.849999999627471,3449147.400000000372529,10219863.410000000149012
FS( 20 ),3286956.200000000186265,3530653.199999999720603,3495593.800000000279397,10313204.200000001117587
