代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11257114.450000001117587
真實報酬,1257114.450000001117587

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,20231.065127459758514
風險,149881.285920501191868
起點值,0.134980594830168
找到最佳解世代,2272
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
PG[21](1),
Stock#,PG[21](1),
張數,90505,
分配資金,10000000.000000000000000,
剩餘資金,102.550000000745058,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),10089599.950000001117587,10089599.950000001117587
FS( 3 ),10324912.950000001117587,10324912.950000001117587
FS( 4 ),10240743.300000000745058,10240743.300000000745058
FS( 5 ),10322197.800000000745058,10322197.800000000745058
FS( 6 ),10219022.099999999627471,10219022.099999999627471
FS( 7 ),10295046.300000000745058,10295046.300000000745058
FS( 8 ),10352064.450000001117587,10352064.450000001117587
FS( 9 ),10407272.500000000000000,10407272.500000000000000
FS( 10 ),10451619.950000001117587,10451619.950000001117587
FS( 11 ),10488727.000000000000000,10488727.000000000000000
FS( 12 ),10493252.250000000000000,10493252.250000000000000
FS( 13 ),10447999.750000000000000,10447999.750000000000000
FS( 14 ),10409082.600000001490116,10409082.600000001490116
FS( 15 ),10435329.050000000745058,10435329.050000000745058
FS( 16 ),10304096.800000000745058,10304096.800000000745058
FS( 17 ),10190965.550000000745058,10190965.550000000745058
FS( 18 ),10206351.400000000372529,10206351.400000000372529
FS( 19 ),10383741.200000001117587,10383741.200000001117587
FS( 20 ),10498682.550000000745058,10498682.550000000745058
FS( 21 ),10897809.599999999627471,10897809.599999999627471
FS( 22 ),10683312.750000001862645,10683312.750000001862645
FS( 23 ),10564751.200000001117587,10564751.200000001117587
FS( 24 ),10538504.750000000000000,10538504.750000000000000
FS( 25 ),10234407.950000001117587,10234407.950000001117587
FS( 26 ),10343013.950000001117587,10343013.950000001117587
FS( 27 ),10455240.150000000372529,10455240.150000000372529
FS( 28 ),10629009.750000000000000,10629009.750000000000000
FS( 29 ),10569276.450000001117587,10569276.450000001117587
FS( 30 ),10501397.700000001117587,10501397.700000001117587
FS( 31 ),10611813.800000000745058,10611813.800000000745058
FS( 32 ),10479676.500000001862645,10479676.500000001862645
FS( 33 ),10624484.500000000000000,10624484.500000000000000
FS( 34 ),10786488.450000001117587,10786488.450000001117587
FS( 35 ),10882423.750000000000000,10882423.750000000000000
FS( 36 ),10761147.050000000745058,10761147.050000000745058
FS( 37 ),10788298.550000000745058,10788298.550000000745058
FS( 38 ),10808209.650000000372529,10808209.650000000372529
FS( 39 ),10618149.150000000372529,10618149.150000000372529
FS( 40 ),10799159.150000000372529,10799159.150000000372529
FS( 41 ),10910480.300000000745058,10910480.300000000745058
FS( 42 ),10987409.550000000745058,10987409.550000000745058
FS( 43 ),10967498.450000001117587,10967498.450000001117587
FS( 44 ),10881518.700000001117587,10881518.700000001117587
FS( 45 ),10983789.350000001490116,10983789.350000001490116
FS( 46 ),11151223.599999999627471,11151223.599999999627471
FS( 47 ),11110496.350000001490116,11110496.350000001490116
FS( 48 ),11120451.900000000372529,11120451.900000000372529
FS( 49 ),11057098.400000000372529,11057098.400000000372529
FS( 50 ),10849841.950000001117587,10849841.950000001117587
FS( 51 ),10975643.900000000372529,10975643.900000000372529
FS( 52 ),11111401.400000000372529,11111401.400000000372529
FS( 53 ),11052573.150000000372529,11052573.150000000372529
FS( 54 ),10838076.300000000745058,10838076.300000000745058
FS( 55 ),10965688.349999999627471,10965688.349999999627471
FS( 56 ),10988314.599999999627471,10988314.599999999627471
FS( 57 ),11032662.050000000745058,11032662.050000000745058
FS( 58 ),11063433.750000000000000,11063433.750000000000000
FS( 59 ),11152128.650000000372529,11152128.650000000372529
FS( 60 ),11187425.600000001490116,11187425.600000001490116
FS( 61 ),11134027.650000000372529,11134027.650000000372529
FS( 62 ),11250779.100000001490116,11250779.100000001490116
FS( 63 ),11274310.400000000372529,11274310.400000000372529
FS( 64 ),11257114.450000001117587,11257114.450000001117587
