代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11055670.599999999627471
真實報酬,1055670.599999999627471

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,18652.631243086809263
風險,94731.040879514548578
起點值,0.196900942604552
找到最佳解世代,2171
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
DIS[6](8),KO[14](2),MCD[15](1),PFE[20](19),TRV[22](3),
Stock#,DIS[6](8),KO[14](2),MCD[15](1),PFE[20](19),TRV[22](3),
張數,17776,42808,10616,46685,14490,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,22.239999999990687,10.239999999990687,51.760000000242144,14.599999999860302,90.199999999953434,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),1990223.199999999953434,1993578.800000000046566,1999575.360000000102445,2003267.949999999720603,1982467.100000000093132,9969112.410000000149012
FS( 3 ),2000177.760000000009313,1976883.679999999934807,1999575.360000000102445,2000000.000000000000000,1979424.199999999953434,9956061.000000000000000
FS( 4 ),2039818.239999999990687,1989726.079999999841675,2015711.680000000400469,1995331.500000000000000,1978265.000000000000000,10018852.500000000000000
FS( 5 ),2044262.239999999990687,1989298.000000000000000,2024629.120000000344589,2007002.750000000000000,1976526.199999999953434,10041718.310000000521541
FS( 6 ),2043551.199999999953434,1992722.639999999897555,2015499.360000000102445,2014005.500000000000000,1968991.399999999906868,10034770.099999999627471
FS( 7 ),2077325.600000000093132,1997859.600000000093132,2017941.040000000270084,2000000.000000000000000,1958993.299999999813735,10052119.539999999105930
FS( 8 ),2082658.399999999906868,1996575.360000000102445,2008811.280000000260770,1994864.649999999674037,1962905.600000000093132,10045815.289999999105930
FS( 9 ),2072703.839999999850988,1999571.919999999925494,2005201.840000000083819,1973389.550000000046566,1974787.399999999906868,10025654.549999998882413
FS( 10 ),2311968.799999999813735,2000856.160000000149012,2034077.360000000102445,1947245.949999999953434,1995653.000000000000000,10289801.269999999552965
FS( 11 ),2347165.280000000260770,2011986.239999999990687,2036731.360000000102445,1964986.250000000000000,1982177.299999999813735,10343046.429999999701977
FS( 12 ),2309124.639999999664724,2009845.840000000083819,2035138.960000000195578,1910364.800000000046566,2004636.800000000046566,10269111.039999999105930
FS( 13 ),2342010.240000000223517,2023972.479999999981374,2034183.520000000484288,1861812.399999999906868,1968846.500000000000000,10230825.140000000596046
FS( 14 ),2354453.439999999478459,2032534.079999999841675,2069216.320000000298023,1838469.899999999906868,2013185.900000000139698,10307859.640000000596046
FS( 15 ),2340765.919999999925494,2029109.439999999944121,2058706.480000000214204,1819795.899999999674037,1979569.100000000093132,10227946.839999999850988
FS( 16 ),2370629.600000000558794,2063783.919999999925494,2072931.920000000158325,1840337.300000000046566,1999855.099999999860302,10347537.839999999850988
FS( 17 ),2401559.839999999850988,2053938.079999999841675,2098091.840000000316650,1838003.049999999813735,2016808.400000000139698,10408401.209999999031425
FS( 18 ),2439600.480000000447035,2047944.960000000195578,2101276.640000000130385,1849207.449999999720603,2016953.299999999813735,10454982.829999998211861
FS( 19 ),2487240.160000000149012,2065924.319999999832362,2095862.480000000214204,1866014.049999999813735,2032167.800000000046566,10547208.810000002384186
FS( 20 ),2476219.040000000037253,2072773.600000000093132,2092677.680000000400469,1848273.750000000000000,2049845.600000000093132,10539789.669999999925494
FS( 21 ),2434800.959999999962747,2100170.719999999739230,2097454.880000000353903,1895892.449999999720603,2083027.699999999953434,10611346.709999999031425
FS( 22 ),2424313.120000000111759,2080050.960000000195578,2061360.480000000214204,1903362.050000000046566,2073319.400000000139698,10542406.010000001639128
FS( 23 ),2384494.879999999888241,2071489.360000000102445,2066031.520000000484288,1914566.449999999720603,2067813.199999999720603,10504395.410000000149012
FS( 24 ),2387872.320000000298023,2085616.000000000000000,2096924.080000000307336,1932306.750000000000000,2077231.699999999953434,10579950.849999999627471
FS( 25 ),2399782.240000000223517,2074914.000000000000000,2111574.160000000149012,1944444.849999999860302,2078390.900000000139698,10609106.150000000372529
FS( 26 ),2372051.679999999701977,2054794.239999999990687,2102444.400000000372529,1906163.149999999674037,2053468.100000000093132,10488921.570000000298023
FS( 27 ),2399604.480000000447035,2048373.040000000037253,2102338.240000000223517,1911765.350000000093132,2050859.899999999906868,10512941.010000001639128
FS( 28 ),2374718.080000000074506,2029109.439999999944121,2099153.439999999944121,1897293.000000000000000,2055206.900000000139698,10455480.859999999403954
FS( 29 ),2382717.280000000260770,2062927.760000000009313,2123145.600000000558794,1901027.799999999813735,2086070.600000000093132,10555889.040000000968575
FS( 30 ),2334722.080000000074506,2056934.639999999897555,2112954.240000000223517,1894025.049999999813735,2078101.099999999860302,10476737.109999999403954
FS( 31 ),2367785.439999999478459,2084331.760000000009313,2102125.919999999925494,1898226.699999999720603,2111428.099999999627471,10563897.919999998062849
FS( 32 ),2394093.919999999925494,2105307.679999999701977,2113378.880000000353903,1921102.349999999860302,2123165.000000000000000,10657047.830000000074506
FS( 33 ),2408670.240000000223517,2122430.879999999888241,2123145.600000000558794,1943978.000000000000000,2136061.099999999627471,10734285.820000000298023
FS( 34 ),2400493.280000000260770,2106163.839999999850988,2114971.280000000260770,1936041.549999999813735,2137220.299999999813735,10694890.250000000000000
FS( 35 ),2380406.400000000372529,2091181.040000000037253,2112529.600000000558794,1941643.750000000000000,2147073.500000000000000,10672834.290000000968575
FS( 36 ),2383606.080000000074506,2080479.040000000037253,2121553.200000000186265,1945378.550000000046566,2136930.500000000000000,10667947.370000001043081
FS( 37 ),2379339.839999999850988,2125427.439999999478459,2122827.120000000111759,1960317.750000000000000,2144030.599999999627471,10731942.749999998137355
FS( 38 ),2359430.719999999739230,2133989.040000000037253,2112317.280000000260770,1957049.800000000046566,2129250.799999999813735,10692037.640000000596046
FS( 39 ),2360497.280000000260770,2123715.120000000111759,2099578.080000000540167,1958450.350000000093132,2143740.799999999813735,10685981.629999998956919
FS( 40 ),2357475.360000000335276,2101883.040000000037253,2087900.480000000214204,1956116.099999999860302,2119687.400000000372529,10623062.380000000819564
FS( 41 ),2338810.559999999590218,2080907.119999999878928,2081000.080000000307336,1947712.799999999813735,2102154.500000000000000,10550585.059999998658895
FS( 42 ),2350009.439999999478459,2108304.240000000223517,2115183.600000000558794,1956116.099999999860302,2111717.899999999441206,10641331.280000001192093
FS( 43 ),2347165.280000000260770,2103167.280000000260770,2104886.080000000540167,1938375.800000000046566,2109399.500000000000000,10602993.940000001341105
FS( 44 ),2354808.959999999962747,2139554.080000000074506,2110300.240000000223517,1957049.800000000046566,2127077.299999999813735,10688790.379999998956919
FS( 45 ),2396582.559999999590218,2140410.240000000223517,2119323.840000000316650,1971522.149999999674037,2138089.700000000186265,10765928.490000002086163
FS( 46 ),2416491.679999999701977,2173800.480000000447035,2124631.840000000316650,1983193.399999999674037,2171416.700000000186265,10869534.100000001490116
FS( 47 ),2439067.200000000186265,2200341.439999999478459,2155630.560000000521541,1993930.949999999953434,2159100.200000000186265,10948070.350000001490116
FS( 48 ),2453821.280000000260770,2204194.160000000149012,2181427.439999999944121,2003734.800000000046566,2166779.900000000372529,11009957.580000001937151
FS( 49 ),2436578.559999999590218,2199485.280000000260770,2137052.560000000521541,2010737.549999999813735,2163737.000000000000000,10947590.949999999254942
FS( 50 ),2401204.320000000298023,2197344.879999999888241,2157859.919999999925494,1992063.550000000046566,2161853.299999999813735,10910325.969999998807907
FS( 51 ),2412580.959999999962747,2210615.360000000335276,2175588.640000000130385,2011204.399999999674037,2169677.899999999441206,10979667.260000001639128
FS( 52 ),2519592.480000000447035,2188783.280000000260770,2170917.600000000558794,1984127.099999999860302,2165041.099999999627471,11028461.560000000521541
FS( 53 ),2517992.639999999664724,2196488.719999999739230,2179410.400000000372529,1996265.199999999720603,2175184.100000000558794,11065341.059999998658895
FS( 54 ),2505904.959999999962747,2177653.200000000186265,2163698.720000000204891,2001867.399999999906868,2172431.000000000000000,11021555.280000001192093
FS( 55 ),2475152.480000000447035,2167807.360000000335276,2171129.919999999925494,2010737.549999999813735,2178371.900000000372529,11003199.210000000894070
FS( 56 ),2505016.160000000149012,2188355.200000000186265,2171554.560000000521541,2030812.099999999860302,2196774.200000000186265,11092512.220000002533197
FS( 57 ),2524569.759999999776483,2211471.519999999552965,2177605.680000000167638,2035480.599999999860302,2205323.299999999813735,11154450.859999999403954
FS( 58 ),2492750.719999999739230,2206762.639999999664724,2168475.919999999925494,2038748.550000000046566,2195035.399999999441206,11101773.230000000447035
