代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11272630.690000001341105
真實報酬,1272630.690000001341105

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,20663.951892106451851
風險,106030.446916488843272
起點值,0.194886964009325
找到最佳解世代,2047
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
DIS[6](5),INTC[11](1),PG[21](15),
Stock#,DIS[6](5),INTC[11](1),PG[21](15),
張數,39555,122279,41480,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,33.150000000372529,7.459999999962747,0.200000000186265,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3317906.550000000279397,3382244.600000000093132,3315496.600000000558794,10015648.750000000000000
FS( 3 ),3332146.350000000093132,3374907.860000000335276,3312593.000000000000000,10019648.210000000894070
FS( 4 ),3353506.050000000279397,3382244.600000000093132,3322963.000000000000000,10058714.650000000372529
FS( 5 ),3346781.700000000186265,3444606.890000000130385,3319644.600000000093132,10111034.189999999478459
FS( 6 ),3381194.550000000745058,3412814.350000000093132,3322133.400000000372529,10116143.300000000745058
FS( 7 ),3352319.400000000372529,3453166.419999999925494,3324622.200000000651926,10130109.020000001415610
FS( 8 ),3334915.200000000651926,3415259.929999999701977,3320889.000000000465661,10071065.130000000819564
FS( 9 ),3275187.150000000372529,3418928.300000000279397,3308445.000000000465661,10002561.450000001117587
FS( 10 ),3275187.150000000372529,3652481.189999999944121,3303467.400000000372529,10231136.740000000223517
FS( 11 ),3294964.650000000372529,3669600.250000000000000,3305541.399999999906868,10270107.300000000745058
FS( 12 ),3289426.950000000186265,3662263.509999999776483,3300978.600000000093132,10252670.060000000521541
FS( 13 ),3306040.050000000279397,3659817.929999999701977,3309689.400000000372529,10275548.380000000819564
FS( 14 ),3313555.500000000000000,3679382.569999999832362,3328355.399999999906868,10321294.470000000670552
FS( 15 ),3275978.250000000000000,3692833.259999999776483,3315496.600000000558794,10284309.109999999403954
FS( 16 ),3273604.950000000651926,3696501.629999999888241,3298489.799999999813735,10268597.379999998956919
FS( 17 ),3270440.550000000745058,3729516.959999999962747,3277335.000000000465661,10277293.510000001639128
FS( 18 ),3318697.650000000372529,3775982.979999999981374,3290193.799999999813735,10384875.429999999701977
FS( 19 ),3340452.900000000372529,3763755.080000000074506,3261157.800000000279397,10365366.780000001192093
FS( 20 ),3374074.650000000372529,3782096.929999999701977,3277749.799999999813735,10433922.379999998956919
FS( 21 ),3391478.850000000093132,3778428.559999999590218,3259913.400000000372529,10429821.810000000521541
FS( 22 ),3420354.000000000465661,3788210.879999999888241,3288534.600000000093132,10497100.480000000447035
FS( 23 ),3419167.350000000093132,3788210.879999999888241,3300149.000000000465661,10507528.230000000447035
FS( 24 ),3434989.350000000558794,3807775.520000000018626,3317570.600000000558794,10560336.470000002533197
FS( 25 ),3425100.600000000558794,3794324.830000000074506,3326281.399999999906868,10545707.830000000074506
FS( 26 ),3396225.450000000186265,3764977.869999999646097,3341629.000000000465661,10502833.320000000298023
FS( 27 ),3450020.250000000465661,3777205.770000000018626,3387671.800000000279397,10614898.820000000298023
FS( 28 ),3435780.450000000186265,3822449.000000000000000,3385183.000000000000000,10643413.449999999254942
FS( 29 ),3436967.100000000558794,3821226.209999999962747,3366517.000000000000000,10624711.310000000521541
FS( 30 ),3431824.950000000651926,3850573.169999999925494,3373153.799999999813735,10655552.920000001788139
FS( 31 ),3407696.400000000372529,3877474.550000000279397,3370665.000000000465661,10655836.950000001117587
FS( 32 ),3376052.400000000372529,4236974.809999999590218,3357391.399999999906868,10970419.609999999403954
FS( 33 ),3363394.800000000279397,4120809.760000000242144,3334992.200000000651926,10819197.760000001639128
FS( 34 ),3394247.700000000651926,4120809.760000000242144,3341214.200000000186265,10856272.660000000149012
FS( 35 ),3391478.850000000093132,4164830.200000000186265,3330014.600000000093132,10886324.650000000372529
FS( 36 ),3410069.700000000186265,4254093.870000000111759,3322548.199999999720603,10986712.769999999552965
FS( 37 ),3403345.350000000558794,4218632.959999999962747,3317985.399999999906868,10939964.710000000894070
FS( 38 ),3433407.150000000372529,4188063.209999999962747,3329185.000000000465661,10950656.360000001266599
FS( 39 ),3410860.800000000745058,4188063.209999999962747,3300149.000000000465661,10899074.010000001639128
FS( 40 ),3447251.400000000372529,4185617.629999999422580,3287705.000000000465661,10920575.029999999329448
FS( 41 ),3409674.150000000372529,4180726.469999999739230,3262402.200000000651926,10852803.820000000298023
FS( 42 ),3449624.700000000186265,4200291.110000000335276,3242077.000000000000000,10891993.810000000521541
FS( 43 ),3397016.550000000279397,4144042.770000000018626,3207233.799999999813735,10748294.120000001043081
FS( 44 ),3377239.050000000279397,4125700.920000000391155,3303882.200000000651926,10806823.170000001788139
FS( 45 ),3450811.350000000093132,4163607.409999999683350,3286045.800000000279397,10900465.560000000521541
FS( 46 ),3431429.400000000372529,4013204.240000000223517,3293927.000000000000000,10738561.640000000596046
FS( 47 ),3425100.600000000558794,4016872.610000000335276,3363613.400000000372529,10805587.610000001266599
FS( 48 ),3382381.200000000651926,3996085.179999999701977,3324207.400000000372529,10702674.780000001192093
FS( 49 ),3435384.900000000372529,3986302.860000000335276,3357806.200000000186265,10779494.960000000894070
FS( 50 ),3461095.650000000372529,4037660.040000000502914,3379790.600000000558794,10878547.290000002831221
FS( 51 ),3449624.700000000186265,4051110.730000000447035,3377301.800000000279397,10878038.230000000447035
FS( 52 ),3465051.150000000372529,4169721.360000000335276,3379790.600000000558794,11014564.110000001266599
FS( 53 ),3505001.700000000186265,4150156.719999999739230,3399286.200000000186265,11054445.620000001043081
FS( 54 ),3531503.550000000279397,4178280.890000000130385,3392234.600000000093132,11102020.040000000968575
FS( 55 ),3558796.500000000465661,4207627.849999999627471,3419611.399999999906868,11186036.750000000000000
FS( 56 ),3563543.100000000558794,4199068.320000000298023,3429981.399999999906868,11192593.820000000298023
FS( 57 ),3553654.350000000558794,4218632.959999999962747,3434959.000000000465661,11207247.310000000521541
FS( 58 ),3575014.050000000279397,4298114.309999999590218,3454454.600000000093132,11327583.959999999031425
FS( 59 ),3579365.100000000093132,4272435.719999999739230,3459017.400000000372529,11310819.220000000670552
FS( 60 ),3575014.050000000279397,4256539.450000000186265,3465239.400000000372529,11296793.900000000372529
FS( 61 ),3560774.250000000000000,4255316.659999999217689,3458602.600000000093132,11274694.509999999776483
FS( 62 ),3574618.500000000465661,4254093.870000000111759,3455699.000000000465661,11284412.370000001043081
FS( 63 ),3569080.800000000745058,4236974.809999999590218,3444084.600000000093132,11250141.210000000894070
FS( 64 ),3555236.550000000279397,4269990.140000000596046,3447403.000000000000000,11272630.690000001341105
