代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11299344.649999998509884
真實報酬,1299344.649999998509884

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,20383.653657891656621
風險,65778.018702849090914
起點值,0.309885491534405
找到最佳解世代,3221
找到最佳解實驗#,6
找到最佳解次數,24

stock[index](rank)
投資組合檔數,3
JNJ[12](1),MMM[16](10),VZ[26](2),
Stock#,JNJ[12](1),MMM[16](10),VZ[26](2),
張數,44935,32821,74805,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,54.699999999720603,32.239999999757856,22.199999999720603,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3330187.549999999813735,3307404.409999999683350,3330340.799999999813735,9967933.759999997913837
FS( 3 ),3354901.799999999348074,3331035.529999999795109,3333333.000000000000000,10019271.329999998211861
FS( 4 ),3387704.349999999627471,3370420.729999999515712,3347545.949999999720603,10105672.029999999329448
FS( 5 ),3372875.799999999813735,3354994.859999999869615,3325852.500000000000000,10053724.160000000149012
FS( 6 ),3391748.500000000000000,3369436.099999999627471,3317623.949999999720603,10078809.549999998882413
FS( 7 ),3388603.049999999348074,3368123.259999999776483,3315379.799999999813735,10072107.109999999403954
FS( 8 ),3406127.699999999720603,3395692.899999999441206,3324356.399999999441206,10126178.000000000000000
FS( 9 ),3399836.799999999348074,3376000.299999999813735,3330340.799999999813735,10106178.899999998509884
FS( 10 ),3406577.049999999813735,3373374.619999999646097,3316127.849999999627471,10096080.519999999552965
FS( 11 ),3422304.299999999348074,3388144.069999999832362,3321364.199999999720603,10131813.569999998435378
FS( 12 ),3458252.299999999348074,3419324.020000000018626,3328844.699999999720603,10206422.019999999552965
FS( 13 ),3444322.450000000186265,3385518.390000000130385,3360262.799999999813735,10190104.640000000596046
FS( 14 ),3454208.149999999906868,3371405.359999999869615,3375223.799999999348074,10200838.309999998658895
FS( 15 ),3426348.449999999720603,3398318.580000000074506,3396169.199999999720603,10220837.229999998584390
FS( 16 ),3395792.649999999441206,3339568.989999999757856,3420106.799999999813735,10155469.439999997615814
FS( 17 ),3403880.949999999720603,3357948.750000000000000,3450028.799999999348074,10211859.499999998137355
FS( 18 ),3429493.899999999441206,3399303.209999999497086,3467233.949999999720603,10296032.059999998658895
