代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11070848.290000000968575
真實報酬,1070848.290000000968575

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,19710.018097581552865
風險,72163.795730777463177
起點值,0.273128899304493
找到最佳解世代,2224
找到最佳解實驗#,2
找到最佳解次數,45

stock[index](rank)
投資組合檔數,5
BA[2](7),JNJ[12](13),MCD[15](1),UNH[23](2),WMT[28](10),
Stock#,BA[2](7),JNJ[12](13),MCD[15](1),UNH[23](2),WMT[28](10),
張數,11321,16039,15430,12078,27843,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,145.349999999860302,97.090000000083819,117.699999999720603,3.979999999981374,37.310000000055879,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2023208.049999999813735,1999839.610000000102445,1995062.399999999674037,1992511.639999999897555,2005011.740000000223517,10015633.439999999478459
FS( 3 ),2004868.030000000027940,2001764.290000000037253,2012343.999999999767169,1997342.840000000083819,1994988.260000000242144,10011307.419999999925494
FS( 4 ),2008151.119999999878928,2005774.040000000037253,2008332.199999999720603,1996980.500000000000000,1988862.800000000279397,10008100.660000000149012
FS( 5 ),2024906.199999999720603,2003688.970000000204891,2005400.499999999767169,2005193.540000000037253,2029792.010000000242144,10068981.220000000670552
FS( 6 ),2010302.109999999869615,1994386.350000000093132,2005709.099999999627471,1998671.419999999925494,2034246.890000000130385,10043315.869999999180436
FS( 7 ),2021736.319999999832362,1992461.670000000158325,2024533.699999999487773,2002898.720000000204891,2044548.800000000279397,10086179.210000000894070
FS( 8 ),1993207.399999999906868,2011387.690000000176951,2025459.499999999534339,1999637.659999999916181,2044827.229999999981374,10074519.480000000447035
FS( 9 ),1988339.369999999878928,2004811.699999999953434,2017744.499999999534339,1992390.860000000102445,2036752.760000000242144,10040039.189999999478459
FS( 10 ),2026830.770000000018626,2016520.170000000158325,2026848.199999999720603,2019204.020000000018626,2046219.379999999888241,10135622.539999999105930
FS( 11 ),2013585.199999999720603,1953968.070000000065193,2041506.699999999953434,2036234.000000000000000,2057356.580000000074506,10102650.550000000745058
FS( 12 ),2019811.750000000000000,1946750.520000000251457,2046752.899999999441206,2044205.479999999981374,2062368.319999999832362,10119888.970000000670552
FS( 13 ),2030000.649999999906868,1954770.020000000251457,2056473.799999999813735,2071864.099999999860302,2082693.709999999962747,10195802.279999999329448
FS( 14 ),2042227.329999999841675,1953005.730000000214204,2058633.999999999767169,2067274.459999999962747,2086591.729999999981374,10207733.250000000000000
FS( 15 ),2061246.609999999869615,1971129.800000000046566,2071286.599999999627471,2081405.720000000204891,2082136.850000000093132,10267205.580000000074506
FS( 16 ),2077662.059999999823049,1979790.860000000102445,2186548.699999999720603,2102059.100000000093132,2089654.459999999962747,10435715.179999999701977
FS( 17 ),2057284.260000000009313,1981073.980000000214204,2173278.899999999906868,2106165.620000000111759,2100234.800000000279397,10418037.560000000521541
FS( 18 ),2074378.969999999739230,1984762.949999999953434,2173741.799999999813735,2109185.120000000111759,2100513.229999999981374,10442582.070000000298023
FS( 19 ),2092605.780000000027940,1980432.420000000158325,2159237.599999999627471,2112204.620000000111759,2093274.050000000279397,10437754.470000000670552
FS( 20 ),2064982.539999999804422,1978347.350000000093132,2178062.199999999720603,2108702.000000000000000,2094666.200000000186265,10424760.289999999105930
FS( 21 ),2076869.589999999850988,1984121.390000000130385,2179296.599999999627471,2103266.899999999906868,2102740.669999999925494,10446295.150000000372529
FS( 22 ),2076303.539999999804422,1978186.959999999962747,2200744.299999999813735,2083942.099999999860302,2109422.990000000223517,10448599.890000000596046
FS( 23 ),2072680.819999999832362,1988131.140000000130385,2213551.199999999720603,2101817.540000000037253,2125571.930000000167638,10501752.630000000819564
FS( 24 ),2094643.559999999823049,1981073.980000000214204,2221420.500000000000000,2103025.339999999850988,2130026.810000000055879,10530190.189999999478459
FS( 25 ),2106077.769999999552965,1976903.840000000083819,2225740.899999999906868,2106890.299999999813735,2119446.470000000204891,10535059.279999999329448
FS( 26 ),2116153.459999999962747,1976262.280000000027940,2227592.500000000000000,2092396.700000000186265,2136152.270000000018626,10548557.210000000894070
FS( 27 ),2073926.129999999888241,1969846.680000000167638,2230061.299999999813735,2094208.399999999906868,2135595.410000000149012,10503637.919999999925494
FS( 28 ),2082530.089999999850988,1976101.890000000130385,2225278.000000000000000,2093362.939999999944121,2119724.899999999906868,10496997.820000000298023
FS( 29 ),2074718.599999999860302,1983159.050000000046566,2243022.500000000000000,2075125.159999999916181,2108030.839999999850988,10484056.150000000372529
FS( 30 ),2064982.539999999804422,2036889.699999999953434,2257218.099999999627471,2071743.320000000065193,2124179.780000000260770,10555013.440000001341105
FS( 31 ),2068492.049999999813735,2049400.120000000111759,2272802.399999999441206,2030557.340000000083819,2091325.040000000037253,10512576.949999999254942
FS( 32 ),2024113.729999999981374,2031757.220000000204891,2259223.999999999534339,2039495.060000000055879,2091603.470000000204891,10446193.480000000447035
FS( 33 ),2008490.750000000000000,2036568.920000000158325,2268481.999999999534339,2070777.079999999841675,2158983.530000000260770,10543302.280000001192093
FS( 34 ),2046529.309999999823049,2037050.090000000083819,2286072.199999999720603,2084546.000000000000000,2193230.419999999925494,10647428.019999999552965
FS( 35 ),2079473.419999999692664,2041220.230000000214204,2286689.399999999906868,2110030.580000000074506,2187104.959999999962747,10704518.589999999850988
FS( 36 ),2077435.639999999897555,2045390.370000000111759,2280980.299999999813735,2116311.140000000130385,2185434.379999999888241,10705551.829999998211861
FS( 37 ),2097360.599999999627471,2045229.980000000214204,2306902.699999999720603,2120780.000000000000000,2175967.760000000242144,10746241.039999999105930
FS( 38 ),2117964.819999999366701,2045550.760000000009313,2311223.099999999627471,2150491.879999999888241,2180422.640000000130385,10805653.199999999254942
FS( 39 ),2112530.740000000223517,2035766.970000000204891,2312457.500000000000000,2143848.979999999981374,2175410.899999999906868,10780015.090000001713634
FS( 40 ),2115813.830000000074506,2038814.380000000121072,2313537.599999999627471,2132858.000000000000000,2175967.760000000242144,10776991.569999998435378
FS( 41 ),2124304.580000000074506,2057098.840000000083819,2328350.399999999441206,2115828.020000000018626,2188497.109999999869615,10814078.949999999254942
FS( 42 ),2120795.069999999366701,2065599.510000000009313,2351495.399999999441206,2168971.220000000204891,2222187.140000000130385,10929048.339999999850988
FS( 43 ),2153739.179999999701977,2086450.210000000195578,2372325.899999999906868,2166676.399999999906868,2216896.970000000204891,10996088.660000000149012
FS( 44 ),2139248.299999999813735,2090941.130000000353903,2357667.399999999441206,2166434.839999999850988,2234716.490000000223517,10989008.159999998286366
FS( 45 ),2114342.099999999627471,2098479.459999999962747,2333596.599999999627471,2183947.939999999944121,2197685.300000000279397,10928051.400000000372529
FS( 46 ),2129625.450000000186265,2097196.339999999850988,2344551.899999999906868,2212814.359999999869615,2203810.760000000242144,10987998.809999998658895
FS( 47 ),2150342.879999999888241,2093988.540000000270084,2336682.599999999627471,2194455.799999999813735,2197685.300000000279397,10973155.120000001043081
FS( 48 ),2151474.979999999515712,2109706.759999999776483,2337454.099999999627471,2191677.859999999869615,2211328.370000000111759,11001642.070000000298023
FS( 49 ),2151135.349999999627471,2114358.070000000298023,2291009.799999999813735,2164985.479999999981374,2206316.629999999888241,10927805.329999998211861
FS( 50 ),2163475.240000000223517,2117565.870000000111759,2311840.299999999813735,2186725.879999999888241,2214112.669999999925494,10993719.959999999031425
FS( 51 ),2178079.330000000074506,2129595.120000000111759,2325110.099999999627471,2202548.060000000055879,2224693.010000000242144,11060025.619999999180436
FS( 52 ),2212834.799999999813735,2133925.650000000372529,2332670.799999999348074,2178633.620000000111759,2197128.439999999944121,11055193.310000000521541
FS( 53 ),2224042.589999999850988,2154936.740000000223517,2345323.399999999906868,2193731.120000000111759,2094944.629999999888241,11012978.480000000447035
FS( 54 ),2253930.030000000260770,2150445.820000000298023,2363067.899999999441206,2210519.540000000037253,2102183.810000000055879,11080147.099999999627471
FS( 55 ),2245439.280000000260770,2152851.669999999925494,2377417.799999999813735,2213539.040000000037253,2103297.530000000260770,11092545.320000000298023
FS( 56 ),2254948.919999999925494,2163918.580000000074506,2372171.599999999627471,2233467.739999999757856,2122787.629999999888241,11147294.469999998807907
FS( 57 ),2258005.589999999850988,2182203.040000000037253,2388681.699999999720603,2252550.979999999981374,2102740.669999999925494,11184181.980000000447035
FS( 58 ),2289591.179999999701977,2188297.860000000335276,2386212.899999999441206,2237453.479999999981374,2083807.430000000167638,11185362.849999999627471
FS( 59 ),2264118.929999999701977,2186854.350000000558794,2375720.500000000000000,2235883.339999999850988,2102183.810000000055879,11164760.930000001564622
FS( 60 ),2251779.040000000037253,2165522.479999999515712,2372017.299999999813735,2229602.779999999795109,2116383.740000000223517,11135305.339999999850988
FS( 61 ),2260043.370000000111759,2146436.070000000298023,2380966.699999999720603,2242888.580000000074506,2130305.240000000223517,11160639.960000000894070
FS( 62 ),2235590.009999999776483,2127510.049999999813735,2362913.599999999627471,2237695.040000000037253,2114156.300000000279397,11077865.000000000000000
FS( 63 ),2238873.099999999627471,2121896.400000000372529,2363376.499999999534339,2239506.739999999757856,2107195.550000000279397,11070848.290000000968575
