代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12185669.730000000447035
真實報酬,2185669.730000000447035

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,33363.936539534115582
風險,313414.502537392603699
起點值,0.106453071792852
找到最佳解世代,1935
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
HD[9](2),INTC[11](1),
Stock#,HD[9](2),INTC[11](1),
張數,151837,250125,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,7.589999999850988,1.250000000000000,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4886122.250000000000000,4912456.250000000000000,9798578.500000000000000
FS( 3 ),4866383.439999999478459,4887443.750000000000000,9753827.189999999478459
FS( 4 ),4990889.779999999329448,5022511.250000000000000,10013401.029999999329448
FS( 5 ),4928636.610000000335276,4977488.750000000000000,9906125.359999999403954
FS( 6 ),4839052.780000000260770,4927463.750000000000000,9766516.530000001192093
FS( 7 ),4911934.540000000037253,5072536.250000000000000,9984470.789999999105930
FS( 8 ),4959004.009999999776483,5192596.250000000000000,10151600.259999999776483
FS( 9 ),5092620.569999999366701,5282641.250000000000000,10375261.820000000298023
FS( 10 ),5204979.950000000186265,5387693.750000000000000,10592673.699999999254942
FS( 11 ),5255086.160000000149012,5495247.500000000000000,10750333.660000000149012
FS( 12 ),5215608.540000000037253,5485242.500000000000000,10700851.039999999105930
FS( 13 ),5285453.560000000521541,5552776.250000000000000,10838229.810000000521541
FS( 14 ),5138171.669999999925494,5487743.750000000000000,10625915.419999999925494
FS( 15 ),5018220.439999999478459,5407703.750000000000000,10425924.189999999478459
FS( 16 ),5119951.229999999515712,5542771.250000000000000,10662722.480000000447035
FS( 17 ),5162465.589999999850988,5562781.250000000000000,10725246.839999999850988
FS( 18 ),5144245.150000000372529,5637818.750000000000000,10782063.900000000372529
FS( 19 ),5101730.790000000037253,5580290.000000000000000,10682020.789999999105930
FS( 20 ),5130579.819999999366701,5555277.500000000000000,10685857.320000000298023
FS( 21 ),4990889.779999999329448,5337668.750000000000000,10328558.529999999329448
FS( 22 ),4796538.419999999925494,5157578.750000000000000,9954117.169999999925494
FS( 23 ),4930154.979999999515712,5307653.750000000000000,10237808.730000000447035
FS( 24 ),4984816.299999999813735,5465232.500000000000000,10450048.800000000745058
FS( 25 ),5068326.650000000372529,5510255.000000000000000,10578581.650000000372529
FS( 26 ),5150318.629999999888241,5575287.500000000000000,10725606.129999998956919
FS( 27 ),5262678.009999999776483,5722861.250000000000000,10985539.259999999776483
FS( 28 ),5270269.860000000335276,5750375.000000000000000,11020644.859999999403954
FS( 29 ),5271788.229999999515712,5782891.250000000000000,11054679.480000000447035
FS( 30 ),5224718.759999999776483,5850425.000000000000000,11075143.759999999776483
FS( 31 ),5321894.439999999478459,5877938.750000000000000,11199833.189999999478459
FS( 32 ),5261159.639999999664724,5822911.250000000000000,11084070.890000000596046
FS( 33 ),5458547.740000000223517,5852926.250000000000000,11311473.990000000223517
FS( 34 ),5375037.389999999664724,6063031.250000000000000,11438068.640000000596046
FS( 35 ),5425143.599999999627471,5905452.500000000000000,11330596.099999999627471
FS( 36 ),5596719.410000000149012,6010505.000000000000000,11607224.410000000149012
FS( 37 ),5572425.490000000223517,6150575.000000000000000,11723000.490000000223517
FS( 38 ),5472213.069999999366701,6160580.000000000000000,11632793.070000000298023
FS( 39 ),5549649.939999999478459,6178088.750000000000000,11727738.689999999478459
FS( 40 ),5674156.279999999329448,6285642.500000000000000,11959798.779999999329448
FS( 41 ),5484360.029999999329448,6248123.750000000000000,11732483.779999999329448
FS( 42 ),5435772.189999999478459,6138068.750000000000000,11573840.939999999478459
FS( 43 ),5396294.569999999366701,5977988.750000000000000,11374283.320000000298023
FS( 44 ),5464621.219999999739230,5965482.500000000000000,11430103.719999998807907
FS( 45 ),5534466.240000000223517,6053026.250000000000000,11587492.490000000223517
FS( 46 ),5525356.019999999552965,5937968.750000000000000,11463324.769999999552965
FS( 47 ),5669601.169999999925494,6073036.250000000000000,11742637.419999999925494
FS( 48 ),5760703.369999999180436,6190595.000000000000000,11951298.369999999180436
FS( 49 ),5642270.509999999776483,5962981.250000000000000,11605251.759999999776483
FS( 50 ),5648343.990000000223517,6018008.750000000000000,11666352.740000000223517
FS( 51 ),5778923.810000000521541,6215607.500000000000000,11994531.310000000521541
FS( 52 ),5807772.839999999850988,6160580.000000000000000,11968352.839999999850988
FS( 53 ),5780442.179999999701977,6338168.750000000000000,12118610.929999999701977
FS( 54 ),5745519.669999999925494,6238118.750000000000000,11983638.419999999925494
FS( 55 ),5712115.529999999329448,6088043.750000000000000,11800159.279999999329448
FS( 56 ),5751593.150000000372529,6075537.500000000000000,11827130.650000000372529
FS( 57 ),5627086.810000000521541,5895447.500000000000000,11522534.310000000521541
FS( 58 ),5633160.290000000037253,5812906.250000000000000,11446066.539999999105930
FS( 59 ),5545094.830000000074506,5677838.750000000000000,11222933.580000000074506
FS( 60 ),5537502.979999999515712,5685342.500000000000000,11222845.480000000447035
FS( 61 ),5663527.689999999478459,5867933.750000000000000,11531461.439999999478459
FS( 62 ),5915577.110000000335276,5897948.750000000000000,11813525.859999999403954
FS( 63 ),5955054.729999999515712,6230615.000000000000000,12185669.730000000447035
