代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11873169.609999999403954
真實報酬,1873169.609999999403954

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,30364.456688163441868
風險,64005.363933655433357
起點值,0.474404875185736
找到最佳解世代,2798
找到最佳解實驗#,1
找到最佳解次數,13

stock[index](rank)
投資組合檔數,4
CVX[5](1),JPM[13](3),MMM[16](15),XOM[29](6),
Stock#,CVX[5](1),JPM[13](3),MMM[16](15),XOM[29](6),
張數,30229,65530,29052,35048,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,61.699999999720603,30.500000000000000,75.399999999906868,26.160000000149012,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2554412.199999999720603,2576014.800000000279397,2513363.919999999925494,2505257.200000000186265,10149048.120000001043081
FS( 3 ),2566201.509999999776483,2595673.799999999813735,2525856.279999999795109,2495093.280000000260770,10182824.870000001043081
FS( 4 ),2568015.250000000000000,2615332.799999999813735,2524113.159999999683350,2499299.040000000037253,10206760.250000000000000
FS( 5 ),2608824.399999999441206,2572083.000000000000000,2445963.279999999795109,2504556.239999999757856,10131426.919999999925494
FS( 6 ),2603987.759999999776483,2638268.299999999813735,2460198.760000000242144,2518224.959999999962747,10220679.780000001192093
FS( 7 ),2619404.549999999813735,2674309.800000000279397,2443639.120000000111759,2523482.160000000149012,10260835.629999998956919
FS( 8 ),2630891.569999999832362,2714938.399999999906868,2449740.039999999571592,2529790.800000000279397,10325360.810000000521541
FS( 9 ),2671398.429999999701977,2720180.799999999813735,2478211.000000000000000,2536099.439999999944121,10405889.669999999925494
FS( 10 ),2671700.719999999739230,2672999.199999999720603,2493899.080000000074506,2529790.800000000279397,10368389.800000000745058
FS( 11 ),2660515.989999999757856,2634991.800000000279397,2493027.520000000018626,2518224.959999999962747,10306760.269999999552965
FS( 12 ),2692256.439999999944121,2621885.799999999813735,2510168.200000000186265,2531192.720000000204891,10355503.160000000149012
FS( 13 ),2675025.909999999683350,2599605.600000000093132,2509296.640000000130385,2529440.320000000298023,10313368.470000000670552
FS( 14 ),2684396.899999999441206,2617954.000000000000000,2537477.080000000074506,2531192.720000000204891,10371020.699999999254942
FS( 15 ),2697395.369999999646097,2686760.500000000000000,2513944.959999999962747,2548716.720000000204891,10446817.549999998882413
FS( 16 ),2718253.379999999888241,2762775.299999999813735,2519464.839999999850988,2551520.560000000055879,10552014.080000000074506
FS( 17 ),2741227.419999999925494,2757532.899999999906868,2512201.839999999850988,2565539.760000000242144,10576501.919999999925494
FS( 18 ),2724299.179999999701977,2796195.600000000093132,2527889.919999999925494,2558880.640000000130385,10607265.339999999850988
FS( 19 ),2756644.209999999497086,2792263.799999999813735,2520045.879999999888241,2573250.320000000298023,10642204.210000000894070
FS( 20 ),2762085.429999999701977,2775881.299999999813735,2520626.919999999925494,2571497.920000000391155,10630091.570000000298023
FS( 21 ),2769038.099999999627471,2767362.399999999906868,2514235.479999999981374,2571147.439999999944121,10621783.419999999925494
FS( 22 ),2758457.949999999720603,2779813.100000000093132,2507263.000000000000000,2562735.920000000391155,10608269.970000000670552
FS( 23 ),2779315.959999999497086,2855827.899999999906868,2521498.479999999981374,2612854.560000000055879,10769496.900000000372529
FS( 24 ),2769038.099999999627471,2893835.299999999813735,2518012.239999999757856,2625121.360000000335276,10806007.000000000000000
FS( 25 ),2764201.459999999497086,2929221.500000000000000,2518012.239999999757856,2618111.760000000242144,10829546.959999999031425
FS( 26 ),2741529.709999999497086,2914804.899999999906868,2502614.679999999701977,2634934.800000000279397,10793884.089999999850988
FS( 27 ),2756644.209999999497086,2859759.700000000186265,2505229.359999999869615,2649304.480000000447035,10770937.750000000000000
FS( 28 ),2733065.589999999385327,2844032.500000000000000,2531957.200000000186265,2633182.399999999906868,10742237.689999999478459
FS( 29 ),2775990.769999999552965,2857138.500000000000000,2549097.879999999888241,2652809.280000000260770,10835036.429999999701977
FS( 30 ),2794732.750000000000000,2929876.800000000279397,2575825.719999999739230,2684002.000000000000000,10984437.269999999552965
FS( 31 ),2786570.919999999925494,2912839.000000000000000,2557813.479999999981374,2688558.239999999757856,10945781.640000000596046
FS( 32 ),2806219.769999999552965,2942982.799999999813735,2559556.599999999627471,2728162.480000000447035,11036921.649999998509884
FS( 33 ),2821938.849999999627471,2932498.000000000000000,2560718.679999999701977,2758654.239999999757856,11073809.769999999552965
FS( 34 ),2810451.829999999608845,2864346.800000000279397,2555489.319999999832362,2742181.680000000167638,10972469.629999998956919
FS( 35 ),2802592.289999999571592,2932498.000000000000000,2557813.479999999981374,2725008.160000000149012,11017911.929999999701977
FS( 36 ),2834937.319999999832362,2967884.199999999720603,2594128.479999999981374,2768117.200000000186265,11165067.199999999254942
FS( 37 ),2844610.599999999627471,2950191.100000000093132,2624052.039999999571592,2754448.480000000447035,11173302.219999998807907
FS( 38 ),2844006.019999999552965,2940361.599999999627471,2571177.399999999906868,2757602.800000000279397,11113147.820000000298023
FS( 39 ),2860934.259999999776483,2947569.899999999906868,2602263.039999999571592,2791949.839999999850988,11202717.039999999105930
FS( 40 ),2864259.449999999720603,2955433.500000000000000,2591223.279999999795109,2799660.399999999906868,11210576.629999998956919
FS( 41 ),2822543.429999999701977,2918736.699999999720603,2540382.279999999795109,2768467.680000000167638,11050130.089999997988343
FS( 42 ),2869700.669999999925494,2944948.699999999720603,2554327.239999999757856,2827698.800000000279397,11196675.410000000149012
