代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11308666.800000000745058
真實報酬,1308666.800000000745058

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,22374.377505151336663
風險,189114.640073209913680
起點值,0.118311186783264
找到最佳解世代,2324
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MCD[15](2),VZ[26](1),
Stock#,MCD[15](2),VZ[26](1),
張數,75346,196540,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,39.440000000409782,22.399999999441206,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5106237.860000000335276,5068788.999999999068677,10175026.859999999403954
FS( 3 ),5112265.540000000037253,5078615.999999999068677,10190881.539999999105930
FS( 4 ),5025617.640000000596046,5000000.000000000000000,10025617.640000000596046
FS( 5 ),5029384.940000000409782,4976415.199999999254942,10005800.140000000596046
FS( 6 ),5152198.919999999925494,5086477.599999999627471,10238676.519999999552965
FS( 7 ),5143157.400000000372529,5104166.199999999254942,10247323.599999999627471
FS( 8 ),5226791.460000000894070,5208332.399999999441206,10435123.859999999403954
FS( 9 ),5239600.280000001192093,5247640.399999999441206,10487240.679999999701977
FS( 10 ),5221517.240000000223517,5261398.199999999254942,10482915.439999999478459
FS( 11 ),5304397.840000000782311,5349841.199999999254942,10654239.039999999105930
FS( 12 ),5296109.780000001192093,5361633.599999999627471,10657743.380000000819564
FS( 13 ),5278026.740000000223517,5345910.399999999441206,10623937.140000000596046
FS( 14 ),5265217.919999999925494,5351806.599999999627471,10617024.519999999552965
FS( 15 ),5268231.760000000707805,5340014.200000000186265,10608245.960000000894070
FS( 16 ),5171788.880000000819564,5340014.200000000186265,10511803.080000001937151
FS( 17 ),5171035.419999999925494,5389149.200000000186265,10560184.620000001043081
FS( 18 ),5103224.020000000484288,5322325.599999998696148,10425549.619999999180436
FS( 19 ),5079866.760000000707805,5245675.000000000000000,10325541.760000001639128
FS( 20 ),5073085.620000000111759,5275155.999999999068677,10348241.619999999180436
FS( 21 ),5007534.599999999627471,5259432.799999999813735,10266967.399999998509884
FS( 22 ),4963080.460000000894070,5149370.399999999441206,10112450.859999999403954
FS( 23 ),5026371.099999999627471,5169024.399999999441206,10195395.500000000000000
FS( 24 ),4983423.880000000819564,5269259.799999998882413,10252683.679999999701977
FS( 25 ),4981163.500000000000000,5229951.799999998882413,10211115.299999998882413
FS( 26 ),5071578.700000000186265,5212263.199999999254942,10283841.899999998509884
FS( 27 ),5200420.360000000335276,5263363.599999999627471,10463783.960000000894070
FS( 28 ),5215489.560000000521541,5237813.399999999441206,10453302.960000000894070
FS( 29 ),5269738.680000000633299,5206366.999999999068677,10476105.679999999701977
FS( 30 ),5337550.080000001005828,5284983.000000000000000,10622533.080000001937151
FS( 31 ),5342070.840000000782311,5275155.999999999068677,10617226.839999999850988
FS( 32 ),5374469.620000000111759,5267294.399999999441206,10641764.019999999552965
FS( 33 ),5269738.680000000633299,5245675.000000000000000,10515413.679999999701977
FS( 34 ),5267478.299999999813735,5251571.199999999254942,10519049.500000000000000
FS( 35 ),5339810.460000000894070,5241744.200000000186265,10581554.660000000149012
FS( 36 ),5282547.500000000000000,5212263.199999999254942,10494810.699999999254942
FS( 37 ),5379743.840000000782311,5306602.399999999441206,10686346.240000000223517
FS( 38 ),5266724.840000000782311,5507073.199999999254942,10773798.039999999105930
FS( 39 ),5339810.460000000894070,5558173.599999999627471,10897984.060000000521541
FS( 40 ),5304397.840000000782311,5619100.999999999068677,10923498.839999999850988
FS( 41 ),5256929.860000000335276,5681993.799999999813735,10938923.660000000149012
FS( 42 ),5227544.919999999925494,5676097.599999999627471,10903642.519999999552965
FS( 43 ),5253916.020000000484288,5711474.799999998882413,10965390.820000000298023
FS( 44 ),5293095.940000000409782,5809744.799999998882413,11102840.739999998360872
FS( 45 ),5308165.140000000596046,5805813.999999999068677,11113979.140000000596046
FS( 46 ),5326248.180000000633299,5778298.399999999441206,11104546.580000000074506
FS( 47 ),5308165.140000000596046,5807779.399999999441206,11115944.539999999105930
FS( 48 ),5405361.480000000447035,5807779.399999999441206,11213140.879999998956919
FS( 49 ),5494269.760000000707805,5868706.799999998882413,11362976.559999998658895
FS( 50 ),5488242.080000001005828,5900153.199999999254942,11388395.280000001192093
FS( 51 ),5392552.660000000149012,5809744.799999998882413,11202297.459999999031425
FS( 52 ),5429472.200000000186265,5959115.199999999254942,11388587.399999998509884
FS( 53 ),5416663.380000000819564,5902118.599999999627471,11318781.980000000447035
FS( 54 ),5409128.780000001192093,5888360.799999999813735,11297489.580000001937151
FS( 55 ),5516873.560000000521541,5929634.200000000186265,11446507.760000001639128
FS( 56 ),5519133.940000000409782,5925703.399999999441206,11444837.339999999850988
FS( 57 ),5498037.060000000521541,5821537.199999999254942,11319574.259999999776483
FS( 58 ),5506325.120000000111759,5772402.199999999254942,11278727.320000000298023
FS( 59 ),5525915.080000001005828,5780263.799999999813735,11306178.880000000819564
FS( 60 ),5479200.560000000521541,5792056.199999999254942,11271256.759999999776483
FS( 61 ),5514613.180000000633299,5829398.799999999813735,11344011.980000000447035
FS( 62 ),5512352.799999999813735,5797952.399999999441206,11310305.199999999254942
FS( 63 ),5574889.980000000447035,5864775.999999999068677,11439665.980000000447035
FS( 64 ),5480707.480000000447035,5786160.000000000000000,11266867.480000000447035
FS( 65 ),5504818.200000000186265,5803848.599999999627471,11308666.800000000745058
