代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10705817.460000000894070
真實報酬,705817.460000000894070

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,15260.277416537643148
風險,215349.705978412326658
起點值,0.070862773400152
找到最佳解世代,1780
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
HD[9](2),NKE[19](1),
Stock#,HD[9](2),NKE[19](1),
張數,44774,98270,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,87.419999999925494,22.399999999441206,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4996418.080000000074506,5017688.599999999627471,10014106.679999999701977
FS( 3 ),5066713.259999999776483,5037342.599999999627471,10104055.859999999403954
FS( 4 ),4990597.459999999962747,5009826.999999999068677,10000424.459999999031425
FS( 5 ),4941793.799999999813735,5013757.799999999813735,9955551.599999999627471
FS( 6 ),4922093.240000000223517,4984276.799999998882413,9906370.039999999105930
FS( 7 ),4904183.639999999664724,4980345.999999999068677,9884529.639999998733401
FS( 8 ),4969105.940000000409782,5077633.299999999813735,10046739.240000000223517
FS( 9 ),4982985.879999999888241,5104166.199999999254942,10087152.079999998211861
FS( 10 ),4952091.819999999366701,5099252.699999999254942,10051344.519999999552965
FS( 11 ),4925675.160000000149012,5078615.999999999068677,10004291.160000000149012
FS( 12 ),4935525.440000000409782,5137578.000000000000000,10073103.440000001341105
FS( 13 ),4946271.200000000186265,5147405.000000000000000,10093676.199999999254942
FS( 14 ),5008059.319999999366701,5208332.399999999441206,10216391.719999998807907
FS( 15 ),5034028.240000000223517,5234865.299999999813735,10268893.539999999105930
FS( 16 ),5062683.599999999627471,5247640.399999999441206,10310324.000000000000000
FS( 17 ),5067608.740000000223517,5267294.399999999441206,10334903.140000000596046
FS( 18 ),5030446.319999999366701,5219142.099999999627471,10249588.419999998062849
FS( 19 ),5025521.179999999701977,5170007.099999999627471,10195528.279999999329448
FS( 20 ),5041639.819999999366701,5391114.599999999627471,10432754.419999998062849
FS( 21 ),4949405.379999999888241,5290879.200000000186265,10240284.580000000074506
FS( 22 ),4975822.040000000037253,5307585.099999999627471,10283407.140000000596046
FS( 23 ),5017909.599999999627471,5377356.799999998882413,10395266.399999998509884
FS( 24 ),4991940.679999999701977,5398976.199999999254942,10390916.879999998956919
FS( 25 ),4984329.099999999627471,5397010.799999999813735,10381339.899999998509884
FS( 26 ),5032685.020000000484288,5468747.899999999441206,10501432.919999999925494
FS( 27 ),4970001.419999999925494,5369495.199999999254942,10339496.619999999180436
FS( 28 ),4987015.540000000037253,5377356.799999998882413,10364372.339999999850988
FS( 29 ),5064026.819999999366701,5430422.599999999627471,10494449.419999998062849
FS( 30 ),5144620.020000000484288,5523779.099999999627471,10668399.120000001043081
FS( 31 ),5165216.059999999590218,5519848.299999999813735,10685064.359999999403954
FS( 32 ),5175066.339999999850988,5498228.899999999441206,10673295.239999998360872
FS( 33 ),5137008.440000000409782,5519848.299999999813735,10656856.740000000223517
FS( 34 ),5125367.200000000186265,5542450.399999999441206,10667817.599999999627471
FS( 35 ),5077906.759999999776483,5559156.299999999813735,10637063.059999998658895
FS( 36 ),5098055.059999999590218,5552277.399999999441206,10650332.459999999031425
FS( 37 ),5144620.020000000484288,5606325.899999999441206,10750945.919999999925494
FS( 38 ),5130740.080000000074506,5601412.399999999441206,10732152.480000000447035
FS( 39 ),5085966.080000000074506,5552277.399999999441206,10638243.480000000447035
FS( 40 ),5062683.599999999627471,5490367.299999998882413,10553050.899999998509884
FS( 41 ),5141933.580000000074506,5575862.199999999254942,10717795.779999999329448
FS( 42 ),5210437.799999999813735,5646616.599999999627471,10857054.399999998509884
FS( 43 ),5214467.459999999962747,5651530.099999999627471,10865997.559999998658895
FS( 44 ),5239988.639999999664724,5661357.099999999627471,10901345.739999998360872
FS( 45 ),5233720.280000000260770,5642685.799999999813735,10876406.080000000074506
FS( 46 ),5262375.639999999664724,5688872.699999999254942,10951248.339999999850988
FS( 47 ),5283419.419999999925494,5737025.000000000000000,11020444.419999999925494
FS( 48 ),5218944.860000000335276,5656443.599999999627471,10875388.460000000894070
FS( 49 ),5235511.240000000223517,5626962.599999999627471,10862473.839999999850988
FS( 50 ),5265509.819999999366701,5668235.999999999068677,10933745.819999998435378
FS( 51 ),5269539.479999999515712,5624014.499999999068677,10893553.979999998584390
FS( 52 ),5269539.479999999515712,5555225.500000000000000,10824764.980000000447035
FS( 53 ),5329088.899999999441206,5581758.399999999441206,10910847.299999998882413
FS( 54 ),5361773.919999999925494,5619100.999999999068677,10980874.919999998062849
FS( 55 ),5359535.219999999739230,5649564.699999999254942,11009099.919999998062849
FS( 56 ),5498334.620000000111759,5641703.099999998696148,11140037.719999998807907
FS( 57 ),5496543.660000000149012,5648581.999999999068677,11145125.660000000149012
FS( 58 ),5397145.379999999888241,5517882.899999999441206,10915028.279999999329448
FS( 59 ),5201035.259999999776483,5251571.199999999254942,10452606.459999999031425
FS( 60 ),5038953.379999999888241,5104166.199999999254942,10143119.579999998211861
FS( 61 ),4968658.200000000186265,5087460.299999999813735,10056118.500000000000000
FS( 62 ),5190737.240000000223517,5343945.000000000000000,10534682.240000000223517
FS( 63 ),5268196.259999999776483,5533606.099999999627471,10801802.359999999403954
FS( 64 ),5261927.899999999441206,5527709.899999999441206,10789637.799999998882413
FS( 65 ),5214467.459999999962747,5491350.000000000000000,10705817.460000000894070
