代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10862755.539999999105930
真實報酬,862755.539999999105930

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,17089.634608872042008
風險,113166.128630876846728
起點值,0.151013689481370
找到最佳解世代,1636
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](16),CAT[3](2),MRK[17](6),PG[21](1),VZ[26](13),
Stock#,AAPL[0](16),CAT[3](2),MRK[17](6),PG[21](1),VZ[26](13),
張數,20312,27674,35505,24452,39658,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,80.480000000214204,0.020000000018626,3.350000000093132,70.919999999925494,47.060000000055879,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),1984969.120000000111759,2037359.900000000139698,2017397.450000000186265,2003912.320000000065193,2013483.720000000204891,10057122.510000001639128
FS( 3 ),1989031.520000000251457,2076656.980000000214204,2011006.550000000046566,2016627.359999999869615,2019432.420000000158325,10112754.830000000074506
FS( 4 ),2003453.040000000037253,2114847.100000000093132,2029824.200000000186265,2023962.959999999729916,2011104.239999999990687,10183191.539999999105930
FS( 5 ),2011577.840000000316650,2125639.959999999962747,2023788.350000000093132,2012959.559999999823049,2052348.560000000055879,10226314.269999999552965
FS( 6 ),2009749.760000000242144,2161616.160000000149012,2045801.449999999953434,2021028.719999999972060,2043227.220000000204891,10281423.310000000521541
FS( 7 ),2024171.280000000260770,2135325.859999999869615,2030179.250000000000000,2033743.760000000009313,2060280.160000000149012,10283700.310000000521541
FS( 8 ),2007515.440000000176951,2104054.240000000223517,2017042.400000000139698,2034477.320000000065193,2088833.920000000158325,10251923.320000002160668
FS( 9 ),1977250.560000000288710,2081915.040000000037253,1992188.900000000139698,2019072.559999999823049,2084868.120000000111759,10155295.179999999701977
FS( 10 ),1979688.000000000000000,2071675.659999999916181,1997159.600000000093132,2038145.119999999878928,2101524.479999999981374,10188192.859999999403954
FS( 11 ),1973188.160000000149012,2077487.199999999720603,1991478.800000000279397,2028364.320000000065193,2095575.780000000260770,10166094.260000001639128
FS( 12 ),1981516.080000000074506,2075273.279999999795109,2041540.850000000093132,2039612.239999999757856,2120163.740000000223517,10258106.189999999478459
FS( 13 ),1936423.440000000176951,2101286.840000000316650,1984377.800000000046566,2032765.679999999701977,2132854.300000000279397,10187708.060000000521541
FS( 14 ),1931751.680000000167638,2115123.840000000316650,1993254.050000000046566,2030565.000000000000000,2132061.140000000130385,10202755.710000000894070
FS( 15 ),1948204.400000000139698,2116784.279999999795109,1997159.600000000093132,2039612.239999999757856,2145544.860000000335276,10247305.379999998956919
FS( 16 ),1940892.080000000074506,2115123.840000000316650,2025208.550000000046566,2043524.559999999823049,2142768.800000000279397,10267517.830000000074506
FS( 17 ),1952063.680000000167638,2164660.299999999813735,2047931.750000000000000,2059173.839999999850988,2168149.919999999925494,10391979.490000000223517
FS( 18 ),1897221.280000000260770,2021032.239999999990687,1984022.750000000232831,2011492.439999999944121,2158632.000000000000000,10072400.710000000894070
FS( 19 ),1869596.960000000428408,1975370.139999999897555,1963784.900000000139698,1986306.880000000121072,2170925.979999999981374,9965984.860000001266599
FS( 20 ),1901080.560000000288710,2006918.500000000000000,1973371.250000000000000,2016382.839999999850988,2174098.620000000111759,10071851.769999999552965
FS( 21 ),1917533.280000000260770,2054241.040000000037253,2025563.600000000093132,2051838.239999999757856,2183616.540000000037253,10232792.699999999254942
FS( 22 ),1941907.680000000167638,2097965.959999999962747,2045446.400000000139698,2070421.760000000009313,2214549.780000000260770,10370291.580000000074506
FS( 23 ),1947798.160000000149012,2115677.320000000298023,2057163.050000000046566,2073111.479999999981374,2230016.399999999906868,10423766.410000000149012
FS( 24 ),1929517.360000000102445,2058392.139999999897555,2059293.350000000093132,2089249.799999999813735,2241913.800000000279397,10378366.449999999254942
FS( 25 ),1940485.840000000316650,2070845.439999999944121,2100479.149999999906868,2079224.479999999981374,2231206.140000000130385,10422241.050000000745058
FS( 26 ),1948813.760000000242144,2076933.719999999972060,2086987.250000000232831,2074334.079999999841675,2196307.100000000093132,10383375.910000000149012
FS( 27 ),1963844.640000000363216,2141137.400000000372529,2107225.100000000093132,2097318.959999999962747,2216929.259999999776483,10526455.359999999403954
FS( 28 ),1969938.240000000223517,2153037.219999999739230,2106870.050000000279397,2096829.919999999925494,2218119.000000000000000,10544794.429999999701977
FS( 29 ),1978875.520000000251457,2208385.219999999739230,2116101.350000000093132,2096829.919999999925494,2199876.319999999832362,10600068.330000000074506
FS( 30 ),1967703.920000000391155,2205341.080000000074506,2114326.100000000093132,2100253.199999999720603,2220895.060000000055879,10608519.360000001266599
FS( 31 ),2006702.960000000428408,2215580.459999999962747,2117876.600000000093132,2099764.160000000149012,2214549.780000000260770,10654473.960000000894070
FS( 32 ),2006499.840000000316650,2233291.820000000298023,2117166.500000000000000,2103187.439999999944121,2214549.780000000260770,10674695.379999998956919
FS( 33 ),2027827.440000000176951,2208938.699999999720603,2095508.450000000186265,2101231.280000000260770,2218119.000000000000000,10651624.870000001043081
FS( 34 ),2028639.920000000391155,2206724.779999999795109,2082726.649999999906868,2107099.759999999776483,2208997.660000000149012,10634188.769999999552965
FS( 35 ),2030468.000000000000000,2205341.080000000074506,2087342.300000000046566,2086315.559999999823049,2205825.020000000018626,10615291.959999999031425
FS( 36 ),2019702.640000000363216,2214196.760000000242144,2087342.300000000046566,2084848.439999999944121,2195910.520000000018626,10602000.660000000149012
FS( 37 ),2004062.400000000139698,2196762.139999999664724,2088407.450000000186265,2096096.359999999869615,2224860.860000000335276,10610189.210000000894070
FS( 38 ),1977250.560000000288710,2177667.080000000074506,2079176.150000000139698,2098052.520000000018626,2215739.520000000018626,10547885.830000000074506
FS( 39 ),1963641.520000000251457,2290023.520000000018626,2072075.150000000139698,2085092.959999999729916,2173702.040000000037253,10584535.190000001341105
