代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10979955.490000000223517
真實報酬,979955.490000000223517

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,17013.985922663196106
風險,61190.079199322441127
起點值,0.278051379329667
找到最佳解世代,1593
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
CVX[5](7),INTC[11](5),KO[14](13),MCD[15](9),UNH[23](17),WMT[28](4),
Stock#,CVX[5](7),INTC[11](5),KO[14](13),MCD[15](9),UNH[23](17),WMT[28](4),
張數,14996,69589,44802,17917,23560,22937,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,10.560000000055879,9.449999999953434,31.599999999860302,26.660000000149012,31.600000000093132,63.580000000074506,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1662017.239999999990687,1657619.429999999934807,1679210.559999999823049,1667920.190000000176951,1661247.200000000186265,1668271.590000000083819,9996290.210000000894070
FS( 3 ),1642372.479999999981374,1636742.729999999981374,1685034.819999999832362,1676699.520000000018626,1668550.800000000046566,1671482.770000000251457,9980887.119999999180436
FS( 4 ),1668615.479999999981374,1669449.559999999823049,1703851.659999999916181,1701066.640000000130385,1669728.800000000279397,1670335.919999999925494,10083052.060000000521541
FS( 5 ),1680312.360000000102445,1684759.139999999897555,1700267.500000000000000,1718625.300000000279397,1681273.200000000186265,1691667.330000000074506,10156908.830000000074506
FS( 6 ),1674913.800000000046566,1690326.260000000009313,1728044.739999999757856,1699633.280000000027940,1643106.000000000000000,1691896.700000000186265,10127924.780000001192093
FS( 7 ),1703256.239999999990687,1702852.279999999795109,1731180.879999999888241,1708233.440000000176951,1663838.800000000279397,1715751.179999999934807,10225116.820000000298023
FS( 8 ),1680012.440000000176951,1708419.399999999906868,1725356.619999999878928,1700170.790000000270084,1654886.000000000000000,1719421.099999999860302,10188270.349999999627471
FS( 9 ),1687210.520000000018626,1718857.750000000000000,1731628.899999999906868,1710383.479999999981374,1677739.199999999953434,1728595.900000000139698,10254419.750000000000000
FS( 10 ),1701756.640000000130385,1723033.090000000083819,1744173.459999999962747,1716116.920000000158325,1732162.800000000046566,1738458.810000000288710,10355705.720000000670552
FS( 11 ),1690209.719999999972060,1723033.090000000083819,1678762.539999999804422,1720417.000000000000000,1739466.400000000139698,1727907.790000000037253,10279800.539999999105930
FS( 12 ),1703556.159999999916181,1704939.949999999953434,1662185.799999999813735,1711996.010000000009313,1732869.600000000093132,1716898.030000000027940,10232449.549999998882413
FS( 13 ),1718552.159999999916181,1721641.309999999823049,1671146.199999999720603,1715579.410000000149012,1731220.400000000139698,1686391.820000000065193,10244535.300000000745058
FS( 14 ),1689759.840000000083819,1699372.830000000074506,1665769.959999999962747,1728121.310000000288710,1738995.200000000186265,1677217.020000000251457,10199240.160000000149012
FS( 15 ),1711803.960000000195578,1713986.519999999785796,1680106.599999999860302,1729017.160000000149012,1790827.200000000186265,1682492.530000000027940,10308237.970000000670552
FS( 16 ),1724100.679999999934807,1713290.630000000121072,1692203.139999999897555,1731167.200000000186265,1774570.800000000046566,1682492.530000000027940,10317828.980000000447035
FS( 17 ),1732198.520000000018626,1725816.649999999906868,1696683.339999999850988,1718087.790000000270084,1792005.200000000186265,1715292.440000000176951,10380087.939999999478459
FS( 18 ),1734897.800000000046566,1723033.090000000083819,1705643.739999999757856,1703575.020000000018626,1791062.800000000046566,1710246.300000000046566,10368462.750000001862645
FS( 19 ),1729499.239999999990687,1723033.090000000083819,1711468.000000000000000,1704829.210000000195578,1820512.800000000046566,1713457.480000000214204,10402803.820000000298023
FS( 20 ),1722151.200000000186265,1704939.949999999953434,1707883.839999999850988,1689958.100000000093132,1816507.599999999860302,1700154.020000000251457,10341598.709999999031425
FS( 21 ),1729349.280000000027940,1712594.739999999990687,1716396.219999999972060,1701783.320000000298023,1840774.399999999906868,1723320.389999999897555,10424222.350000001490116
FS( 22 ),1716002.840000000083819,1704939.949999999953434,1718188.299999999813735,1702500.000000000000000,1837476.000000000000000,1715751.179999999934807,10394862.269999999552965
FS( 23 ),1722301.159999999916181,1713986.519999999785796,1723564.539999999804422,1712533.520000000018626,1829230.000000000000000,1717586.139999999897555,10419205.880000000819564
FS( 24 ),1725750.239999999990687,1714682.409999999916181,1727148.699999999720603,1711100.160000000149012,1823575.600000000325963,1710705.040000000037253,10412966.149999998509884
FS( 25 ),1737147.200000000186265,1728600.209999999962747,1731628.899999999906868,1705725.060000000288710,1834884.399999999906868,1707264.490000000223517,10445254.260000001639128
FS( 26 ),1717202.520000000018626,1720945.419999999925494,1738349.199999999720603,1769867.920000000158325,1832528.400000000139698,1718503.620000000111759,10497401.079999998211861
FS( 27 ),1734297.960000000195578,1723033.090000000083819,1723564.539999999804422,1768613.729999999981374,1828287.599999999860302,1732495.190000000176951,10510296.109999999403954
FS( 28 ),1716302.760000000009313,1709811.179999999934807,1701163.539999999804422,1744604.950000000186265,1814387.200000000186265,1718732.990000000223517,10405006.619999999180436
FS( 29 ),1711054.159999999916181,1704939.949999999953434,1710123.939999999944121,1748367.520000000018626,1783523.600000000093132,1703823.940000000176951,10361837.109999999403954
FS( 30 ),1725600.280000000027940,1718857.750000000000000,1714604.139999999897555,1748725.860000000102445,1808497.200000000186265,1712998.740000000223517,10429287.970000000670552
FS( 31 ),1743145.600000000093132,1727208.429999999934807,1720428.399999999906868,1743529.930000000167638,1837711.600000000093132,1715063.070000000065193,10487091.029999999329448
FS( 32 ),1727549.760000000009313,1741126.229999999981374,1708779.879999999888241,1721850.360000000102445,1883889.199999999953434,1706117.639999999897555,10489317.070000000298023
FS( 33 ),1732198.520000000018626,1769657.719999999972060,1722668.500000000000000,1730808.860000000102445,1920878.400000000139698,1729054.639999999897555,10605270.640000000596046
FS( 34 ),1733998.040000000037253,1751564.580000000074506,1722220.479999999748543,1710562.650000000139698,1916402.000000000232831,1745569.280000000027940,10580321.029999999329448
FS( 35 ),1737297.159999999916181,1748085.130000000121072,1720428.399999999906868,1723283.720000000204891,1914988.400000000139698,1760707.700000000186265,10604794.510000001639128
FS( 36 ),1755892.200000000186265,1771745.389999999897555,1730284.839999999850988,1718446.130000000121072,1910747.599999999860302,1763230.770000000251457,10650350.929999999701977
FS( 37 ),1765189.719999999972060,1766178.269999999785796,1729836.819999999832362,1717191.940000000176951,1921114.000000000232831,1748551.090000000083819,10648065.839999999850988
FS( 38 ),1764589.880000000121072,1761307.039999999804422,1739245.239999999757856,1722925.380000000121072,1908862.800000000046566,1746486.760000000009313,10643421.099999999627471
FS( 39 ),1777036.560000000055879,1782879.630000000121072,1745069.500000000000000,1742275.739999999990687,1922998.800000000279397,1743504.950000000186265,10713769.179999999701977
FS( 40 ),1783184.919999999925494,1796101.539999999804422,1732076.919999999692664,1756430.170000000158325,1931716.000000000000000,1753138.490000000223517,10752652.040000000968575
FS( 41 ),1784534.560000000055879,1808627.559999999823049,1720876.419999999692664,1754100.960000000195578,1928182.000000000232831,1760937.070000000065193,10757262.570000000298023
FS( 42 ),1789783.159999999916181,1801668.659999999916181,1717292.259999999776483,1748546.690000000176951,1922763.200000000186265,1770341.240000000223517,10750399.210000000894070
FS( 43 ),1785134.400000000139698,1837854.939999999944121,1705643.739999999757856,1749800.880000000121072,1937841.600000000093132,1776763.599999999860302,10793043.160000000149012
FS( 44 ),1781535.360000000102445,1820457.689999999944121,1712364.039999999804422,1753563.450000000186265,1920878.400000000139698,1773323.050000000046566,10762125.990000000223517
FS( 45 ),1759641.200000000186265,1843422.059999999823049,1730284.839999999850988,1738154.830000000307336,1910276.400000000139698,1773323.050000000046566,10755106.380000000819564
FS( 46 ),1766539.360000000102445,1872649.439999999944121,1742829.399999999906868,1757326.020000000018626,1900381.199999999953434,1793278.240000000223517,10833007.659999998286366
FS( 47 ),1786034.159999999916181,1877520.669999999925494,1746861.579999999841675,1762163.610000000102445,1917580.000000000000000,1788461.469999999972060,10878625.490000000223517
FS( 48 ),1749893.800000000046566,1839246.719999999972060,1742381.379999999888241,1781513.970000000204891,1884596.000000000000000,1763689.510000000009313,10761325.380000000819564
FS( 49 ),1754992.440000000176951,1821849.469999999972060,1730732.859999999869615,1779005.590000000316650,1860093.600000000093132,1754744.080000000074506,10701422.039999999105930
FS( 50 ),1780035.760000000009313,1848293.289999999804422,1735213.059999999823049,1793697.530000000027940,1865512.400000000139698,1774928.639999999897555,10797684.679999999701977
FS( 51 ),1804029.360000000102445,1862906.979999999981374,1800175.959999999962747,1806597.770000000018626,1873287.200000000186265,1763460.139999999897555,10910461.410000000149012
FS( 52 ),1826973.239999999990687,1874041.219999999972060,1818544.780000000027940,1806597.770000000018626,1842188.000000000000000,1771258.719999999972060,10939607.730000000447035
FS( 53 ),1854715.840000000083819,1881696.010000000009313,1824369.039999999804422,1796205.910000000149012,1785408.400000000139698,1781351.000000000000000,10923750.199999999254942
FS( 54 ),1863113.600000000093132,1875433.000000000000000,1825713.099999999860302,1785814.050000000279397,1765853.600000000093132,1779974.780000000027940,10895906.129999998956919
FS( 55 ),1859514.560000000055879,1867778.209999999962747,1823921.019999999785796,1779543.100000000093132,1784937.200000000186265,1779057.300000000046566,10894755.390000000596046
FS( 56 ),1869861.800000000046566,1861515.199999999953434,1824817.059999999823049,1776138.870000000111759,1774806.400000000139698,1790067.060000000288710,10897210.390000000596046
FS( 57 ),1864013.360000000102445,1861515.199999999953434,1823473.000000000000000,1788859.940000000176951,1804492.000000000232831,1796260.050000000046566,10938617.550000002607703
FS( 58 ),1859364.600000000093132,1827416.590000000083819,1837361.619999999878928,1804806.070000000298023,1782581.199999999953434,1803370.520000000251457,10914904.599999999627471
FS( 59 ),1885457.640000000130385,1832287.819999999832362,1838257.659999999916181,1797280.930000000167638,1784466.000000000000000,1829518.700000000186265,10967272.750000000000000
FS( 60 ),1889056.679999999934807,1842726.169999999925494,1817648.739999999757856,1818602.160000000149012,1771743.600000000093132,1827454.370000000111759,10967235.719999998807907
FS( 61 ),1882308.479999999981374,1857339.860000000102445,1827505.179999999934807,1816452.120000000111759,1767974.000000000232831,1828371.849999999860302,10979955.490000000223517
