代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11120923.050000000745058
真實報酬,1120923.050000000745058

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,18533.395886646983854
風險,58962.630062669457402
起點值,0.314324443583138
找到最佳解世代,3195
找到最佳解實驗#,6
找到最佳解次數,5

stock[index](rank)
投資組合檔數,4
CSCO[4](4),JNJ[12](2),MCD[15](1),TRV[22](3),
Stock#,CSCO[4](4),JNJ[12](2),MCD[15](1),TRV[22](3),
張數,115901,27304,26505,30055,
FS( 49 ),2668056.450000000186265,2755292.399999999906868,2728208.050000000745058,2744046.599999999627471,10895603.500000000000000
FS( 50 ),2687759.620000000111759,2744643.839999999850988,2726352.700000000186265,2766287.299999999813735,10925043.460000000894070
FS( 51 ),2649512.290000000037253,2758295.839999999850988,2744111.050000000279397,2792435.149999999441206,10944354.329999998211861
FS( 52 ),2643717.240000000223517,2754200.239999999757856,2730858.550000000279397,2784620.849999999627471,10913396.880000000819564
FS( 53 ),2802501.610000000335276,2749285.519999999552965,2716810.900000000372529,2776205.449999999720603,11044803.480000000447035
FS( 54 ),2824522.800000000279397,2746282.079999999608845,2733774.100000000558794,2782516.999999999534339,11087095.980000000447035
FS( 55 ),2822204.780000000260770,2747920.319999999832362,2705943.850000000558794,2788227.449999999720603,11064296.400000000372529
FS( 56 ),2795547.550000000279397,2737271.759999999776483,2691101.050000000279397,2785221.949999999720603,11009142.310000000521541
FS( 57 ),2837271.910000000149012,2761572.319999999832362,2718401.200000000651926,2790932.399999999441206,11108177.830000001937151
FS( 58 ),2825681.810000000055879,2756657.599999999627471,2715485.650000000372529,2795440.649999999906868,11093265.710000000894070
FS( 59 ),2841907.950000000186265,2757203.679999999701977,2703558.400000000372529,2790932.399999999441206,11093602.429999999701977
FS( 60 ),2863929.140000000130385,2752562.000000000000000,2713100.200000000186265,2809867.049999999348074,11139458.390000000596046
FS( 61 ),2876678.250000000000000,2738636.959999999497086,2685004.900000000372529,2808965.399999999441206,11109285.509999997913837
FS( 62 ),2860452.110000000335276,2751196.799999999813735,2686065.100000000558794,2828200.599999999627471,11125914.609999999403954
FS( 63 ),2853498.050000000279397,2770309.599999999627471,2688450.550000000745058,2808664.849999999627471,11120923.050000000745058
