代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11067535.919999998062849
真實報酬,1067535.919999998062849

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,16120.558169860674752
風險,96090.715465045563178
起點值,0.167763951926498
找到最佳解世代,2498
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](4),BA[2](3),DD[7](1),MSFT[18](2),UNH[23](18),
Stock#,AAPL[0](4),BA[2](3),DD[7](1),MSFT[18](2),UNH[23](18),
張數,30656,18744,39674,63151,27337,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,2.560000000055879,15.199999999953434,33.660000000149012,7.829999999841675,25.080000000074506,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2025751.040000000037253,2022492.800000000046566,2046418.580000000074506,2013893.219999999972060,1975396.700000000186265,10083952.339999999850988
FS( 3 ),2055793.920000000158325,2014995.199999999953434,2061097.960000000195578,2001894.529999999795109,2004920.660000000149012,10138702.269999999552965
FS( 4 ),2037400.319999999832362,2006372.959999999962747,2037293.560000000288710,1994316.409999999683350,2002186.959999999962747,10077570.210000000894070
FS( 5 ),2036480.640000000363216,1994751.679999999934807,2050385.980000000214204,2024628.889999999897555,1993439.120000000111759,10099686.310000000521541
FS( 6 ),2019006.719999999972060,1983880.159999999916181,2085299.100000000325963,2077044.219999999972060,2000546.740000000223517,10165776.940000001341105
FS( 7 ),1990190.080000000074506,1974320.719999999972060,2149174.240000000223517,2065045.530000000027940,1993712.490000000223517,10172443.060000000521541
FS( 8 ),2046903.679999999934807,1953889.759999999776483,2117435.040000000037253,2075781.199999999720603,1978950.510000000009313,10172960.189999999478459
FS( 9 ),2144083.200000000186265,1991190.320000000065193,2140049.220000000204891,2035364.559999999590218,2005194.030000000027940,10315881.330000000074506
FS( 10 ),2183016.319999999832362,1952390.239999999990687,2132907.899999999906868,2042942.679999999934807,1981684.209999999962747,10292941.349999997764826
FS( 11 ),2180563.839999999850988,1925586.320000000065193,2099185.000000000000000,2007578.119999999878928,1951886.880000000121072,10164800.160000000149012
FS( 12 ),2199877.120000000111759,1939456.879999999888241,2084108.880000000121072,2008209.629999999888241,1952706.990000000223517,10184359.500000000000000
FS( 13 ),2223482.240000000223517,1962886.879999999888241,2069429.500000000000000,1982317.719999999972060,1960361.349999999860302,10198477.689999999478459
FS( 14 ),2194359.040000000037253,1961199.919999999925494,2087679.540000000037253,1996842.449999999953434,1980864.099999999860302,10220945.050000000745058
FS( 15 ),2200183.679999999701977,1947704.239999999990687,2098391.520000000018626,1996210.939999999711290,1964188.530000000027940,10206678.909999998286366
FS( 16 ),2202636.159999999683350,1970759.359999999869615,2101168.700000000186265,2045468.719999999972060,1967468.969999999972060,10287501.910000000149012
FS( 17 ),2194052.479999999981374,1977132.320000000065193,2188848.240000000223517,2194505.080000000074506,1983051.060000000288710,10537589.180000001564622
FS( 18 ),2202636.159999999683350,1978069.520000000018626,2183690.620000000111759,2156614.479999999515712,1978677.139999999897555,10499687.919999999925494
FS( 19 ),2139791.359999999869615,1934583.439999999944121,2122195.920000000391155,2100410.089999999850988,1955167.320000000065193,10252148.130000000819564
FS( 20 ),2149907.839999999850988,1935708.079999999841675,2115848.080000000074506,2085253.850000000093132,1955714.060000000288710,10242431.910000000149012
FS( 21 ),2153280.000000000000000,1966823.120000000111759,2119815.479999999981374,2118723.879999999888241,1980317.360000000102445,10338959.839999999850988
FS( 22 ),2133660.159999999683350,1947891.679999999934807,2113070.899999999906868,2109251.229999999515712,1961181.459999999962747,10265055.429999999701977
FS( 23 ),2139791.359999999869615,1968322.640000000130385,2115451.340000000316650,2013261.709999999729916,1983597.800000000046566,10220424.849999999627471
FS( 24 ),2183936.000000000000000,1993814.479999999981374,2134494.859999999869615,1970319.029999999795109,2005194.030000000027940,10287758.399999998509884
FS( 25 ),2168914.560000000055879,1999062.800000000046566,2170201.460000000428408,1972845.069999999832362,2024056.560000000288710,10335080.450000001117587
FS( 26 ),2181790.080000000074506,1988191.279999999795109,2178533.000000000000000,1967161.479999999748543,2024603.300000000046566,10340279.139999998733401
FS( 27 ),2216737.919999999925494,2009184.559999999823049,2192815.640000000130385,1999368.489999999757856,2029797.330000000074506,10447903.939999999478459
FS( 28 ),2166155.520000000018626,2027553.679999999934807,2259071.220000000204891,2045468.719999999972060,2040185.389999999897555,10538434.530000001192093
FS( 29 ),2048436.479999999748543,2047422.320000000065193,2251533.160000000149012,2067571.570000000065193,2055220.740000000223517,10470184.269999999552965
FS( 30 ),2070202.239999999990687,2058106.399999999906868,2195592.820000000298023,2064414.019999999785796,2043192.459999999962747,10431507.939999999478459
FS( 31 ),2035867.520000000018626,2086784.719999999972060,2252723.380000000353903,2085885.359999999869615,2036084.840000000083819,10497345.820000000298023
FS( 32 ),1971183.359999999869615,2168133.679999999701977,2248755.979999999981374,2071360.629999999655411,2053580.520000000251457,10513014.169999998062849
FS( 33 ),1994175.359999999869615,2195125.040000000037253,2243598.359999999869615,2079570.259999999776483,2031437.550000000046566,10543906.570000000298023
FS( 34 ),2034947.839999999850988,2219304.799999999813735,2308663.720000000204891,2104199.149999999441206,1996719.560000000288710,10663835.069999998435378
FS( 35 ),2068362.880000000121072,2231300.959999999962747,2294381.080000000074506,2124407.469999999739230,1936578.160000000149012,10655030.550000000745058
FS( 36 ),2046903.679999999934807,2186127.919999999925494,2243201.620000000111759,2070729.119999999878928,1929197.169999999925494,10476159.509999999776483
FS( 37 ),2148681.600000000093132,2202622.639999999664724,2217016.780000000260770,2067571.570000000065193,1963368.419999999925494,10599261.009999999776483
FS( 38 ),2141937.280000000260770,2230551.200000000186265,2209875.460000000428408,2049889.289999999804422,1977036.919999999925494,10609290.150000000372529
FS( 39 ),2108828.800000000279397,2221366.639999999664724,2251929.899999999906868,2053046.839999999618158,1967742.340000000083819,10602914.519999999552965
FS( 40 ),2129368.319999999832362,2237673.919999999925494,2259467.960000000428408,2069466.100000000093132,1972663.000000000000000,10668639.300000000745058
FS( 41 ),2114040.319999999832362,2225677.759999999776483,2204717.840000000316650,2101041.599999999627471,1968015.709999999962747,10613493.230000000447035
FS( 42 ),2087982.719999999972060,2202435.200000000186265,2169804.720000000204891,2101673.110000000335276,1957627.650000000139698,10519523.400000000372529
FS( 43 ),2137032.319999999832362,2207121.200000000186265,2164647.100000000093132,2120618.410000000149012,1984144.540000000037253,10613563.570000000298023
FS( 44 ),2144083.200000000186265,2208808.160000000149012,2186467.800000000279397,2142089.750000000000000,1983871.169999999925494,10665320.080000000074506
FS( 45 ),2117105.919999999925494,2160073.759999999776483,2190435.200000000186265,2138300.689999999478459,1982504.320000000065193,10588419.890000000596046
FS( 46 ),2115266.560000000055879,2196812.000000000000000,2259467.960000000428408,2139563.709999999962747,1995352.709999999962747,10706462.940000001341105
FS( 47 ),2136112.640000000130385,2187252.559999999590218,2223364.620000000111759,2102936.129999999888241,1972936.370000000111759,10622602.320000000298023
FS( 48 ),2106376.319999999832362,2163822.559999999590218,2176549.300000000279397,2084622.339999999618158,1954073.840000000083819,10485444.359999999403954
FS( 49 ),2130901.120000000111759,2145640.879999999888241,2199163.479999999981374,2088411.399999999906868,1951340.139999999897555,10515457.020000001415610
FS( 50 ),2144389.760000000242144,2228676.799999999813735,2282478.880000000353903,2131985.589999999850988,2022416.340000000083819,10809947.370000001043081
FS( 51 ),2158184.960000000428408,2211432.320000000298023,2320565.920000000391155,2155351.459999999962747,2030344.070000000065193,10875878.730000000447035
FS( 52 ),2172286.720000000204891,2239173.439999999478459,2306283.280000000260770,2175559.780000000260770,2042645.719999999972060,10935948.940000001341105
FS( 53 ),2183936.000000000000000,2215181.120000000111759,2284462.580000000074506,2178085.820000000298023,2019409.270000000251457,10881074.789999999105930
FS( 54 ),2194665.600000000093132,2255668.160000000149012,2323739.840000000316650,2187558.469999999739230,2055494.110000000102445,11017126.179999999701977
FS( 55 ),2209380.479999999981374,2292218.959999999962747,2338419.220000000204891,2205240.750000000000000,1951066.770000000251457,10996326.179999999701977
FS( 56 ),2228693.760000000242144,2296530.080000000074506,2334055.080000000074506,2207766.790000000037253,1879717.200000000186265,10946762.910000000149012
FS( 57 ),2283261.440000000409782,2276848.879999999888241,2336832.260000000242144,2209661.320000000298023,1864408.480000000214204,10971012.380000000819564
FS( 58 ),2276823.679999999701977,2295780.320000000298023,2347544.240000000223517,2183769.410000000149012,1882450.900000000139698,10986368.550000000745058
FS( 59 ),2298896.000000000000000,2418366.080000000074506,2318582.220000000204891,2131985.589999999850988,1859214.450000000186265,11027044.339999999850988
FS( 60 ),2329552.000000000000000,2417616.319999999366701,2295174.560000000055879,2129459.549999999813735,1848279.650000000139698,11020082.080000000074506
FS( 61 ),2303494.399999999906868,2459040.559999999590218,2232886.380000000353903,2256393.059999999590218,1848553.020000000251457,11100367.419999998062849
FS( 62 ),2320661.760000000242144,2434485.919999999925494,2209875.460000000428408,2246288.899999999441206,1829963.860000000102445,11041275.899999998509884
FS( 63 ),2262721.919999999925494,2430362.240000000223517,2229315.720000000204891,2243131.349999999627471,1861128.040000000037253,11026659.269999999552965
FS( 64 ),2298896.000000000000000,2430737.120000000111759,2218207.000000000000000,2244394.370000000111759,1859214.450000000186265,11051448.940000001341105
FS( 65 ),2289086.080000000074506,2446107.200000000186265,2230109.200000000186265,2236184.739999999292195,1866048.700000000186265,11067535.919999998062849
