代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12867033.330000001937151
真實報酬,2867033.330000001937151

夏普值報酬,0.278003333000000
夏普值風險,0.091227287327737
夏普值,3.047370377256348

二次趨勢線,50.976237840351665 x^2 + 601.167370623402235 x + 10000000.000000000000000
二次加權預期報酬,17763.167443541795365
風險,292105.031443329935428
二次加權趨勢值,0.060810891739083
一次趨勢線,10254.754557998041491 x + 10000000.000000000000000
一次預期報酬,10254.754557998041491
一次風險,466496.109448722680099
一次趨勢值,0.021982508214520
找到最佳解世代,2043
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](2),MRK[17](1),MSFT[18](3),PFE[20](4),
Stock#,AAPL[0](2),MRK[17](1),MSFT[18](3),PFE[20](4),
張數,14979,45175,30055,70901,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,154.690000000409782,15.500000000000000,25.099999999627471,30.740000000223517,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2518274.380000000819564,2501355.250000000000000,2526147.849999999627471,2514180.200000000186265,10059957.679999999701977
FS( 3 ),2584032.190000000409782,2532526.000000000000000,2528852.799999999813735,2520561.290000000037253,10165972.280000001192093
FS( 4 ),2610245.440000000409782,2524394.500000000000000,2538770.949999999720603,2504254.060000000055879,10177664.950000001117587
FS( 5 ),2618633.680000000633299,2511293.750000000000000,2532759.949999999720603,2507090.100000000093132,10169777.480000000447035
FS( 6 ),2640053.650000000372529,2556017.000000000000000,2541475.899999999906868,2505672.080000000540167,10243218.630000000819564
FS( 7 ),2634661.210000000428408,2539302.250000000000000,2527350.049999999813735,2495745.940000000409782,10197059.450000001117587
FS( 8 ),2616536.620000000111759,2506324.500000000000000,2520737.949999999720603,2494327.920000000391155,10137926.990000000223517
FS( 9 ),2606051.320000000298023,2489158.000000000000000,2522541.250000000000000,2502836.040000000037253,10120586.609999999403954
FS( 10 ),2566656.550000000279397,2484188.750000000000000,2526147.849999999627471,2508508.120000000577420,10085501.270000001415610
FS( 11 ),2532804.010000000707805,2475605.500000000000000,2493988.999999999534339,2507090.100000000093132,10009488.609999999403954
FS( 12 ),2563061.590000000316650,2492320.250000000000000,2500601.099999999627471,2521270.300000000279397,10077253.240000000223517
