代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13829987.509999999776483
真實報酬,3829987.509999999776483

夏普值報酬,0.374298751000000
夏普值風險,0.103551435538989
夏普值,3.614616726960493

二次趨勢線,29.701901491627652 x^2 + 7866.252245054414743 x + 10000000.000000000000000
二次加權預期報酬,17826.289878580213554
風險,293466.499153026554268
二次加權趨勢值,0.060743866608382
一次趨勢線,13468.751270347935133 x + 10000000.000000000000000
一次預期報酬,13468.751270347935133
一次風險,361010.397168343246449
一次趨勢值,0.037308485783215
找到最佳解世代,2038
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MRK[17](1),PG[21](2),
Stock#,MRK[17](1),PG[21](2),
張數,93109,63532,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,46.700000000186265,31.599999999627471,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5061451.940000000409782,5050825.599999999627471,10112277.539999999105930
FS( 3 ),5065176.299999999813735,5101015.879999999888241,10166192.179999999701977
FS( 4 ),5055865.400000000372529,5083862.239999999292195,10139727.640000000596046
FS( 5 ),5071693.929999999701977,5029224.719999999739230,10100918.649999998509884
FS( 6 ),5098695.540000000037253,5080685.639999999664724,10179381.179999999701977
FS( 7 ),5134076.959999999962747,5101015.879999999888241,10235092.839999999850988
FS( 8 ),5154560.940000000409782,5073697.119999999180436,10228258.059999998658895
FS( 9 ),5155492.030000000260770,5064802.639999999664724,10220294.669999999925494
FS( 10 ),5102419.900000000372529,5019059.599999999627471,10121479.500000000000000
FS( 11 ),5144318.950000000186265,4998094.040000000037253,10142412.990000000223517
FS( 12 ),5183424.730000000447035,5017153.639999999664724,10200578.370000001043081
FS( 13 ),5086591.370000000111759,4997458.719999999739230,10084050.089999999850988
FS( 14 ),5087522.459999999962747,4975222.519999999552965,10062744.980000000447035
FS( 15 ),5092177.910000000149012,4894536.879999999888241,9986714.789999999105930
FS( 16 ),5039105.780000000260770,4854511.719999999739230,9893617.500000000000000
FS( 17 ),4972998.389999999664724,4822745.719999999739230,9795744.109999999403954
FS( 18 ),5031657.060000000521541,4854511.719999999739230,9886168.780000001192093
FS( 19 ),5004655.450000000186265,4942185.879999999888241,9946841.330000000074506
FS( 20 ),5129421.510000000707805,5008894.479999999515712,10138315.990000000223517
FS( 21 ),5071693.929999999701977,5036848.559999999590218,10108542.489999998360872
FS( 22 ),4959963.130000000819564,4917408.400000000372529,9877371.530000001192093
FS( 23 ),5036312.510000000707805,4984752.319999999366701,10021064.830000000074506
FS( 24 ),5078211.560000000521541,5022236.199999999254942,10100447.759999999776483
FS( 25 ),5077280.470000000670552,5006353.199999999254942,10083633.669999999925494
FS( 26 ),4968342.940000000409782,4982846.360000000335276,9951189.300000000745058
FS( 27 ),5229048.139999999664724,4965692.719999999739230,10194740.859999999403954
FS( 28 ),5259774.110000000335276,4979034.439999999478459,10238808.550000000745058
FS( 29 ),5232772.500000000000000,4972681.239999999292195,10205453.739999998360872
FS( 30 ),5283051.360000000335276,4942185.879999999888241,10225237.240000000223517
FS( 31 ),5323088.230000000447035,4979034.439999999478459,10302122.669999999925494
FS( 32 ),5460889.549999999813735,4994282.119999999180436,10455171.669999998062849
FS( 33 ),5518617.130000000819564,4982846.360000000335276,10501463.490000002086163
FS( 34 ),5486028.980000000447035,4968234.000000000000000,10454262.980000000447035
FS( 35 ),5459958.459999999962747,4761755.000000000000000,10221713.460000000894070
FS( 36 ),5477649.169999999925494,4688693.199999999254942,10166342.369999999180436
FS( 37 ),5609863.950000000186265,4637867.599999999627471,10247731.550000000745058
FS( 38 ),5594966.510000000707805,4606101.599999999627471,10201068.109999999403954
FS( 39 ),5552136.370000000111759,4593395.199999999254942,10145531.570000000298023
FS( 40 ),5531652.389999999664724,4621984.599999999627471,10153636.989999998360872
FS( 41 ),5537238.929999999701977,4625796.519999999552965,10163035.449999999254942
FS( 42 ),5481373.530000000260770,4595936.479999999515712,10077310.009999999776483
FS( 43 ),5398506.519999999552965,4571794.319999999366701,9970300.839999999850988
FS( 44 ),5335192.400000000372529,4506991.679999999701977,9842184.080000000074506
FS( 45 ),5356607.470000000670552,4533675.119999999180436,9890282.589999999850988
FS( 46 ),5377091.450000000186265,4601654.360000000335276,9978745.810000000521541
FS( 47 ),5342641.120000000111759,4573064.959999999962747,9915706.080000000074506
FS( 48 ),5284913.540000000037253,4538757.679999999701977,9823671.219999998807907
FS( 49 ),5395713.250000000000000,4597842.439999999478459,9993555.689999999478459
FS( 50 ),5405955.240000000223517,4647397.400000000372529,10053352.640000000596046
FS( 51 ),5557722.910000000149012,4661374.439999999478459,10219097.349999999627471
FS( 52 ),5556791.820000000298023,4655656.559999999590218,10212448.379999998956919
FS( 53 ),5512099.500000000000000,4634691.000000000000000,10146790.500000000000000
FS( 54 ),5563309.450000000186265,4671539.559999999590218,10234849.009999999776483
FS( 55 ),5499995.330000000074506,4698858.319999999366701,10198853.649999998509884
FS( 56 ),5506512.959999999962747,4666457.000000000000000,10172969.960000000894070
FS( 57 ),5453440.830000000074506,4705211.519999999552965,10158652.349999999627471
FS( 58 ),5442267.750000000000000,4703305.559999999590218,10145573.309999998658895
