代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13778877.160000000149012
真實報酬,3778877.160000000149012

夏普值報酬,0.369187716000000
夏普值風險,0.095099617198086
夏普值,3.882115689603734

二次趨勢線,-6.108591073255744 x^2 + 17650.347884682007134 x + 10000000.000000000000000
二次加權預期報酬,15601.933678116914962
風險,164220.489223834680161
二次加權趨勢值,0.095006011441430
一次趨勢線,16498.119447607656184 x + 10000000.000000000000000
一次預期報酬,16498.119447607656184
一次風險,169818.032845564623130
一次趨勢值,0.097151752208856
找到最佳解世代,2201
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
DIS[6](1),HD[9](3),KO[14](11),TRV[22](5),WMT[28](2),
Stock#,DIS[6](1),HD[9](3),KO[14](11),TRV[22](5),WMT[28](2),
張數,59523,56274,59665,35442,35568,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,27.199999999953434,22.040000000037253,29.199999999720603,7.939999999944121,11.360000000102445,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2027975.810000000055879,2025323.300000000046566,2022076.049999999813735,2045365.760000000009313,2022407.840000000083819,10143148.759999999776483
FS( 3 ),2085117.890000000130385,2051209.340000000083819,2048328.649999999674037,2076200.299999999813735,2042325.920000000158325,10303182.099999999627471
FS( 4 ),2069046.679999999934807,2047832.900000000139698,2022076.049999999813735,2060605.820000000065193,2045171.360000000102445,10244732.810000000521541
FS( 5 ),2092260.649999999906868,2101293.200000000186265,2034605.699999999720603,2077617.979999999748543,2060821.280000000027940,10366598.809999998658895
FS( 6 ),2100593.870000000111759,2135057.600000000093132,2048328.649999999674037,2092149.199999999953434,2109905.120000000111759,10486034.440000001341105
FS( 7 ),2011309.369999999878928,2091163.879999999888241,2000000.000000000000000,2017366.580000000074506,2064733.760000000009313,10184573.589999999850988
FS( 8 ),2061903.919999999925494,2093414.840000000083819,2010739.699999999953434,2034378.739999999990687,2067579.200000000186265,10268016.400000000372529
FS( 9 ),2184521.299999999813735,2141810.479999999981374,2032219.099999999860302,2070884.000000000000000,2105636.959999999962747,10535071.839999999850988
FS( 10 ),2149997.959999999962747,2152502.540000000037253,2022672.699999999720603,2038986.199999999953434,2094610.880000000121072,10458770.279999999329448
FS( 11 ),2169640.549999999813735,2142373.220000000204891,2028639.199999999720603,2030480.119999999878928,2043748.640000000130385,10414881.729999998584390
FS( 12 ),2114879.389999999664724,2129430.200000000186265,1999403.349999999627471,1996810.219999999972060,2016005.600000000093132,10256528.759999999776483
FS( 13 ),2092260.649999999906868,2117049.919999999925494,1987470.349999999860302,1975190.599999999860302,2017784.000000000000000,10189755.519999999552965
FS( 14 ),2120831.690000000409782,2131681.160000000149012,2010739.699999999953434,1992557.179999999934807,2035568.000000000000000,10291377.730000000447035
FS( 15 ),2043451.789999999804422,2085536.480000000214204,1967780.899999999441206,1940811.859999999869615,2015294.239999999990687,10052875.269999999552965
FS( 16 ),2024999.660000000149012,2087787.440000000176951,1968377.549999999813735,1911749.419999999925494,2022052.160000000149012,10014966.230000000447035
FS( 17 ),1988095.399999999906868,2055148.520000000251457,1935561.799999999580905,1869927.859999999869615,2014582.880000000121072,9863316.460000000894070
FS( 18 ),1994642.929999999934807,2052334.820000000065193,1931385.249999999534339,1892965.159999999916181,2023474.880000000121072,9894803.040000000968575
FS( 19 ),2027975.810000000055879,2099042.239999999757856,1944511.549999999813735,1921673.179999999934807,2036279.360000000102445,10029482.139999998733401
FS( 20 ),2023809.199999999953434,2192457.080000000074506,1974940.699999999720603,1916356.879999999888241,2069001.920000000158325,10176565.780000001192093
FS( 21 ),2133926.750000000000000,2207088.319999999832362,2005966.499999999534339,1993620.439999999944121,2094966.560000000055879,10435568.570000000298023
FS( 22 ),2142259.969999999739230,2213841.200000000186265,1994033.499999999767169,1950735.619999999878928,2084651.840000000083819,10385522.130000000819564
FS( 23 ),2179164.229999999515712,2247605.600000000093132,1980310.549999999580905,1922382.020000000018626,2066156.480000000214204,10395618.880000000819564
FS( 24 ),2198806.819999999366701,2263925.060000000055879,1978520.599999999627471,1937622.080000000074506,2075048.480000000214204,10453923.039999999105930
FS( 25 ),2192259.290000000037253,2268989.720000000204891,1989260.299999999813735,1961722.639999999897555,2090698.400000000139698,10502930.349999999627471
FS( 26 ),2208330.500000000000000,2292062.060000000055879,1992243.549999999813735,1981215.739999999990687,2081095.040000000037253,10554946.890000000596046
FS( 27 ),2138093.360000000335276,2245917.379999999888241,1991050.249999999534339,1968102.199999999953434,2062244.000000000000000,10405407.190000001341105
