代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10818631.099999999627471
真實報酬,818631.099999999627471

夏普值報酬,0.073163110000000
夏普值風險,0.066164873945346
夏普值,1.105769657483737

二次趨勢線,91.399889355875487 x^2 + -17473.876298886203585 x + 10000000.000000000000000
二次加權預期報酬,13175.553265117374394
風險,323297.909052401606459
二次加權趨勢值,0.040753598758914
一次趨勢線,-233.640310204793224 x + 10000000.000000000000000
一次預期報酬,-233.640310204793224
一次風險,723274.112311769858934
一次趨勢值,-168985987.963618367910385
找到最佳解世代,1819
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MCD[15](3),PG[21](1),
Stock#,MCD[15](3),PG[21](1),
張數,29086,58241,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,116.599999999627471,10.150000000372529,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4926703.279999999329448,4906814.400000000372529,9833517.679999999701977
FS( 3 ),4765857.699999999254942,4721025.610000000335276,9486883.309999998658895
FS( 4 ),4804542.080000000074506,4797903.730000000447035,9602445.810000000521541
FS( 5 ),4819957.660000000149012,4766453.590000000782311,9586411.250000000000000
FS( 6 ),4623918.019999999552965,4672103.169999999925494,9296021.189999999478459
FS( 7 ),4677145.400000000372529,4654630.870000000111759,9331776.269999999552965
FS( 8 ),4767312.000000000000000,4736750.680000000633299,9504062.679999999701977
FS( 9 ),4723683.000000000000000,4746651.650000000372529,9470334.650000000372529
FS( 10 ),4653585.740000000223517,4698894.030000001192093,9352479.770000001415610
FS( 11 ),4676563.679999999701977,4799650.959999999962747,9476214.640000000596046
FS( 12 ),4589596.539999999105930,4810716.750000000000000,9400313.289999999105930
FS( 13 ),4571272.359999999403954,4737333.090000000782311,9308605.449999999254942
FS( 14 ),4614319.639999999664724,4673267.990000000223517,9287587.629999998956919
FS( 15 ),4673073.359999999403954,4708212.590000000782311,9381285.949999999254942
FS( 16 ),4742879.759999999776483,4720443.200000000186265,9463322.960000000894070
FS( 17 ),4758004.480000000447035,4754222.980000000447035,9512227.460000000894070
FS( 18 ),4673073.359999999403954,4690740.290000000968575,9363813.650000000372529
FS( 19 ),4588142.240000000223517,4573093.469999999739230,9161235.710000000894070
FS( 20 ),4528806.799999998882413,4583576.850000000558794,9112383.649999998509884
FS( 21 ),4312697.820000000298023,4630169.650000000372529,8942867.470000000670552
FS( 22 ),4392975.179999999701977,4676180.040000000968575,9069155.220000000670552
FS( 23 ),4397919.799999998882413,4660454.969999999739230,9058374.769999999552965
FS( 24 ),4432241.279999999329448,4610367.709999999962747,9042608.989999998360872
FS( 25 ),4492158.439999999478459,4657542.919999999925494,9149701.359999999403954
FS( 26 ),4573599.240000000223517,4676180.040000000968575,9249779.280000001192093
FS( 27 ),4588142.240000000223517,4651136.410000000149012,9239278.650000000372529
FS( 28 ),4602103.519999999552965,4642982.669999999925494,9245086.189999999478459
FS( 29 ),4602685.240000000223517,4601049.150000000372529,9203734.390000000596046
FS( 30 ),4700705.059999999590218,4581829.620000000111759,9282534.679999999701977
FS( 31 ),4722519.559999999590218,4599301.919999999925494,9321821.480000000447035
FS( 32 ),4625081.459999999031425,4581247.209999999962747,9206328.669999998062849
FS( 33 ),4635843.279999999329448,4560862.860000000335276,9196706.140000000596046
FS( 34 ),4614901.359999999403954,4486896.790000000968575,9101798.150000000372529
FS( 35 ),4567782.039999999105930,4450204.959999999962747,9017987.000000000000000
FS( 36 ),4507864.879999998956919,4421084.459999999962747,8928949.339999999850988
FS( 37 ),4595995.459999999031425,4450204.959999999962747,9046200.419999998062849
FS( 38 ),4580579.879999998956919,4530577.540000000968575,9111157.419999999925494
FS( 39 ),4607629.859999999403954,4591730.590000000782311,9199360.449999999254942
FS( 40 ),4548585.279999999329448,4617356.630000000819564,9165941.910000000149012
FS( 41 ),4587560.519999999552965,4507863.550000000745058,9095424.070000000298023
FS( 42 ),4665511.000000000000000,4569599.009999999776483,9235110.009999999776483
FS( 43 ),4704195.379999998956919,4603961.200000000186265,9308156.579999998211861
FS( 44 ),4768766.299999998882413,4589400.950000000186265,9358167.250000000000000
FS( 45 ),4690234.099999999627471,4567851.780000001192093,9258085.880000000819564
FS( 46 ),4689652.379999998956919,4552126.709999999962747,9241779.089999999850988
FS( 47 ),4734444.820000000298023,4564357.320000000298023,9298802.140000000596046
FS( 48 ),4751023.839999999850988,4558533.219999999739230,9309557.059999998658895
FS( 49 ),4700995.919999999925494,4530577.540000000968575,9231573.460000000894070
FS( 50 ),4704195.379999998956919,4564357.320000000298023,9268552.699999999254942
FS( 51 ),4701286.779999999329448,4578335.160000000149012,9279621.939999999478459
FS( 52 ),4728045.900000000372529,4567851.780000001192093,9295897.680000001564622
FS( 53 ),4706522.259999999776483,4554456.350000000558794,9260978.609999999403954
FS( 54 ),4640206.179999999701977,4365173.100000000558794,9005379.280000001192093
FS( 55 ),4618100.820000000298023,4298195.950000000186265,8916296.769999999552965
FS( 56 ),4624499.740000000223517,4251603.150000000372529,8876102.890000000596046
FS( 57 ),4575926.119999999180436,4222482.650000000372529,8798408.769999999552965
FS( 58 ),4535787.439999999478459,4210834.450000000186265,8746621.890000000596046
FS( 59 ),4621882.000000000000000,4237042.900000000372529,8858924.900000000372529
FS( 60 ),4604430.400000000372529,4240537.360000000335276,8844967.760000001639128
FS( 61 ),4870276.439999999478459,4213164.090000000782311,9083440.530000001192093
FS( 62 ),4753932.439999999478459,4191032.509999999776483,8944964.949999999254942
FS( 63 ),4673655.080000000074506,4131626.690000000409782,8805281.769999999552965
FS( 64 ),4656203.480000000447035,4156087.910000000149012,8812291.390000000596046
FS( 65 ),4800179.179999999701977,4218405.780000001192093,9018584.960000000894070
FS( 66 ),4799306.599999999627471,4192197.330000000540167,8991503.929999999701977
FS( 67 ),4792616.820000000298023,4160747.190000000409782,8953364.010000001639128
FS( 68 ),4777201.240000000223517,4214911.320000000298023,8992112.560000000521541
FS( 69 ),4801342.619999999180436,4260339.300000000745058,9061681.919999999925494
FS( 70 ),4810650.139999999664724,4273152.320000000298023,9083802.460000000894070
FS( 71 ),4791162.519999999552965,4267910.630000000819564,9059073.150000000372529
FS( 72 ),4742879.759999999776483,4248691.100000000558794,8991570.859999999403954
FS( 73 ),4737353.419999999925494,4282470.880000000819564,9019824.300000000745058
FS( 74 ),4691979.259999999776483,4307514.509999999776483,8999493.769999999552965
FS( 75 ),4682380.879999998956919,4277811.600000000558794,8960192.480000000447035
FS( 76 ),4696923.879999998956919,4313338.610000000335276,9010262.489999998360872
FS( 77 ),4637879.299999998882413,4311591.380000000819564,8949470.679999999701977
FS( 78 ),4700995.919999999925494,4320327.530000001192093,9021323.450000001117587
FS( 79 ),4723392.139999999664724,4296448.719999999739230,9019840.859999999403954
FS( 80 ),4747242.660000000149012,4327898.860000000335276,9075141.519999999552965
FS( 81 ),4671909.919999999925494,4312756.200000000186265,8984666.120000001043081
FS( 82 ),4706813.119999999180436,4361678.640000000596046,9068491.759999999776483
FS( 83 ),4654167.459999999031425,4261504.120000000111759,8915671.579999998211861
FS( 84 ),4629444.359999999403954,4277811.600000000558794,8907255.960000000894070
FS( 85 ),4660275.519999999552965,4320327.530000001192093,8980603.050000000745058
FS( 86 ),4638751.879999998956919,4308096.919999999925494,8946848.799999998882413
FS( 87 ),4723101.279999999329448,4330228.500000000000000,9053329.779999999329448
FS( 88 ),4929611.879999998956919,4412348.310000000521541,9341960.189999999478459
