代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12260938.320000000298023
真實報酬,2260938.320000000298023

夏普值報酬,0.217393832000000
夏普值風險,0.073867649799623
夏普值,2.943018122137556

二次趨勢線,63.771834508476857 x^2 + -6676.487867443194773 x + 10000000.000000000000000
二次加權預期報酬,14793.363083744025062
風險,157409.660934244340751
二次加權趨勢值,0.093980020006039
一次趨勢線,5400.255937276960140 x + 10000000.000000000000000
一次預期報酬,5400.255937276960140
一次風險,481477.460371827473864
一次趨勢值,0.011216009848325
找到最佳解世代,2256
找到最佳解實驗#,1
找到最佳解次數,37

stock[index](rank)
投資組合檔數,4
CSCO[4](14),HD[9](1),NKE[19](2),PG[21](4),
Stock#,CSCO[4](14),HD[9](1),NKE[19](2),PG[21](4),
張數,113636,30480,63905,31040,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,8.000000000000000,30.399999999906868,36.400000000372529,38.399999999906868,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2497727.280000000260770,2496037.600000000093132,2493609.500000000465661,2497206.399999999906868,9984580.780000001192093
FS( 3 ),2501136.360000000335276,2471958.399999999906868,2474438.000000000465661,2503104.000000000000000,9950636.759999999776483
FS( 4 ),2535227.159999999683350,2484150.399999999906868,2475716.100000000558794,2527315.200000000186265,10022408.859999999403954
FS( 5 ),2532954.439999999944121,2497256.800000000279397,2463574.150000000372529,2490687.999999999534339,9984473.390000000596046
FS( 6 ),2510227.239999999757856,2486283.999999999534339,2463574.150000000372529,2496275.200000000186265,9956360.589999999850988
FS( 7 ),2524999.919999999925494,2499695.200000000186265,2457822.700000000651926,2492550.399999999906868,9975068.220000000670552
FS( 8 ),2521590.840000000316650,2467996.000000000000000,2402225.350000000558794,2483548.800000000279397,9875360.990000000223517
FS( 9 ),2546590.760000000242144,2469215.200000000186265,2402225.350000000558794,2510243.200000000186265,9928274.510000001639128
FS( 10 ),2588636.080000000074506,2471043.999999999534339,2410533.000000000465661,2507760.000000000000000,9977973.080000000074506
FS( 11 ),2588636.080000000074506,2476835.200000000186265,2390083.400000000372529,2500620.799999999813735,9956175.480000000447035
FS( 12 ),2584090.639999999664724,2468910.399999999906868,2345349.900000000372529,2479513.599999999627471,9877864.539999999105930
FS( 13 ),2594317.879999999888241,2452451.199999999720603,2356852.800000000745058,2488825.600000000093132,9892447.480000000447035
FS( 14 ),2595454.239999999757856,2444526.399999999906868,2348545.150000000372529,2459337.600000000093132,9847863.390000000596046
FS( 15 ),2563636.159999999683350,2445745.599999999627471,2324261.250000000000000,2428607.999999999534339,9762251.009999999776483
FS( 16 ),2522727.199999999720603,2412827.199999999720603,2289752.550000000279397,2457785.600000000093132,9683092.549999998882413
FS( 17 ),2500000.000000000000000,2406121.599999999627471,2297421.150000000372529,2435747.199999999720603,9639289.949999999254942
FS( 18 ),2471591.000000000000000,2393929.600000000093132,2322983.150000000372529,2455612.799999999813735,9644116.550000000745058
FS( 19 ),2460227.399999999906868,2337236.800000000279397,2293586.850000000558794,2409984.000000000000000,9501035.050000000745058
FS( 20 ),2497727.280000000260770,2344856.800000000279397,2362604.250000000465661,2386083.200000000186265,9591271.530000001192093
FS( 21 ),2489772.760000000242144,2342418.399999999906868,2327456.500000000465661,2378323.200000000186265,9537970.859999999403954
FS( 22 ),2448863.800000000279397,2288773.600000000093132,2264829.600000000093132,2349766.399999999906868,9352233.400000000372529
FS( 23 ),2477272.800000000279397,2285116.000000000000000,2253326.700000000186265,2361872.000000000000000,9377587.500000000000000
FS( 24 ),2497727.280000000260770,2293955.200000000186265,2255882.900000000372529,2373046.399999999906868,9420611.780000001192093
FS( 25 ),2555681.639999999664724,2321387.199999999720603,2285279.200000000186265,2387014.399999999906868,9549362.439999999478459
FS( 26 ),2576136.120000000111759,2330226.399999999906868,2322983.150000000372529,2399740.799999999813735,9629086.469999998807907
FS( 27 ),2594317.879999999888241,2329007.199999999720603,2322344.100000000558794,2422089.600000000093132,9667758.780000001192093
FS( 28 ),2580681.560000000055879,2337846.399999999906868,2363882.350000000558794,2447232.000000000000000,9729642.310000000521541
FS( 29 ),2596590.600000000093132,2355524.799999999813735,2368355.700000000651926,2405327.999999999534339,9725799.100000001490116
FS( 30 ),2530681.719999999739230,2364973.600000000093132,2392639.600000000093132,2414950.399999999906868,9703245.320000000298023
FS( 31 ),2563636.159999999683350,2375336.800000000279397,2398391.050000000279397,2464614.399999999906868,9801978.410000000149012
FS( 32 ),2546590.760000000242144,2364363.999999999534339,2402864.400000000372529,2420227.199999999720603,9734046.359999999403954
FS( 33 ),2531818.080000000074506,2330226.399999999906868,2390722.450000000186265,2425504.000000000000000,9678270.929999999701977
FS( 34 ),2534090.800000000279397,2361620.799999999813735,2415006.350000000093132,2418675.200000000186265,9729393.149999998509884
FS( 35 ),2514772.679999999701977,2369545.599999999627471,2443763.600000000558794,2420227.199999999720603,9748309.080000000074506
FS( 36 ),2513636.320000000298023,2373508.000000000000000,2487219.000000000465661,2416812.799999999813735,9791176.120000001043081
FS( 37 ),2481818.239999999757856,2468300.799999999813735,2496165.700000000651926,2424883.200000000186265,9871167.940000001341105
FS( 38 ),2492045.479999999981374,2490246.399999999906868,2505751.450000000651926,2416812.799999999813735,9904856.129999998956919
FS( 39 ),2490909.120000000111759,2498476.000000000000000,2492970.450000000186265,2427056.000000000000000,9909411.570000000298023
FS( 40 ),2477272.800000000279397,2500304.799999999813735,2501917.150000000372529,2441644.799999999813735,9921139.550000000745058
