代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,15245253.459999999031425
真實報酬,5245253.459999999031425

夏普值報酬,0.515825346000000
夏普值風險,0.160976405523765
夏普值,3.204353733217424

二次趨勢線,100.462447178255616 x^2 + 214.554862086024173 x + 10000000.000000000000000
二次加權預期報酬,33769.012219623407873
風險,328016.471970307466108
二次加權趨勢值,0.102949135501586
一次趨勢線,19088.861929258309829 x + 10000000.000000000000000
一次預期報酬,19088.861929258309829
一次風險,778032.060826659086160
一次趨勢值,0.024534801186697
找到最佳解世代,1797
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
BA[2](3),CSCO[4](1),INTC[11](6),
Stock#,BA[2](3),CSCO[4](1),INTC[11](6),
張數,18869,99265,92182,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,124.149999999906868,14.300000000279397,31.880000000353903,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3372014.449999999720603,3316457.949999999720603,3344394.840000000316650,10032868.240000000223517
FS( 3 ),3341446.669999999925494,3275759.300000000279397,3338863.920000000391155,9956070.890000000596046
FS( 4 ),3346918.680000000167638,3283700.500000000000000,3321349.340000000316650,9951969.519999999552965
FS( 5 ),3374844.799999999813735,3271788.700000000186265,3321349.340000000316650,9967983.839999999850988
FS( 6 ),3350503.790000000037253,3276751.950000000186265,3300147.479999999981374,9927404.220000000670552
FS( 7 ),3369561.479999999981374,3267818.100000000558794,3294616.560000000521541,9931997.140000000596046
FS( 8 ),3322011.600000000093132,3238038.600000000093132,3284476.540000000502914,9844527.740000000223517
FS( 9 ),3313897.930000000167638,3218185.600000000558794,3249447.380000000353903,9781531.910000002011657
FS( 10 ),3378052.530000000260770,3237045.950000000186265,3270649.240000000223517,9885748.720000000670552
FS( 11 ),3355975.799999999813735,3243001.850000000558794,3297382.020000000484288,9896360.670000001788139
FS( 12 ),3366353.750000000000000,3241016.550000000279397,3310287.500000000000000,9917658.800000000745058
FS( 13 ),3383335.850000000093132,3258884.250000000000000,3335176.640000000130385,9977397.740000000223517
FS( 14 ),3403714.369999999646097,3257891.600000000093132,3348082.120000000577420,10009689.089999999850988
FS( 15 ),3435414.290000000037253,3303553.500000000465661,3387720.380000000353903,10126689.170000001788139
