代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11246729.439999999478459
真實報酬,1246729.439999999478459

夏普值報酬,0.115972944000000
夏普值風險,0.055278050736831
夏普值,2.097992647246673

二次趨勢線,76.394985339876413 x^2 + -14910.499693471276260 x + 10000000.000000000000000
二次加權預期報酬,10911.005351406955015
風險,252452.126375433872454
二次加權趨勢值,0.043220096847910
一次趨勢線,-385.959610893934723 x + 10000000.000000000000000
一次預期報酬,-385.959610893934723
一次風險,604635.994034880888648
一次趨勢值,-233365072.990170061588287
找到最佳解世代,2897
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
GS[8](2),JPM[13](1),MSFT[18](3),PG[21](15),
Stock#,GS[8](2),JPM[13](1),MSFT[18](3),PG[21](15),
張數,12948,36976,45273,32920,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,129.640000000130385,52.640000000130385,24.939999999944121,55.200000000186265,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2463616.120000000111759,2464872.799999999813735,2499547.270000000018626,2495062.000000000465661,9923098.189999999478459
FS( 3 ),2398099.239999999757856,2433073.439999999944121,2453821.540000000037253,2493416.000000000000000,9778410.219999998807907
FS( 4 ),2460120.160000000149012,2510353.280000000260770,2531238.369999999646097,2562218.800000000279397,10063930.610000001266599
FS( 5 ),2401854.160000000149012,2477444.640000000130385,2526711.069999999832362,2579995.600000000558794,9986005.470000002533197
FS( 6 ),2368577.799999999813735,2438989.600000000093132,2525805.609999999869615,2559585.200000000186265,9892958.210000000894070
FS( 7 ),2339962.720000000204891,2420501.600000000093132,2489134.479999999981374,2557939.200000000186265,9807538.000000000000000
FS( 8 ),2358089.920000000391155,2426048.000000000000000,2502263.649999999906868,2560902.000000000465661,9847303.570000000298023
FS( 9 ),2286228.520000000018626,2369104.959999999962747,2447483.319999999832362,2560572.800000000279397,9663389.600000001490116
FS( 10 ),2284156.840000000316650,2376500.160000000149012,2496378.160000000149012,2577362.000000000465661,9734397.160000000149012
FS( 11 ),2356795.120000000111759,2444166.239999999757856,2499094.540000000037253,2623120.800000000279397,9923176.699999999254942
FS( 12 ),2411176.720000000204891,2497041.920000000391155,2541198.430000000167638,2666246.000000000000000,10115663.070000000298023
FS( 13 ),2364563.920000000391155,2450821.920000000391155,2521731.040000000037253,2643202.000000000465661,9980318.880000000819564
