代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13519990.919999998062849
真實報酬,3519990.919999998062849

夏普值報酬,0.343299092000000
夏普值風險,0.098027028784464
夏普值,3.502086070106480

二次趨勢線,52.050406008304179 x^2 + 1899.111554538609198 x + 10000000.000000000000000
二次加權預期報酬,19422.748244001028070
風險,165851.073640915536089
二次加權趨勢值,0.117109571964866
一次趨勢線,11756.118541069634375 x + 10000000.000000000000000
一次預期報酬,11756.118541069634375
一次風險,406735.715822933940217
一次趨勢值,0.028903580589877
找到最佳解世代,3590
找到最佳解實驗#,5
找到最佳解次數,19

stock[index](rank)
投資組合檔數,3
BA[2](2),MCD[15](1),V[25](11),
Stock#,BA[2](2),MCD[15](1),V[25](11),
張數,25702,27685,44754,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,40.620000000111759,59.000000000000000,55.079999999608845,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3263423.560000000055879,3343299.600000000093132,3341836.259999999776483,9948560.419999999925494
FS( 3 ),3263166.540000000037253,3339700.549999999813735,3314536.319999999832362,9917404.410000000149012
FS( 4 ),3268563.959999999962747,3347729.200000000186265,3314536.319999999832362,9930830.480000000447035
FS( 5 ),3343613.800000000279397,3358526.350000000093132,3420155.759999999776483,10122296.910000000149012
FS( 6 ),3393732.699999999720603,3377629.000000000000000,3424631.159999999217689,10195993.859999999403954
FS( 7 ),3362119.240000000223517,3384550.250000000000000,3467595.000000000000000,10214265.490000000223517
FS( 8 ),3344127.840000000316650,3400330.699999999720603,3466699.919999999459833,10211159.459999999031425
FS( 9 ),3381138.720000000204891,3431061.050000000279397,3497132.639999999664724,10309333.410000000149012
FS( 10 ),3402728.399999999906868,3422201.850000000093132,3504293.279999999329448,10329224.529999999329448
FS( 11 ),3429458.480000000447035,3427462.000000000000000,3504740.819999999832362,10361662.300000000745058
FS( 12 ),3461071.939999999944121,3502211.500000000000000,3523089.959999999497086,10486374.399999998509884
FS( 13 ),3462614.060000000055879,3490030.100000000093132,3551732.519999999552965,10504377.679999999701977
FS( 14 ),3432028.680000000167638,3521037.300000000279397,3526222.739999999757856,10479289.720000000670552
FS( 15 ),3430486.560000000055879,3550937.099999999627471,3576347.219999999273568,10557771.879999998956919
FS( 16 ),3416864.500000000000000,3527128.000000000000000,3532935.839999999385327,10476929.339999999850988
FS( 17 ),3465955.319999999832362,3369600.349999999627471,3512796.539999999571592,10348353.209999999031425
FS( 18 ),3494484.540000000502914,3307862.800000000279397,3514586.699999999720603,10316935.040000000968575
FS( 19 ),3418663.639999999664724,3306201.700000000186265,3544124.339999999385327,10268990.679999999701977
FS( 20 ),3435369.939999999944121,3257199.250000000000000,3493104.779999999329448,10185674.969999998807907
FS( 21 ),3423804.040000000502914,3267165.850000000093132,3502503.119999999646097,10193474.009999999776483
FS( 22 ),3382423.819999999832362,3258583.500000000000000,3503398.199999999720603,10144406.519999999552965
FS( 23 ),3389363.360000000335276,3253600.199999999720603,3522642.419999999459833,10165606.980000000447035
