代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13401552.709999999031425
真實報酬,3401552.709999999031425

夏普值報酬,0.331455271000000
夏普值風險,0.095442770778672
夏普值,3.472816938316171

二次趨勢線,14.025816675873267 x^2 + 11076.025731020024978 x + 10000000.000000000000000
二次加權預期報酬,15816.751767465182638
風險,176601.224614100414328
二次加權趨勢值,0.089561959731747
一次趨勢線,13742.673752395663541 x + 10000000.000000000000000
一次預期報酬,13742.673752395663541
一次風險,203378.196922933828318
一次趨勢值,0.067572010964396
找到最佳解世代,1490
找到最佳解實驗#,2
找到最佳解次數,31

stock[index](rank)
投資組合檔數,4
HD[9](2),KO[14](6),VZ[26](5),WMT[28](3),
Stock#,HD[9](2),KO[14](6),VZ[26](5),WMT[28](3),
張數,75918,70962,69676,47483,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,20.260000000242144,8.740000000223517,25.119999999646097,20.050000000279397,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2443061.500000000000000,2474453.680000000167638,2477703.679999999701977,2470560.540000000502914,9865779.400000000372529
FS( 3 ),2433192.160000000149012,2463809.380000000353903,2454013.839999999385327,2453941.490000000223517,9804956.870000001043081
FS( 4 ),2495444.919999999925494,2512063.540000000037253,2481884.239999999292195,2489078.910000000149012,9978471.609999999403954
FS( 5 ),2464318.540000000502914,2525546.320000000298023,2465162.000000000000000,2479107.480000000447035,9934134.340000001713634
FS( 6 ),2419526.920000000391155,2461680.520000000018626,2455407.359999999869615,2438746.930000000167638,9775361.730000000447035
FS( 7 ),2455967.560000000521541,2461680.520000000018626,2456104.119999999646097,2460589.110000000335276,9834341.309999998658895
FS( 8 ),2479502.140000000130385,2451745.839999999850988,2473523.119999999646097,2449668.020000000484288,9854439.120000001043081
FS( 9 ),2546309.979999999981374,2475872.920000000391155,2480490.719999999739230,2478632.650000000372529,9981306.269999999552965
FS( 10 ),2602489.300000000279397,2519869.359999999869615,2521599.559999999590218,2493352.380000000353903,10137310.599999999627471
FS( 11 ),2627542.240000000223517,2527675.180000000167638,2558527.839999999385327,2500000.000000000000000,10213745.259999999776483
FS( 12 ),2607803.560000000521541,2500709.620000000577420,2527870.399999999906868,2490503.400000000372529,10126886.980000002309680
FS( 13 ),2642725.840000000316650,2507096.200000000186265,2536928.279999999329448,2482906.120000000111759,10169656.440000001341105
FS( 14 ),2569085.380000000353903,2458132.420000000391155,2497212.959999999962747,2436847.610000000335276,9961278.370000001043081
FS( 15 ),2509110.160000000149012,2406330.160000000149012,2479793.959999999962747,2387465.290000000502914,9782699.570000000298023
FS( 16 ),2559975.220000000204891,2392137.760000000242144,2500000.000000000000000,2412156.450000000186265,9864269.429999999701977
FS( 17 ),2581232.260000000242144,2439682.300000000279397,2533444.479999999515712,2461063.940000000409782,10015422.980000000447035
FS( 18 ),2572122.100000000558794,2468067.100000000093132,2570372.759999999776483,2470560.540000000502914,10081122.500000001862645
FS( 19 ),2550865.060000000521541,2414845.600000000093132,2566888.959999999962747,2436372.780000000260770,9968972.400000000372529
FS( 20 ),2565289.479999999981374,2450326.600000000093132,2588488.519999999552965,2465812.240000000223517,10069916.839999999850988
FS( 21 ),2495444.919999999925494,2397105.100000000093132,2564101.919999999459833,2464387.750000000000000,9921039.689999999478459
FS( 22 ),2398269.880000000353903,2321175.760000000242144,2532050.959999999962747,2467236.730000000447035,9718733.330000001937151
FS( 23 ),2465077.720000000204891,2314789.180000000167638,2536231.519999999552965,2510921.090000000316650,9827019.509999999776483
FS( 24 ),2492408.200000000186265,2325433.480000000447035,2492335.639999999664724,2500000.000000000000000,9810177.320000000298023
FS( 25 ),2534163.100000000558794,2320466.140000000596046,2502090.279999999329448,2504748.300000000279397,9861467.820000000298023
