代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13401552.709999999031425
真實報酬,3401552.709999999031425

夏普值報酬,0.331455271000000
夏普值風險,0.095442770778672
夏普值,3.472816938316171

二次趨勢線,14.025816675873267 x^2 + 11076.025731020024978 x + 10000000.000000000000000
二次加權預期報酬,15816.751767465182638
風險,176601.224614100414328
二次加權趨勢值,0.089561959731747
一次趨勢線,13742.673752395663541 x + 10000000.000000000000000
一次預期報酬,13742.673752395663541
一次風險,203378.196922933828318
一次趨勢值,0.067572010964396
找到最佳解世代,1490
找到最佳解實驗#,2
找到最佳解次數,31

stock[index](rank)
投資組合檔數,4
HD[9](2),KO[14](6),VZ[26](5),WMT[28](3),
FS( 26 ),2575158.820000000298023,2338206.640000000596046,2519509.279999999329448,2549857.150000000372529,9982731.890000000596046
FS( 27 ),2631338.140000000130385,2373687.640000000596046,2571069.519999999552965,2602563.280000000260770,10178658.580000001937151
FS( 28 ),2635134.040000000502914,2370139.540000000037253,2543199.119999999646097,2598289.810000000055879,10146762.509999999776483
FS( 29 ),2635893.220000000204891,2394266.620000000577420,2555044.039999999571592,2621081.650000000372529,10206285.530000001192093
FS( 30 ),2612358.640000000130385,2391428.140000000596046,2579430.639999999664724,2612534.710000000428408,10195752.130000000819564
FS( 31 ),2660946.160000000149012,2407039.780000000260770,2601030.199999999720603,2633427.230000000447035,10302443.370000001043081
FS( 32 ),2630578.959999999962747,2377235.740000000223517,2573856.559999999590218,2601138.790000000502914,10182810.050000000745058
FS( 33 ),2729272.360000000335276,2368010.680000000167638,2594759.359999999869615,2653844.920000000391155,10345887.320000000298023
FS( 34 ),2687517.459999999962747,2378654.980000000447035,2581520.919999999459833,2670938.800000000279397,10318632.160000000149012
FS( 35 ),2712570.399999999906868,2381493.460000000428408,2585004.719999999739230,2676636.760000000242144,10355705.339999999850988
FS( 36 ),2798357.740000000223517,2419812.940000000409782,2607301.039999999571592,2702752.410000000149012,10528224.130000000819564
FS( 37 ),2786210.860000000335276,2408459.020000000018626,2573159.799999999813735,2696104.790000000502914,10463934.470000000670552
FS( 38 ),2736104.979999999981374,2375816.500000000000000,2521599.559999999590218,2692780.980000000447035,10326302.019999999552965
FS( 39 ),2774823.160000000149012,2394266.620000000577420,2564798.679999999701977,2724119.760000000242144,10458008.220000000670552
FS( 40 ),2837075.919999999925494,2432586.100000000093132,2624023.279999999329448,2745012.280000000260770,10638697.579999998211861
FS( 41 ),2742178.419999999925494,2446068.880000000353903,2621933.000000000000000,2713673.500000000000000,10523853.800000000745058
FS( 42 ),2717884.660000000149012,2424070.660000000149012,2576643.599999999627471,2693255.810000000055879,10411854.730000000447035
FS( 43 ),2698145.979999999981374,2378654.980000000447035,2541108.839999999385327,2669989.140000000130385,10287898.940000001341105
FS( 44 ),2732309.080000000540167,2404910.920000000391155,2564101.919999999459833,2699903.430000000167638,10401225.349999999627471
FS( 45 ),2767231.360000000335276,2436134.200000000186265,2609391.319999999832362,2726493.910000000149012,10539250.790000000968575
FS( 46 ),2762676.280000000260770,2404910.920000000391155,2589882.039999999571592,2730292.550000000279397,10487761.790000000968575
FS( 47 ),2834798.380000000353903,2419812.940000000409782,2601726.959999999962747,2751185.070000000298023,10607523.350000001490116
FS( 48 ),2880349.180000000167638,2436134.200000000186265,2614268.639999999664724,2816711.610000000335276,10747463.630000000819564
FS( 49 ),2821133.140000000130385,2378654.980000000447035,2570372.759999999776483,2756408.200000000186265,10526569.080000001937151
FS( 50 ),2824169.860000000335276,2391428.140000000596046,2601030.199999999720603,2760206.840000000316650,10576835.040000000968575
FS( 51 ),2889459.340000000316650,2416974.460000000428408,2614268.639999999664724,2811013.650000000372529,10731716.089999999850988
FS( 52 ),2903883.760000000242144,2405620.540000000037253,2578037.119999999646097,2796293.920000000391155,10683835.339999999850988
FS( 53 ),2890218.520000000484288,2412716.740000000223517,2594759.359999999869615,2728393.230000000447035,10626087.850000001490116
FS( 54 ),2872757.380000000353903,2377945.359999999869615,2553650.519999999552965,2691356.490000000223517,10495709.750000000000000
FS( 55 ),2856055.419999999925494,2363752.960000000428408,2557134.319999999832362,2693730.640000000130385,10470673.340000001713634
FS( 56 ),2875794.100000000558794,2391428.140000000596046,2540412.079999999608845,2717472.140000000130385,10525106.460000000894070
FS( 57 ),2813541.340000000316650,2340335.500000000000000,2513238.439999999478459,2690406.830000000074506,10357522.109999999403954
FS( 58 ),2816578.060000000521541,2341045.120000000577420,2521599.559999999590218,2699428.600000000558794,10378651.340000001713634
FS( 59 ),2772545.620000000577420,2302016.020000000018626,2463071.719999999739230,2689457.170000000391155,10227090.530000001192093
FS( 60 ),2768749.720000000204891,2297048.680000000167638,2463071.719999999739230,2701327.920000000391155,10230198.040000000968575
FS( 61 ),2831761.660000000149012,2312660.320000000298023,2525780.119999999646097,2718421.800000000279397,10388623.900000000372529
FS( 62 ),2957785.540000000502914,2348850.940000000409782,2552257.000000000000000,2762106.160000000149012,10620999.640000000596046
FS( 63 ),2977524.220000000204891,2385751.180000000167638,2628900.599999999627471,2796768.750000000000000,10788944.750000000000000
FS( 64 ),2986634.380000000353903,2371558.780000000260770,2631687.639999999664724,2782998.680000000167638,10772879.480000000447035
FS( 65 ),3032185.180000000167638,2355237.520000000018626,2637261.719999999739230,2758307.520000000484288,10782991.940000001341105
FS( 66 ),3054201.399999999906868,2353108.660000000149012,2651196.919999999459833,2770178.270000000484288,10828685.250000000000000
FS( 67 ),3061034.020000000484288,2365881.820000000298023,2670009.439999999478459,2791070.790000000502914,10887996.070000000298023
FS( 68 ),3092160.399999999906868,2369429.920000000391155,2669312.679999999701977,2778250.380000000353903,10909153.380000000819564
FS( 69 ),3029907.640000000130385,2368010.680000000167638,2634474.679999999701977,2753084.390000000130385,10785477.390000000596046
FS( 70 ),3054201.399999999906868,2397105.100000000093132,2677673.799999999813735,2769228.610000000335276,10898208.910000000149012
FS( 71 ),3040536.160000000149012,2373687.640000000596046,2672099.719999999739230,2758307.520000000484288,10844631.040000000968575
FS( 72 ),2999540.439999999944121,2358785.620000000577420,2665828.879999999422580,2735040.850000000558794,10759195.789999999105930
FS( 73 ),2971450.780000000260770,2350979.800000000279397,2665828.879999999422580,2737415.000000000000000,10725674.459999999031425
FS( 74 ),2992707.820000000298023,2373687.640000000596046,2676977.039999999571592,2751659.900000000372529,10795032.400000000372529
FS( 75 ),3068625.820000000298023,2392847.380000000353903,2702060.399999999906868,2766854.460000000428408,10930388.060000002384186
FS( 76 ),3051923.860000000335276,2390718.520000000018626,2691609.000000000000000,2743587.790000000502914,10877839.170000001788139
FS( 77 ),3184780.360000000335276,2426909.140000000596046,2732021.079999999608845,2810538.820000000298023,11154249.400000000372529
FS( 78 ),3188576.260000000242144,2468067.100000000093132,2733414.599999999627471,2820035.420000000391155,11210093.380000000819564
FS( 79 ),3182502.820000000298023,2455293.940000000409782,2737595.159999999683350,2810538.820000000298023,11185930.740000000223517
FS( 80 ),3195408.880000000353903,2481549.880000000353903,2785671.599999999627471,2848525.220000000204891,11311155.580000000074506
FS( 81 ),3205278.220000000204891,2479421.020000000018626,2786368.359999999869615,2840927.940000000409782,11311995.539999999105930
FS( 82 ),3152894.800000000279397,2466647.859999999869615,2770342.879999999422580,2836179.640000000130385,11226065.179999999701977
FS( 83 ),3189335.439999999944121,2489355.700000000186265,2790548.919999999459833,2848525.220000000204891,11317765.280000001192093
FS( 84 ),3191612.979999999981374,2482969.120000000577420,2795426.239999999292195,2837604.130000000353903,11307612.470000000670552
FS( 85 ),3199204.780000000260770,2488646.080000000074506,2768252.599999999627471,2864669.440000000409782,11320772.900000002235174
FS( 86 ),3244755.580000000540167,2473034.440000000409782,2732021.079999999608845,2835229.980000000447035,11285041.080000001937151
FS( 87 ),3271326.880000000353903,2461680.520000000018626,2713208.559999999590218,2821459.910000000149012,11267675.870000001043081
FS( 88 ),3279677.860000000335276,2446068.880000000353903,2670706.199999999720603,2801517.050000000279397,11197969.990000000223517
FS( 89 ),3281955.399999999906868,2446068.880000000353903,2673493.239999999292195,2810063.990000000223517,11211581.509999999776483
FS( 90 ),3304730.800000000279397,2460261.280000000260770,2687428.439999999478459,2803416.370000000111759,11255836.890000000596046
FS( 91 ),3299416.540000000502914,2414845.600000000093132,2710421.519999999552965,2820510.250000000000000,11245193.910000000149012
FS( 92 ),3294102.280000000260770,2397105.100000000093132,2711815.039999999571592,2825258.550000000279397,11228280.970000000670552
FS( 93 ),3303212.439999999944121,2376526.120000000577420,2711815.039999999571592,2827157.870000000111759,11218711.469999998807907
FS( 94 ),3320673.580000000540167,2389299.280000000260770,2718782.639999999664724,2841877.600000000558794,11270633.100000001490116
FS( 95 ),3407220.100000000558794,2398524.339999999850988,2718085.879999999422580,2849474.880000000353903,11373305.200000001117587
FS( 96 ),3447456.640000000130385,2393557.000000000000000,2717389.119999999646097,2877964.680000000167638,11436367.439999999478459
FS( 97 ),3379130.439999999944121,2416264.839999999850988,2715298.839999999385327,2896957.880000000353903,11407652.000000000000000
FS( 98 ),3407220.100000000558794,2431876.480000000447035,2675583.519999999552965,2892209.580000000074506,11406889.680000001564622
FS( 99 ),3413293.540000000502914,2409168.640000000596046,2633081.159999999683350,2915001.420000000391155,11370544.760000001639128
FS( 100 ),3436068.939999999944121,2428328.380000000353903,2626113.559999999590218,2918800.060000000055879,11409310.939999999478459
FS( 101 ),3412534.360000000335276,2413426.359999999869615,2601726.959999999962747,2895058.560000000055879,11322746.240000000223517
FS( 102 ),3406460.919999999925494,2392847.380000000353903,2592669.079999999608845,2882712.980000000447035,11274690.360000001266599
FS( 103 ),3398869.120000000577420,2393557.000000000000000,2620539.479999999515712,2910727.950000000186265,11323693.550000000745058
FS( 104 ),3370020.280000000260770,2396395.480000000447035,2624023.279999999329448,2913576.930000000167638,11304015.969999998807907
FS( 105 ),3376093.720000000204891,2407039.780000000260770,2633777.919999999459833,2952512.990000000223517,11369424.410000000149012
FS( 106 ),3375334.540000000502914,2407039.780000000260770,2617055.679999999701977,2941117.070000000298023,11340547.070000000298023
FS( 107 ),3429236.320000000298023,2415555.220000000204891,2636564.959999999962747,2945390.540000000502914,11426747.040000000968575
FS( 108 ),3431513.860000000335276,2414135.980000000447035,2657467.759999999776483,2938268.090000000316650,11441385.690000001341105
FS( 109 ),3451252.540000000502914,2432586.100000000093132,2642139.039999999571592,2929246.320000000298023,11455224.000000000000000
FS( 110 ),3429236.320000000298023,2424780.280000000260770,2642139.039999999571592,2925922.510000000242144,11422078.150000000372529
FS( 111 ),3436828.120000000577420,2412007.120000000577420,2642139.039999999571592,2942066.730000000447035,11433041.010000001639128
FS( 112 ),3441383.200000000186265,2410587.880000000353903,2626113.559999999590218,2939217.750000000000000,11417302.390000000596046
FS( 113 ),3486934.000000000000000,2428328.380000000353903,2656771.000000000000000,2933994.620000000111759,11506028.000000000000000
FS( 114 ),3496803.340000000316650,2444649.640000000596046,2650500.159999999683350,2954412.310000000055879,11546365.450000001117587
FS( 115 ),3470232.040000000502914,2426909.140000000596046,2635868.199999999720603,2932570.130000000353903,11465579.510000001639128
FS( 116 ),3486934.000000000000000,2443230.400000000372529,2651196.919999999459833,2945865.370000000111759,11527226.690000001341105
FS( 117 ),3546150.040000000502914,2450326.600000000093132,2679764.079999999608845,2966757.890000000130385,11642998.610000001266599
FS( 118 ),3562092.820000000298023,2441811.160000000149012,2681854.359999999869615,2852323.860000000335276,11538082.199999999254942
FS( 119 ),3535521.520000000484288,2457422.800000000279397,2662345.079999999608845,2782523.850000000558794,11437813.250000000000000
FS( 120 ),3564370.360000000335276,2454584.320000000298023,2656771.000000000000000,2779674.870000000111759,11455400.550000000745058
FS( 121 ),3566647.899999999906868,2448197.740000000223517,2657467.759999999776483,2791545.620000000111759,11463859.019999999552965
FS( 122 ),3562852.000000000000000,2442520.780000000260770,2656771.000000000000000,2775876.230000000447035,11438020.010000001639128
FS( 123 ),3585627.399999999906868,2442520.780000000260770,2658164.519999999552965,2798193.240000000223517,11484505.939999999478459
FS( 124 ),3611439.520000000484288,2478711.400000000372529,2655377.479999999515712,2805315.690000000409782,11550844.089999999850988
FS( 125 ),3603088.540000000502914,2469486.339999999850988,2677673.799999999813735,2792970.110000000335276,11543218.789999999105930
FS( 126 ),3599292.640000000130385,2454584.320000000298023,2694396.039999999571592,2801991.880000000353903,11550264.880000000819564
FS( 127 ),3597774.280000000260770,2456713.180000000167638,2717389.119999999646097,2820510.250000000000000,11592386.830000000074506
FS( 128 ),3521856.280000000260770,2439682.300000000279397,2695789.559999999590218,2800092.560000000055879,11457420.700000001117587
FS( 129 ),3597774.280000000260770,2441101.540000000037253,2708331.239999999292195,2842352.430000000167638,11589559.489999998360872
FS( 130 ),3630419.020000000484288,2458132.420000000391155,2732717.839999999385327,2838078.960000000428408,11659348.240000002086163
FS( 131 ),3651676.060000000521541,2466647.859999999869615,2724356.719999999739230,2852798.690000000409782,11695479.330000001937151
FS( 132 ),3688875.880000000353903,2489355.700000000186265,2739685.439999999478459,2881288.490000000223517,11799205.509999999776483
FS( 133 ),3730630.780000000260770,2492903.800000000279397,2750833.599999999627471,2896483.050000000279397,11870851.230000000447035
FS( 134 ),3755683.720000000204891,2491484.560000000055879,2750136.839999999385327,2900281.690000000409782,11897586.809999998658895
FS( 135 ),3735185.860000000335276,2495742.280000000260770,2755014.159999999683350,2907404.140000000130385,11893346.440000001341105
FS( 136 ),3723798.160000000149012,2489355.700000000186265,2757104.439999999478459,2888885.770000000484288,11859144.070000000298023
FS( 137 ),3707096.200000000186265,2497871.140000000596046,2762678.519999999552965,2884137.470000000204891,11851783.330000000074506
FS( 138 ),3748851.100000000558794,2504967.339999999850988,2761285.000000000000000,2877489.850000000558794,11892593.290000002831221
FS( 139 ),3779977.479999999981374,2523417.460000000428408,2771736.399999999906868,2875590.530000000260770,11950721.870000001043081
FS( 140 ),3771626.500000000000000,2534061.760000000242144,2763375.279999999329448,2879864.000000000000000,11948927.539999999105930
FS( 141 ),3760997.979999999981374,2536190.620000000577420,2746653.039999999571592,2884612.300000000279397,11928453.940000001341105
FS( 142 ),3805789.600000000558794,2551092.640000000596046,2740382.199999999720603,2905979.650000000372529,12003244.090000001713634
FS( 143 ),3798956.979999999981374,2550383.020000000018626,2693699.279999999329448,2900756.520000000484288,11943795.800000000745058
FS( 144 ),3789087.640000000130385,2578058.200000000186265,2665828.879999999422580,2905504.820000000298023,11938479.539999999105930
FS( 145 ),3789087.640000000130385,2619216.160000000149012,2652590.439999999478459,2887936.110000000335276,11948830.350000001490116
FS( 146 ),3819454.840000000316650,2626312.359999999869615,2663738.599999999627471,2905979.650000000372529,12015485.450000001117587
FS( 147 ),3795161.080000000540167,2630570.080000000074506,2683944.639999999664724,2913576.930000000167638,12023252.730000000447035
FS( 148 ),3795920.260000000242144,2617087.300000000279397,2679764.079999999608845,2879864.000000000000000,11972635.640000000596046
FS( 149 ),3784532.560000000521541,2606443.000000000000000,2674886.759999999776483,2861345.630000000353903,11927207.950000001117587
FS( 150 ),3842989.419999999925494,2607152.620000000577420,2624023.279999999329448,2880813.660000000149012,11954978.980000000447035
FS( 151 ),3839952.700000000186265,2585864.020000000018626,2610088.079999999608845,2855172.840000000316650,11891077.640000000596046
FS( 152 ),3747332.740000000223517,2555350.359999999869615,2564101.919999999459833,2845676.240000000223517,11712461.259999999776483
FS( 153 ),3776940.760000000242144,2558898.460000000428408,2604514.000000000000000,2839503.450000000186265,11779856.670000001788139
FS( 154 ),3843748.600000000558794,2562446.560000000055879,2616358.919999999459833,2855647.670000000391155,11878201.750000000000000
FS( 155 ),3868801.540000000502914,2552511.880000000353903,2596152.879999999422580,2838078.960000000428408,11855545.260000001639128
FS( 156 ),3924221.680000000167638,2570252.380000000353903,2607997.799999999813735,2876540.190000000409782,11979012.050000000745058
FS( 157 ),3950033.800000000279397,2624183.500000000000000,2629597.359999999869615,2937793.260000000242144,12141607.919999999925494
FS( 158 ),3933331.840000000316650,2631989.320000000298023,2624023.279999999329448,2946815.030000000260770,12136159.469999998807907
FS( 159 ),3914352.340000000316650,2619216.160000000149012,2658164.519999999552965,2932095.300000000279397,12123828.320000000298023
FS( 160 ),3906760.540000000502914,2630570.080000000074506,2698576.599999999627471,2965333.400000000372529,12201240.620000001043081
FS( 161 ),3879430.060000000521541,2614958.440000000409782,2687428.439999999478459,2827157.870000000111759,12008974.810000002384186
FS( 162 ),3889299.399999999906868,2629860.460000000428408,2752227.119999999646097,2743112.960000000428408,12014499.940000001341105
FS( 163 ),3940923.640000000130385,2658954.880000000353903,2750833.599999999627471,2723644.930000000167638,12074357.050000000745058
FS( 164 ),3937886.919999999925494,2685920.440000000409782,2796819.759999999776483,2799142.900000000372529,12219770.020000001415610
FS( 165 ),3943960.360000000335276,2719272.580000000074506,2803090.599999999627471,2802941.540000000502914,12269265.080000000074506
FS( 166 ),3931813.479999999981374,2707918.660000000149012,2813542.000000000000000,2797243.580000000074506,12250517.720000000670552
FS( 167 ),3972050.020000000484288,2729916.880000000353903,2826083.679999999701977,2804840.860000000335276,12332891.440000001341105
FS( 168 ),4001658.040000000502914,2737722.700000000186265,2828870.719999999739230,2801991.880000000353903,12370243.340000001713634
FS( 169 ),3983437.720000000204891,2747657.380000000353903,2831657.759999999776483,2801042.220000000204891,12363795.080000000074506
FS( 170 ),3944719.540000000502914,2732045.740000000223517,2805180.879999999422580,2787272.150000000372529,12269218.310000000521541
FS( 171 ),3901446.280000000260770,2741980.420000000391155,2823993.399999999906868,2810538.820000000298023,12277958.920000001788139
FS( 172 ),3842989.419999999925494,2737013.080000000074506,2825386.919999999459833,2803891.200000000186265,12209280.620000001043081
FS( 173 ),3804271.240000000223517,2724239.920000000391155,2804484.119999999646097,2802941.540000000502914,12135936.820000000298023
FS( 174 ),3842989.419999999925494,2746947.760000000242144,2825386.919999999459833,2810538.820000000298023,12225862.919999999925494
FS( 175 ),3821732.380000000353903,2749076.620000000577420,2867889.279999999329448,2821459.910000000149012,12260158.190000001341105
FS( 176 ),3786810.100000000558794,2727788.020000000018626,2849076.759999999776483,2804840.860000000335276,12168515.740000002086163
FS( 177 ),3694949.320000000298023,2716434.100000000093132,2860224.919999999459833,2818136.100000000558794,12089744.440000001341105
FS( 178 ),3702541.120000000577420,2708628.280000000260770,2848380.000000000000000,2810538.820000000298023,12070088.220000000670552
FS( 179 ),3569684.620000000577420,2665341.460000000428408,2882521.239999999292195,2928771.490000000223517,12046318.810000000521541
FS( 180 ),3571962.160000000149012,2627731.600000000093132,2893669.399999999906868,2964383.740000000223517,12057746.900000000372529
FS( 181 ),3614476.240000000223517,2644052.859999999869615,2880430.959999999962747,2993348.370000000111759,12132308.429999999701977
FS( 182 ),3663822.939999999944121,2632698.940000000409782,2883914.759999999776483,3026111.640000000130385,12206548.280000001192093
FS( 183 ),3663822.939999999944121,2632698.940000000409782,2883914.759999999776483,3026111.640000000130385,12206548.280000001192093
FS( 184 ),3773904.040000000502914,2680953.100000000093132,2883914.759999999776483,3089738.859999999869615,12428510.759999999776483
FS( 185 ),3753406.180000000167638,2669599.180000000167638,2888095.319999999832362,3101134.780000000260770,12412235.460000000894070
FS( 186 ),3779218.300000000279397,2677405.000000000000000,2908998.119999999646097,3118703.490000000689179,12484324.910000000149012
FS( 187 ),3773904.040000000502914,2663212.600000000093132,2886005.039999999571592,3107307.570000000298023,12430429.250000000000000
FS( 188 ),3745814.380000000353903,2651858.680000000167638,2901333.759999999776483,3125351.109999999869615,12424357.929999999701977
FS( 189 ),3641047.540000000502914,2593669.839999999850988,2858831.399999999906868,3112530.700000000186265,12206079.480000000447035
FS( 190 ),3701781.939999999944121,2612829.580000000074506,2880430.959999999962747,3133423.220000000204891,12328465.700000001117587
FS( 191 ),3713928.820000000298023,2598637.180000000167638,2870676.319999999832362,3110156.550000000279397,12293398.870000001043081
FS( 192 ),3841471.060000000521541,2647600.960000000428408,2910391.639999999664724,3130574.240000000689179,12530037.900000000372529
FS( 193 ),3890058.580000000540167,2635537.420000000391155,2901333.759999999776483,3127725.260000000707805,12554655.020000003278255
FS( 194 ),3974327.560000000521541,2669599.180000000167638,2957074.559999999590218,3239310.310000000055879,12840311.610000001266599
FS( 195 ),3898409.560000000521541,2649020.200000000186265,2965435.679999999701977,3206547.040000000502914,12719412.480000002309680
FS( 196 ),3965976.580000000540167,2668179.940000000409782,2991912.559999999590218,3215568.810000000055879,12841637.890000002458692
FS( 197 ),3869560.720000000204891,2650439.440000000409782,2995396.359999999869615,3184704.859999999869615,12700101.379999998956919
FS( 198 ),3959903.140000000130385,2687339.680000000167638,3048350.119999999646097,3211295.339999999850988,12906888.279999999329448
FS( 199 ),3937886.919999999925494,2700112.839999999850988,3034414.919999999459833,3216993.300000000279397,12889407.980000000447035
FS( 200 ),3972050.020000000484288,2695855.120000000577420,3053227.439999999478459,3234562.010000000707805,12955694.589999999850988
FS( 201 ),4021396.720000000204891,2687339.680000000167638,3046956.599999999627471,3219842.280000000260770,12975535.280000001192093
FS( 202 ),4010768.200000000186265,2680953.100000000093132,3016995.919999999459833,3253555.209999999962747,12962272.429999999701977
FS( 203 ),3891576.939999999944121,2649729.820000000298023,3019086.199999999720603,3214619.150000000372529,12775012.109999999403954
FS( 204 ),3949274.620000000577420,2658954.880000000353903,3062285.319999999832362,3195625.950000000186265,12866140.769999999552965
FS( 205 ),3911315.620000000577420,2653277.920000000391155,3041382.519999999552965,3237410.990000000689179,12843387.050000000745058
FS( 206 ),3938646.100000000558794,2663922.220000000204891,3054620.959999999962747,3256404.190000000409782,12913593.470000002533197
FS( 207 ),3913593.160000000149012,2708628.280000000260770,3050440.399999999906868,3256879.020000000484288,12929540.859999999403954
FS( 208 ),3924221.680000000167638,2716434.100000000093132,3063678.839999999385327,3243108.950000000186265,12947443.570000000298023
FS( 209 ),4022915.080000000540167,2774622.940000000409782,3096426.559999999590218,3310534.810000000055879,13204499.390000002458692
FS( 210 ),4024433.439999999944121,2800169.260000000242144,3130567.799999999813735,3292966.100000000093132,13248136.599999999627471
FS( 211 ),3921184.959999999962747,2808684.700000000186265,3131961.319999999832362,3359442.300000000279397,13221273.280000001192093
FS( 212 ),3956107.240000000223517,2783848.000000000000000,3127780.759999999776483,3375111.690000000409782,13242847.690000001341105
FS( 213 ),3959143.959999999962747,2773203.700000000186265,3095033.039999999571592,3388406.930000000167638,13215787.629999998956919
FS( 214 ),3956866.419999999925494,2766817.120000000577420,3117329.359999999869615,3407400.130000000353903,13248413.030000001192093
FS( 215 ),3964458.220000000204891,2766817.120000000577420,3114542.319999999832362,3424019.180000000167638,13269836.839999999850988
FS( 216 ),3922703.320000000298023,2748367.000000000000000,3128477.519999999552965,3431141.630000000353903,13230689.470000000670552
FS( 217 ),3913593.160000000149012,2719272.580000000074506,3112452.039999999571592,3433515.780000000260770,13178833.559999998658895
FS( 218 ),3954588.880000000353903,2741980.420000000391155,3150077.079999999608845,3474825.990000000689179,13321472.370000001043081
FS( 219 ),3906001.360000000335276,2713595.620000000577420,3154257.639999999664724,3465329.390000000596046,13239184.010000001639128
FS( 220 ),3850581.220000000204891,2756882.440000000409782,3181431.279999999329448,3471027.350000000093132,13259922.289999999105930
FS( 221 ),3865005.640000000130385,2747657.380000000353903,3197456.759999999776483,3459156.600000000093132,13269276.380000000819564
FS( 222 ),3868801.540000000502914,2751915.100000000093132,3103394.159999999683350,3396479.040000000502914,13120589.840000001713634
FS( 223 ),3849062.860000000335276,2733464.980000000447035,3099910.359999999869615,3430666.800000000279397,13113105.000000001862645
FS( 224 ),3868801.540000000502914,2727788.020000000018626,3090155.719999999739230,3411673.600000000093132,13098418.880000000819564
FS( 225 ),3884744.320000000298023,2719982.200000000186265,3049743.639999999664724,3425443.670000000391155,13079913.830000000074506
