代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14309788.099999997764826
真實報酬,4309788.099999997764826

夏普值報酬,0.422278810000000
夏普值風險,0.131006416505151
夏普值,3.223344483919965

二次趨勢線,109.794405273868719 x^2 + -9972.669794969624490 x + 10000000.000000000000000
二次加權預期報酬,27137.839187597994169
風險,299506.690336889179889
二次加權趨勢值,0.090608457383950
一次趨勢線,10901.910298845015859 x + 10000000.000000000000000
一次預期報酬,10901.910298845015859
一次風險,844505.028810375835747
一次趨勢值,0.012909230764679
找到最佳解世代,2307
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
CAT[3](1),CVX[5](2),DIS[6](4),UNH[23](6),
Stock#,CAT[3](1),CVX[5](2),DIS[6](4),UNH[23](6),
張數,39068,32598,70323,75780,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,38.679999999701977,59.379999999888241,17.350000000093132,17.799999999813735,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2539067.999999999534339,2531620.059999999590218,2476793.410000000149012,2511367.000000000000000,10058848.469999998807907
FS( 3 ),2550788.399999999906868,2538791.619999999646097,2494374.160000000149012,2531827.599999999627471,10115781.779999999329448
FS( 4 ),2518752.639999999664724,2522166.640000000130385,2483825.709999999962747,2495453.199999999720603,10020198.189999999478459
FS( 5 ),2519143.319999999832362,2531620.059999999590218,2508438.760000000242144,2471961.399999999441206,10031163.539999999105930
FS( 6 ),2550007.039999999571592,2591600.379999999888241,2547116.410000000149012,2444680.599999999627471,10133404.429999999701977
FS( 7 ),2607046.319999999832362,2621916.520000000018626,2523909.820000000298023,2444680.599999999627471,10197553.259999999776483
FS( 8 ),2585949.599999999627471,2614744.959999999497086,2520393.670000000391155,2437102.599999999627471,10158190.829999998211861
FS( 9 ),2628533.719999999739230,2626806.219999999739230,2545709.950000000186265,2352986.799999999813735,10154036.689999999478459
FS( 10 ),2665257.639999999664724,2659730.200000000186265,2559774.549999999813735,2321159.199999999720603,10205921.589999999850988
FS( 11 ),2612906.519999999552965,2632347.879999999888241,2519690.439999999944121,2328737.199999999720603,10093682.039999999105930
FS( 12 ),2617203.999999999534339,2650928.739999999757856,2543600.260000000242144,2366627.199999999720603,10178360.199999999254942
FS( 13 ),2637128.679999999701977,2674725.279999999795109,2569619.770000000018626,2347682.199999999720603,10229155.929999997839332
FS( 14 ),2646895.679999999701977,2670487.540000000037253,2571026.230000000447035,2293120.600000000093132,10181530.050000000745058
FS( 15 ),2637519.359999999869615,2647016.979999999981374,2586497.290000000037253,2308276.600000000093132,10179310.230000000447035
FS( 16 ),2687135.719999999739230,2694936.040000000037253,2587200.520000000018626,2345408.799999999813735,10314681.079999998211861
FS( 17 ),2799260.879999999888241,2692328.200000000186265,2604781.270000000018626,2262050.799999999813735,10358421.149999998509884
FS( 18 ),2677368.719999999739230,2615396.919999999925494,2554148.709999999962747,2258261.799999999813735,10105176.149999998509884
FS( 19 ),2694558.639999999664724,2628110.140000000130385,2552039.020000000018626,2306761.000000000000000,10181468.799999998882413
FS( 20 ),2764099.679999999701977,2682548.800000000279397,2617439.410000000149012,2371931.799999999813735,10436019.690000001341105
FS( 21 ),2660178.799999999813735,2654840.500000000000000,2590716.670000000391155,2296909.599999999627471,10202645.570000000298023
FS( 22 ),2732454.599999999627471,2700151.719999999739230,2641349.230000000447035,2293120.600000000093132,10367076.150000000372529
FS( 23 ),2605874.279999999795109,2632673.859999999869615,2573135.920000000391155,2234769.999999999534339,10046454.060000000521541
FS( 24 ),2576963.959999999497086,2614093.000000000000000,2485232.170000000391155,2273417.799999999813735,9949706.929999999701977
FS( 25 ),2480856.679999999701977,2516624.979999999981374,2391702.580000000074506,2215824.999999999534339,9605009.240000000223517
FS( 26 ),2426161.479999999981374,2513365.179999999701977,2349508.779999999795109,2199153.399999999906868,9488188.839999999850988
FS( 27 ),2605483.599999999627471,2604313.600000000093132,2481716.020000000018626,2264324.199999999720603,9955837.419999998062849
FS( 28 ),2581261.439999999478459,2598119.979999999981374,2514767.830000000074506,2262050.799999999813735,9956200.050000000745058
FS( 29 ),2662522.879999999888241,2609855.259999999776483,2470464.340000000316650,2297667.399999999906868,10040509.880000000819564
FS( 30 ),2614078.559999999590218,2572693.540000000037253,2443741.600000000093132,2287058.199999999720603,9917571.899999998509884
FS( 31 ),2534770.519999999552965,2537161.719999999739230,2395218.730000000447035,2302972.000000000000000,9770122.969999998807907
FS( 32 ),2491795.719999999739230,2533901.919999999925494,2405063.950000000186265,2306761.000000000000000,9737522.589999999850988
FS( 33 ),2468745.599999999627471,2505215.679999999701977,2372012.139999999664724,2287058.199999999720603,9633031.619999999180436
FS( 34 ),2400376.599999999627471,2497066.179999999701977,2348102.320000000298023,2272659.999999999534339,9518205.099999999627471
FS( 35 ),2292158.239999999757856,2399272.179999999701977,2249650.120000000111759,2194606.600000000093132,9135687.140000000596046
FS( 36 ),2347634.799999999813735,2427958.419999999925494,2311534.359999999869615,2174903.799999999813735,9262031.379999998956919
FS( 37 ),2313645.639999999664724,2394056.500000000000000,2284108.389999999664724,2184755.199999999720603,9176565.729999998584390
FS( 38 ),2313254.959999999962747,2365696.239999999757856,2272856.709999999962747,2187786.399999999906868,9139594.309999998658895
FS( 39 ),2333570.319999999366701,2332446.279999999795109,2325598.959999999962747,2181723.999999999534339,9173339.559999998658895
FS( 40 ),2424598.759999999776483,2424046.659999999683350,2417018.859999999869615,2221887.399999999906868,9487551.679999999701977
FS( 41 ),2373810.359999999403954,2408073.640000000130385,2350212.010000000242144,2202942.399999999906868,9335038.410000000149012
FS( 42 ),2315599.040000000037253,2356568.800000000279397,2343882.939999999944121,2196122.199999999720603,9212172.979999998584390
FS( 43 ),2377717.159999999683350,2416549.119999999646097,2443038.370000000111759,2266597.599999999627471,9503902.250000000000000
FS( 44 ),2387484.159999999683350,2409377.559999999590218,2440928.680000000167638,2308276.600000000093132,9546066.999999998137355
FS( 45 ),2256606.359999999403954,2323644.819999999832362,2369199.219999999739230,2299183.000000000000000,9248633.399999998509884
FS( 46 ),2181205.119999999646097,2325926.679999999701977,2323489.270000000018626,2308276.600000000093132,9138897.669999998062849
FS( 47 ),2211678.159999999683350,2315169.339999999850988,2331224.799999999813735,2340862.000000000000000,9198934.300000000745058
FS( 48 ),2219491.759999999776483,2307671.800000000279397,2316456.969999999739230,2313581.199999999720603,9157201.730000000447035
FS( 49 ),2342165.279999999795109,2417853.040000000037253,2398734.879999999888241,2326463.799999999813735,9485217.000000000000000
FS( 50 ),2353104.319999999366701,2414267.259999999776483,2407876.870000000111759,2324190.399999999906868,9499438.849999999627471
FS( 51 ),2383186.679999999701977,2418179.020000000018626,2386076.740000000223517,2318128.000000000000000,9505570.439999999478459
FS( 52 ),2479293.959999999962747,2452406.919999999925494,2460619.120000000111759,2363596.000000000000000,9755916.000000000000000
FS( 53 ),2515627.199999999720603,2443279.479999999981374,2446554.520000000018626,2378752.000000000000000,9784213.199999999254942
FS( 54 ),2537505.279999999795109,2455340.739999999757856,2466244.959999999962747,2387087.799999999813735,9846178.779999999329448
FS( 55 ),2572666.479999999515712,2461860.339999999850988,2471870.799999999813735,2374205.199999999720603,9880602.819999998435378
FS( 56 ),2581261.439999999478459,2468379.939999999944121,2465541.730000000447035,2360564.799999999813735,9875747.910000000149012
FS( 57 ),2504688.159999999683350,2412311.379999999888241,2415612.400000000372529,2321917.000000000000000,9654528.939999999478459
FS( 58 ),2513283.119999999646097,2355590.859999999869615,2414909.170000000391155,2289331.600000000093132,9573114.750000000000000
FS( 59 ),2475777.839999999385327,2308975.719999999739230,2362870.150000000372529,2255230.600000000093132,9402854.309999998658895
FS( 60 ),2528128.959999999497086,2283875.259999999776483,2354431.389999999664724,2264324.199999999720603,9430759.809999998658895
FS( 61 ),2516017.879999999888241,2280615.459999999497086,2336147.410000000149012,2212036.000000000000000,9344816.750000000000000
FS( 62 ),2377326.479999999981374,2228458.659999999683350,2271450.250000000000000,2169599.199999999720603,9046834.589999999850988
FS( 63 ),2346853.439999999944121,2212159.659999999683350,2215191.850000000093132,2152169.799999999813735,8926374.750000000000000
FS( 64 ),2342946.639999999664724,2199772.419999999925494,2214488.620000000111759,2110490.799999999813735,8867698.480000000447035
FS( 65 ),2312082.919999999459833,2194230.759999999776483,2206753.089999999850988,2144591.799999999813735,8857658.570000000298023
FS( 66 ),2336695.759999999776483,2202380.259999999776483,2230662.910000000149012,2189302.000000000000000,8959040.929999999701977
FS( 67 ),2429286.919999999459833,2263990.479999999981374,2330521.570000000298023,2212793.799999999813735,9236592.769999999552965
FS( 68 ),2467964.239999999757856,2295284.559999999590218,2344586.170000000391155,2249168.199999999720603,9357003.169999998062849
FS( 69 ),2528519.639999999664724,2341899.700000000186265,2373418.600000000093132,2271144.399999999906868,9514982.339999999850988
FS( 70 ),2511329.719999999739230,2342225.679999999701977,2374825.060000000521541,2276448.999999999534339,9504829.459999999031425
FS( 71 ),2609390.399999999906868,2387210.919999999925494,2422644.700000000186265,2284027.000000000000000,9703273.019999999552965
FS( 72 ),2605874.279999999795109,2381343.279999999795109,2407876.870000000111759,2297667.399999999906868,9692761.830000000074506
FS( 73 ),2598451.359999999869615,2381017.300000000279397,2394515.500000000000000,2340104.199999999720603,9714088.359999999403954
FS( 74 ),2498046.599999999627471,2330816.379999999888241,2322786.040000000037253,2299183.000000000000000,9450832.019999999552965
FS( 75 ),2531645.079999999608845,2347115.379999999888241,2342476.480000000447035,2335557.399999999906868,9556794.339999999850988
FS( 76 ),2595325.919999999925494,2382973.179999999701977,2348805.549999999813735,2336315.199999999720603,9663419.849999999627471
FS( 77 ),2612515.839999999850988,2352657.040000000037253,2307314.980000000447035,2326463.799999999813735,9598951.660000000149012
FS( 78 ),2656662.679999999701977,2394056.500000000000000,2362166.920000000391155,2349197.799999999813735,9762083.899999998509884
FS( 79 ),2707841.759999999776483,2396664.339999999850988,2400141.340000000316650,2343135.399999999906868,9847782.839999999850988
FS( 80 ),2734407.999999999534339,2432522.140000000130385,2419128.549999999813735,2384814.399999999906868,9970873.089999999850988
FS( 81 ),2702762.919999999925494,2454688.779999999795109,2410689.790000000037253,2332526.199999999720603,9900667.689999999478459
FS( 82 ),2723859.639999999664724,2463164.259999999776483,2393812.270000000018626,2298425.199999999720603,9879261.369999999180436
FS( 83 ),2711357.879999999888241,2478159.339999999850988,2370605.680000000167638,2306761.000000000000000,9866883.900000000372529
FS( 84 ),2725031.679999999701977,2484352.959999999497086,2369199.219999999739230,2307518.799999999813735,9886102.659999998286366
FS( 85 ),2775820.079999999608845,2536183.779999999795109,2424754.389999999664724,2382541.000000000000000,10119299.250000000000000
FS( 86 ),2749253.839999999850988,2564218.059999999590218,2405767.180000000167638,2456805.399999999906868,10176044.480000000447035
FS( 87 ),2778554.839999999850988,2575953.339999999850988,2449367.439999999944121,2493937.599999999627471,10297813.219999998807907
FS( 88 ),2811371.959999999497086,2577583.239999999757856,2459915.889999999664724,2532585.399999999906868,10381456.489999998360872
FS( 89 ),2795744.759999999776483,2566499.919999999925494,2461322.350000000093132,2534858.799999999813735,10358425.829999998211861
FS( 90 ),2815669.439999999478459,2584754.800000000279397,2472574.029999999795109,2537890.000000000000000,10410888.269999999552965
FS( 91 ),2790275.239999999757856,2576605.300000000279397,2481716.020000000018626,2525765.199999999720603,10374361.759999999776483
FS( 92 ),2684400.959999999497086,2514343.119999999646097,2406470.410000000149012,2424219.999999999534339,10029434.489999998360872
FS( 93 ),2637128.679999999701977,2512387.239999999757856,2390296.120000000111759,2434829.200000000186265,9974641.240000000223517
FS( 94 ),2657053.359999999869615,2523144.580000000074506,2368495.990000000223517,2427251.199999999720603,9975945.129999998956919
FS( 95 ),2675805.999999999534339,2533249.959999999497086,2367089.529999999795109,2417399.799999999813735,9993545.289999999105930
FS( 96 ),2724640.999999999534339,2535205.839999999850988,2374121.830000000074506,2451500.799999999813735,10085469.469999998807907
