代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12030202.370000001043081
真實報酬,2030202.370000001043081

夏普值報酬,0.194320237000000
夏普值風險,0.060037913376736
夏普值,3.236625426680748

二次趨勢線,50.505974702421284 x^2 + 12279.887705748618828 x + 10000000.000000000000000
二次平均預期報酬,18643.640518253672781
風險,84780.889080831198953
二次平均趨勢值,0.219903809931488
一次趨勢線,17033.687117480552843 x + 10000000.000000000000000
一次預期報酬,17033.687117480552843
一次風險,122997.064976032517734
一次趨勢值,0.138488565729595
找到最佳解世代,2295
找到最佳解實驗#,1
找到最佳解次數,42

stock[index](rank)
投資組合檔數,5
AAPL[0](4),CVX[5](3),INTC[11](1),MCD[15](18),VZ[26](11),
Stock#,AAPL[0](4),CVX[5](3),INTC[11](1),MCD[15](18),VZ[26](11),
張數,27913,17995,83507,21500,43094,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,33.549999999813735,35.699999999953434,7.350000000093132,70.000000000000000,7.460000000195578,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2028750.389999999897555,1994421.549999999813735,1989144.090000000083819,2001505.000000000000000,2017668.540000000270084,10031489.570000000298023
FS( 3 ),2044102.540000000037253,1970848.099999999860302,1964091.989999999990687,2012040.000000000000000,2012066.320000000065193,10003148.949999999254942
FS( 4 ),2043823.409999999683350,2002339.349999999860302,2003340.280000000027940,2041280.000000000000000,2011635.380000000121072,10102418.419999999925494
FS( 5 ),2072294.669999999692664,2016375.449999999953434,2021711.820000000065193,2062350.000000000000000,2017237.600000000325963,10189969.539999999105930
FS( 6 ),2109418.959999999497086,2009897.250000000000000,2028392.380000000121072,2039560.000000000000000,2021547.000000000000000,10208815.589999999850988
FS( 7 ),2137331.959999999497086,2043907.799999999813735,2043423.639999999897555,2049880.000000000000000,2034475.200000000186265,10309018.599999999627471
FS( 8 ),2137052.830000000074506,2016015.550000000046566,2050104.200000000186265,2040205.000000000000000,2041370.239999999990687,10284747.820000000298023
FS( 9 ),2171106.689999999944121,2024653.150000000139698,2062630.250000000000000,2052459.999999999767169,2038784.600000000325963,10349634.689999999478459
FS( 10 ),2169152.779999999795109,2042108.300000000046566,2067640.670000000158325,2059340.000000000000000,2004309.400000000139698,10342551.150000000372529
FS( 11 ),2177247.549999999813735,2028252.149999999906868,2067640.670000000158325,2064500.000000000000000,1981469.580000000074506,10319109.949999999254942
FS( 12 ),2142914.559999999590218,2044267.699999999953434,2045928.850000000093132,2054395.000000000000000,2005171.280000000260770,10292677.390000000596046
FS( 13 ),2118071.989999999757856,2062262.699999999953434,2065970.530000000027940,2058695.000000000000000,2073690.739999999990687,10378690.959999999031425
FS( 14 ),2094625.070000000065193,2027712.300000000046566,2039248.290000000270084,2073745.000000000000000,2037060.840000000316650,10272391.500000000000000
FS( 15 ),2103557.229999999981374,2054164.949999999953434,2056784.760000000009313,2074820.000000000000000,1992243.080000000074506,10281570.019999999552965
FS( 16 ),2081785.089999999850988,2068920.849999999860302,2055949.690000000176951,2077400.000000000000000,1994828.720000000204891,10278884.349999999627471
FS( 17 ),2063083.379999999655411,2078638.150000000139698,2070980.950000000186265,2061705.000000000000000,1997414.360000000335276,10271821.839999999850988
FS( 18 ),2104115.489999999757856,2081877.250000000000000,2067640.670000000158325,2044290.000000000000000,2046972.460000000195578,10344895.870000001043081
FS( 19 ),2098532.890000000130385,2075399.049999999813735,2067640.670000000158325,2045795.000000000232831,2050419.980000000214204,10337787.589999999850988
FS( 20 ),2104394.619999999646097,2066581.500000000000000,2045928.850000000093132,2027949.999999999767169,2038784.600000000325963,10283639.570000000298023
FS( 21 ),2118351.119999999646097,2075219.099999999860302,2055114.620000000111759,2042140.000000000000000,2064210.060000000055879,10355034.900000000372529
FS( 22 ),2122817.199999999720603,2059203.550000000046566,2045928.850000000093132,2043000.000000000000000,2041801.180000000400469,10312750.779999999329448
FS( 23 ),2116397.209999999497086,2066761.449999999953434,2056784.760000000009313,2055040.000000000000000,2045248.700000000186265,10340232.119999999180436
FS( 24 ),2115280.689999999944121,2070900.299999999813735,2057619.830000000074506,2053320.000000000000000,2031889.560000000055879,10329010.380000000819564
FS( 25 ),2117234.599999999627471,2084576.500000000000000,2074321.229999999981374,2046870.000000000000000,2026718.280000000260770,10349720.609999999403954
FS( 26 ),2137611.089999999850988,2060643.150000000139698,2065135.460000000195578,2123840.000000000000000,2012497.260000000242144,10399726.960000000894070
FS( 27 ),2139844.129999999888241,2081157.449999999953434,2067640.670000000158325,2122335.000000000000000,1997845.300000000279397,10408822.550000000745058
FS( 28 ),2116118.080000000074506,2059563.449999999953434,2051774.340000000083819,2093525.000000000000000,1983624.280000000260770,10304605.150000000372529
FS( 29 ),2092392.029999999562278,2053265.199999999953434,2045928.850000000093132,2098040.000000000000000,1985778.980000000214204,10275405.060000000521541
FS( 30 ),2100486.799999999813735,2070720.349999999860302,2062630.250000000000000,2098470.000000000000000,1995690.600000000325963,10327998.000000000000000
FS( 31 ),2118909.379999999888241,2091774.499999999767169,2072651.090000000083819,2092235.000000000000000,2012497.260000000242144,10388067.230000000447035
FS( 32 ),2118351.119999999646097,2073059.699999999953434,2089352.489999999990687,2066219.999999999767169,1997845.300000000279397,10344828.609999999403954
FS( 33 ),2108302.439999999944121,2078638.150000000139698,2123590.359999999869615,2076969.999999999767169,2034475.200000000186265,10421976.149999998509884
FS( 34 ),2124771.109999999869615,2080797.549999999813735,2101878.540000000037253,2052675.000000000000000,2021547.000000000000000,10381669.199999999254942
FS( 35 ),2150171.939999999944121,2084756.449999999953434,2097703.189999999944121,2067940.000000000232831,2025856.400000000139698,10426427.980000000447035
FS( 36 ),2173339.729999999981374,2107070.250000000000000,2126095.570000000298023,2062135.000000000000000,2034906.140000000130385,10503546.690000001341105
FS( 37 ),2152404.979999999981374,2118227.149999999441206,2119415.010000000242144,2060630.000000000000000,2025856.400000000139698,10476533.539999999105930
FS( 38 ),2143193.689999999944121,2117507.349999999627471,2113569.520000000018626,2067510.000000000000000,2055160.320000000065193,10496940.879999998956919
FS( 39 ),2140681.519999999552965,2132443.200000000186265,2139456.689999999944121,2090730.000000000000000,2043524.940000000176951,10546836.349999999627471
