代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11885971.489999998360872
真實報酬,1885971.489999998360872

夏普值報酬,0.179897149000000
夏普值風險,0.055910583401077
夏普值,3.217586690331965

二次趨勢線,77.036741798742170 x^2 + 6548.111840477424266 x + 10000000.000000000000000
二次平均預期報酬,16408.814790716427524
風險,108552.074226284355973
二次平均趨勢值,0.151160766919213
一次趨勢線,13914.636985655974058 x + 10000000.000000000000000
一次預期報酬,13914.636985655974058
一次風險,177376.143852800742025
一次趨勢值,0.078447059922575
找到最佳解世代,2127
找到最佳解實驗#,1
找到最佳解次數,47

stock[index](rank)
投資組合檔數,4
AAPL[0](12),BA[2](1),JPM[13](2),V[25](20),
Stock#,AAPL[0](12),BA[2](1),JPM[13](2),V[25](20),
張數,23573,18767,39184,31944,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,83.350000000093132,47.929999999701977,60.800000000279397,62.560000000055879,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2462990.390000000130385,2469785.129999999422580,2494122.400000000372529,2500638.879999999888241,9927536.800000000745058
FS( 3 ),2493871.020000000018626,2474852.219999999739230,2533698.240000000223517,2514374.799999999813735,10016796.280000001192093
FS( 4 ),2495756.860000000335276,2462466.000000000000000,2529779.840000000316650,2538971.680000000167638,10026974.380000000819564
FS( 5 ),2533709.390000000130385,2472224.839999999385327,2597960.000000000000000,2560054.720000000204891,10163948.949999999254942
FS( 6 ),2554689.360000000335276,2480857.659999999683350,2590123.200000000186265,2553985.360000000335276,10179655.580000000074506
FS( 7 ),2565061.479999999981374,2488927.469999999739230,2581110.880000000353903,2557499.200000000186265,10192599.030000001192093
FS( 8 ),2545967.350000000093132,2482546.689999999944121,2557992.320000000298023,2545360.480000000447035,10131866.839999999850988
FS( 9 ),2544317.240000000223517,2496058.929999999701977,2565045.439999999944121,2559415.840000000316650,10164837.449999999254942
FS( 10 ),2550210.490000000223517,2497935.629999999422580,2559559.680000000167638,2556221.439999999944121,10163927.239999998360872
FS( 11 ),2580855.390000000130385,2527212.149999999441206,2575233.280000000260770,2584651.600000000093132,10267952.419999999925494
FS( 12 ),2578498.089999999850988,2533592.929999999701977,2574841.439999999944121,2581457.200000000186265,10268389.660000000149012
FS( 13 ),2574726.410000000149012,2528338.169999999459833,2581894.560000000521541,2582415.520000000018626,10267374.660000000149012
FS( 14 ),2571426.189999999944121,2533592.929999999701977,2584245.600000000558794,2564207.439999999944121,10253472.160000000149012
FS( 15 ),2578026.629999999888241,2523083.409999999683350,2580719.040000000037253,2570596.240000000223517,10252425.320000000298023
FS( 16 ),2557989.580000000074506,2533405.259999999776483,2578368.000000000000000,2589443.200000000186265,10259206.039999999105930
FS( 17 ),2566004.399999999906868,2517453.309999999590218,2577192.479999999981374,2581137.759999999776483,10241787.949999999254942
FS( 18 ),2546674.540000000037253,2501501.359999999403954,2584245.600000000558794,2564846.320000000298023,10197267.820000000298023
FS( 19 ),2535830.959999999962747,2495683.589999999385327,2588947.680000000167638,2565804.639999999664724,10186266.869999997317791
FS( 20 ),2520979.970000000204891,2481608.339999999385327,2594825.280000000260770,2573790.639999999664724,10171204.230000000447035
FS( 21 ),2518151.209999999962747,2494182.229999999981374,2623429.600000000558794,2583373.840000000316650,10219136.880000000819564
FS( 22 ),2498821.350000000093132,2454959.199999999720603,2644980.800000000279397,2592957.040000000037253,10191718.390000000596046
FS( 23 ),2501178.649999999906868,2429436.079999999608845,2644980.800000000279397,2584332.160000000149012,10159927.689999999478459
FS( 24 ),2516029.640000000130385,2437881.229999999981374,2633617.439999999944121,2597109.759999999776483,10184638.070000000298023
FS( 25 ),2539602.640000000130385,2461527.649999999441206,2644588.959999999962747,2619470.560000000055879,10265189.809999998658895
FS( 26 ),2538895.450000000186265,2495871.259999999776483,2642629.760000000242144,2636400.879999999888241,10313797.350000001490116
FS( 27 ),2554453.629999999888241,2489302.809999999590218,2631658.240000000223517,2659081.120000000111759,10334495.800000000745058
FS( 28 ),2487506.310000000055879,2494182.229999999981374,2635184.800000000279397,2650456.240000000223517,10267329.580000000074506
FS( 29 ),2431166.839999999850988,2412170.439999999944121,2611674.400000000372529,2598068.080000000074506,10053079.759999999776483
FS( 30 ),2485620.470000000204891,2442009.969999999739230,2627739.840000000316650,2650456.240000000223517,10205826.519999999552965
FS( 31 ),2544788.700000000186265,2416486.849999999627471,2606972.320000000298023,2615956.720000000204891,10184204.589999999850988
FS( 32 ),2634837.560000000055879,2396030.819999999832362,2601878.400000000372529,2603179.120000000111759,10235925.900000000372529
FS( 33 ),2724414.959999999962747,2397907.519999999552965,2611282.560000000521541,2619790.000000000000000,10353395.039999999105930
