代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12283900.379999998956919
真實報酬,2283900.379999998956919

夏普值報酬,0.219690038000000
夏普值風險,0.053702497470966
夏普值,4.090871902536250

二次趨勢線,-26.666795879094472 x^2 + 20187.708468726148567 x + 10000000.000000000000000
二次平均預期報酬,16854.358983839334542
風險,132982.423528532061027
二次平均趨勢值,0.126741252991401
一次趨勢線,17697.736564352901041 x + 10000000.000000000000000
一次預期報酬,17697.736564352901041
一次風險,140812.973034962633392
一次趨勢值,0.125682571590607
找到最佳解世代,2414
找到最佳解實驗#,1
找到最佳解次數,48

stock[index](rank)
投資組合檔數,3
MRK[17](1),MSFT[18](10),V[25](3),
Stock#,MRK[17](1),MSFT[18](10),V[25](3),
張數,70606,104558,75312,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,23.739999999757856,23.959999999962747,23.880000000353903,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3366517.819999999832362,3262233.560000000055879,3317517.479999999981374,9946269.859999999403954
FS( 3 ),3354514.799999999813735,3266415.879999999888241,3317517.479999999981374,9938449.160000000149012
FS( 4 ),3353102.679999999701977,3257005.659999999683350,3326554.920000000391155,9936664.259999999776483
FS( 5 ),3370754.179999999701977,3310330.239999999757856,3361951.560000000521541,10043036.980000000447035
FS( 6 ),3387699.619999999646097,3386657.580000000074506,3475672.680000000167638,10250030.879999998956919
FS( 7 ),3398996.579999999608845,3423252.880000000353903,3508056.840000000316650,10330307.300000000745058
FS( 8 ),3378520.839999999850988,3418024.979999999515712,3484710.120000000577420,10281256.939999999478459
FS( 9 ),3374284.479999999515712,3453574.700000000186265,3558515.880000000353903,10386376.060000000521541
FS( 10 ),3402526.879999999422580,3429526.359999999869615,3566047.080000000540167,10398101.320000000298023
FS( 11 ),3389817.799999999813735,3443118.899999999906868,3607468.680000000167638,10440406.379999998956919
FS( 12 ),3417354.139999999664724,3483896.520000000018626,3645877.800000000279397,10547129.460000000894070
FS( 13 ),3407469.299999999813735,3517355.080000000074506,3666212.040000000502914,10591037.419999999925494
FS( 14 ),3389817.799999999813735,3428480.779999999795109,3743783.400000000372529,10562082.980000000447035
FS( 15 ),3366517.819999999832362,3423252.880000000353903,3694830.600000000558794,10484602.300000000745058
FS( 16 ),3355926.919999999925494,3393976.640000000130385,3640605.960000000428408,10390510.520000001415610
FS( 17 ),3365811.759999999776483,3399204.539999999571592,3606715.560000000521541,10371732.859999999403954
FS( 18 ),3366517.819999999832362,3426389.620000000111759,3644371.560000000521541,10437280.000000000000000
FS( 19 ),3374284.479999999515712,3478668.620000000111759,3634581.000000000000000,10487535.099999999627471
FS( 20 ),3361575.399999999906868,3479714.200000000186265,3598431.240000000223517,10439721.839999999850988
FS( 21 ),3441360.179999999701977,3511081.599999999627471,3638346.600000000558794,10590789.379999998956919
FS( 22 ),3415235.959999999497086,3546631.320000000298023,3611987.400000000372529,10573855.679999999701977
FS( 23 ),3414529.899999999906868,3540357.839999999850988,3551737.800000000279397,10506626.540000000968575
FS( 24 ),3405351.119999999646097,3542449.000000000000000,3586381.320000000298023,10534182.439999999478459
FS( 25 ),3381345.079999999608845,3481805.359999999869615,3508056.840000000316650,10371208.279999999329448
FS( 26 ),3371460.239999999757856,3451483.539999999571592,3436510.440000000409782,10259455.219999998807907
FS( 27 ),3337569.359999999869615,3457757.020000000018626,3461363.400000000372529,10256690.780000001192093
FS( 28 ),3353102.679999999701977,3529902.039999999571592,3559269.000000000000000,10442274.719999998807907
FS( 29 ),3338981.479999999515712,3568588.500000000000000,3618765.479999999981374,10526336.459999999031425
FS( 30 ),3300854.239999999757856,3602047.060000000055879,3642112.200000000186265,10545014.500000000000000
FS( 31 ),3288145.159999999683350,3606229.380000000353903,3602949.960000000428408,10497325.500000000000000
FS( 32 ),3330508.759999999776483,3621913.080000000074506,3683533.800000000279397,10635956.640000000596046
FS( 33 ),3326272.399999999906868,3651189.320000000298023,3733239.720000000204891,10710702.440000001341105
FS( 34 ),3290969.399999999906868,3655371.640000000130385,3773908.200000000186265,10720250.240000000223517
FS( 35 ),3283908.799999999813735,3658508.380000000353903,3766377.000000000000000,10708795.179999999701977
FS( 36 ),3281084.559999999590218,3615639.599999999627471,3765623.880000000353903,10662349.039999999105930
FS( 37 ),3287439.100000000093132,3529902.039999999571592,3744536.520000000484288,10561878.660000000149012
FS( 38 ),3263433.059999999590218,3525719.719999999739230,3820601.640000000130385,10609755.419999999925494
FS( 39 ),3286026.979999999515712,3735881.299999999813735,3823614.120000000577420,10845523.400000000372529
FS( 40 ),3202005.839999999850988,3719152.020000000018626,3823614.120000000577420,10744772.980000000447035
FS( 41 ),3218245.219999999739230,3713924.120000000111759,3845454.600000000558794,10777624.940000001341105
FS( 42 ),3194239.179999999701977,3716015.279999999795109,3837923.400000000372529,10748178.859999999403954
FS( 43 ),3183648.279999999795109,3702422.739999999757856,3703114.920000000391155,10589186.939999999478459
FS( 44 ),3193533.119999999646097,3714969.700000000186265,3749808.360000000335276,10658312.179999999701977
FS( 45 ),3228130.059999999590218,3757838.479999999515712,3698596.200000000186265,10684565.739999998360872
FS( 46 ),3202711.899999999906868,3831029.080000000074506,3715917.960000000428408,10749659.940000001341105
FS( 47 ),3245075.500000000000000,3992048.399999999906868,3747549.000000000000000,10984673.900000000372529
FS( 48 ),3235190.659999999683350,3920948.959999999962747,3692571.240000000223517,10848711.859999999403954
FS( 49 ),3304384.539999999571592,3950225.200000000186265,3733239.720000000204891,10987850.460000000894070
FS( 50 ),3318505.739999999757856,3930359.180000000167638,3752067.720000000204891,11000933.640000000596046
FS( 51 ),3360163.279999999795109,3906310.839999999850988,3733239.720000000204891,10999714.839999999850988
FS( 52 ),3342511.779999999795109,3989957.239999999757856,3761858.280000000726432,11094328.300000000745058
FS( 53 ),3376402.659999999683350,3975319.120000000111759,3768636.360000000335276,11120359.140000000596046
