代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12417546.799999998882413
真實報酬,2417546.799999998882413

夏普值報酬,0.233054680000000
夏普值風險,0.067999971937283
夏普值,3.427276120274724

二次趨勢線,-12.576026165509447 x^2 + 21839.730258957115439 x + 10000000.000000000000000
二次平均預期報酬,20255.150962102918129
風險,130183.543533614021726
二次平均趨勢值,0.155589181338215
一次趨勢線,20656.030585012336815 x + 10000000.000000000000000
一次預期報酬,20656.030585012336815
一次風險,132060.878563920967281
一次趨勢值,0.156412942346240
找到最佳解世代,2033
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
AXP[1](3),BA[2](1),CSCO[4](7),JNJ[12](2),MRK[17](9),UNH[23](6),VZ[26](16),
Stock#,AXP[1](3),BA[2](1),CSCO[4](7),JNJ[12](2),MRK[17](9),UNH[23](6),VZ[26](16),
張數,23845,19080,68582,19258,34151,25615,32059,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,17.050000000046566,51.399999999906868,7.940000000176951,12.559999999823049,34.670000000158325,22.449999999953434,21.959999999962747,
FS( 1 ),1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,10000000.000000000000000
FS( 2 ),1416648.500000000000000,1435058.199999999720603,1427885.180000000167638,1427222.939999999711290,1395103.020000000251457,1428058.699999999953434,1427288.640000000130385,9957268.179999999701977
FS( 3 ),1446454.750000000000000,1448032.599999999860302,1445716.500000000000000,1437814.839999999850988,1414910.600000000093132,1479801.000000000000000,1428571.000000000000000,10101304.289999999105930
FS( 4 ),1444070.250000000000000,1455664.600000000093132,1453260.520000000251457,1451873.179999999934807,1403299.260000000242144,1469811.149999999906868,1434662.209999999962747,10112644.170000001788139
FS( 5 ),1481745.350000000093132,1477415.800000000046566,1447088.140000000363216,1445518.039999999804422,1400225.670000000158325,1461358.199999999953434,1425365.100000000093132,10138719.300000000745058
FS( 6 ),1473638.050000000046566,1460816.199999999953434,1451203.060000000288710,1453606.399999999906868,1406372.850000000093132,1479032.550000000046566,1421838.610000000102445,10146510.720000000670552
FS( 7 ),1477930.149999999906868,1447651.000000000000000,1458747.080000000074506,1452258.339999999850988,1413203.050000000279397,1463151.250000000000000,1420876.840000000083819,10133820.710000000894070
FS( 8 ),1483176.050000000046566,1449940.599999999860302,1438172.480000000214204,1459768.959999999729916,1415593.620000000344589,1460333.599999999860302,1424723.919999999925494,10131712.230000000447035
FS( 9 ),1480791.550000000046566,1426853.799999999813735,1449831.420000000158325,1457072.839999999850988,1405348.320000000065193,1465968.899999999906868,1427288.640000000130385,10113158.470000000670552
FS( 10 ),1486514.350000000093132,1429715.800000000046566,1439544.120000000111759,1459961.539999999804422,1406714.360000000102445,1461358.199999999953434,1421197.429999999934807,10105008.800000000745058
FS( 11 ),1471015.100000000093132,1431623.799999999813735,1439544.120000000111759,1466701.839999999850988,1414569.090000000316650,1468274.250000000000000,1423441.559999999823049,10115172.759999999776483
FS( 12 ),1485083.650000000139698,1424373.399999999906868,1471777.660000000149012,1482108.239999999757856,1441889.890000000130385,1451368.349999999860302,1426647.459999999962747,10183251.649999998509884
FS( 13 ),1476261.000000000000000,1426853.799999999813735,1447773.960000000195578,1476138.260000000009313,1456916.330000000074506,1414226.599999999860302,1440112.239999999990687,10138285.189999999478459
