代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13872233.469999998807907
真實報酬,3872233.469999998807907

夏普值報酬,0.378523347000000
夏普值風險,0.101075320499775
夏普值,3.744963113926946

二次趨勢線,143.251576320309141 x^2 + 14191.168233071472059 x + 10000000.000000000000000
二次平均預期報酬,31954.363696789798269
風險,211571.464856718870578
二次平均趨勢值,0.151033428437195
一次趨勢線,27459.628002529181686 x + 10000000.000000000000000
一次預期報酬,27459.628002529181686
一次風險,323526.980266712780576
一次趨勢值,0.084875851713794
找到最佳解世代,1389
找到最佳解實驗#,1
找到最佳解次數,39

stock[index](rank)
投資組合檔數,3
BA[2](1),CSCO[4](2),MSFT[18](4),
Stock#,BA[2](1),CSCO[4](2),MSFT[18](4),
張數,13869,103199,45081,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,196.229999999981374,5.300000000279397,43.860000000335276,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3287149.229999999981374,3263157.680000000167638,3318456.270000000484288,9868764.179999999701977
FS( 3 ),3254141.010000000242144,3288957.430000000167638,3308989.260000000707805,9852088.700000001117587
FS( 4 ),3277579.620000000111759,3277605.540000000502914,3351365.400000000372529,9906551.560000000521541
FS( 5 ),3311836.049999999813735,3248709.820000000298023,3335136.240000000689179,9895683.110000001266599
FS( 6 ),3336938.939999999944121,3321981.109999999869615,3370299.420000000391155,10029220.470000000670552
FS( 7 ),3336800.250000000000000,3344684.890000000130385,3366692.940000000875443,10048179.080000001937151
FS( 8 ),3355523.399999999906868,3320949.120000000111759,3390585.870000000111759,10067059.390000000596046
FS( 9 ),3401291.099999999627471,3321981.109999999869615,3370750.229999999981374,10094023.439999999478459
FS( 10 ),3453577.229999999981374,3347780.859999999869615,3395093.970000000670552,10196453.060000000521541
FS( 11 ),3510162.750000000000000,3356036.780000000726432,3388331.820000000298023,10254532.350000001490116
FS( 12 ),3501563.970000000204891,3352940.810000000521541,3400954.500000000000000,10255460.280000001192093
