代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12567392.539999999105930
真實報酬,2567392.539999999105930

夏普值報酬,0.248039254000000
夏普值風險,0.095129910609365
夏普值,2.607373983757130

二次趨勢線,152.811106378113692 x^2 + 7309.158042960780222 x + 10000000.000000000000000
二次平均預期報酬,26410.546340224995220
風險,419520.616665188281331
二次平均趨勢值,0.062954108310970
一次趨勢線,21577.664963808776520 x + 10000000.000000000000000
一次預期報酬,21577.664963808776520
一次風險,496386.743705288216006
一次趨勢值,0.043469462545961
找到最佳解世代,2325
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
AAPL[0](2),HD[9](1),
Stock#,AAPL[0](2),HD[9](1),
張數,177683,178571,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,0.379999999888241,12.000000000000000,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4980454.870000000111759,5058928.429999999701977,10039383.300000000745058
FS( 3 ),4987562.189999999478459,4987500.030000000260770,9975062.219999998807907
FS( 4 ),4907604.839999999850988,5014285.679999999701977,9921890.519999999552965
FS( 5 ),4795664.549999999813735,5039285.620000000111759,9834950.169999999925494
FS( 6 ),4818763.339999999850988,4941071.570000000298023,9759834.910000000149012
FS( 7 ),5021321.959999999962747,4919643.049999999813735,9940965.009999999776483
FS( 8 ),4985785.359999999403954,4998214.290000000037253,9983999.649999998509884
FS( 9 ),4941364.609999999403954,5087499.790000000037253,10028864.399999998509884
FS( 10 ),5000000.000000000000000,5155356.770000000484288,10155356.769999999552965
FS( 11 ),4928926.799999999813735,5182142.419999999925494,10111069.219999998807907
FS( 12 ),4950248.759999999776483,5171428.160000000149012,10121676.919999999925494
FS( 13 ),4870291.410000000149012,5142856.799999999813735,10013148.210000000894070
FS( 14 ),4960909.740000000223517,5116071.149999999441206,10076980.890000000596046
FS( 15 ),5031982.939999999478459,5171428.160000000149012,10203411.099999999627471
