代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12141480.830000001937151
真實報酬,2141480.830000001937151

夏普值報酬,0.205448083000000
夏普值風險,0.054111488342862
夏普值,3.796755352546183

二次趨勢線,-4.196338821917990 x^2 + 17372.584678122428159 x + 10000000.000000000000000
二次平均預期報酬,16852.238664204600354
風險,113176.348323920174153
二次平均趨勢值,0.148902477538612
一次趨勢線,16983.905165702042723 x + 10000000.000000000000000
一次預期報酬,16983.905165702042723
一次風險,113403.230663407652173
一次趨勢值,0.149765620135744
找到最佳解世代,1676
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
CAT[3](1),DD[7](3),INTC[11](11),MRK[17](2),MSFT[18](6),
Stock#,CAT[3](1),DD[7](3),INTC[11](11),MRK[17](2),MSFT[18](6),
張數,23926,36055,82203,44218,56290,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,25.659999999916181,29.150000000139698,1.010000000242144,19.860000000102445,16.300000000046566,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2007177.799999999813735,1971877.100000000093132,1994245.790000000270084,2021666.820000000065193,2023078.899999999906868,10018046.410000000149012
FS( 3 ),2011005.959999999962747,1988101.850000000093132,1975339.100000000325963,2005748.340000000083819,2062481.900000000139698,10042677.150000000372529
FS( 4 ),2015073.379999999888241,2015864.199999999953434,1993423.760000000242144,2032279.140000000130385,2149168.500000000000000,10205808.980000000447035
FS( 5 ),2001435.560000000055879,1985578.000000000232831,1977805.190000000176951,2026088.620000000111759,2110891.299999999813735,10101798.670000001788139
FS( 6 ),2015551.899999999906868,2036776.100000000325963,1980271.280000000260770,2069422.260000000009313,2126652.500000000000000,10228674.039999999105930
FS( 7 ),2013398.560000000055879,2036415.550000000046566,1986847.520000000484288,2078265.860000000102445,2115957.400000000372529,10230884.890000000596046
