代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12399266.980000000447035
真實報酬,2399266.980000000447035

夏普值報酬,0.231226698000000
夏普值風險,0.062198219713354
夏普值,3.717577433335342

二次趨勢線,60.514580347577883 x^2 + 10752.950615318211931 x + 10000000.000000000000000
二次平均預期報酬,18619.846060503346962
風險,153405.761521974025527
二次平均趨勢值,0.121376445550490
一次趨勢線,16630.341613941054675 x + 10000000.000000000000000
一次預期報酬,16630.341613941054675
一次風險,190933.212001444044290
一次趨勢值,0.087100308215709
找到最佳解世代,1879
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](8),BA[2](2),NKE[19](1),UNH[23](7),
Stock#,AAPL[0](8),BA[2](2),NKE[19](1),UNH[23](7),
張數,39834,27418,78914,41862,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,18.160000000149012,26.759999999776483,4.479999999981374,1.359999999869615,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2535452.260000000242144,2528240.539999999571592,2498421.720000000204891,2489953.119999999646097,10052067.639999998733401
FS( 3 ),2560547.680000000167638,2570190.079999999608845,2547348.399999999906868,2466510.399999999906868,10144596.560000000521541
FS( 4 ),2621892.040000000037253,2582528.179999999701977,2523674.200000000186265,2520093.759999999776483,10248188.179999999701977
FS( 5 ),2609941.839999999850988,2598978.979999999981374,2522095.919999999925494,2532652.359999999869615,10263669.099999999627471
FS( 6 ),2639419.000000000465661,2578415.479999999981374,2521306.779999999795109,2616794.979999999981374,10355936.240000000223517
FS( 7 ),2599186.660000000149012,2594043.739999999757856,2514993.660000000149012,2595863.979999999981374,10304088.040000000968575
FS( 8 ),2577676.299999999813735,2583899.079999999608845,2555239.800000000279397,2633539.779999999795109,10350354.959999999031425
FS( 9 ),2587634.799999999813735,2598156.439999999944121,2551294.099999999627471,2611771.540000000037253,10348856.879999998956919
