代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12605952.510000001639128
真實報酬,2605952.510000001639128

夏普值報酬,0.251895251000000
夏普值風險,0.067692854420436
夏普值,3.721149789835926

二次趨勢線,-214.677224751232075 x^2 + 45363.556670616628253 x + 10000000.000000000000000
二次平均預期報酬,18743.580801463860553
風險,241198.111441439163173
二次平均趨勢值,0.077710313275047
一次趨勢線,25479.404654994476005 x + 10000000.000000000000000
一次預期報酬,25479.404654994476005
一次風險,438995.219845367420930
一次趨勢值,0.058040278124143
找到最佳解世代,1877
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
CSCO[4](2),NKE[19](1),
Stock#,CSCO[4](2),NKE[19](1),
張數,144425,90793,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,6.500000000000000,29.490000000223517,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4940785.750000000000000,5004539.650000000372529,9945325.400000000372529
FS( 3 ),4978336.250000000000000,5058107.520000000484288,10036443.769999999552965
FS( 4 ),4969670.749999999068677,5088069.209999999962747,10057739.959999999031425
FS( 5 ),4968226.500000000000000,5007263.440000000409782,9975489.940000001341105
FS( 6 ),4982669.000000000000000,5062647.169999999925494,10045316.169999999925494
FS( 7 ),4917677.750000000000000,5096240.580000000074506,10013918.330000000074506
FS( 8 ),4909012.250000000000000,5092608.860000000335276,10001621.109999999403954
FS( 9 ),4903235.250000000000000,5076266.120000000111759,9979501.370000001043081
FS( 10 ),4916233.500000000000000,5082621.629999999888241,9998855.129999998956919
FS( 11 ),4926343.250000000000000,5141637.080000000074506,10067980.330000000074506
FS( 12 ),5181975.500000000000000,5196112.879999999888241,10378088.379999998956919
FS( 13 ),5184864.000000000000000,5374067.160000000149012,10558931.160000000149012
FS( 14 ),5271519.000000000000000,5379514.740000000223517,10651033.740000000223517
FS( 15 ),5293182.750000000000000,5392225.760000000707805,10685408.510000001639128
FS( 16 ),5264297.750000000000000,5363172.000000000000000,10627469.750000000000000
FS( 17 ),5270074.750000000000000,5385870.250000000000000,10655945.000000000000000
FS( 18 ),5324956.250000000000000,5414016.080000000074506,10738972.330000000074506
FS( 19 ),5449161.750000000000000,5409476.429999999701977,10858638.179999999701977
FS( 20 ),5413055.500000000000000,5480294.969999999739230,10893350.469999998807907
FS( 21 ),5387059.000000000000000,5485742.550000000745058,10872801.550000000745058
FS( 22 ),5430386.500000000000000,5436714.330000000074506,10867100.830000000074506
FS( 23 ),5447717.500000000000000,5456688.790000000037253,10904406.289999999105930
FS( 24 ),5388503.250000000000000,5485742.550000000745058,10874245.800000000745058
FS( 25 ),5402945.749999999068677,5422187.450000000186265,10825133.199999999254942
FS( 26 ),5401501.500000000000000,5502085.290000000037253,10903586.789999999105930
