代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11648169.309999998658895
真實報酬,1648169.309999998658895

夏普值報酬,0.156116931000000
夏普值風險,0.057468279748712
夏普值,2.716575677619761

二次趨勢線,-80.321405760694233 x^2 + 27347.554623020783765 x + 10000000.000000000000000
二次平均預期報酬,17387.700308694700652
風險,148090.909323835745454
二次平均趨勢值,0.117412340758016
一次趨勢線,19907.906359890694148 x + 10000000.000000000000000
一次預期報酬,19907.906359890694148
一次風險,201903.280619607103290
一次趨勢值,0.098601203005700
找到最佳解世代,2284
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
DIS[6](4),UNH[23](2),WBA[27](1),WMT[28](20),
Stock#,DIS[6](4),UNH[23](2),WBA[27](1),WMT[28](20),
張數,27259,26354,38473,32773,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,77.110000000335276,59.560000000055879,24.459999999962747,75.560000000055879,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2462927.760000000242144,2503162.479999999981374,2510002.979999999981374,2532117.540000000037253,10008210.760000001639128
FS( 3 ),2480646.110000000335276,2524772.759999999776483,2526161.639999999664724,2546537.660000000149012,10078118.169999999925494
FS( 4 ),2507905.110000000335276,2535577.899999999906868,2564249.910000000149012,2550142.689999999944121,10157875.609999999403954
FS( 5 ),2453387.110000000335276,2467057.500000000000000,2574637.620000000111759,2581604.770000000018626,10076687.000000000000000
FS( 6 ),2447390.130000000353903,2497101.060000000055879,2607724.399999999906868,2603562.680000000167638,10155778.269999999552965
FS( 7 ),2452841.930000000633299,2521873.819999999832362,2596951.959999999962747,2589470.290000000037253,10161138.000000000000000
FS( 8 ),2450661.210000000428408,2521610.280000000260770,2594643.580000000074506,2595697.160000000149012,10162612.230000000447035
FS( 9 ),2466744.020000000018626,2527408.160000000149012,2576176.539999999571592,2718268.180000000167638,10288596.899999998509884
FS( 10 ),2475194.310000000055879,2506588.500000000000000,2575022.350000000093132,2718923.639999999664724,10275728.800000000745058
FS( 11 ),2464563.300000000279397,2542429.939999999944121,2560402.609999999869615,2738915.169999999925494,10306311.019999999552965
FS( 12 ),2461019.630000000353903,2587758.819999999832362,2618496.839999999850988,2746125.230000000447035,10413400.519999999552965
FS( 13 ),2448480.490000000223517,2552708.000000000000000,2608109.130000000353903,2785452.830000000074506,10394750.450000001117587
FS( 14 ),2423402.210000000428408,2552444.459999999962747,2590796.280000000260770,2772015.899999999906868,10338658.849999999627471
FS( 15 ),2425037.750000000000000,2548754.899999999906868,2600414.530000000260770,2774310.010000000242144,10348517.190000001341105
FS( 16 ),2469197.330000000074506,2553762.160000000149012,2605800.750000000000000,2798889.760000000242144,10427650.000000000000000
FS( 17 ),2498364.460000000428408,2580116.160000000149012,2608878.589999999850988,2784141.910000000149012,10471501.120000001043081
FS( 18 ),2505724.390000000596046,2585650.500000000000000,2634270.770000000018626,2785125.100000000093132,10510770.759999999776483
FS( 19 ),2521807.200000000651926,2599354.580000000074506,2639656.989999999757856,2869023.980000000447035,10629842.750000001862645
FS( 20 ),2526986.410000000614673,2610686.800000000279397,2607339.669999999925494,2825763.620000000111759,10570776.500000000000000
FS( 21 ),2547975.840000000316650,2630979.379999999888241,2568097.209999999962747,2831662.760000000242144,10578715.190000001341105
FS( 22 ),2538162.600000000093132,2656542.759999999776483,2592335.199999999720603,2783814.180000000167638,10570854.739999998360872
FS( 23 ),2541433.680000000633299,2626762.740000000223517,2612341.160000000149012,2777915.040000000037253,10558452.620000001043081
FS( 24 ),2555880.950000000651926,2644156.379999999888241,2639272.259999999776483,2756940.320000000298023,10596249.910000000149012
FS( 25 ),2556971.310000000055879,2633351.240000000223517,2605800.750000000000000,2760545.350000000093132,10556668.650000000372529
FS( 26 ),2533528.570000000298023,2662340.640000000130385,2638887.530000000260770,2738587.439999999944121,10573344.180000001564622
FS( 27 ),2497819.280000000260770,2611477.419999999925494,2621959.410000000149012,2719579.100000000093132,10450835.210000000894070
FS( 28 ),2501090.360000000335276,2628343.979999999981374,2808938.189999999944121,2747436.149999999906868,10685808.679999999701977
FS( 29 ),2494003.020000000018626,2602780.600000000093132,2866262.959999999962747,2746780.689999999944121,10709827.269999999552965
FS( 30 ),2477920.210000000428408,2589867.140000000130385,2825481.580000000074506,2751041.180000000167638,10644310.110000001266599
FS( 31 ),2458021.140000000596046,2526090.459999999962747,2785084.930000000167638,2718923.639999999664724,10488120.170000001788139
FS( 32 ),2491004.530000000260770,2612795.120000000111759,2769695.729999999981374,2760545.350000000093132,10634040.730000000447035
FS( 33 ),2524533.100000000093132,2694492.520000000018626,2861646.199999999720603,2816587.180000000167638,10897259.000000000000000
FS( 34 ),2532165.620000000577420,2701081.020000000018626,2817402.250000000000000,2791024.239999999757856,10841673.130000000819564
FS( 35 ),2567874.910000000614673,2715575.720000000204891,2857414.169999999925494,2831007.299999999813735,10971872.100000001490116
FS( 36 ),2581231.820000000298023,2710568.459999999962747,2943593.689999999944121,2840183.739999999757856,11075577.710000000894070
FS( 37 ),2573871.890000000596046,2706088.280000000260770,2949749.370000000111759,2832645.950000000186265,11062355.490000002086163
FS( 38 ),2590499.880000000353903,2702662.259999999776483,2941670.039999999571592,2848376.989999999757856,11083209.169999999925494
FS( 39 ),2603311.610000000335276,2696864.379999999888241,2954366.130000000353903,2839528.280000000260770,11094070.400000002235174
FS( 40 ),2581504.410000000614673,2710568.459999999962747,2925896.109999999869615,2844444.230000000447035,11062413.210000000894070
FS( 41 ),2567602.320000000298023,2664185.419999999925494,2931667.060000000055879,2814620.799999999813735,10978075.600000001490116
FS( 42 ),2555608.360000000335276,2656015.680000000167638,2923972.459999999962747,2815276.260000000242144,10950872.760000001639128
FS( 43 ),2518263.530000000260770,2612268.040000000037253,2866262.959999999962747,2807083.010000000242144,10803877.540000000968575
FS( 44 ),2504906.620000000577420,2606997.240000000223517,2873572.830000000074506,2828713.189999999944121,10814189.880000000819564
FS( 45 ),2530530.080000000074506,2633614.780000000260770,2947056.259999999776483,2903763.359999999869615,11014964.480000000447035
FS( 46 ),2556698.720000000670552,2759323.360000000335276,2983605.609999999869615,2965048.870000000111759,11264676.560000002384186
FS( 47 ),2569237.860000000335276,2733496.439999999944121,2911276.370000000111759,2928343.109999999869615,11142353.780000001192093
FS( 48 ),2574962.250000000000000,2702662.259999999776483,2912430.560000000055879,2950301.020000000018626,11140356.089999999850988
FS( 49 ),2594861.320000000298023,2716366.339999999850988,2895502.439999999944121,2927032.189999999944121,11133762.289999999105930
FS( 50 ),2568692.680000000633299,2723218.379999999888241,2885114.729999999981374,2838545.089999999850988,11015570.880000000819564
FS( 51 ),2571963.760000000242144,2752998.399999999906868,2877035.399999999906868,2863780.299999999813735,11065777.859999999403954
FS( 52 ),2594588.730000000447035,2787522.140000000130385,2925126.649999999906868,2843788.770000000018626,11151026.290000000968575
FS( 53 ),2582594.770000000018626,2783569.040000000037253,2925896.109999999869615,2841166.930000000167638,11133226.849999999627471
FS( 54 ),2567057.140000000596046,2881078.839999999850988,2908198.530000000260770,2839528.280000000260770,11195862.790000000968575
FS( 55 ),2593770.960000000428408,3000462.459999999962747,2924741.919999999925494,2893931.459999999962747,11412906.800000000745058
FS( 56 ),2582049.590000000316650,2951707.560000000055879,2908198.530000000260770,2900813.790000000037253,11342769.469999998807907
FS( 57 ),2588864.340000000316650,2941429.500000000000000,2917816.780000000260770,2904746.549999999813735,11352857.170000001788139
FS( 58 ),2561605.340000000316650,2899263.100000000093132,2882806.350000000093132,2868696.250000000000000,11212371.040000000968575
FS( 59 ),2526168.640000000596046,2858414.399999999906868,2838177.669999999925494,2845427.419999999925494,11068188.130000000819564
FS( 60 ),2541161.090000000316650,2882923.620000000111759,2868956.069999999832362,2874923.120000000111759,11167963.900000002235174
FS( 61 ),2479555.750000000000000,2800172.060000000055879,2837408.209999999962747,2785125.100000000093132,10902261.120000001043081
FS( 62 ),2505996.980000000447035,2827580.220000000204891,2881267.430000000167638,2809049.389999999664724,11023894.019999999552965
FS( 63 ),2565149.010000000242144,2841284.300000000279397,2877420.130000000353903,2824780.430000000167638,11108633.870000001043081
FS( 64 ),2760868.630000000353903,2844183.240000000223517,2872803.370000000111759,2839856.010000000242144,11317711.250000001862645
