代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12790634.179999999701977
真實報酬,2790634.179999999701977

夏普值報酬,0.270363418000000
夏普值風險,0.078599357165034
夏普值,3.439766274835053

二次趨勢線,41.681139120821982 x^2 + 18112.401584064056806 x + 10000000.000000000000000
二次平均預期報酬,23364.225113287633576
風險,188568.791376013279660
二次平均趨勢值,0.123902926580775
一次趨勢線,22035.576531193324627 x + 10000000.000000000000000
一次預期報酬,22035.576531193324627
一次風險,202401.172414028900675
一次趨勢值,0.108870794908824
找到最佳解世代,1912
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](1),HD[9](3),MCD[15](5),UNH[23](2),
Stock#,BA[2](1),HD[9](3),MCD[15](5),UNH[23](2),
張數,47975,94984,44060,100847,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,22.750000000000000,21.120000000111759,35.600000000093132,2.870000000111759,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2465937.750000000000000,2472454.640000000130385,2498678.200000000186265,2448568.030000000260770,9885638.620000001043081
FS( 3 ),2508155.750000000000000,2483852.720000000204891,2494272.200000000186265,2424364.750000000000000,9910645.420000001788139
FS( 4 ),2508635.500000000000000,2497150.479999999981374,2530842.000000000000000,2458652.729999999981374,9995280.710000000894070
FS( 5 ),2484648.000000000000000,2482902.880000000353903,2517624.000000000000000,2526220.220000000204891,10011395.100000001490116
FS( 6 ),2509115.250000000000000,2554140.880000000353903,2505727.799999999813735,2436466.390000000130385,10005450.320000000298023
FS( 7 ),2527825.500000000000000,2560789.760000000242144,2498237.600000000093132,2487898.360000000335276,10074751.219999998807907
FS( 8 ),2478411.250000000000000,2568388.479999999981374,2497356.399999999906868,2544372.680000000167638,10088528.810000000521541
FS( 9 ),2489925.250000000000000,2614930.640000000130385,2513658.600000000093132,2449576.500000000000000,10068090.990000000223517
FS( 10 ),2519190.000000000000000,2600683.040000000037253,2533485.600000000093132,2508067.760000000242144,10161426.400000000372529
FS( 11 ),2483208.750000000000000,2593084.320000000298023,2564327.600000000093132,2475796.720000000204891,10116417.390000000596046
FS( 12 ),2551813.000000000000000,2589284.960000000428408,2589882.400000000372529,2465712.020000000018626,10196692.380000000819564
FS( 13 ),2564286.500000000000000,2624429.040000000037253,2611912.400000000372529,2513110.110000000335276,10313738.050000000745058
FS( 14 ),2489445.500000000000000,2561739.600000000093132,2596050.800000000279397,2617990.990000000223517,10265226.890000000596046
FS( 15 ),2428997.000000000000000,2500000.000000000000000,2570055.399999999906868,2533279.510000000242144,10032331.910000000149012
FS( 16 ),2450106.000000000000000,2537993.600000000093132,2621605.600000000093132,2592779.240000000223517,10202484.439999999478459
FS( 17 ),2393495.500000000000000,2495250.800000000279397,2618521.399999999906868,2606897.820000000298023,10114165.520000001415610
FS( 18 ),2316735.500000000000000,2479103.520000000018626,2608387.600000000093132,2552440.439999999944121,9956667.059999998658895
FS( 19 ),2290829.000000000000000,2469605.120000000111759,2600456.800000000279397,2672448.370000000111759,10033339.289999999105930
FS( 20 ),2265402.250000000000000,2394567.760000000242144,2583714.000000000000000,2609923.229999999981374,9853607.240000000223517
FS( 21 ),2341682.500000000000000,2461056.560000000055879,2605744.000000000000000,2669422.959999999962747,10077906.019999999552965
FS( 22 ),2293227.750000000000000,2383169.680000000167638,2582392.200000000186265,2616982.520000000018626,9875772.150000000372529
FS( 23 ),2315776.000000000000000,2380320.160000000149012,2606625.199999999720603,2664380.610000000335276,9967101.969999998807907
FS( 24 ),2307620.250000000000000,2374621.120000000111759,2610150.000000000000000,2713795.640000000130385,10006187.009999999776483
FS( 25 ),2306181.000000000000000,2370821.760000000242144,2656413.000000000000000,2810608.760000000242144,10144024.519999999552965
FS( 26 ),2387738.500000000000000,2434461.040000000037253,2708844.399999999906868,2844896.740000000223517,10375940.679999999701977
FS( 27 ),2383420.750000000000000,2477203.839999999850988,2719418.799999999813735,2891286.360000000335276,10471329.750000000000000
FS( 28 ),2463539.000000000000000,2546542.160000000149012,2759954.000000000000000,2937675.979999999981374,10707711.140000000596046
FS( 29 ),2414124.750000000000000,2547492.000000000000000,2744092.400000000372529,2921540.459999999962747,10627249.609999999403954
FS( 30 ),2431395.750000000000000,2594034.160000000149012,2768325.399999999906868,2961879.260000000242144,10755634.570000000298023
FS( 31 ),2412205.750000000000000,2587385.279999999795109,2739245.800000000279397,2900362.590000000316650,10639199.419999999925494
FS( 32 ),2431395.750000000000000,2596883.680000000167638,2801370.399999999906868,2932633.629999999888241,10762283.460000000894070
FS( 33 ),2517750.750000000000000,2626328.720000000204891,2843227.400000000372529,2939692.919999999925494,10926999.790000000968575
FS( 34 ),2520149.500000000000000,2563639.279999999795109,2800929.800000000279397,2921540.459999999962747,10806259.039999999105930
FS( 35 ),2495682.250000000000000,2592134.479999999981374,2818994.399999999906868,2911455.760000000242144,10818266.890000000596046
FS( 36 ),2467377.000000000000000,2575037.359999999869615,2793880.199999999720603,2887252.479999999981374,10723547.039999999105930
FS( 37 ),2480330.250000000000000,2581686.240000000223517,2818553.799999999813735,2880193.189999999944121,10760763.480000000447035
FS( 38 ),2524947.000000000000000,2613030.960000000428408,2819435.000000000000000,2932633.629999999888241,10890046.589999999850988
FS( 39 ),2493283.500000000000000,2617780.160000000149012,2829568.799999999813735,2981040.189999999944121,10921672.650000000372529
FS( 40 ),2539339.500000000000000,2645325.520000000018626,2839702.600000000093132,2979023.250000000000000,11003390.869999999180436
FS( 41 ),2516311.500000000000000,2622529.359999999869615,2802251.600000000093132,2968938.550000000279397,10910031.009999999776483
FS( 42 ),2514392.500000000000000,2598783.359999999869615,2786830.600000000093132,2891286.360000000335276,10791292.820000000298023
FS( 43 ),2577239.750000000000000,2659573.120000000111759,2799608.000000000000000,2894311.770000000018626,10930732.640000000596046
FS( 44 ),2580118.250000000000000,2690917.839999999850988,2753785.600000000093132,2852964.500000000000000,10877786.189999999478459
FS( 45 ),2579638.500000000000000,2652924.240000000223517,2730433.799999999813735,2756151.379999999888241,10719147.919999999925494
FS( 46 ),2623295.750000000000000,2667171.839999999850988,2713691.000000000465661,2769261.490000000223517,10773420.080000000074506
FS( 47 ),2677987.250000000000000,2680469.600000000093132,2728671.399999999906868,2853972.970000000204891,10941101.220000000670552
FS( 48 ),2670311.250000000000000,2628228.400000000372529,2670512.200000000186265,2870108.490000000223517,10839160.339999999850988
FS( 49 ),2661196.000000000000000,2616830.320000000298023,2670071.600000000093132,2874142.370000000111759,10822240.289999999105930
