代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11280568.059999998658895
真實報酬,1280568.059999998658895

夏普值報酬,0.119356806000000
夏普值風險,0.044784695613319
夏普值,2.665124868337929

二次趨勢線,84.962028127812488 x^2 + 443.651317744296193 x + 10000000.000000000000000
二次平均預期報酬,11403.752946232105387
風險,154188.477146607328905
二次平均趨勢值,0.073959826034140
一次趨勢線,8631.742806731290329 x + 10000000.000000000000000
一次預期報酬,8631.742806731290329
一次風險,220157.164635973749682
一次趨勢值,0.039207185562204
找到最佳解世代,2100
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
INTC[11](2),JPM[13](8),MRK[17](1),PG[21](3),
Stock#,INTC[11](2),JPM[13](8),MRK[17](1),PG[21](3),
張數,77041,41757,46554,29929,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,19.549999999813735,8.410000000149012,50.199999999720603,30.629999999888241,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2465331.549999999813735,2472022.810000000055879,2532587.799999999813735,2490422.719999999739230,9960364.879999998956919
FS( 3 ),2457627.449999999720603,2436946.930000000167638,2525139.159999999683350,2488926.270000000018626,9908639.809999998658895
FS( 4 ),2471494.829999999608845,2455737.580000000074506,2589849.219999999739230,2508380.120000000111759,10025461.750000000000000
FS( 5 ),2430663.100000000093132,2393519.650000000372529,2580072.879999999888241,2491320.589999999850988,9895576.219999998807907
FS( 6 ),2436826.379999999888241,2411057.590000000316650,2577279.639999999664724,2490123.430000000167638,9915287.040000000968575
FS( 7 ),2439908.020000000018626,2430265.810000000055879,2562847.899999999441206,2476056.799999999813735,9909078.529999999329448
FS( 8 ),2454545.809999999590218,2475363.370000000111759,2576348.560000000055879,2479049.699999999720603,9985307.439999999478459
FS( 9 ),2475346.879999999888241,2580173.439999999944121,2605212.039999999571592,2467975.969999999739230,10128708.329999998211861
FS( 10 ),2449923.350000000093132,2613579.040000000502914,2628023.500000000000000,2454507.919999999925494,10146033.810000000521541
FS( 11 ),2423729.409999999683350,2583514.000000000000000,2613591.759999999776483,2463187.329999999608845,10084022.500000000000000
FS( 12 ),2438367.199999999720603,2600216.800000000279397,2630816.739999999757856,2479049.699999999720603,10148450.439999999478459
FS( 13 ),2434515.149999999906868,2644061.650000000372529,2647110.639999999664724,2492517.750000000000000,10218205.190000001341105
FS( 14 ),2465331.549999999813735,2682478.089999999850988,2634075.519999999552965,2440740.579999999608845,10222625.739999998360872
FS( 15 ),2463020.319999999832362,2655753.610000000335276,2635006.599999999627471,2418293.829999999608845,10172074.359999999403954
FS( 16 ),2437596.790000000037253,2671203.700000000186265,2641524.159999999683350,2422783.180000000167638,10173107.830000000074506
FS( 17 ),2418336.540000000037253,2655753.610000000335276,2617316.079999999608845,2436550.520000000018626,10127956.750000000000000
FS( 18 ),2419106.949999999720603,2669533.419999999925494,2608936.359999999869615,2380882.579999999608845,10078459.309999998658895
FS( 19 ),2446071.299999999813735,2677049.680000000167638,2621505.939999999944121,2391058.439999999944121,10135685.359999999403954
FS( 20 ),2396765.059999999590218,2655753.610000000335276,2594970.159999999683350,2387167.669999999925494,10034656.500000000000000
FS( 21 ),2332821.029999999795109,2639050.810000000055879,2553071.560000000055879,2397942.109999999869615,9922885.509999999776483
FS( 22 ),2358244.559999999590218,2663687.439999999944121,2574486.399999999441206,2423381.759999999776483,10019800.160000000149012
FS( 23 ),2338984.309999999590218,2612326.330000000074506,2564244.519999999552965,2427272.529999999795109,9942827.689999999478459
FS( 24 ),2299693.399999999906868,2612326.330000000074506,2551674.939999999944121,2442237.029999999795109,9905931.699999999254942
FS( 25 ),2303545.449999999720603,2557207.090000000316650,2518156.060000000055879,2433258.329999999608845,9812166.929999999701977
FS( 26 ),2314331.189999999944121,2572239.610000000335276,2495344.599999999627471,2458099.399999999906868,9840014.800000000745058
FS( 27 ),2295841.350000000093132,2555954.380000000353903,2518621.599999999627471,2457800.109999999869615,9828217.439999999478459
FS( 28 ),2322035.290000000037253,2590612.689999999944121,2545622.919999999925494,2468574.549999999813735,9926845.449999999254942
FS( 29 ),2315872.009999999776483,2581008.580000000074506,2528397.939999999944121,2458697.979999999981374,9883976.509999999776483
FS( 30 ),2292759.709999999962747,2579338.300000000279397,2519552.679999999701977,2466479.520000000018626,9858130.209999999031425
FS( 31 ),2304315.859999999869615,2555536.810000000055879,2508379.719999999739230,2431163.299999999813735,9799395.689999999478459
FS( 32 ),2341295.540000000037253,2574745.029999999795109,2544226.299999999813735,2443134.899999999906868,9903401.769999999552965
FS( 33 ),2309708.729999999981374,2574745.029999999795109,2528863.479999999515712,2412906.609999999869615,9826223.849999999627471
FS( 34 ),2310479.139999999664724,2674126.690000000409782,2545157.379999999888241,2389861.279999999795109,9919624.490000000223517
FS( 35 ),2282744.379999999888241,2646984.640000000130385,2540967.519999999552965,2400037.139999999664724,9870733.679999999701977
FS( 36 ),2322805.699999999720603,2651995.479999999981374,2565641.139999999664724,2394949.209999999962747,9935391.529999999329448
FS( 37 ),2328968.979999999981374,2649907.630000000353903,2556795.879999999888241,2400336.430000000167638,9936008.919999999925494
FS( 38 ),2392913.009999999776483,2695005.190000000409782,2588452.599999999627471,2423381.759999999776483,10099752.559999998658895
FS( 39 ),2418336.540000000037253,2735927.049999999813735,2633609.979999999515712,2438645.549999999813735,10226519.119999999180436
FS( 40 ),2426040.639999999664724,2715466.120000000111759,2625230.259999999776483,2430864.009999999776483,10197601.029999999329448
FS( 41 ),2432203.919999999925494,2732168.920000000391155,2629420.119999999646097,2437149.100000000093132,10230942.059999998658895
FS( 42 ),2433744.739999999757856,2725487.799999999813735,2619178.239999999757856,2425476.790000000037253,10203887.570000000298023
FS( 43 ),2439137.609999999869615,2743025.740000000223517,2622437.019999999552965,2447923.540000000037253,10252523.910000000149012
FS( 44 ),2446841.709999999962747,2748036.580000000074506,2645248.479999999515712,2452712.180000000167638,10292838.949999999254942
FS( 45 ),2436055.969999999739230,2699180.890000000130385,2636868.759999999776483,2468275.259999999776483,10240380.879999998956919
FS( 46 ),2440678.429999999701977,2725905.370000000111759,2661542.379999999888241,2477253.959999999962747,10305380.140000000596046
FS( 47 ),2456086.629999999888241,2716718.830000000074506,2653628.199999999720603,2463785.909999999683350,10290219.570000000298023
FS( 48 ),2456857.040000000037253,2724652.660000000149012,2682491.679999999701977,2473662.479999999981374,10337663.859999999403954
FS( 49 ),2460709.089999999850988,2703774.160000000149012,2662007.919999999925494,2489225.560000000055879,10315716.730000000447035
FS( 50 ),2468413.189999999944121,2665775.290000000502914,2644782.939999999944121,2490123.430000000167638,10269094.849999999627471
FS( 51 ),2478428.520000000018626,2641973.800000000279397,2612195.139999999664724,2471268.159999999683350,10203865.619999999180436
FS( 52 ),2476117.290000000037253,2592282.970000000204891,2618712.699999999720603,2494612.779999999795109,10181725.739999998360872
FS( 53 ),2435285.559999999590218,2587689.700000000186265,2611264.060000000055879,2482641.180000000167638,10116880.500000000000000
FS( 54 ),2441448.839999999850988,2598128.950000000186265,2676905.199999999720603,2496408.520000000018626,10212891.509999999776483
FS( 55 ),2446841.709999999962747,2600634.370000000111759,2601953.259999999776483,2488028.399999999906868,10137457.740000000223517
FS( 56 ),2478428.520000000018626,2604392.500000000000000,2613591.759999999776483,2485334.790000000037253,10181747.570000000298023
FS( 57 ),2489984.669999999925494,2628611.560000000055879,2618712.699999999720603,2496408.520000000018626,10233717.449999999254942
FS( 58 ),2487673.439999999944121,2618589.880000000353903,2655490.359999999869615,2501197.159999999683350,10262950.839999999850988
FS( 59 ),2541602.140000000130385,2674544.260000000242144,2685284.919999999925494,2520351.719999999739230,10421783.039999999105930
FS( 60 ),2430663.100000000093132,2488725.610000000335276,2601487.719999999739230,2461990.169999999925494,9982866.600000001490116
FS( 61 ),2366719.069999999832362,2405629.180000000167638,2574951.939999999944121,2431163.299999999813735,9778463.489999998360872
FS( 62 ),2402928.339999999850988,2485385.050000000279397,2587521.519999999552965,2467975.969999999739230,9943810.879999998956919
FS( 63 ),2459938.679999999701977,2555536.810000000055879,2655955.899999999441206,2511373.020000000018626,10182804.410000000149012
FS( 64 ),2526964.349999999627471,2594788.390000000130385,2682026.139999999664724,2534119.060000000055879,10337897.939999999478459
FS( 65 ),2523112.299999999813735,2558042.229999999981374,2697388.959999999497086,2537411.250000000000000,10315954.739999998360872
FS( 66 ),2517719.429999999701977,2486637.760000000242144,2700182.199999999720603,2557164.389999999664724,10261703.779999997466803
FS( 67 ),2540061.319999999832362,2513362.240000000223517,2754184.839999999385327,2544893.500000000000000,10352501.900000000372529
FS( 68 ),2557780.750000000000000,2513362.240000000223517,2736494.319999999832362,2538907.699999999720603,10346545.009999999776483
FS( 69 ),2619413.549999999813735,2581843.720000000204891,2763030.099999999627471,2567040.959999999962747,10531328.329999998211861
FS( 70 ),2648689.129999999888241,2600216.800000000279397,2762564.560000000055879,2566442.379999999888241,10577912.870000001043081
FS( 71 ),2691832.089999999850988,2639050.810000000055879,2774668.599999999627471,2566442.379999999888241,10671993.879999998956919
FS( 72 ),2697224.959999999497086,2637380.529999999795109,2772340.899999999441206,2570632.439999999944121,10677578.829999998211861
FS( 73 ),2711862.750000000000000,2677467.250000000465661,2776996.299999999813735,2570033.859999999869615,10736360.160000000149012
FS( 74 ),2701847.419999999925494,2679972.670000000391155,2776065.219999999739230,2574223.919999999925494,10732109.230000000447035
FS( 75 ),2700306.599999999627471,2670786.130000000353903,2747667.279999999795109,2571829.600000000093132,10690589.609999999403954
FS( 76 ),2708010.699999999720603,2666610.430000000167638,2730907.839999999385327,2579012.560000000055879,10684541.529999999329448
