代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12058847.260000001639128
真實報酬,2058847.260000001639128

夏普值報酬,0.197184726000000
夏普值風險,0.058250978443821
夏普值,3.385088650316352

二次趨勢線,-31.689914913934889 x^2 + 21465.892168741283967 x + 10000000.000000000000000
二次平均預期報酬,17441.272974671552220
風險,108628.877321583451703
二次平均趨勢值,0.160558346958136
一次趨勢線,18459.358462499501911 x + 10000000.000000000000000
一次預期報酬,18459.358462499501911
一次風險,122584.970342861983227
一次趨勢值,0.150584189977531
找到最佳解世代,2132
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
MMM[16](5),PFE[20](4),UNH[23](2),XOM[29](3),
Stock#,MMM[16](5),PFE[20](4),UNH[23](2),XOM[29](3),
張數,16808,82863,21572,32769,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,146.160000000149012,23.290000000037253,20.919999999925494,52.989999999757856,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2485545.120000000111759,2497514.109999999869615,2456640.279999999795109,2444292.699999999720603,9883992.209999999031425
FS( 3 ),2563702.320000000298023,2458568.500000000000000,2432263.919999999925494,2571764.109999999869615,10026298.849999999627471
FS( 4 ),2579165.680000000167638,2403050.290000000037253,2463543.319999999832362,2616002.259999999776483,10061761.550000000745058
FS( 5 ),2579669.919999999925494,2405536.180000000167638,2410044.759999999776483,2624194.509999999776483,10019445.369999999180436
FS( 6 ),2586897.360000000335276,2366590.569999999832362,2373372.359999999869615,2659585.029999999795109,9986445.319999998435378
FS( 7 ),2601016.080000000074506,2411336.590000000316650,2397964.439999999944121,2624194.509999999776483,10034511.619999999180436
FS( 8 ),2562525.759999999776483,2443653.159999999683350,2432048.199999999720603,2600273.139999999664724,10038500.259999997913837
FS( 9 ),2532607.520000000018626,2413822.479999999981374,2386315.560000000055879,2608465.389999999664724,9941210.949999999254942
FS( 10 ),2587905.840000000316650,2432880.970000000204891,2412201.959999999962747,2655325.059999999590218,10088313.830000000074506
FS( 11 ),2614294.400000000372529,2470169.319999999832362,2484036.720000000204891,2661551.169999999925494,10230051.610000001266599
FS( 12 ),2632615.120000000111759,2455253.979999999981374,2551988.520000000018626,2687110.989999999757856,10326968.609999999403954
FS( 13 ),2635304.400000000372529,2448624.939999999944121,2533652.319999999832362,2701857.040000000037253,10319438.699999999254942
FS( 14 ),2629757.759999999776483,2443653.159999999683350,2538613.879999999888241,2703495.489999999757856,10315520.289999999105930
FS( 15 ),2650767.759999999776483,2490056.439999999944121,2616057.359999999869615,2699890.899999999906868,10456772.459999999031425
FS( 16 ),2625051.520000000018626,2482598.770000000018626,2613468.720000000204891,2661878.859999999869615,10382997.869999999180436
FS( 17 ),2642699.919999999925494,2487570.549999999813735,2592975.319999999832362,2671381.869999999646097,10394627.659999998286366
FS( 18 ),2672450.080000000074506,2534802.459999999962747,2614547.319999999832362,2687438.679999999701977,10509238.539999999105930
FS( 19 ),2660348.320000000298023,2504971.780000000260770,2617351.679999999701977,2678918.739999999757856,10461590.519999999552965
FS( 20 ),2636817.120000000111759,2458568.500000000000000,2569246.119999999646097,2626488.339999999850988,10291120.080000000074506
FS( 21 ),2682534.880000000353903,2489227.810000000055879,2624686.160000000149012,2663517.309999999590218,10459966.160000000149012
FS( 22 ),2679509.439999999944121,2484256.030000000260770,2616057.359999999869615,2710049.290000000037253,10489872.120000001043081
FS( 23 ),2679005.200000000186265,2476798.359999999869615,2627921.959999999962747,2700218.589999999850988,10483944.109999999403954
FS( 24 ),2690602.720000000204891,2461883.020000000018626,2627490.520000000018626,2696614.000000000000000,10476590.259999999776483
FS( 25 ),2699006.720000000204891,2468512.060000000055879,2626627.640000000130385,2767722.729999999515712,10561869.149999998509884
FS( 26 ),2692787.759999999776483,2432880.970000000204891,2624470.439999999944121,2707755.459999999497086,10457894.629999998956919
FS( 27 ),2690938.880000000353903,2464368.909999999683350,2612390.119999999646097,2700218.589999999850988,10467916.500000000000000
FS( 28 ),2687577.279999999795109,2451939.459999999962747,2633746.399999999906868,2693009.410000000149012,10466272.550000000745058
FS( 29 ),2721025.200000000186265,2527344.790000000037253,2698678.119999999646097,2693337.099999999627471,10640385.209999999031425
FS( 30 ),2719848.640000000130385,2494199.590000000316650,2701266.759999999776483,2700546.279999999795109,10615861.269999999552965
FS( 31 ),2729933.439999999944121,2447796.310000000055879,2693285.119999999646097,2713981.569999999366701,10584996.439999997615814
FS( 32 ),2738001.279999999795109,2406364.810000000055879,2694363.720000000204891,2715620.020000000018626,10554349.830000000074506
FS( 33 ),2752456.160000000149012,2431223.709999999962747,2686382.080000000074506,2755925.889999999664724,10625987.839999999850988
FS( 34 ),2779012.800000000279397,2440338.640000000130385,2733624.759999999776483,2759202.790000000037253,10712178.990000000223517
FS( 35 ),2770776.880000000353903,2491713.700000000186265,2734056.199999999720603,2740196.770000000018626,10736743.549999998882413
FS( 36 ),2771953.439999999944121,2517401.229999999981374,2761668.360000000335276,2756581.270000000018626,10807604.300000000745058
FS( 37 ),2761196.320000000298023,2501657.260000000242144,2799850.799999999813735,2744456.739999999757856,10807161.119999999180436
FS( 38 ),2764389.840000000316650,2492542.330000000074506,2773964.399999999906868,2751993.609999999869615,10782890.179999999701977
FS( 39 ),2794980.400000000372529,2467683.430000000167638,2781083.159999999683350,2759858.169999999925494,10803605.160000000149012
FS( 40 ),2763213.279999999795109,2490056.439999999944121,2800713.680000000167638,2770016.559999999590218,10823999.960000000894070
FS( 41 ),2802880.160000000149012,2491713.700000000186265,2797477.879999999888241,2769688.869999999646097,10861760.609999999403954
FS( 42 ),2800863.200000000186265,2456082.609999999869615,2780651.720000000204891,2739213.699999999720603,10776811.230000000447035
