代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11422568.830000001937151
真實報酬,1422568.830000001937151

夏普值報酬,0.133556883000000
夏普值風險,0.052934135139683
夏普值,2.523076699894467

二次趨勢線,25.518751251481088 x^2 + 10896.376213842577272 x + 10000000.000000000000000
二次平均預期報酬,14188.295125283639209
風險,170911.267390641325619
二次平均趨勢值,0.083015563232905
一次趨勢線,13355.708630172050107 x + 10000000.000000000000000
一次預期報酬,13355.708630172050107
一次風險,177308.994076273113023
一次趨勢值,0.075324484805474
找到最佳解世代,1506
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
AAPL[0](1),PG[21](3),
Stock#,AAPL[0](1),PG[21](3),
張數,53395,61751,
FS( 73 ),5776363.300000000745058,5374828.570000000298023,11151191.870000001043081
FS( 74 ),5845776.800000000745058,5373593.549999999813735,11219370.350000001490116
FS( 75 ),5840437.299999999813735,5346423.110000000335276,11186860.410000000149012
FS( 76 ),5831894.100000000558794,5369888.490000000223517,11201782.589999999850988
FS( 77 ),5824418.799999999813735,5399528.969999999739230,11223947.769999999552965
FS( 78 ),5839369.400000000372529,5391501.340000000782311,11230870.740000002086163
FS( 79 ),5793983.650000000372529,5363095.879999999888241,11157079.530000001192093
FS( 80 ),5812137.950000000186265,5397058.930000000633299,11209196.880000000819564
FS( 81 ),5768354.049999999813735,5391501.340000000782311,11159855.390000000596046
FS( 82 ),5743792.349999999627471,5427934.430000000633299,11171726.780000001192093
FS( 83 ),5710153.500000000000000,5408174.110000000335276,11118327.609999999403954
FS( 84 ),5703746.099999999627471,5452634.830000000074506,11156380.929999999701977
FS( 85 ),5659962.200000000186265,5405704.070000000298023,11065666.269999999552965
FS( 86 ),5665301.700000000186265,5391501.340000000782311,11056803.040000000968575
FS( 87 ),5698940.550000000745058,5453252.340000000782311,11152192.890000000596046
FS( 88 ),5752335.550000000745058,5446459.730000000447035,11198795.280000001192093
FS( 89 ),5750733.700000000186265,5473630.169999999925494,11224363.870000001043081
FS( 90 ),5785974.400000000372529,5431021.980000000447035,11216996.380000000819564
FS( 91 ),5634332.599999999627471,5420524.310000000521541,11054856.910000000149012
FS( 92 ),5506718.549999999813735,5325427.769999999552965,10832146.320000000298023
FS( 93 ),5630061.000000000000000,5449547.280000000260770,11079608.280000001192093
FS( 94 ),5764082.450000000186265,5375446.080000000074506,11139528.530000001192093
FS( 95 ),5968051.349999999627471,5372976.040000000968575,11341027.390000000596046
FS( 96 ),6170952.349999999627471,5437814.590000000782311,11608766.940000001341105
FS( 97 ),6136245.600000000558794,5437197.080000000074506,11573442.679999999701977
FS( 98 ),6064696.299999999813735,5456957.400000000372529,11521653.699999999254942
FS( 99 ),6064162.349999999627471,5469925.110000000335276,11534087.460000000894070
FS( 100 ),6063094.450000000186265,5421759.330000000074506,11484853.780000001192093
