代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11776556.630000000819564
真實報酬,1776556.630000000819564

夏普值報酬,0.168955663000000
夏普值風險,0.047999484043520
夏普值,3.519947482077372

二次趨勢線,-26.345493672272458 x^2 + 17145.448724323116039 x + 10000000.000000000000000
二次平均預期報酬,13852.262015289059491
風險,104553.144791104990873
二次平均趨勢值,0.132490151711511
一次趨勢線,14685.477929623009913 x + 10000000.000000000000000
一次預期報酬,14685.477929623009913
一次風險,114122.632970719787409
一次趨勢值,0.128681555510473
找到最佳解世代,1536
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
CAT[3](1),CSCO[4](6),DD[7](2),MCD[15](3),MRK[17](8),
Stock#,CAT[3](1),CSCO[4](6),DD[7](2),MCD[15](3),MRK[17](8),
張數,23738,94831,35124,20723,39856,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,73.500000000000000,14.209999999962747,39.440000000176951,23.269999999785796,25.919999999925494,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),1990979.560000000055879,2016121.270000000018626,1936776.800000000279397,1997306.009999999776483,1983260.479999999748543,9924444.120000001043081
FS( 3 ),1993353.359999999869615,2015172.959999999962747,1945206.560000000288710,1983421.599999999627471,1965325.280000000027940,9902479.759999999776483
FS( 4 ),2003798.079999999841675,1982930.419999999925494,1931156.959999999962747,1977619.159999999916181,1945397.280000000027940,9840901.900000000372529
FS( 5 ),2029672.500000000000000,2018017.890000000130385,1964173.520000000251457,2006009.669999999692664,1968513.760000000009313,9986387.339999999850988
FS( 6 ),2043677.920000000158325,2012328.029999999795109,2040743.840000000316650,1983628.829999999841675,1975289.280000000027940,10055667.900000000372529
FS( 7 ),2051511.459999999962747,2011379.719999999972060,2089917.440000000176951,1977619.159999999916181,1970108.000000000000000,10100535.780000001192093
FS( 8 ),2024450.140000000130385,1980085.489999999757856,2053388.480000000214204,1974096.250000000000000,1950977.120000000111759,9982997.480000000447035
FS( 9 ),2031334.159999999916181,1944998.020000000018626,2038987.640000000130385,1950057.569999999599531,1925867.839999999850988,9891245.230000000447035
FS( 10 ),2042728.399999999906868,1919393.649999999906868,2076921.560000000288710,1957103.389999999664724,1928259.199999999953434,9924406.199999999254942
FS( 11 ),2074299.939999999944121,1961119.290000000037253,2080785.200000000186265,1978033.619999999878928,1916700.959999999962747,10010939.009999999776483
FS( 12 ),2063380.459999999962747,1983878.730000000214204,2110991.839999999850988,1955860.009999999776483,1909128.319999999832362,10023239.359999999403954
FS( 13 ),2093052.959999999962747,1991465.209999999962747,2176322.480000000447035,1987980.659999999916181,1948984.319999999832362,10197805.630000000819564
FS( 14 ),2078098.020000000251457,1998103.379999999888241,2195991.919999999925494,1971609.489999999757856,1944600.159999999916181,10188402.970000000670552
FS( 15 ),2111093.840000000316650,2003793.239999999757856,2190020.839999999850988,2000000.000000000000000,1965723.839999999850988,10270631.759999999776483
FS( 16 ),2135543.979999999981374,2045518.879999999888241,2194938.200000000186265,1995648.169999999692664,1967318.079999999841675,10338967.310000000521541
FS( 17 ),2158095.080000000074506,2056898.600000000093132,2221983.679999999701977,2000621.689999999944121,1969310.879999999888241,10406909.929999999701977
FS( 18 ),2163792.200000000186265,2067330.010000000009313,2243760.560000000521541,2006838.589999999850988,1981666.239999999990687,10463387.599999999627471
FS( 19 ),2157145.560000000055879,2088192.829999999841675,2230764.679999999701977,2008289.199999999720603,1984456.159999999916181,10468848.429999999701977
FS( 20 ),2157145.560000000055879,2110003.959999999962747,2230764.679999999701977,2010361.500000000000000,1990434.559999999823049,10498710.259999999776483
FS( 21 ),2155721.280000000260770,2127073.540000000037253,2220929.959999999962747,2010775.959999999729916,1994818.719999999739230,10509319.460000000894070
FS( 22 ),2133407.560000000055879,2086296.209999999962747,2194235.719999999739230,1997927.699999999720603,1972499.360000000102445,10384366.549999998882413
FS( 23 ),2132220.659999999683350,2084399.590000000083819,2184401.000000000000000,2000621.689999999944121,1982064.799999999813735,10383707.739999998360872
FS( 24 ),2104209.819999999832362,2087244.520000000018626,2180537.360000000335276,1986322.819999999599531,1982463.360000000102445,10340777.879999998956919
FS( 25 ),2111093.840000000316650,2115693.819999999832362,2156301.799999999813735,1997306.009999999776483,1997210.079999999841675,10377605.549999998882413
FS( 26 ),2116078.819999999832362,2113797.199999999720603,2158760.480000000447035,1977204.699999999720603,1984456.159999999916181,10350297.359999999403954
FS( 27 ),2129609.479999999981374,2094831.000000000000000,2131012.520000000484288,1978240.849999999627471,1973695.040000000037253,10307388.890000000596046
FS( 28 ),2148599.880000000353903,2107159.029999999795109,2136281.120000000111759,1985286.669999999692664,1988043.199999999953434,10365369.900000000372529
FS( 29 ),2133882.319999999832362,2104314.100000000093132,2095537.280000000027940,1965185.359999999636784,2117176.639999999664724,10416095.699999999254942
FS( 30 ),2149786.780000000260770,2125176.919999999925494,2133471.200000000186265,1973267.329999999841675,2112393.919999999925494,10494096.150000000372529
FS( 31 ),2193702.080000000074506,2160264.390000000130385,2153491.879999999888241,1978240.849999999627471,2093263.040000000037253,10578962.239999998360872
