代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12284152.150000000372529
真實報酬,2284152.150000000372529

夏普值報酬,0.219715215000000
夏普值風險,0.063314518877541
夏普值,3.470218504304824

二次趨勢線,106.872976504889223 x^2 + 3637.852627399171070 x + 10000000.000000000000000
二次平均預期報酬,17424.466596529880917
風險,257823.617471549223410
二次平均趨勢值,0.067582895498131
一次趨勢線,13937.579794998762736 x + 10000000.000000000000000
一次預期報酬,13937.579794998762736
一次風險,324881.226544836943503
一次趨勢值,0.042900539200825
找到最佳解世代,1970
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
HD[9](3),MCD[15](2),NKE[19](1),
Stock#,HD[9](3),MCD[15](2),NKE[19](1),
張數,29849,34642,65513,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,95.169999999925494,79.760000000242144,31.560000000055879,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3330945.080000000074506,3335757.940000000409782,3345125.340000000316650,10011829.360000001266599
FS( 3 ),3377808.009999999776483,3343725.600000000093132,3358227.939999999944121,10079762.549999998882413
FS( 4 ),3327064.709999999962747,3336450.780000000260770,3339884.299999999813735,10003400.789999999105930
FS( 5 ),3294529.300000000279397,3309776.440000000409782,3342504.820000000298023,9946811.560000000521541
FS( 6 ),3281395.740000000223517,3302155.200000000186265,3322850.919999999925494,9906402.859999999403954
FS( 7 ),3269456.140000000130385,3281716.420000000391155,3320230.399999999906868,9871403.960000000894070
FS( 8 ),3312737.189999999944121,3301462.360000000335276,3385088.270000000018626,9999288.820000000298023
FS( 9 ),3321990.379999999888241,3311508.540000000502914,3402776.779999999795109,10036276.699999999254942
FS( 10 ),3301394.569999999832362,3293148.280000000260770,3399501.129999999888241,9994044.980000000447035
FS( 11 ),3283783.660000000149012,3266820.360000000335276,3385743.399999999906868,9936348.419999999925494
FS( 12 ),3290350.439999999944121,3278252.220000000204891,3425051.200000000186265,9993654.859999999403954
FS( 13 ),3297514.199999999720603,3298691.000000000000000,3431602.500000000000000,10027808.699999999254942
FS( 14 ),3338705.819999999832362,3331600.900000000372529,3472220.560000000055879,10142528.280000001192093
FS( 15 ),3356018.240000000223517,3328483.120000000111759,3489909.070000000298023,10174411.429999999701977
FS( 16 ),3375121.599999999627471,3355850.300000000279397,3498425.759999999776483,10229398.660000000149012
FS( 17 ),3378404.990000000223517,3366589.320000000298023,3511528.360000000335276,10256523.670000001788139
FS( 18 ),3353630.319999999832362,3347882.640000000130385,3479426.990000000223517,10180940.949999999254942
FS( 19 ),3350346.929999999701977,3318436.940000000409782,3446670.490000000223517,10115455.359999999403954
FS( 20 ),3361092.569999999832362,3370399.940000000409782,3594074.740000000223517,10325568.250000000000000
FS( 21 ),3299603.629999999888241,3306312.240000000223517,3527251.480000000447035,10133168.350000001490116
FS( 22 ),3317214.539999999571592,3293494.700000000186265,3538388.689999999944121,10149098.929999999701977
FS( 23 ),3345272.599999999627471,3317397.680000000633299,3584902.919999999925494,10247574.199999999254942
FS( 24 ),3327960.179999999701977,3331600.900000000372529,3599315.779999999795109,10258877.859999999403954
FS( 25 ),3322885.849999999627471,3313587.060000000521541,3598005.520000000018626,10234479.429999999701977
FS( 26 ),3355122.770000000018626,3349268.320000000298023,3645830.009999999776483,10350222.099999999627471
FS( 27 ),3313334.169999999925494,3320169.040000000502914,3579661.879999999888241,10213166.089999999850988
FS( 28 ),3324676.789999999571592,3342686.339999999850988,3584902.919999999925494,10252267.049999998882413
FS( 29 ),3376017.069999999832362,3382871.060000000521541,3620279.939999999944121,10379169.070000000298023
FS( 30 ),3429745.270000000018626,3409891.820000000298023,3682517.290000000037253,10522155.379999998956919
FS( 31 ),3443475.810000000055879,3422016.520000000484288,3679896.770000000018626,10545390.099999999627471
FS( 32 ),3450042.589999999850988,3432062.700000000186265,3665483.910000000149012,10547590.199999999254942
FS( 33 ),3424670.939999999944121,3390145.880000000353903,3679896.770000000018626,10494714.589999999850988
FS( 34 ),3416910.199999999720603,3377674.760000000242144,3694964.759999999776483,10489550.719999998807907
FS( 35 ),3385270.259999999776483,3377328.339999999850988,3706101.970000000204891,10468701.570000000298023
FS( 36 ),3398702.310000000055879,3371439.200000000186265,3701516.060000000055879,10471658.570000000298023
FS( 37 ),3429745.270000000018626,3380446.120000000111759,3737548.209999999962747,10547740.600000001490116
FS( 38 ),3420492.080000000074506,3363471.540000000502914,3734272.560000000055879,10518237.180000001564622
FS( 39 ),3390643.080000000074506,3329175.959999999962747,3701516.060000000055879,10421336.099999999627471
