代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12095403.480000000447035
真實報酬,2095403.480000000447035

夏普值報酬,0.200840348000000
夏普值風險,0.061063418557332
夏普值,3.289045270392657

二次趨勢線,-155.946350137008380 x^2 + 36975.636157425644342 x + 10000000.000000000000000
二次平均預期報酬,17482.342390299578256
風險,188071.846848044602666
二次平均趨勢值,0.092955658612874
一次趨勢線,22414.380572343568929 x + 10000000.000000000000000
一次預期報酬,22414.380572343568929
一次風險,329684.409579618659336
一次趨勢值,0.067987384058968
找到最佳解世代,2311
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MCD[15](1),PG[21](2),
Stock#,MCD[15](1),PG[21](2),
張數,53493,72568,
FS( 73 ),6219105.470000000670552,5681413.520000000484288,11900518.990000002086163
FS( 74 ),6254945.780000000260770,5782283.040000000037253,12037228.820000000298023
FS( 75 ),6303624.410000000149012,5877347.119999999180436,12180971.529999999329448
FS( 76 ),6285436.790000000037253,5826549.520000000484288,12111986.310000000521541
FS( 77 ),6240502.669999999925494,5669802.639999999664724,11910305.309999998658895
FS( 78 ),6295600.459999999962747,5729308.400000000372529,12024908.859999999403954
FS( 79 ),6297205.250000000000000,5776477.599999999627471,12073682.849999999627471
FS( 80 ),6354977.689999999478459,5799699.360000000335276,12154677.050000000745058
FS( 81 ),6342674.299999999813735,5790265.520000000484288,12132939.820000000298023
FS( 82 ),6352303.040000000037253,5799699.360000000335276,12152002.400000000372529
FS( 83 ),6422913.799999999813735,5831629.279999999329448,12254543.079999998211861
FS( 84 ),6388678.280000000260770,5810584.559999999590218,12199262.839999999850988
FS( 85 ),6319672.310000000521541,5762689.679999999701977,12082361.990000000223517
FS( 86 ),6289716.229999999515712,5687218.959999999962747,11976935.189999999478459
FS( 87 ),6376374.890000000596046,5705360.959999999962747,12081735.850000001490116
FS( 88 ),6333580.490000000223517,5650209.279999999329448,11983789.769999999552965
FS( 89 ),6187009.669999999925494,5600863.040000000037253,11787872.710000000894070
FS( 90 ),6177380.930000000633299,5513055.759999999776483,11690436.690000001341105
FS( 91 ),6242107.459999999962747,5563853.360000000335276,11805960.820000000298023
FS( 92 ),6282227.209999999962747,5552242.480000000447035,11834469.690000001341105
FS( 93 ),6158123.450000000186265,5504347.599999999627471,11662471.050000000745058
FS( 94 ),6238362.950000000186265,5526118.000000000000000,11764480.949999999254942
FS( 95 ),6161333.030000000260770,5441213.440000000409782,11602546.470000000670552
FS( 96 ),6285436.790000000037253,5568207.440000000409782,11853644.230000000447035
FS( 97 ),6193428.830000000074506,5502896.239999999292195,11696325.070000000298023
FS( 98 ),6303624.410000000149012,5567481.759999999776483,11871106.169999999925494
FS( 99 ),6333580.490000000223517,5613925.279999999329448,11947505.769999999552965
FS( 100 ),6376374.890000000596046,5576915.599999999627471,11953290.490000000223517
FS( 101 ),6442171.280000000260770,5719148.879999999888241,12161320.160000000149012
FS( 102 ),6465708.200000000186265,5718423.199999999254942,12184131.399999998509884
FS( 103 ),6546482.629999999888241,5792442.559999999590218,12338925.189999999478459
FS( 104 ),6621372.830000000074506,5928144.719999999739230,12549517.550000000745058
