代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12110167.280000001192093
真實報酬,2110167.280000001192093

夏普值報酬,0.202316728000000
夏普值風險,0.051870583194447
夏普值,3.900413597463834

二次趨勢線,-49.715953125381240 x^2 + 23307.859028367980500 x + 10000000.000000000000000
二次平均預期報酬,16993.932981444566394
風險,143169.445108600950334
二次平均趨勢值,0.118698043207151
一次趨勢線,18591.131665251334198 x + 10000000.000000000000000
一次預期報酬,18591.131665251334198
一次風險,168639.968393889255822
一次趨勢值,0.110241550934286
找到最佳解世代,2350
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
GS[8](3),NKE[19](1),
Stock#,GS[8](3),NKE[19](1),
張數,28491,108790,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,114.410000000149012,11.599999999627471,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5135332.250000000000000,5078328.799999999813735,10213661.050000000745058
FS( 3 ),5093735.390000000596046,5033724.900000000372529,10127460.290000000968575
FS( 4 ),5150432.480000000447035,5077240.899999999441206,10227673.379999998956919
FS( 5 ),5226218.540000000037253,4993472.599999999627471,10219691.140000000596046
FS( 6 ),5191744.429999999701977,4959747.700000000186265,10151492.129999998956919
FS( 7 ),5258413.370000000111759,5045691.799999999813735,10304105.169999999925494
FS( 8 ),5346450.560000000521541,4967362.999999999068677,10313813.559999998658895
FS( 9 ),5407136.390000000596046,5004351.599999999627471,10411487.990000000223517
FS( 10 ),5384913.410000000149012,5006527.400000000372529,10391440.810000000521541
FS( 11 ),5413974.230000000447035,4996736.299999999813735,10410710.530000001192093
FS( 12 ),5375511.379999999888241,5092471.500000000000000,10467982.879999998956919
FS( 13 ),5388047.420000000856817,5096823.099999999627471,10484870.519999999552965
FS( 14 ),5456425.820000000298023,5164272.899999999441206,10620698.719999998807907
FS( 15 ),5422236.620000000111759,5168624.499999999068677,10590861.119999999180436
FS( 16 ),5476654.429999999701977,5190382.500000000000000,10667036.929999999701977
FS( 17 ),5462408.929999999701977,5266535.499999999068677,10728944.429999999701977
FS( 18 ),5476084.609999999403954,5276326.599999999627471,10752411.209999999031425
FS( 19 ),5407421.299999999813735,5282854.000000000000000,10690275.300000000745058
FS( 20 ),5464403.299999999813735,5372061.799999999813735,10836465.099999999627471
FS( 21 ),5449587.980000000447035,5329633.700000000186265,10779221.679999999701977
FS( 22 ),5404002.379999999888241,5304611.999999999068677,10708614.379999998956919
FS( 23 ),5415683.690000000409782,5355743.299999998882413,10771426.989999998360872
FS( 24 ),5325367.219999999739230,5271975.000000000000000,10597342.219999998807907
FS( 25 ),5354428.040000000037253,5300260.399999999441206,10654688.439999999478459
FS( 26 ),5205705.020000000484288,5250216.999999999068677,10455922.019999999552965
FS( 27 ),5247586.790000000037253,5186030.899999999441206,10433617.689999999478459
FS( 28 ),5411979.859999999403954,5278502.400000000372529,10690482.259999999776483
FS( 29 ),5394600.350000000558794,5212140.499999999068677,10606740.849999999627471
FS( 30 ),5467537.310000000521541,5245865.399999999441206,10713402.710000000894070
FS( 31 ),5429644.280000000260770,5251304.900000000372529,10680949.179999999701977
FS( 32 ),5479503.530000000260770,5304611.999999999068677,10784115.529999999329448
FS( 33 ),5412549.679999999701977,5348127.999999999068677,10760677.679999999701977
FS( 34 ),5502581.240000000223517,5547213.700000000186265,11049794.940000001341105
FS( 35 ),5469246.770000000484288,5518928.299999998882413,10988175.070000000298023
FS( 36 ),5449872.890000000596046,5475412.299999999813735,10925285.190000001341105
FS( 37 ),5337903.259999999776483,5385116.599999999627471,10723019.859999999403954
FS( 38 ),5334769.250000000000000,5403610.899999999441206,10738380.149999998509884
FS( 39 ),5358131.870000000111759,5432984.199999999254942,10791116.070000000298023
FS( 40 ),5442465.230000000447035,5488467.099999999627471,10930932.330000000074506
FS( 41 ),5355567.679999999701977,5458005.899999999441206,10813573.579999998211861
FS( 42 ),5476939.339999999850988,5415577.799999999813735,10892517.140000000596046
FS( 43 ),5457565.460000000894070,5421017.299999999813735,10878582.760000001639128
FS( 44 ),5471810.960000000894070,5425368.899999999441206,10897179.859999999403954
FS( 45 ),5481497.899999999441206,5418841.500000000000000,10900339.399999998509884
FS( 46 ),5486341.370000000111759,5485203.399999999441206,10971544.769999999552965
FS( 47 ),5552725.399999999441206,5478676.000000000000000,11031401.399999998509884
FS( 48 ),5574093.649999999441206,5438423.700000000186265,11012517.349999999627471
FS( 49 ),5572384.190000000409782,5400347.199999999254942,10972731.390000000596046
FS( 50 ),5633354.929999999701977,5414489.900000000372529,11047844.830000000074506
FS( 51 ),5729654.509999999776483,5430808.399999999441206,11160462.910000000149012
FS( 52 ),5704297.520000000484288,5434072.099999999627471,11138369.620000001043081
FS( 53 ),5622813.259999999776483,5361182.799999999813735,10983996.059999998658895
FS( 54 ),5644181.509999999776483,5439511.599999999627471,11083693.109999999403954
FS( 55 ),5608282.850000000558794,5455830.099999999627471,11064112.949999999254942
FS( 56 ),5650449.530000000260770,5448214.799999999813735,11098664.330000000074506
FS( 57 ),5678655.620000000111759,5500434.000000000000000,11179089.620000001043081
FS( 58 ),5641047.500000000000000,5491730.799999998882413,11132778.299999998882413
FS( 59 ),5599165.730000000447035,5490642.899999999441206,11089808.629999998956919
FS( 60 ),5626802.000000000000000,5431896.299999999813735,11058698.300000000745058
FS( 61 ),5657287.370000000111759,5449302.700000000186265,11106590.070000000298023
