代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11311377.419999998062849
真實報酬,1311377.419999998062849

夏普值報酬,0.122437742000000
夏普值風險,0.056248189391617
夏普值,2.176741035121164

二次趨勢線,183.189718544977666 x^2 + -9798.395013091869259 x + 10000000.000000000000000
二次平均預期報酬,13283.509523575314233
風險,204584.646232095750747
二次平均趨勢值,0.064929161441106
一次趨勢線,7444.063555135637216 x + 10000000.000000000000000
一次預期報酬,7444.063555135637216
一次風險,382515.474409386632033
一次趨勢值,0.019460816759451
找到最佳解世代,2033
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MSFT[18](2),NKE[19](1),
Stock#,MSFT[18](2),NKE[19](1),
張數,53044,73909,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,72.559999999590218,56.149999999441206,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4868450.879999999888241,4968219.129999998956919,9836670.009999997913837
FS( 3 ),4667944.559999999590218,4759056.659999999217689,9427001.219999998807907
FS( 4 ),4844581.079999999143183,4820401.129999998956919,9664982.209999997168779
FS( 5 ),4753345.399999999441206,4850703.819999999366701,9604049.219999998807907
FS( 6 ),4509343.000000000000000,4618629.559999999590218,9127972.559999998658895
FS( 7 ),4677492.479999999515712,4840356.559999998658895,9517849.039999999105930
FS( 8 ),4727884.279999999329448,4876571.969999999739230,9604456.250000000000000
FS( 9 ),4765015.079999999143183,4868441.979999999515712,9633457.059999998658895
FS( 10 ),4816998.199999999254942,5022911.789999999105930,9839909.989999998360872
FS( 11 ),4915129.599999999627471,5047301.759999999776483,9962431.359999999403954
FS( 12 ),4880120.559999999590218,5048040.849999999627471,9928161.410000000149012
FS( 13 ),4918312.239999999292195,4988174.559999998658895,9906486.799999997019768
FS( 14 ),4853068.119999999180436,4955654.599999999627471,9808722.719999998807907
FS( 15 ),4865798.679999999701977,4961567.319999999366701,9827366.000000000000000
FS( 16 ),4989391.199999999254942,5037693.589999998919666,10027084.789999999105930
FS( 17 ),5061531.040000000037253,5147818.000000000000000,10209349.039999999105930
FS( 18 ),4996817.359999999403954,5028085.419999999925494,10024902.779999999329448
FS( 19 ),4974008.439999999478459,4954176.419999999925494,9928184.859999999403954
FS( 20 ),4925207.959999999031425,4901701.029999999329448,9826908.989999998360872
FS( 21 ),4935816.759999999776483,4869920.159999999217689,9805736.919999998062849
FS( 22 ),4967112.719999999739230,4807836.599999999627471,9774949.320000000298023
FS( 23 ),4950138.639999999664724,4821879.309999998658895,9772017.949999999254942
FS( 24 ),4978782.399999999441206,4742796.679999999701977,9721579.079999998211861
FS( 25 ),5009017.479999999515712,4812271.139999999664724,9821288.619999999180436
FS( 26 ),5120940.320000000298023,4900222.849999999627471,10021163.169999999925494
FS( 27 ),5133140.439999999478459,4938655.529999999329448,10071795.969999998807907
FS( 28 ),5007956.599999999627471,4890614.679999999701977,9898571.279999999329448
FS( 29 ),4978251.959999999031425,4892831.949999999254942,9871083.909999998286366
FS( 30 ),4995756.479999999515712,4906874.659999999217689,9902631.139999998733401
FS( 31 ),5018034.959999999031425,4871398.339999998919666,9889433.299999997019768
FS( 32 ),4927329.719999999739230,4856616.539999999105930,9783946.259999997913837
FS( 33 ),4940060.279999999329448,4937177.349999999627471,9877237.629999998956919
FS( 34 ),4905581.679999999701977,4903918.299999998882413,9809499.979999998584390
FS( 35 ),4762893.320000000298023,4761273.929999999701977,9524167.250000000000000
FS( 36 ),4624448.479999999515712,4776794.819999999366701,9401243.299999998882413
FS( 37 ),4974538.879999999888241,4870659.250000000000000,9845198.129999998956919
FS( 38 ),4745919.239999999292195,4890614.679999999701977,9636533.919999998062849
FS( 39 ),4741675.719999999739230,4836661.109999999403954,9578336.829999998211861
FS( 40 ),4841398.439999999478459,4910570.109999999403954,9751968.549999998882413
FS( 41 ),4695527.439999999478459,4739101.229999999515712,9434628.669999998062849
FS( 42 ),4758649.799999998882413,4929786.449999999254942,9688436.249999998137355
FS( 43 ),4897625.079999999143183,5056909.929999999701977,9954535.009999997913837
FS( 44 ),4900277.279999999329448,5143383.459999999962747,10043660.739999998360872
FS( 45 ),4786232.679999999701977,4992609.099999999627471,9778841.779999999329448
FS( 46 ),4814876.439999999478459,4965262.769999999552965,9780139.209999999031425
FS( 47 ),4926799.279999999329448,4951959.149999999441206,9878758.429999999701977
FS( 48 ),4872694.399999999441206,4939394.619999999180436,9812089.019999999552965
FS( 49 ),4963930.079999999143183,5008869.079999999143183,9972799.159999998286366
FS( 50 ),4937408.079999999143183,4970436.399999999441206,9907844.479999998584390
FS( 51 ),4995226.040000000037253,4956393.689999999478459,9951619.730000000447035
FS( 52 ),5096009.639999999664724,4989652.740000000223517,10085662.379999998956919
FS( 53 ),5115635.919999999925494,4892831.949999999254942,10008467.869999999180436
FS( 54 ),5098131.399999999441206,4858094.719999999739230,9956226.119999999180436
FS( 55 ),5039252.559999999590218,4884701.959999999962747,9923954.519999999552965
FS( 56 ),5057817.959999999031425,4943090.069999999366701,10000908.029999997466803
FS( 57 ),4939529.839999999850988,4949741.879999998956919,9889271.719999998807907
FS( 58 ),4896564.199999999254942,4927569.179999999701977,9824133.379999998956919
FS( 59 ),5000000.000000000000000,5029563.599999999627471,10029563.599999999627471
FS( 60 ),5082748.639999999664724,5141166.189999999478459,10223914.829999998211861
FS( 61 ),4960747.439999999478459,5054692.659999999217689,10015440.099999997764826
FS( 62 ),5039252.559999999590218,5033259.049999998882413,10072511.609999999403954
FS( 63 ),4960217.000000000000000,5045084.490000000223517,10005301.490000000223517
FS( 64 ),4989921.639999999664724,4944568.250000000000000,9934489.890000000596046
FS( 65 ),5047739.599999999627471,5033259.049999998882413,10080998.649999998509884
FS( 66 ),5103966.239999999292195,5124906.209999999962747,10228872.449999999254942
FS( 67 ),5082218.199999999254942,5059866.289999999105930,10142084.489999998360872
FS( 68 ),5142157.919999999925494,5022172.699999999254942,10164330.619999999180436
FS( 69 ),5193610.599999999627471,5019955.429999999701977,10213566.029999999329448
FS( 70 ),5182471.359999999403954,5057649.019999999552965,10240120.379999998956919
FS( 71 ),5199975.879999999888241,5087951.709999999962747,10287927.589999999850988
FS( 72 ),5162314.639999999664724,5136731.649999999441206,10299046.289999999105930
FS( 73 ),5153297.160000000149012,5272724.209999999962747,10426021.370000001043081
FS( 74 ),5101844.479999999515712,5243160.609999999403954,10345005.089999999850988
FS( 75 ),5111392.399999999441206,5271246.029999999329448,10382638.429999999701977
FS( 76 ),5177166.959999999031425,5275680.569999999366701,10452847.529999997466803
FS( 77 ),5171862.559999999590218,5270506.939999999478459,10442369.500000000000000
FS( 78 ),5233393.599999999627471,5272724.209999999962747,10506117.809999998658895
FS( 79 ),5214828.199999999254942,5334807.769999999552965,10549635.969999998807907
FS( 80 ),5217480.399999999441206,5339981.399999999441206,10557461.799999998882413
FS( 81 ),5198915.000000000000000,5241682.429999999701977,10440597.429999999701977
