代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11968246.320000000298023
真實報酬,1968246.320000000298023

夏普值報酬,0.188124632000000
夏普值風險,0.051060461468397
夏普值,3.684350407143064

二次趨勢線,-6.074269285841801 x^2 + 16231.314876994487349 x + 10000000.000000000000000
二次平均預期報酬,15465.956946978423730
風險,120459.768686164185056
二次平均趨勢值,0.128391056330783
一次趨勢線,15659.583355568202023 x + 10000000.000000000000000
一次預期報酬,15659.583355568202023
一次風險,120935.564254012337187
一次趨勢值,0.129486999561824
找到最佳解世代,1627
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](14),HD[9](2),TRV[22](3),V[25](1),
Stock#,BA[2](14),HD[9](2),TRV[22](3),V[25](1),
張數,34354,48374,39463,78443,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,59.419999999925494,31.680000000167638,18.949999999720603,21.589999999850988,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2473203.879999999888241,2485971.540000000037253,2481057.759999999776483,2535299.350000000093132,9975532.529999999329448
FS( 3 ),2501374.160000000149012,2529508.140000000130385,2514206.679999999701977,2568245.410000000149012,10113334.390000000596046
FS( 4 ),2504122.479999999981374,2515479.680000000167638,2506708.709999999962747,2569814.269999999552965,10096125.140000000596046
FS( 5 ),2558058.259999999776483,2534829.280000000260770,2500789.259999999776483,2557263.390000000130385,10150940.189999999478459
FS( 6 ),2562867.819999999832362,2553695.140000000130385,2518152.979999999981374,2572167.559999999590218,10206883.500000000000000
FS( 7 ),2551874.540000000037253,2571109.780000000260770,2521310.019999999552965,2520395.180000000167638,10164689.519999999552965
FS( 8 ),2549469.759999999776483,2566756.120000000111759,2524861.689999999478459,2531377.200000000186265,10172464.769999999552965
FS( 9 ),2548782.679999999701977,2555146.360000000335276,2514995.939999999478459,2516473.029999999795109,10135398.009999999776483
FS( 10 ),2535728.160000000149012,2646573.220000000204891,2507497.969999999739230,2547065.799999999813735,10236865.150000000372529
FS( 11 ),2510306.199999999720603,2660601.680000000167638,2515785.199999999720603,2531377.200000000186265,10218070.280000001192093
FS( 12 ),2529887.979999999981374,2723971.620000000111759,2526834.839999999850988,2543143.649999999906868,10323838.089999999850988
FS( 13 ),2539163.559999999590218,2744288.700000000186265,2570244.139999999664724,2523532.899999999906868,10377229.299999998882413
FS( 14 ),2536415.239999999757856,2736548.860000000335276,2590370.269999999552965,2513335.309999999590218,10376669.679999999701977
FS( 15 ),2517177.000000000000000,2724455.360000000335276,2574190.439999999944121,2500784.429999999701977,10316607.230000000447035
FS( 16 ),2501030.619999999646097,2739935.040000000037253,2582872.299999999813735,2512550.879999999888241,10336388.839999999850988
FS( 17 ),2417206.859999999869615,2735581.379999999888241,2557221.349999999627471,2493724.559999999590218,10203734.149999998509884
FS( 18 ),2442285.280000000260770,2755414.720000000204891,2580899.149999999906868,2484311.399999999906868,10262910.550000000745058
FS( 19 ),2452247.939999999944121,2741386.260000000242144,2572217.290000000037253,2503922.149999999906868,10269773.640000000596046
FS( 20 ),2457057.500000000000000,2734613.900000000372529,2558799.869999999646097,2498431.140000000130385,10248902.410000000149012
FS( 21 ),2454309.179999999701977,2749609.840000000316650,2557221.349999999627471,2510982.019999999552965,10272122.389999998733401
FS( 22 ),2433009.699999999720603,2738967.560000000055879,2544987.819999999366701,2485095.829999999608845,10202060.909999998286366
FS( 23 ),2452935.020000000018626,2745256.180000000167638,2554853.569999999366701,2514904.169999999925494,10267948.939999999478459
FS( 24 ),2434727.399999999906868,2747191.140000000130385,2550907.269999999552965,2520395.180000000167638,10253220.990000000223517
FS( 25 ),2470799.100000000093132,2735097.640000000130385,2546566.339999999850988,2502353.289999999571592,10254816.369999999180436
FS( 26 ),2501717.699999999720603,2788792.780000000260770,2578531.369999999646097,2540005.930000000167638,10409047.779999999329448
FS( 27 ),2504122.479999999981374,2769926.919999999925494,2573401.179999999701977,2543928.079999999608845,10391378.660000000149012
FS( 28 ),2441941.739999999757856,2771861.879999999888241,2577347.479999999981374,2523532.899999999906868,10314684.000000000000000
FS( 29 ),2448469.000000000000000,2743804.959999999962747,2642066.799999999813735,2578442.999999999534339,10412783.759999999776483
FS( 30 ),2437819.259999999776483,2759768.379999999888241,2665349.969999999739230,2617664.499999999534339,10480602.109999999403954
FS( 31 ),2459118.739999999757856,2820235.879999999888241,2701261.299999999813735,2646688.410000000149012,10627304.329999998211861
FS( 32 ),2448812.540000000037253,2876349.720000000204891,2706391.489999999757856,2632568.669999999925494,10664122.419999999925494
FS( 33 ),2402091.100000000093132,2849744.020000000018626,2702445.189999999944121,2625508.799999999813735,10579789.109999999403954
FS( 34 ),2420298.720000000204891,2847325.320000000298023,2701655.929999999701977,2621586.649999999906868,10590866.620000001043081
FS( 35 ),2401404.020000000018626,2876833.459999999962747,2692579.439999999944121,2643550.689999999944121,10614367.609999999403954
FS( 36 ),2399686.319999999832362,2867642.400000000372529,2701261.299999999813735,2639628.539999999571592,10608218.560000000521541
FS( 37 ),2403808.799999999813735,2874414.760000000242144,2707575.379999999888241,2647472.839999999850988,10633271.780000001192093
FS( 38 ),2405870.040000000037253,2872963.540000000037253,2700077.409999999683350,2623155.509999999776483,10602066.500000000000000
